dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
qawiki,zero-shot,gpt-4.1-2025-04-14,0.28,0.0867,0.36,0.3067,0.62,0.5849,0.4417,,,0.0,0.0,0.0267,0.0267
qawiki,zero-shot,gpt-4.1-mini-2025-04-14,0.26,0.1133,0.44,0.3467,0.56,0.6002,0.4513,,,0.0,0.0,0.0267,0.0267
qawiki,zero-shot,gpt-4.1-nano-2025-04-14,0.2333,0.0933,0.4333,0.3467,0.6533,0.4523,0.3773,,,0.0133,0.0333,0.1,0.0267
qawiki,zero-shot,gpt-4o,0.42,0.32,0.4867,0.4733,0.6267,0.5852,0.5242,,,0.0,0.0,0.0333,0.0267
qawiki,zero-shot,gpt-5,0.6757,0.5608,0.723,0.7365,0.5811,0.7969,0.7386,,,0.0068,0.0068,0.0203,0.0203
qawiki,zero-shot,gpt-5-mini,0.7133,0.5933,0.7267,0.7533,0.52,0.7931,0.7254,,,0.0,0.0,0.02,0.0067
qawiki,zero-shot,gpt-5-nano,0.56,0.48,0.66,0.6933,0.5867,0.6779,0.6599,,,0.0,0.0067,0.0133,0.0133
qawiki,zero-shot,grok-3-mini,0.3133,0.2333,0.4733,0.4,0.9,0.5919,0.5098,,,0.0133,0.0,0.0267,0.0533
qawiki,zero-shot,llama3.1:8b,0.0067,0.0067,0.06,0.0467,0.8733,0.1259,0.0992,,,0.0067,0.0,0.0133,0.04
qawiki,zero-shot,o3,0.2733,0.16,0.44,0.2867,0.7933,0.5362,0.4401,,,0.0133,0.0133,0.0467,0.0
spinach,classification,deepseek-chat,0.9867,0.84,0.9267,0.92,0.72,0.9994,0.9646,0.7468,0.6856,0.0,0.0,0.0,0.0067
spinach,classification,deepseek-reasoner,0.7733,0.8867,0.8933,0.9533,0.5867,0.8386,0.9414,0.5737,0.5687,0.0,0.0,0.0,0.0
spinach,classification,gemini-2.0-flash,0.8867,0.86,1.0,0.9667,0.66,0.9208,0.8788,0.6547,0.5754,0.0333,0.0333,1.0,0.12
spinach,classification,gemini-2.5-flash,0.9267,0.9133,1.0,0.9667,0.9,0.9461,0.9416,0.6205,0.6056,0.0333,0.0067,1.0,0.0733
spinach,classification,gemini-2.5-pro,0.8,0.7667,1.0,0.88,0.92,0.8609,0.8735,0.6403,0.6053,0.0467,0.06,1.0,0.02
spinach,classification,gpt-4.1-2025-04-14,0.9485,0.8969,0.9485,0.9691,0.9794,0.9249,0.911,0.7187,0.6813,0.0515,0.0515,0.0515,0.1443
spinach,classification,gpt-4.1-mini-2025-04-14,0.94,0.8867,0.9667,0.98,0.7867,0.8755,0.9636,0.5971,0.5677,0.1067,0.1067,0.14,0.0667
spinach,classification,gpt-4.1-nano-2025-04-14,0.8333,0.5733,0.84,0.5867,0.36,0.0155,0.7561,0.0087,0.0,0.98,0.82,0.74,0.0
spinach,classification,gpt-4o,0.98,0.9533,0.9733,0.9867,0.4333,0.4551,0.9902,0.3163,0.3233,0.54,0.54,0.56,0.02
spinach,classification,gpt-5,0.9329,0.8591,1.0,0.9732,0.698,0.9622,0.9236,0.7746,0.7856,0.0067,0.0,1.0,0.0201
spinach,classification,gpt-5-mini,0.8993,0.6309,1.0,0.7651,0.651,0.9199,0.7529,0.7632,0.7638,0.0,0.0,1.0,0.0
spinach,classification,gpt-5-nano,0.7533,0.7,1.0,0.78,0.2067,0.7567,0.7682,0.1208,0.5185,0.0,0.0,1.0,0.0
spinach,classification,grok-3-mini,0.9,0.7467,1.0,0.8733,0.88,0.9583,0.9379,0.6843,0.6474,0.0,0.0,1.0,0.0
spinach,classification,llama3.1:8b,0.2067,0.0533,1.0,0.3133,0.7,0.6022,0.5033,0.324,0.2737,0.0,0.0,1.0,0.0
spinach,classification,o3,0.8,0.76,0.8333,0.8933,0.94,0.9275,0.9055,0.5689,0.6467,0.0,0.0,0.0933,0.0667
spinach,fixing,deepseek-chat,0.8267,0.7467,0.8867,0.9533,0.96,0.9232,0.9161,0.7327,0.7319,0.0067,0.0133,0.08,0.1667
spinach,fixing,deepseek-reasoner,0.6467,0.5333,0.6667,0.8467,0.8933,0.8036,0.8206,0.4319,0.4514,0.0267,0.0267,0.04,0.0267
spinach,fixing,gemini-2.0-flash,0.7667,0.7733,0.8867,0.9133,0.9733,0.8136,0.9152,0.8713,0.8616,0.0267,0.0,0.0067,0.1133
spinach,fixing,gemini-2.5-flash,0.8733,0.8667,0.8467,0.9667,0.9733,0.9042,0.9076,0.7627,0.8087,0.0533,0.0067,0.0267,0.1333
spinach,fixing,gemini-2.5-pro,0.8067,0.8133,0.7733,0.9733,0.98,0.9041,0.9203,0.7701,0.7532,0.02,0.0067,0.0133,0.1133
spinach,fixing,gpt-4.1-2025-04-14,0.9067,0.76,0.9467,0.9267,1.0,0.9275,0.9078,0.8455,0.8494,0.0333,0.0333,0.0733,0.1133
spinach,fixing,gpt-4.1-mini-2025-04-14,0.8533,0.7533,0.8867,0.98,0.9667,0.9138,0.8935,0.7759,0.7902,0.0267,0.02,0.04,0.1267
spinach,fixing,gpt-4.1-nano-2025-04-14,0.76,0.44,0.6467,0.7067,0.6133,0.6881,0.4969,0.3253,0.3042,0.2,0.1667,0.14,0.1867
spinach,fixing,gpt-4o,0.9533,0.8067,0.9267,0.9667,0.9533,0.7168,0.7235,0.5886,0.579,0.2667,0.2667,0.22,0.32
spinach,fixing,gpt-5,0.9365,0.8254,0.9365,0.9683,0.7698,0.9717,0.895,0.8538,0.7943,0.0,0.0,0.0159,0.0952
spinach,fixing,gpt-5-mini,0.904,0.784,0.928,0.92,0.72,0.9462,0.8679,0.7892,0.8527,0.0,0.0,0.08,0.176
spinach,fixing,gpt-5-nano,0.8533,0.7467,0.8533,0.9867,0.8067,0.9005,0.8363,0.7468,0.8044,0.0067,0.0067,0.0467,0.2133
spinach,fixing,grok-3-mini,0.8933,0.8533,0.9133,0.98,0.9867,0.9354,0.9374,0.6547,0.7053,0.0133,0.0133,0.04,0.2333
spinach,fixing,llama3.1:8b,0.12,0.04,0.1733,0.1267,0.56,0.4342,0.3653,0.1657,0.1654,0.0,0.0,0.0,0.0
spinach,fixing,o3,0.8,0.7667,0.94,0.92,0.9667,0.8361,0.8607,0.5516,0.5745,0.1133,0.08,0.06,0.1333
spinach,wikidata,deepseek-chat,0.32,0.2067,0.5267,0.5533,0.62,0.5286,0.4744,,,0.0733,0.0733,0.1467,0.3067
spinach,wikidata,gemini-2.0-flash,0.3467,0.1733,0.54,0.48,0.62,0.6206,0.4799,,,0.0133,0.0333,0.12,0.16
spinach,wikidata,gemini-2.5-flash,0.3667,0.28,0.5333,0.6133,0.9067,0.4799,0.4381,,,0.22,0.1667,0.2067,0.28
spinach,wikidata,gemini-2.5-pro,0.3067,0.32,0.56,0.4733,0.8133,0.665,0.6308,,,0.0067,0.0133,0.0533,0.0467
spinach,wikidata,gpt-4.1-2025-04-14,0.5,0.2133,0.5667,0.44,0.6467,0.798,0.62,,,0.0,0.0,0.04,0.0933
spinach,wikidata,gpt-4.1-mini-2025-04-14,0.24,0.1,0.36,0.2733,0.8,0.4002,0.293,,,0.02,0.0267,0.0067,0.1067
spinach,wikidata,gpt-4.1-nano-2025-04-14,0.3333,0.0667,0.3267,0.52,0.7733,0.6103,0.3453,,,0.0267,0.0467,0.1933,0.1333
spinach,wikidata,gpt-4o,0.84,0.68,0.7533,0.7933,0.24,0.8522,0.7537,,,0.0,0.0,0.0067,0.0
spinach,wikidata,gpt-5,0.7584,0.5906,0.7584,0.7584,0.6174,0.8248,0.7408,,,0.0067,0.0067,0.0134,0.0134
spinach,wikidata,gpt-5-mini,0.8,0.6467,0.76,0.8133,0.5067,0.8498,0.764,,,0.0067,0.0067,0.02,0.0133
spinach,wikidata,gpt-5-nano,0.76,0.52,0.6867,0.7667,0.5933,0.8474,0.7151,,,0.0067,0.0067,0.0133,0.0133
spinach,wikidata,grok-3-mini,0.3533,0.2333,0.5867,0.52,0.8867,0.6066,0.5324,,,0.02,0.02,0.06,0.1
spinach,wikidata,llama3.1:8b,0.06,0.0267,0.1133,0.08,0.6467,0.2847,0.2264,,,0.0,0.0,0.0,0.0
spinach,wikidata,llama3.3:70b,0.3267,0.0867,0.3867,0.2733,0.5133,0.6238,0.4561,,,0.0,0.0,0.0067,0.0
spinach,wikidata,o3,0.4267,0.3,0.5533,0.48,0.9333,0.7115,0.6097,,,0.0133,0.0133,0.02,0.02
spinach,zero-shot,deepseek-chat,0.32,0.1467,0.4667,0.4333,0.5667,0.5752,0.4519,,,0.02,0.0267,0.0667,0.1467
spinach,zero-shot,deepseek-reasoner,0.1667,0.1133,0.4133,0.2933,0.84,0.4724,0.4071,,,0.0267,0.0333,0.0333,0.0467
spinach,zero-shot,gemini-2.0-flash,0.4067,0.1,0.44,0.32,0.68,0.6494,0.4699,,,0.0067,0.0,0.0133,0.0
spinach,zero-shot,gemini-2.5-flash,0.3333,0.2867,0.4867,0.5,0.8533,0.5974,0.5385,,,0.06,0.0333,0.0733,0.0933
spinach,zero-shot,gemini-2.5-pro,0.3,0.2067,0.4267,0.42,0.82,0.6364,0.5555,,,0.0067,0.0067,0.0467,0.04
spinach,zero-shot,gpt-4.1-2025-04-14,0.4733,0.2067,0.52,0.4267,0.6333,0.7449,0.5839,,,0.0,0.0,0.0133,0.0533
spinach,zero-shot,gpt-4.1-mini-2025-04-14,0.44,0.1933,0.5533,0.38,0.4867,0.7336,0.5771,,,0.0,0.0,0.0067,0.0333
spinach,zero-shot,gpt-4.1-nano-2025-04-14,0.3467,0.1467,0.5467,0.4333,0.58,0.6225,0.4586,,,0.0067,0.0133,0.0133,0.0333
spinach,zero-shot,gpt-4o,0.56,0.2867,0.58,0.5267,0.68,0.7444,0.5784,,,0.0,0.0,0.0133,0.06
spinach,zero-shot,gpt-5,0.6376,0.4631,0.6644,0.6779,0.7114,0.7884,0.6967,,,0.0067,0.0067,0.0134,0.0067
spinach,zero-shot,gpt-5-mini,0.6913,0.5034,0.6443,0.698,0.6107,0.805,0.687,,,0.0067,0.0067,0.0201,0.0201
spinach,zero-shot,gpt-5-nano,0.6333,0.4333,0.6,0.6467,0.6867,0.7653,0.6161,,,0.0067,0.0067,0.02,0.02
spinach,zero-shot,grok-3-mini,0.3333,0.28,0.56,0.4733,0.88,0.6448,0.626,,,0.0267,0.0133,0.0467,0.0533
spinach,zero-shot,llama3.1:8b,0.0267,0.0,0.0667,0.0733,0.8,0.1772,0.1199,,,0.0067,0.0267,0.0333,0.0467
spinach,zero-shot,llama3.3:70b,0.3533,0.0933,0.4067,0.2867,0.62,0.6405,0.4687,,,0.0,0.0067,0.0067,0.0333
spinach,zero-shot,o3,0.4133,0.34,0.58,0.5267,0.9067,0.7251,0.6427,,,0.0067,0.0067,0.0067,0.0333
synthetic,classification,deepseek-chat,0.9333,0.7733,0.9067,0.9133,0.9333,0.9579,0.9413,0.7571,0.7342,0.0,0.0,0.0,0.0
synthetic,classification,deepseek-reasoner,0.7267,0.8733,0.9267,0.9533,0.88,0.7768,0.9456,0.6352,0.6168,0.0,0.0,0.0067,0.0067
synthetic,classification,gemini-2.0-flash,0.8467,0.8467,1.0,0.9133,0.7467,0.9226,0.942,0.7256,0.6496,0.0,0.0,1.0,0.0
synthetic,classification,gemini-2.5-flash,0.8667,0.92,1.0,0.9733,0.9733,0.9151,0.9651,0.7421,0.7173,0.0333,0.02,1.0,0.0267
synthetic,classification,gemini-2.5-pro,0.7733,0.6733,1.0,0.8267,0.9667,0.8069,0.7644,0.7361,0.6142,0.0867,0.0733,1.0,0.08
synthetic,classification,gpt-4.1-2025-04-14,0.9,0.8533,0.9667,0.9267,0.94,0.9724,0.9629,0.847,0.8308,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4.1-mini-2025-04-14,0.8533,0.84,0.92,0.9467,0.88,0.9204,0.9586,0.7371,0.7085,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4.1-nano-2025-04-14,0.64,0.7333,0.6733,0.8467,0.2533,0.6905,0.8187,0.6603,0.6887,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4o,0.9467,0.8867,1.0,0.9733,0.6067,0.6222,0.9631,0.4614,0.433,0.3533,0.3533,1.0,0.02
synthetic,classification,gpt-5,0.8926,0.8859,1.0,0.9732,0.8859,0.9596,0.928,0.8134,0.7928,0.0,0.0,1.0,0.0
synthetic,classification,gpt-5-mini,0.8725,0.5973,1.0,0.6779,0.8389,0.9378,0.742,0.7424,0.7749,0.0,0.0,1.0,0.0
synthetic,classification,gpt-5-nano,0.78,0.6467,1.0,0.74,0.2333,0.7872,0.7296,0.1053,0.5587,0.0,0.0,1.0,0.0
synthetic,classification,grok-3-mini,0.9,0.82,1.0,0.9333,0.9533,0.9591,0.9565,0.7163,0.7014,0.0,0.0,1.0,0.0
synthetic,classification,llama3.1:8b,0.2267,0.1067,1.0,0.42,0.68,0.6402,0.5797,0.4224,0.3968,0.0,0.0,1.0,0.0
synthetic,classification,o3,0.9133,0.8733,1.0,0.9733,0.9867,0.9767,0.9569,0.7112,0.7397,0.0,0.0,1.0,0.0
synthetic,fixing,deepseek-chat,0.8933,0.8533,0.92,0.9867,0.9667,0.9525,0.9625,0.8214,0.8428,0.0067,0.0,0.04,0.08
synthetic,fixing,deepseek-reasoner,0.7533,0.6667,0.7933,0.8733,0.9667,0.8847,0.8887,0.5773,0.5358,0.0067,0.0067,0.0067,0.0067
synthetic,fixing,gemini-2.0-flash,0.86,0.84,0.8733,0.9667,0.9867,0.8733,0.958,0.9335,0.9037,0.0067,0.0,0.0,0.0533
synthetic,fixing,gemini-2.5-flash,0.9,0.9133,0.94,0.96,0.9733,0.9388,0.9457,0.8867,0.8675,0.0133,0.0067,0.0133,0.0333
synthetic,fixing,gemini-2.5-pro,0.68,0.7733,0.82,0.8867,0.9733,0.6098,0.8262,0.3721,0.5311,0.2333,0.2333,0.3533,0.0667
synthetic,fixing,gpt-4.1-2025-04-14,0.8867,0.8667,0.9533,0.9667,0.9733,0.9662,0.9711,0.9175,0.9131,0.0,0.0,0.0133,0.0733
synthetic,fixing,gpt-4.1-mini-2025-04-14,0.8067,0.8,0.9133,0.9667,0.86,0.9151,0.9315,0.8616,0.8986,0.0133,0.0133,0.02,0.0333
synthetic,fixing,gpt-4.1-nano-2025-04-14,0.5533,0.3733,0.6133,0.7,0.5733,0.6813,0.6589,0.6822,0.7098,0.0067,0.02,0.0667,0.0267
synthetic,fixing,gpt-4o,0.8133,0.7667,0.9467,0.96,0.9733,0.7462,0.7764,0.6078,0.6199,0.1733,0.18,0.22,0.1867
synthetic,fixing,gpt-5,0.8976,0.8898,0.9685,1.0,0.9134,0.9681,0.9391,0.7968,0.7914,0.0,0.0,0.0079,0.0315
synthetic,fixing,gpt-5-mini,0.8296,0.7778,0.8963,0.9481,0.837,0.9043,0.8648,0.7626,0.7412,0.0,0.0,0.037,0.0519
synthetic,fixing,gpt-5-nano,0.9067,0.7733,0.8467,0.98,0.9067,0.9517,0.8801,0.75,0.7743,0.0,0.0,0.02,0.0933
synthetic,fixing,grok-3-mini,0.8933,0.8733,0.9333,0.9933,0.9667,0.9532,0.9679,0.7509,0.6881,0.0067,0.0,0.02,0.0467
synthetic,fixing,llama3.1:8b,0.2067,0.04,0.2133,0.1733,0.6267,0.5639,0.3906,0.2753,0.2564,0.0,0.0,0.0,0.0
synthetic,fixing,o3,0.7667,0.9067,0.96,0.9733,1.0,0.9182,0.9312,0.715,0.6663,0.04,0.0333,0.0333,0.0467
synthetic,wikidata,deepseek-chat,0.4867,0.2067,0.5667,0.5533,0.5733,0.6873,0.5714,,,0.0467,0.0533,0.1333,0.1733
synthetic,wikidata,gemini-2.0-flash,0.4867,0.1933,0.56,0.52,0.5733,0.7258,0.6022,,,0.0,0.0267,0.0267,0.04
synthetic,wikidata,gemini-2.5-flash,0.3333,0.2467,0.6333,0.5133,0.8467,0.5816,0.5658,,,0.12,0.0667,0.0733,0.12
synthetic,wikidata,gemini-2.5-pro,0.42,0.3,0.5933,0.5733,0.8067,0.7499,0.6982,,,0.0133,0.0133,0.0,0.0067
synthetic,wikidata,gpt-4.1-2025-04-14,0.62,0.2933,0.6867,0.5733,0.6267,0.8506,0.6977,,,0.0,0.0,0.0267,0.04
synthetic,wikidata,gpt-4.1-mini-2025-04-14,0.3267,0.08,0.4,0.3067,0.68,0.5417,0.3843,,,0.0,0.0133,0.02,0.0467
synthetic,wikidata,gpt-4.1-nano-2025-04-14,0.36,0.0933,0.4933,0.5067,0.7667,0.6337,0.3993,,,0.0267,0.0667,0.2533,0.1
synthetic,wikidata,gpt-4o,0.8533,0.6467,0.6933,0.84,0.3,0.8668,0.7349,,,0.0,0.0,0.0,0.0
synthetic,wikidata,gpt-5,0.6644,0.5369,0.7315,0.7785,0.8658,0.8023,0.7532,,,0.0,0.0,0.0,0.0067
synthetic,wikidata,gpt-5-mini,0.6107,0.4631,0.6242,0.6577,0.7047,0.7294,0.6461,,,0.0,0.0,0.0,0.0067
synthetic,wikidata,gpt-5-nano,0.6667,0.4133,0.66,0.6333,0.8,0.8043,0.6404,,,0.0,0.0,0.0,0.0067
synthetic,wikidata,grok-3-mini,0.4467,0.3067,0.6133,0.5933,0.8867,0.7327,0.6889,,,0.0,0.0,0.0133,0.0067
synthetic,wikidata,llama3.1:8b,0.0667,0.0,0.2067,0.1333,0.62,0.3819,0.2943,,,0.0,0.0,0.0067,0.0
synthetic,wikidata,o3,0.5333,0.34,0.66,0.5333,0.8467,0.8006,0.723,,,0.0067,0.0,0.0,0.0
synthetic,zero-shot,deepseek-chat,0.4667,0.2133,0.5133,0.4867,0.56,0.6754,0.5407,,,0.0267,0.0467,0.0933,0.1267
synthetic,zero-shot,deepseek-reasoner,0.2867,0.2333,0.5267,0.4467,0.7533,0.5706,0.5545,,,0.0067,0.0067,0.0,0.02
synthetic,zero-shot,gemini-2.0-flash,0.4333,0.18,0.5267,0.44,0.5533,0.7391,0.566,,,0.0067,0.0133,0.0,0.0
synthetic,zero-shot,gemini-2.5-flash,0.4667,0.3467,0.6,0.5667,0.88,0.7291,0.6731,,,0.0267,0.0333,0.0267,0.0467
synthetic,zero-shot,gemini-2.5-pro,0.4467,0.3533,0.6067,0.4933,0.8067,0.7226,0.7069,,,0.0067,0.0267,0.0,0.0133
synthetic,zero-shot,gpt-4.1-2025-04-14,0.6,0.2733,0.7,0.54,0.6133,0.8377,0.7008,,,0.0,0.0,0.0067,0.0267
synthetic,zero-shot,gpt-4.1-mini-2025-04-14,0.4667,0.18,0.5533,0.5333,0.52,0.75,0.6301,,,0.0,0.0,0.0,0.04
synthetic,zero-shot,gpt-4.1-nano-2025-04-14,0.3667,0.1133,0.5267,0.4467,0.5933,0.6469,0.5003,,,0.0133,0.0067,0.0533,0.0267
synthetic,zero-shot,gpt-4o,0.4067,0.16,0.5533,0.4133,0.7,0.6798,0.5558,,,0.0,0.0,0.0,0.0
synthetic,zero-shot,gpt-5,0.5503,0.3893,0.604,0.6443,0.8658,0.7855,0.6846,,,0.0,0.0,0.0,0.0067
synthetic,zero-shot,gpt-5-mini,0.557,0.3423,0.5302,0.5973,0.7718,0.7514,0.6166,,,0.0,0.0,0.0,0.0067
synthetic,zero-shot,gpt-5-nano,0.56,0.4133,0.68,0.5867,0.86,0.7499,0.6659,,,0.0,0.0,0.0,0.0067
synthetic,zero-shot,grok-3-mini,0.4533,0.3467,0.6267,0.5467,0.88,0.7199,0.6895,,,0.0,0.0,0.02,0.0067
synthetic,zero-shot,llama3.1:8b,0.0267,0.0,0.06,0.0133,0.8067,0.2604,0.1632,,,0.0067,0.0,0.0267,0.0067
synthetic,zero-shot,o3,0.38,0.2667,0.5267,0.4467,0.86,0.6809,0.6088,,,0.0,0.0,0.0,0.0
