usparql	Q1	Q2	Q3	Q4	type	Q1Ans	Q2Ans	Q2SAns	Q4Ans	Q3Ans
no_usparql_231	What movies are in the Star Wars series?	What are the movies in the Star Wars series?	What are the Star Wars series movies released before 2000?	What are the Star Wars series movies released on or after 2000?		['Star Wars: Episode IV - A New Hope', 'Star Wars: Episode V - The Empire Strikes Back', 'Star Wars: Episode VI - Return of the Jedi', 'Star Wars: Episode I - The Phantom Menace', 'Star Wars: Episode II - Attack of the Clones', 'Star Wars: Episode III - Revenge of the Sith', 'Star Wars: The Force Awakens', 'Star Wars: The Last Jedi', 'Star Wars: The Rise of Skywalker', 'Rogue One: A Star Wars Story', 'Solo: A Star Wars Story']	['Star Wars: Episode IV A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi', 'Star Wars: Episode I The Phantom Menace', 'Star Wars: Episode II Attack of the Clones', 'Star Wars: Episode III Revenge of the Sith', 'Star Wars: The Force Awakens', 'Star Wars: The Last Jedi', 'Star Wars: The Rise of Skywalker', 'Star Wars: The Clone Wars', 'Solo: A Star Wars Story', 'Rogue One: A Star Wars Story']		['Star Wars: Episode II Attack of the Clones', 'Star Wars: Episode III Revenge of the Sith', 'Star Wars: The Clone Wars', 'Star Wars: The Force Awakens', 'Star Wars: The Last Jedi', 'Star Wars: The Rise of Skywalker']	['Star Wars: Episode IV A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']
no_usparql_237	What instruments did Louis Armstrong play?	Which instruments were played by Louis Armstrong?	What brass instruments did Louis Armstrong play?	What non-brass instruments did Louis Armstrong play?		['trumpet', 'cornet']	['Trumpet', 'Cornet']		['cornet']	
no_usparql_263	What notes make up a C major chord?	Which notes comprise a C major chord?	What root notes are in a C major chord?	What non-root notes make up a C major chord?		['C', 'E', 'G']	['C', 'E', 'G']		['E', 'G']	['C']
no_usparql_269	Who created the OA?	The OA is created by whom?	Which creator of The OA also played a cast role in it?	Which creator of The OA did not play a cast role in it?		['The creators of the original series are Brit Marling and Zal Batmanglij.']	['The Office of the Administrator', 'The Office of the Auditor', 'The Office of the Architect']		['Zal Batmanglij']	['Brit Marling']
no_usparql_270	What albums has Atif Aslam appeared in?	Which albums feature Atif Aslam?	What solo albums has Atif Aslam released?	What non-solo albums has Atif Aslam contributed to?		['Jal Pari', 'Tere Bin Laden', 'Doorie', 'Meri Kahani', 'Bakhuda', 'Tera Hone Laga Hoon', 'Tera Saath Hai Tere Bin', 'Dil Keh Raha Hai', 'Tera Hona Chaahoon', 'Tera Saath Hai Tere Bin']	['Jal Pari', 'Tere Bin Laden', 'Meri Kahani', 'Doorie', 'Bakhuda', 'Kuch Is Tarah', 'Tera Hone Laga Hoon', 'Tera Saath Hai Tere Bina', 'Tera Hona Laga Hoon', 'Dil Keh Raha Hai']		['Jal Pari', 'Meri Kahani', 'Tere Bin Laden', 'Bol', 'Rabba Mainu Maaf Kareen', 'Dil Dosti', 'Koi Jaane Na']	['Jal Pari', 'Tera Hone Laga Hoon', 'Doorie', 'Meri Kahani', 'Baarishein']
no_usparql_328	Which American presidents had fathers who were also American presidents?	Which U.S. presidents had fathers who were also U.S. presidents?	Which American presidents had fathers who were also American presidents for the same party?	Which American presidents had fathers who were also American presidents but for a different party?					['John Quincy Adams', 'John Adams']	['John Adams', 'John Quincy Adams']
no_usparql_345	To which art movements is the painting “Les Demoiselles d'Avignon” assigned?	To which art movements does the painting “Les Demoiselles d'Avignon” belong?	To which Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?	To which non-Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?		['Cubism', 'Proto-Cubism']	['Cubism', 'Proto-Cubism']		['Proto-Cubism', 'Early Modernism']	['Proto-Cubism', 'Analytical Cubism']
no_usparql_346	Which movies belong to the Cornetto trilogy?	What are the movies that make up the Cornetto trilogy?	Which movies in the Cornetto trilogy star Lucy Davis?	Which movies in the Cornetto trilogy do not star Lucy Davis?		['Shaun of the Dead', 'Hot Fuzz', 'The World’s End']	['Shaun of the Dead', 'Hot Fuzz', 'The World’s End']		['The World’s End']	
no_usparql_350	Which movies were directed by Thomas Vinterberg?	Which films were directed by Thomas Vinterberg?	Which movies directed by Thomas Vinterberg also starred Mads Mikkelsen?	Which movies directed by Thomas Vinterberg did not star Mads Mikkelsen?		['The Celebration', 'The Commune', 'Far from the Madding Crowd', 'Another Round']	['The Celebration', 'The Commune', 'Far from the Madding Crowd', 'Another Round']		['The Celebration', 'Submarino']	['The Hunt']
no_usparql_358	Which teams participated in the 2020 UEFA Champions League Final ?	What teams took part in the 2020 UEFA Champions League Final?	Which team won the 2020 UEFA Champions League Final?	Which team lost the 2020 UEFA Champions League Final?		['Paris Saint-Germain', 'Bayern Munich']	['Paris Saint-Germain', 'Bayern Munich']		['Paris Saint-Germain']	['Bayern Munich']
no_usparql_362	Who are the actresses in Portrait of a Lady on Fire?	Which actresses appear in Portrait of a Lady on Fire?	Which actresses play a named character in Portrait of a Lady on Fire?	Which actresses in Portrait of a Lady on Fire do not play a named character?		['Adèle Haenel', 'Noémie Merlant']	['Adèle Haenel', 'Noémie Merlant']		['None']	['Adèle Haenel', 'Noémie Merlant']
no_usparql_462	What countries does Germany share borders with?	Which countries border Germany?	What countries does Germany border that have German as an official language?	What countries does Germany border that do not have German as an official language?		['Austria', 'Belgium', 'Czech Republic', 'Denmark', 'France', 'Luxembourg', 'Netherlands', 'Poland', 'Switzerland']	['Denmark', 'Poland', 'Czech Republic', 'Austria', 'Switzerland', 'France', 'Luxembourg', 'Belgium', 'Netherlands']		['Denmark', 'Poland', 'Czech Republic', 'Austria', 'Switzerland', 'France', 'Luxembourg', 'Belgium', 'Netherlands']	['Austria']
no_usparql_493	What movies did Taylor Lautner star in?	In which films did Taylor Lautner star?	What movies did Taylor Lautner star in that were released before 2010?	What movies did Taylor Lautner star in that were released on or after 2010?		['Twilight', 'The Twilight Saga: New Moon', 'The Twilight Saga: Eclipse', 'The Twilight Saga: Breaking Dawn – Part 1', 'The Twilight Saga: Breaking Dawn – Part 2', 'Abduction']	['Twilight', 'The Twilight Saga: New Moon', 'The Twilight Saga: Eclipse', 'The Twilight Saga: Breaking Dawn – Part 1', 'The Twilight Saga: Breaking Dawn – Part 2', 'Abduction']		['Abduction']	['The Adventures of Sharkboy and Lavagirl in 3-D']
no_usparql_512	What countries does the Niger river flow through?	Through which countries does the Niger River flow?	Through what landlocked countries does the Niger River flow?	Through what coastal countries does the Niger River flow?		['Niger', 'Nigeria', 'Benin', 'Burkina Faso', 'Ghana']	['Guinea', 'Mali', 'Niger', 'Benin', 'Nigeria']		['Niger', 'Nigeria', 'Benin']	['Burkina Faso', 'Niger']
no_usparql_514	What games did Bungie make?	Which games were developed by Bungie?	What first-person shooter games did Bungie develop?	What games other than first-person shooters did Bungie develop?		['Marathon', 'Myth', 'Halo: Combat Evolved', 'Halo 2', 'Halo 3', 'Halo 3: ODST', 'Halo: Reach', 'Destiny', 'Destiny 2']	['Halo: Combat Evolved', 'Destiny', 'Destiny 2']		['Marathon', 'Myth', 'Oni']	['Halo: Combat Evolved', 'Halo 2', 'Halo 3', 'Halo 3: ODST', 'Halo: Reach', 'Halo 4', 'Halo 5: Guardians', 'Halo Infinite']
no_usparql_544	Who has been a senator from Utah?	Which senators have represented Utah?	Who have been Republican senators for Utah?	Who have been non-Republican senators for Utah?		['Orin Hatch', 'Mike Lee']	['Orrin Hatch', 'Mike Lee']		['Orrin Hatch', 'Mike Lee']	['Orrin Hatch', 'Mike Lee']
no_usparql_547	Who are the current senators from Illinois?	Which individuals currently serve as senators representing Illinois?	Who are the current non-Democratic senators from Illinois?	Who are the current Democratic senators from Illinois?		['Dick Durbin', 'Tammy Duckworth']	['Dick Durbin', 'Tammy Duckworth']		['Dick Durbin']	['Mark Kirk']
no_usparql_553	What car models does GM make?	Which car models are produced by General Motors?	What electric car models does GM make?	What non-electric car models does GM make?		['Chevrolet Silverado', 'Chevrolet Equinox', 'Chevrolet Malibu', 'GMC Sierra', 'GMC Terrain', 'Cadillac Escalade', 'Cadillac CT5', 'Buick Encore']	['Chevrolet Malibu', 'Chevrolet Silverado', 'GMC Sierra', 'Cadillac Escalade', 'Buick Enclave']		['Chevrolet Silverado', 'GMC Sierra', 'Cadillac Escalade', 'Chevrolet Tahoe', 'GMC Yukon']	['Chevrolet Bolt EV', 'Chevrolet Bolt EUV']
no_usparql_563	What countries are on the Mediterranean Sea?	Which countries border the Mediterranean Sea?	What European countries have a coastline on the Mediterranean Sea?	What non-European countries have a coastline on the Mediterranean Sea?		['Albania', 'Algeria', 'Bosnia and Herzegovina', 'Croatia', 'Cyprus', 'Egypt', 'France', 'Greece', 'Israel', 'Italy', 'Lebanon', 'Libya', 'Malta', 'Monaco', 'Montenegro', 'Morocco', 'Palestine', 'Slovenia', 'Syria', 'Tunisia', 'Turkey']	['Algeria', 'Bulgaria', 'Croatia', 'Cyprus', 'Egypt', 'France', 'Greece', 'Israel', 'Lebanon', 'Libya', 'Malta', 'Montenegro', 'Morocco', 'Palestine', 'Syria', 'Tunisia', 'Turkey']		['Algeria', 'Egypt', 'Israel', 'Lebanon', 'Libya', 'Morocco', 'Tunisia', 'Turkey', 'Algeria', 'Egypt', 'Israel', 'Lebanon', 'Libya', 'Morocco', 'Tunisia']	['Spain', 'France', 'Monaco', 'Italy', 'Malta', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Montenegro', 'Albania', 'Greece', 'Turkey']
no_usparql_576	What cities are included in Maricopa County?	Which cities are located within Maricopa County?	What cities in Maricopa County have a population greater than 100,000?	What cities in Maricopa County have a population of 100,000 or less?		['Phoenix', 'Mesa', 'Chandler', 'Gilbert', 'Glendale', 'Peoria', 'Surprise', 'Yuma', 'Buckeye', 'Avondale', 'Goodyear', 'Tempe', 'Flagstaff', 'Lake Havas City', 'Kingman']	['Phoenix', 'Mesa', 'Chandler', 'Gilbert', 'Glendale', 'Peoria', 'Surprise', 'Scottsdale', 'Buckeye', 'Avondale', 'Goodyear', 'Tempe', 'Lake Havasu City']		['Avondale', 'Buckeye', 'El Mirage', 'Gilbert', 'Litchfield Park', 'Mesa', 'Peoria', 'Queen Creek', 'San Tan Valley', 'Sun City', 'Sun City West', 'Surprise', 'Tempe', 'Tolleson', 'Waddell']	['Phoenix']
no_usparql_580	What characters does Todd Haberkorn voice in movies?	Which characters are voiced by Todd Haberkorn in movies?	What characters does Todd Haberkorn voice in non-Japanese films?	What characters does Todd Haberkorn voice in Japanese films?			['Natsu Dragneel in Fairy Tail the Movie: Phoenix Priestess', 'Kiba Inuzuka in Naruto the Movie: Ninja Clash in the Land of Snow']			
no_usparql_587	What albums did John Frusciante play on in any capacity?	On which albums did John Frusciante perform?	What solo albums did John Frusciante play on?	What non-solo albums did John Frusciante play on?		['The Will to Death', 'Shadows Collide with People', 'To Record Only Water for Ten Days', 'The Empyrean', 'Curtains', 'The Past Recedes', 'Niandra LaDes and Usually Just a Toke Here and There', 'Smile from the Streets You Hold', 'A Sphere in the Heart of Silence', 'The Getaway']	"[""Mother's Milk"", 'Blood Sugar Sex Magik', 'Californication', 'By the Way', 'Stadium Arcadium', 'The Empyrean', 'Shadows Collide with People', 'The Will to Death', 'Curtains', 'The Past Recedes']"		['The Will to Death', 'Shadows Collide with People', 'The Empyrean']	['To Record Only Water for Ten Days', 'Shadows Collide with People', 'The Will to Death', 'Inside of Emptiness', 'The Empyrean', 'Curtains']
no_usparql_645	What dialects are spoken in the U.K.?	Which dialects are used in the United Kingdom?	What dialects are spoken in England?	What dialects are spoken in Scotland, Wales, and Northern Ireland?	1	['English', 'Welsh', 'Scottish Gaelic', 'Cornish']	['English dialects', 'Welsh dialects', 'Scottish dialects', 'Northern Irish dialects']		['Scottish Gaelic', 'Welsh', 'Irish']	['Cockney', 'West Country', 'Yorkshire', 'Lancashire', 'Merseyside', 'East Anglian', 'Brummie', 'Black Country', 'Essex', 'Kentish', 'Cornish', 'East Midlands', 'West Midlands', 'Southern', 'Northern', 'Cumbrian']
no_usparql_682	Which present-day countries use English as an official language?	Which contemporary countries have English as an official language?	Which present-day countries use English as their only official language?	Which present-day countries use English as one of their multiple official languages?		['United States of America', 'United Kingdom', 'Canada', 'Australia', 'New Zealand', 'Ireland', 'India', 'Pakistan', 'Bangladesh', 'Sri Lanka', 'South Africa', 'Nigeria', 'Kenya', 'Uganda', 'Ghana', 'Zimbabwe', 'Zambia', 'Malawi', 'Cameroon', 'Sierra Leone', 'Liberia', 'Ethiopia', 'Sudan', 'South Sudan', 'Egypt', 'Morocco', 'Algeria', 'Tunisia', 'Libya', 'Mauritius', 'Seychelles', 'Fiji', 'Papua New Guinea', 'Solomon Islands', 'Vanuatu', 'Samoa', 'Tonga', 'Tuvalu', 'Kiribati', 'Marshall Islands', 'Palau', 'Micronesia', 'Nauru', 'Palestine', 'Singapore', 'Philippines', 'Malaysia', 'Brunei', 'Hong Kong', 'Macau', 'Fiji', 'Belize', 'Jamaica', 'Trinidad and Tobago', 'Barbados', 'Bahamas', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Grenada', 'Antigua and Barbuda', 'Saint Kitts and Nevis', 'Dominica', 'Saint Barthelemy', 'Saint Martin', 'Guadeloupe', 'Martinique', 'French Guiana', 'Guyana', 'Venezuela', 'Colombia', 'Ecuador', 'Peru', 'Bolivia', 'Paraguay', 'Chile', 'Argentina', 'Uruguay', 'Brazil', 'Suriname', 'French Guiana', 'Cuba', 'Dominican Republic', 'Haiti', 'Puerto Rico', 'Costa Rica', 'Nicaragua', 'Honduras', 'El Salvador', 'Guatemala', 'Belize', 'Mexico', 'Guatemala', 'Honduras', 'El Salvador', 'Nicaragua', 'Costa Rica', 'Panama', 'Colombia', 'Venezuela', 'Ecuador', 'Peru', 'Bolivia', 'Paraguay', 'Chile', 'Argentina', 'Uruguay', 'Brazil', 'French Guiana', 'Suriname', 'Guyana', 'Venezuela', 'Colombia', 'Ecuador', 'Peru', 'Bolivia', 'Paraguay', 'Chile', 'Argentina', 'Uruguay', 'Brazil', 'French Guiana', 'Suriname', 'Guyana']	['United States of America', 'United Kingdom', 'Canada', 'Australia', 'New Zealand', 'Ireland', 'South Africa', 'India', 'Pakistan', 'Nigeria', 'Philippines', 'Kenya', 'Uganda', 'Ghana', 'Zimbabwe', 'Malawi', 'Zambia', 'Sierra Leone', 'Liberia', 'Namibia', 'Botswana', 'Lesotho', 'Swaziland', 'Singapore', 'Jamaica', 'Trinidad and Tobago', 'Barbados', 'Bahamas', 'Saint Kitts and Nevis', 'Antigua and Barbuda', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Grenada', 'Dominica', 'Brunei', 'Fiji', 'Papua New Guinea', 'Solomon Islands', 'Vanuatu', 'Seychelles', 'Tuvalu', 'Kiribati', 'Marshall Islands', 'Palau']		"['United States of America', 'United Kingdom', 'Canada', 'Australia', 'New Zealand', 'India', 'Pakistan', 'South Africa', 'Nigeria', 'Philippines', 'Kenya', 'Uganda', 'Ghana', 'Zimbabwe', 'Singapore', 'Ireland', 'Belgium', 'Malta', 'Fiji', 'Jamaica', 'Barbados', 'Trinidad and Tobago', 'Bahamas', 'Saint Kitts and Nevis', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Grenada', 'Antigua and Barbuda', 'Seychelles', 'Solomon Islands', 'Vanuatu', 'Papua New Guinea', 'Brunei', 'Malaysia', 'Singapore', 'Zimbabwe', 'South Sudan', 'Sudan', 'Egypt', 'Morocco', 'Western Sahara', 'Libya', 'Tunisia', 'Algeria', 'Mauritania', 'Sierra Leone', 'Liberia', 'Gambia', 'The Gambia', 'Cameroon', 'Chad', 'Central African Republic', 'Equatorial Guinea', 'Gabon', 'Republic of the Congo', 'Democratic Republic of the Congo', 'Rwanda', 'Burundi', 'Tanzania', 'Uganda', 'Kenya', 'South Sudan', 'Eritrea', 'Ethiopia', 'Somalia', 'Djibouti', 'Eritrea', 'Madagascar', 'Comoros', 'Seychelles', 'Mauritius', 'Malawi', 'Zambia', 'Zimbabwe', 'Botswana', 'Namibia', 'South Africa', 'Lesotho', 'Swaziland', 'Mozambique', 'Angola', 'Cameroon', 'Nigeria', 'Ghana', 'Liberia', 'Sierra Leone', 'Guinea', 'Guinea-Bissau', 'The Gambia', 'Senegal', 'Mali', 'Burkina Faso', 'Niger', 'Chad', 'Sudan', 'South Sudan', 'Eritrea', 'Ethiopia', 'Djibouti', 'Somalia', 'Kenya', 'Uganda', 'Rwanda', 'Burundi', 'Tanzania', 'Democratic Republic of the Congo', 'Republic of the Congo', 'Central African Republic', 'Gabon', 'Equatorial Guinea', 'São Tomé and Príncipe', 'Cameroon', 'Nigeria', 'Ghana', 'Sierra Leone', 'Liberia', 'Guinea', 'Guinea-Bissau', 'Senegal', 'The Gambia', 'Mali', 'Niger', 'Burkina Faso', ""Côte d'Ivoire"", 'Liberia', 'Sierra Leone', 'Ghana', 'Togo', 'Benin', 'Nigeria', 'Cameroon', 'Central African Republic', 'Chad', 'Sudan', 'South Sudan', 'Eritrea', 'Ethiopia', 'Djibouti', 'Somalia', 'Kenya', 'Uganda', 'Rwanda', 'Burundi', 'Tanzania', 'Democratic Republic of the Congo', 'Republic of the Congo', 'Gabon', 'Equatorial Guinea', 'São Tomé and Príncipe', 'Angola', 'Namibia', 'Botswana', 'Zimbabwe', 'South Africa', 'Lesotho', 'Eswatini', 'Malawi', 'Mozambique', 'Madagascar', 'Comoros', 'Seychelles', 'Mauritius', 'Malawi', 'Zambia', 'Zimbabwe', 'Botswana', 'Namibia', 'South Africa', 'Lesotho', 'Eswatini', 'Mozambique', 'Madagascar', 'Comoros', 'Seychelles', 'Mauritius', 'Malawi', 'Zambia', 'Zimbabwe', 'Botswana', 'Namibia', 'South Africa', 'Lesotho', 'Eswatini', 'Mozambique', 'Madagascar', 'Comoros', 'Seychelles', 'Mauritius']"	['United Kingdom of Great Britain and Northern Ireland', 'Ireland']
no_usparql_692	What are the official languages of Canada?	What languages are officially recognized in Canada?	What is the official language of Canada used by the majority of the population?	What are the official languages of Canada used by a minority of the population?  		['English', 'French']	['English', 'French']		['French']	['English']
no_usparql_701	Who were the Vice Presidents under Lincoln?	Who were the Vice Presidents of Lincoln?	Who was the Vice President under Abraham Lincoln during his first term?	Who was the Vice President under Abraham Lincoln during his second term?		['Hannibal Hamlin', 'Andrew Johnson']	['Hannibal Hamlin', 'Andrew Johnson']		['Andrew Johnson']	['Hannibal Hamlin']
no_usparql_753	Which countries does Egypt border?	Which countries share a border with Egypt?	What majority Arab countries does Egypt border?	What non-Arab majority countries does Egypt border?		['Libya', 'Sudan', 'Israel']	['Libya', 'Sudan', 'Israel', 'Palestine']		['Libya', 'Sudan']	['Libya', 'Sudan']
no_usparql_788	Which countries border the Baltic sea?	What countries have coastlines along the Baltic Sea?	Which countries border the Baltic Sea and are members of the European Union?	Which countries border the Baltic Sea and are not members of the European Union?		['Sweden', 'Finland', 'Russia', 'Estonia', 'Latvia', 'Lithuania', 'Poland', 'Germany']	['Denmark', 'Estonia', 'Finland', 'Germany', 'Latvia', 'Lithuania', 'Poland', 'Russia', 'Sweden']		['Russia', 'Belarus']	['Germany', 'Poland', 'Sweden', 'Estonia', 'Latvia', 'Lithuania']
no_usparql_814	What are the different dialects of Chinese?	What dialects are spoken in the Chinese language?	What dialect of Chinese is the majority dialect of Hong Kong?	What dialects of Chinese are not the majority dialect of Hong Kong?		['Mandarin', 'Cantonese', 'Shanghainese', 'Hakka', 'Min', 'Wu', 'Xiang', 'Gan', 'Hokkien', 'Teochew']	['Mandarin', 'Cantonese', 'Shanghainese', 'Hakka', 'Min', 'Wu', 'Xiang', 'Gan', 'Hui']		['Mandarin', 'Hakka', 'Hokkien', 'Cantonese']	['Cantonese']
no_usparql_889	Which American presidents were in office during the Vietnam War?	Who were the U.S. presidents during the Vietnam War?	Which American presidents were in office during the Vietnam War but not when it ended?	Which American president was in office when the Vietnam War ended?		['Dwight D. Eisenhower', 'John F. Kennedy', 'Lyndon B. Johnson', 'Richard Nixon']	['Dwight D. Eisenhower', 'John F. Kennedy', 'Lyndon B. Johnson', 'Richard Nixon']		['Gerald Ford']	['Lyndon Baines Johnson']
no_usparql_894	Which European countries have had a constitutional monarchy at some point in history?	Which European nations have had a constitutional monarchy as their form of government?	Which European countries currently have had a constitutional monarchy?	Which European countries once had a constitutional monarchy but now have a different form of government?		['United Kingdom of Great Britain and Northern Ireland', 'Spain', 'Sweden', 'Norway', 'Denmark', 'Belgium', 'Netherlands', 'Luxembourg', 'Monaco', 'Liechtenstein', 'Vatican City State']	['United Kingdom of Great Britain and Northern Ireland', 'Kingdom of Spain', 'Kingdom of Belgium', 'Kingdom of the Netherlands', 'Kingdom of Sweden', 'Kingdom of Norway', 'Kingdom of Denmark', 'Kingdom of Luxembourg', 'Kingdom of Monaco', 'Principality of Liechtenstein']		['France', 'Germany', 'Italy']	['United Kingdom of Great Britain and Northern Ireland', 'Spain', 'Sweden', 'Norway', 'Denmark', 'Belgium', 'Netherlands', 'Luxembourg', 'Monaco', 'Liechtenstein', 'Vatican City State']
no_usparql_901	Give me all professional skateboarders from Sweden.	List every professional skateboarder who is from Sweden.	Give me all male professional skateboarders from Sweden.	Give me all professional skateboarders from Sweden who are not male.		['Oskar Rozenberg Hallberg']	['Oskar Rozenberg Hallberg', 'Yusuke Hasegawa']			['Oskar Rozenberg Hallberg']
no_usparql_921	Which professional surfers were born in Australia?	Who are the professional surfers that were born in Australia?	Which professional surfers were born in Sydney, Australia?	Which professional surfers were born in Australia outside of Sydney?		['Mick Fanning', 'Stephanie Gilmore', 'Layne Beachley']	['Mick Fanning', 'Stephanie Gilmore', 'Layne Beachley', 'Joel Parkinson', 'Bede Durbidge']		['Mick Fanning', 'Stephanie Gilmore']	['Mick Fanning']
no_usparql_930	Which space probes were sent into orbit around the sun?	What space probes have been launched to orbit the sun?	Which space probes were sent into orbit around the sun and are still operational?	Which space probes were sent into orbit around the sun but are no longer operational?		['Pioneer 10', 'Pioneer 11', 'Voyager 1', 'Voyager 2', 'Helios 1', 'Helios 2']	['Pioneer 10', 'Pioneer 11', 'Voyager 1', 'Voyager 2', 'New Horizons']		['Helios 1', 'Helios 2']	['Parker Solar Probe']
no_usparql_931	Which German cities have more than 250000 inhabitants?	In which German cities does the population exceed 250,000?	Which German cities have more than 250000 inhabitants but fewer than 1000000?	Which German cities have more than 1000000 inhabitants?		['Berlin', 'Hamburg', 'Munich', 'Cologne', 'Frankfurt am Main']	['Berlin', 'Hamburg', 'Munich', 'Cologne', 'Frankfurt am Main', 'Stuttgart', 'Düsseldorf', 'Dortmund', 'Essen', 'Leipzig']		['Berlin']	['Dresden', 'Leipzig', 'Hannover', 'Nuremberg']
