usparql	Q1	Q2	Q3	Q4	type	Q1Ans	Q2Ans	Q2SAns	Q4Ans	Q3Ans
no_usparql_345	To which art movements is the painting “Les Demoiselles d'Avignon” assigned?	To which art movements does the painting “Les Demoiselles d'Avignon” belong?	To which Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?	To which non-Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?		['Cubism', 'Modernism', 'Proto-Cubism']	['Cubism', 'Modernism', 'Primitivism']		['Primitivism', 'Expressionism', 'Fauvism']	['Proto-Cubism', 'Cubism']
no_usparql_346	Which movies belong to the Cornetto trilogy?	What are the movies that make up the Cornetto trilogy?	Which movies in the Cornetto trilogy star Lucy Davis?	Which movies in the Cornetto trilogy do not star Lucy Davis?		"['Shaun of the Dead', 'Hot Fuzz', ""The World's End""]"	"['Shaun of the Dead', 'Hot Fuzz', ""The World's End""]"		"['Hot Fuzz', ""The World's End""]"	['Shaun of the Dead']
no_usparql_350	Which movies were directed by Thomas Vinterberg?	Which films were directed by Thomas Vinterberg?	Which movies directed by Thomas Vinterberg also starred Mads Mikkelsen?	Which movies directed by Thomas Vinterberg did not star Mads Mikkelsen?		"['The Celebration', ""It's All About Love"", 'Dear Wendy', 'Submarino', 'The Hunt', 'Far from the Madding Crowd', 'The Commune', 'Another Round']"	"['The Celebration', ""It's All About Love"", 'Dear Wendy', 'Submarino', 'The Hunt', 'Far from the Madding Crowd', 'The Commune', 'Another Round']"		"['The Celebration', ""It's All About Love"", 'Dear Wendy', 'When a Man Comes Home', 'Submarino', 'Kursk']"	['The Hunt', 'Another Round']
no_usparql_358	Which teams participated in the 2020 UEFA Champions League Final ?	What teams took part in the 2020 UEFA Champions League Final?	Which team won the 2020 UEFA Champions League Final?	Which team lost the 2020 UEFA Champions League Final?		['Paris Saint-Germain Football Club', 'Football Club Bayern Munich']	['Paris Saint-Germain Football Club', 'Football Club Bayern Munich']		['Paris Saint-Germain Football Club']	['Bayern Munich']
no_usparql_362	Who are the actresses in Portrait of a Lady on Fire?	Which actresses appear in Portrait of a Lady on Fire?	Which actresses play a named character in Portrait of a Lady on Fire?	Which actresses in Portrait of a Lady on Fire do not play a named character?		['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']	['Noemie Merlant', 'Adele Haenel', 'Luana Bajrami', 'Valeria Golino']		['Cécile Morel', 'Marie-Pierre Pruvot', 'Armande Boulanger', 'Valeria Golino']	['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']
no_usparql_462	What countries does Germany share borders with?	Which countries border Germany?	What countries does Germany border that have German as an official language?	What countries does Germany border that do not have German as an official language?		['Denmark', 'Poland', 'Czech Republic', 'Austria', 'Switzerland', 'France', 'Luxembourg', 'Belgium', 'Netherlands']	['Denmark', 'Poland', 'Czech Republic', 'Austria', 'Switzerland', 'France', 'Luxembourg', 'Belgium', 'Netherlands']		['Denmark', 'Poland', 'Czech Republic', 'France', 'Belgium', 'Netherlands']	['Austria', 'Switzerland']
no_usparql_493	What movies did Taylor Lautner star in?	In which films did Taylor Lautner star?	What movies did Taylor Lautner star in that were released before 2010?	What movies did Taylor Lautner star in that were released on or after 2010?		"['The Twilight Saga: Twilight', 'The Twilight Saga: New Moon', 'The Twilight Saga: Eclipse', 'The Twilight Saga: Breaking Dawn Part One', 'The Twilight Saga: Breaking Dawn Part Two', 'Abduction', 'The Adventures of Sharkboy and Lavagirl in 3-D', ""Valentine's Day"", 'Grown Ups Two', 'Run the Tide', 'Tracers', 'The Ridiculous Six', 'Cheaper by the Dozen Two', 'Shadow Fury']"	"['The Adventures of Sharkboy and Lavagirl in Three-D', 'Cheaper by the Dozen Two', 'Twilight', 'The Twilight Saga: New Moon', ""Valentine's Day"", 'The Twilight Saga: Eclipse', 'Abduction', 'The Twilight Saga: Breaking Dawn – Part One', 'The Twilight Saga: Breaking Dawn – Part Two', 'Grown Ups Two', 'Tracers', 'Run the Tide', 'Home Team']"		['The Twilight Saga: Eclipse', 'Abduction', 'The Twilight Saga: Breaking Dawn – Part 1', 'The Twilight Saga: Breaking Dawn – Part 2', 'Grown Ups 2', 'Tracers', 'The Ridiculous 6', 'Run the Tide', 'Home Team']	['Shadow Fury', 'The Adventures of Sharkboy and Lavagirl in 3-D', 'Cheaper by the Dozen 2', 'Twilight', 'The Twilight Saga: New Moon']
no_usparql_512	What countries does the Niger river flow through?	Through which countries does the Niger River flow?	Through what landlocked countries does the Niger River flow?	Through what coastal countries does the Niger River flow?		['Guinea', 'Mali', 'Niger', 'Benin', 'Nigeria']	['Guinea', 'Mali', 'Niger', 'Benin', 'Nigeria']		['Guinea', 'Mali', 'Niger', 'Nigeria']	['Mali', 'Niger']
no_usparql_514	What games did Bungie make?	Which games were developed by Bungie?	What first-person shooter games did Bungie develop?	What games other than first-person shooters did Bungie develop?		['Gnop', 'Operation Desert Storm', 'Minotaur The Labyrinths of Crete', 'Pathways into Darkness', 'Marathon', 'Marathon Two Durandal', 'Marathon Infinity', 'Myth The Fallen Lords', 'Myth Two Soulblighter', 'Oni', 'Halo Combat Evolved', 'Halo Two', 'Halo Three', 'Halo Three ODST', 'Halo Reach', 'Destiny', 'Destiny Two']	['Pathways into Darkness', 'Marathon', 'Marathon 2 Durandal', 'Marathon Infinity', 'Myth The Fallen Lords', 'Myth II Soulblighter', 'Oni', 'Halo Combat Evolved', 'Halo 2', 'Halo 3', 'Halo 3 ODST', 'Halo Reach', 'Destiny', 'Destiny 2']		['Marathon series', 'Myth series', 'Oni', 'Pathways into Darkness', 'Gnop!']	['Pathways into Darkness', 'Marathon', 'Marathon 2 Durandal', 'Marathon Infinity', 'Halo Combat Evolved', 'Halo 2', 'Halo 3', 'Halo 3 ODST', 'Halo Reach', 'Destiny', 'Destiny 2']
no_usparql_544	Who has been a senator from Utah?	Which senators have represented Utah?	Who have been Republican senators for Utah?	Who have been non-Republican senators for Utah?		['Orrin Grant Hatch', 'Mitt Romney', 'Mike Lee', 'Jake Garn', 'Frank Moss', 'Arthur Vivian Watkins', 'Wallace Foster Bennett', 'Reed Smoot', 'Elbert Duncan Thomas', 'William Henry King', 'George Sutherland', 'Simon Bamberger', 'Thomas Kearns', 'Joseph Lafayette Rawlins', 'Arthur Brown']	['Frank J. Cannon', 'Arthur Brown', 'Joseph L. Rawlins', 'Reed Smoot', 'George Sutherland', 'William H. King', 'Elbert D. Thomas', 'Abe Murdock', 'Arthur V. Watkins', 'Wallace F. Bennett', 'Frank E. Moss', 'Jake Garn', 'Orrin Hatch', 'Bob Bennett', 'Mike Lee', 'Mitt Romney']		['Frank J. Cannon', 'Thomas Kearns', 'William H. King', 'Reed Smoot', 'George Sutherland', 'Elbert D. Thomas', 'Ernest McGirr', 'Wallace F. Bennett', 'Frank E. Moss']	['Arthur Brown', 'Frank J. Cannon', 'Reed Smoot', 'William H. King', 'George Sutherland', 'Elbert D. Thomas', 'Wallace F. Bennett', 'Frank E. Moss', 'Jake Garn', 'Orrin Hatch', 'Bob Bennett', 'Mike Lee', 'Mitt Romney']
no_usparql_547	Who are the current senators from Illinois?	Which individuals currently serve as senators representing Illinois?	Who are the current non-Democratic senators from Illinois?	Who are the current Democratic senators from Illinois?		['Richard Durbin', 'Tammy Duckworth']	['Richard Durbin', 'Tammy Duckworth']		['Richard Durbin', 'Tammy Duckworth']	
no_usparql_553	What car models does GM make?	Which car models are produced by General Motors?	What electric car models does GM make?	What non-electric car models does GM make?		['Chevrolet Silverado', 'Chevrolet Malibu', 'Chevrolet Equinox', 'Chevrolet Traverse', 'Chevrolet Tahoe', 'Chevrolet Suburban', 'Chevrolet Camaro', 'Chevrolet Corvette', 'Chevrolet Trailblazer', 'Chevrolet Blazer', 'Chevrolet Colorado', 'Chevrolet Bolt Electric Vehicle', 'GMC Sierra', 'GMC Canyon', 'GMC Acadia', 'GMC Terrain', 'GMC Yukon', 'GMC Yukon XL', 'GMC Hummer Electric Vehicle', 'Buick Encore', 'Buick Encore GX', 'Buick Envision', 'Buick Enclave', 'Cadillac Escalade', 'Cadillac Escalade Extended Length', 'Cadillac XT4', 'Cadillac XT5', 'Cadillac XT6', 'Cadillac CT4', 'Cadillac CT5', 'Cadillac Lyriq', 'Cadillac Celestiq']	['Chevrolet Silverado', 'Chevrolet Malibu', 'Chevrolet Equinox', 'Chevrolet Traverse', 'Chevrolet Tahoe', 'Chevrolet Suburban', 'Chevrolet Camaro', 'Chevrolet Corvette', 'GMC Sierra', 'GMC Yukon', 'GMC Acadia', 'GMC Terrain', 'Buick Enclave', 'Buick Encore', 'Buick Envision', 'Cadillac Escalade', 'Cadillac XT4', 'Cadillac XT5', 'Cadillac XT6', 'Cadillac CT4', 'Cadillac CT5', 'Cadillac Lyriq', 'Chevrolet Bolt']		['Chevrolet Malibu', 'Chevrolet Camaro', 'Chevrolet Corvette', 'Chevrolet Traverse', 'Chevrolet Tahoe', 'Chevrolet Suburban', 'Chevrolet Colorado', 'Chevrolet Silverado', 'GMC Acadia', 'GMC Terrain', 'GMC Yukon', 'GMC Canyon', 'GMC Sierra', 'Buick Encore GX', 'Buick Envision', 'Buick Enclave', 'Cadillac CT4', 'Cadillac CT5', 'Cadillac XT4', 'Cadillac XT5', 'Cadillac XT6', 'Cadillac Escalade']	['Chevrolet Bolt EV', 'Chevrolet Bolt EUV', 'Chevrolet Blazer EV', 'Chevrolet Equinox EV', 'Chevrolet Silverado EV', 'GMC Hummer EV Pickup', 'GMC Hummer EV SUV', 'GMC Sierra EV', 'Cadillac Lyriq', 'Cadillac Celestiq']
no_usparql_563	What countries are on the Mediterranean Sea?	Which countries border the Mediterranean Sea?	What European countries have a coastline on the Mediterranean Sea?	What non-European countries have a coastline on the Mediterranean Sea?		['Spain', 'France', 'Monaco', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Montenegro', 'Albania', 'Greece', 'Turkey', 'Cyprus', 'Syria', 'Lebanon', 'Israel', 'Palestine', 'Egypt', 'Libya', 'Tunisia', 'Algeria', 'Morocco']	['Spain', 'France', 'Monaco', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Montenegro', 'Albania', 'Greece', 'Turkey', 'Cyprus', 'Syria', 'Lebanon', 'Israel', 'Palestine', 'Egypt', 'Libya', 'Tunisia', 'Algeria', 'Morocco']		['Turkey', 'Syria', 'Lebanon', 'Israel', 'Palestine', 'Egypt', 'Libya', 'Tunisia', 'Algeria', 'Morocco']	['Spain', 'France', 'Monaco', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Montenegro', 'Albania', 'Greece']
no_usparql_576	What cities are included in Maricopa County?	Which cities are located within Maricopa County?	What cities in Maricopa County have a population greater than 100,000?	What cities in Maricopa County have a population of 100,000 or less?		['Phoenix', 'Mesa', 'Chandler', 'Glendale', 'Scottsdale', 'Gilbert', 'Tempe', 'Peoria', 'Surprise', 'Avondale', 'Goodyear', 'Buckeye', 'El Mirage', 'Litchfield Park', 'Tolleson', 'Wickenburg', 'Youngtown', 'Queen Creek', 'Guadalupe', 'Gila Bend', 'Carefree', 'Cave Creek', 'Paradise Valley']	['Phoenix', 'Mesa', 'Chandler', 'Glendale', 'Scottsdale', 'Gilbert', 'Tempe', 'Peoria', 'Surprise', 'Avondale', 'Goodyear', 'Buckeye', 'El Mirage', 'Litchfield Park', 'Tolleson', 'Wickenburg', 'Youngtown']		['Avondale', 'Buckeye', 'El Mirage', 'Fountain Hills', 'Goodyear', 'Litchfield Park', 'Paradise Valley', 'Queen Creek', 'Surprise', 'Tolleson', 'Wickenburg', 'Youngtown']	['Phoenix', 'Mesa', 'Chandler', 'Gilbert', 'Glendale', 'Scottsdale', 'Peoria', 'Tempe', 'Surprise']
no_usparql_580	What characters does Todd Haberkorn voice in movies?	Which characters are voiced by Todd Haberkorn in movies?	What characters does Todd Haberkorn voice in non-Japanese films?	What characters does Todd Haberkorn voice in Japanese films?		"['Italy in Hetalia: Axis Powers - Paint it, White!', 'Ling Yao in Fullmetal Alchemist: The Sacred Star of Milos', 'Natsu Dragneel in Fairy Tail: Dragon Cry', 'Hikaru Hitachiin in Ouran High School Host Club (film adaptation)', 'Tsukune Aono in Rosario + Vampire (film adaptation)', 'Allen Walker in D.Gray-man: The Movie', 'Death the Kid in Soul Eater (film adaptation)', 'Haruka Nanase in Free! The Movie - Timeless Medley', ""Jaco in Dragon Ball Z: Resurrection 'F'"", 'Marik Ishtar in Yu-Gi-Oh! The Dark Side of Dimensions']"	['Natsu Dragneel in Fairy Tail: Dragon Cry', 'Ling Yao in Fullmetal Alchemist: The Sacred Star of Milos', 'Italy in Hetalia: Axis Powers Paint it, White!', 'Hikaru Hitachiin in Ouran High School Host Club (movie adaptation)', 'Tsukune Aono in Rosario + Vampire (movie adaptation)']		['Natsu Dragneel in Fairy Tail', 'Italy in Hetalia: Axis Powers', 'Ling Yao in Fullmetal Alchemist: Brotherhood', 'Death the Kid in Soul Eater', 'Hikaru Hitachiin in Ouran High School Host Club', 'Tsukune Aono in Rosario plus Vampire', 'Allen Walker in D.Gray-man', 'Haruka Nanase in Free!', 'Karma Akabane in Assassination Classroom', 'Jaco in Dragon Ball Super']	"['Natsu Dragneel in Fairy Tail: Dragon Cry', 'Ling Yao in Fullmetal Alchemist: The Sacred Star of Milos', 'Italy in Hetalia: Axis Powers - Paint it, White!', 'Hikaru Hitachiin in Ouran High School Host Club', 'Tsukune Aono in Rosario + Vampire', 'Death the Kid in Soul Eater', 'Allen Walker in D.Gray-man', ""Kimihiro Watanuki in xxxHolic: A Midsummer Night's Dream"", ""Jaco in Dragon Ball Z: Resurrection 'F'"", 'Haruka Nanase in Free! Timeless Medley', ""Karma Akabane in Assassination Classroom: The Movie - 365 Days' Time""]"
no_usparql_587	What albums did John Frusciante play on in any capacity?	On which albums did John Frusciante perform?	What solo albums did John Frusciante play on?	What non-solo albums did John Frusciante play on?		"[""Mother's Milk"", 'Blood Sugar Sex Magik', 'Californication', 'By the Way', 'Stadium Arcadium', 'The Empyrean', 'Shadows Collide with People', 'To Record Only Water for Ten Days', 'Smile from the Streets You Hold', 'Niandra LaDes and Usually Just a T-Shirt', 'Curtains', 'Inside of Emptiness', 'A Sphere in the Heart of Silence', 'PBX Funicular Intaglio Zone', 'Enclosure', 'Maya', 'The Will to Death', 'Automatic Writing', 'AW II', 'Letur-Lefr', 'DC EP', 'Renoise Tracks 2009-2011', 'Trickfinger', 'Trickfinger II', 'Look Down, See Us', 'She Smiles Because She Presses the Button', 'Red Hot Chili Peppers (self-titled album, reissue bonus tracks)', 'Unlimited Love', 'Return of the Dream Canteen']"	"[""Mother's Milk"", 'Blood Sugar Sex Magik', 'Californication', 'By the Way', 'Stadium Arcadium', 'The Empyrean', 'Shadows Collide with People', 'To Record Only Water for Ten Days', 'Smile from the Streets You Hold', 'Niandra LaDes and Usually Just a T-Shirt', 'Curtains', 'Inside of Emptiness', 'A Sphere in the Heart of Silence', 'PBX Funicular Intaglio Zone', 'Enclosure', 'Maya', 'Unlimited Love', 'Return of the Dream Canteen']"		"[""Red Hot Chili Peppers - Mother's Milk"", 'Red Hot Chili Peppers - Blood Sugar Sex Magik', 'Red Hot Chili Peppers - Californication', 'Red Hot Chili Peppers - By the Way', 'Red Hot Chili Peppers - Stadium Arcadium', 'Red Hot Chili Peppers - Unlimited Love', 'Red Hot Chili Peppers - Return of the Dream Canteen', 'The Mars Volta - Amputechture', 'The Mars Volta - Octahedron', 'Ataxia - Automatic Writing', 'Ataxia - AW II']"	['Niandra LaDes and Usually Just a T-Shirt', 'Smile from the Streets You Hold', 'To Record Only Water for Ten Days', 'Shadows Collide with People', 'The Will to Death', 'Inside of Emptiness', 'Curtains', 'The Empyrean', 'PBX Funicular Intaglio Zone', 'Outsides', 'Enclosure', 'Maya']
no_usparql_645	What dialects are spoken in the U.K.?	Which dialects are used in the United Kingdom?	What dialects are spoken in England?	What dialects are spoken in Scotland, Wales, and Northern Ireland?	1	['Received Pronunciation', 'Cockney', 'Estuary English', 'Scouse', 'Geordie', 'Mancunian', 'Brummie', 'Yorkshire English', 'West Country English', 'Welsh English', 'Scottish English', 'Highland English', 'Glaswegian', 'Dundonian', 'Ulster English', 'Cornish English', 'East Midlands English', 'Cumbrian English', 'Norfolk English', 'Suffolk English']	['Received Pronunciation', 'Cockney', 'Estuary English', 'Scouse', 'Geordie', 'Yorkshire English', 'West Country English', 'Brummie', 'Mancunian', 'Welsh English', 'Scottish English', 'Highland English', 'Ulster English', 'Cornish English', 'East Anglian English', 'Cumbrian English', 'Lancashire English', 'Northern Irish English', 'Dorset English', 'Shetlandic']		['Scottish English', 'Scots', 'Scottish Gaelic', 'Welsh English', 'Welsh', 'Ulster English', 'Ulster Scots', 'Irish']	['Received Pronunciation', 'Cockney', 'Estuary English', 'West Country English', 'Yorkshire English', 'Geordie', 'Scouse', 'Mancunian', 'Brummie', 'East Midlands English', 'Cumbrian', 'Lancashire English', 'Norfolk English', 'Suffolk English', 'Multicultural London English']
