usparql	Q1	Q2	Q3	Q4	type	SPARQL
no_usparql_362	Who are the actresses in Portrait of a Lady on Fire?	Which actresses appear in Portrait of a Lady on Fire?	Which actresses play a named character in Portrait of a Lady on Fire?	Which actresses in Portrait of a Lady on Fire do not play a named character?	0	
no_usparql_462	What countries does Germany share borders with?	Which countries border Germany?	What countries does Germany border that have German as an official language?	What countries does Germany border that do not have German as an official language?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q183 wdt:P47 ?x. }
no_usparql_493	What movies did Taylor Lautner star in?	In which films did Taylor Lautner star?	What movies did Taylor Lautner star in that were released before 2010?	What movies did Taylor Lautner star in that were released on or after 2010?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P161 wd:Q23359; wdt:P31/wdt:P279* wd:Q11424. }
no_usparql_512	What countries does the Niger river flow through?	Through which countries does the Niger River flow?	Through what landlocked countries does the Niger River flow?	Through what coastal countries does the Niger River flow?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q3542 wdt:P17 ?x. }
no_usparql_514	What games did Bungie make?	Which games were developed by Bungie?	What first-person shooter games did Bungie develop?	What games other than first-person shooters did Bungie develop?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P178 wd:Q735267. }
no_usparql_544	Who has been a senator from Utah?	Which senators have represented Utah?	Who have been Republican senators for Utah?	Who have been non-Republican senators for Utah?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT DISTINCT ?x WHERE { ?x p:P39 ?p. ?p ps:P39 wd:Q4416090. ?p pq:P768 ?y. ?y wdt:P131 wd:Q829. FILTER NOT EXISTS { ?p pq:P582 ?z. } }
no_usparql_547	Who are the current senators from Illinois?	Which individuals currently serve as senators representing Illinois?	Who are the current non-Democratic senators from Illinois?	Who are the current Democratic senators from Illinois?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT DISTINCT ?x WHERE { ?x p:P39 ?p. ?p ps:P39 wd:Q4416090. ?p pq:P768 ?y. ?y wdt:P131 wd:Q1204. FILTER NOT EXISTS { ?p pq:P582 ?z. } }
no_usparql_553	What car models does GM make?	Which car models are produced by General Motors?	What electric car models does GM make?	What non-electric car models does GM make?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P31 wd:Q3231690; wdt:P176 wd:Q81965. }
no_usparql_563	What countries are on the Mediterranean Sea?	Which countries border the Mediterranean Sea?	What European countries have a coastline on the Mediterranean Sea?	What non-European countries have a coastline on the Mediterranean Sea?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q4918 wdt:P17 ?x. }
no_usparql_576	What cities are included in Maricopa County?	Which cities are located within Maricopa County?	What cities in Maricopa County have a population greater than 100,000?	What cities in Maricopa County have a population of 100,000 or less?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P31/wdt:P279* wd:Q515; wdt:P131 wd:Q58691. }
no_usparql_580	What characters does Todd Haberkorn voice in movies?	Which characters are voiced by Todd Haberkorn in movies?	What characters does Todd Haberkorn voice in non-Japanese films?	What characters does Todd Haberkorn voice in Japanese films?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT DISTINCT ?x WHERE { ?p p:P725 ?y. ?y ps:P725 wd:Q7812408; pq:P453 ?x. }
no_usparql_587	What albums did John Frusciante play on in any capacity?	On which albums did John Frusciante perform?	What solo albums did John Frusciante play on?	What non-solo albums did John Frusciante play on?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P31 wd:Q482994; wdt:P175 wd:Q188980. }
no_usparql_645	What dialects are spoken in the U.K.?	Which dialects are used in the United Kingdom?	What dialects are spoken in England?	What dialects are spoken in Scotland, Wales, and Northern Ireland?	1	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q145 wdt:P37 ?x. }
no_usparql_682	Which present-day countries use English as an official language?	Which contemporary countries have English as an official language?	Which present-day countries use English as their only official language?	Which present-day countries use English as one of their multiple official languages?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P37 wd:Q1860; wdt:P31/wdt:P279* wd:Q6256. }
no_usparql_692	What are the official languages of Canada?	What languages are officially recognized in Canada?	What is the official language of Canada used by the majority of the population?	What are the official languages of Canada used by a minority of the population?  	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q766 wdt:P37 ?x. }
no_usparql_701	Who were the Vice Presidents under Lincoln?	Who were the Vice Presidents of Lincoln?	Who was the Vice President under Abraham Lincoln during his first term?	Who was the Vice President under Abraham Lincoln during his second term?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT DISTINCT ?x WHERE { ?x p:P39 ?p. ?p ps:P39 wd:Q11699; pq:P580 ?y. wd:Q91 p:P39 ?q. ?q ps:P39 wd:Q11696; pq:P580 ?z. FILTER(?y = ?z) }
no_usparql_753	Which countries does Egypt border?	Which countries share a border with Egypt?	What majority Arab countries does Egypt border?	What non-Arab majority countries does Egypt border?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q79 wdt:P47 ?x. ?x wdt:P31 wd:Q6256. }
no_usparql_788	Which countries border the Baltic sea?	What countries have coastlines along the Baltic Sea?	Which countries border the Baltic Sea and are members of the European Union?	Which countries border the Baltic Sea and are not members of the European Union?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q545 wdt:P47 ?x. }
no_usparql_814	What are the different dialects of Chinese?	What dialects are spoken in the Chinese language?	What dialect of Chinese is the majority dialect of Hong Kong?	What dialects of Chinese are not the majority dialect of Hong Kong?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P31 wd:Q33384; wdt:P279+ wd:Q7850. }
no_usparql_889	Which American presidents were in office during the Vietnam War?	Who were the U.S. presidents during the Vietnam War?	Which American presidents were in office during the Vietnam War but not when it ended?	Which American president was in office when the Vietnam War ended?	0	
no_usparql_894	Which European countries have had a constitutional monarchy at some point in history?	Which European nations have had a constitutional monarchy as their form of government?	Which European countries currently have had a constitutional monarchy?	Which European countries once had a constitutional monarchy but now have a different form of government?	0	
no_usparql_901	Give me all professional skateboarders from Sweden.	List every professional skateboarder who is from Sweden.	Give me all male professional skateboarders from Sweden.	Give me all professional skateboarders from Sweden who are not male.	0	
no_usparql_921	Which professional surfers were born in Australia?	Who are the professional surfers that were born in Australia?	Which professional surfers were born in Sydney, Australia?	Which professional surfers were born in Australia outside of Sydney?	0	
no_usparql_930	Which space probes were sent into orbit around the sun?	What space probes have been launched to orbit the sun?	Which space probes were sent into orbit around the sun and are still operational?	Which space probes were sent into orbit around the sun but are no longer operational?	0	
no_usparql_931	Which German cities have more than 250000 inhabitants?	In which German cities does the population exceed 250,000?	Which German cities have more than 250000 inhabitants but fewer than 1000000?	Which German cities have more than 1000000 inhabitants?	0	
no_usparql_943	Give me all spacecraft that flew to Mars.	List every spacecraft that has traveled to Mars.	Give me all spacecrafts that successfully landed on Mars.	Give me all spacecrafts that flew by or orbited Mars but did not land.	0	
no_usparql_945	Give me all taikonauts.	Provide me with a list of all taikonauts.	Give me all taikonauts who have flown in space.	Give me all taikonauts who have never flown in space.	0	
no_usparql_946	Which countries have more than ten volcanoes in total?	Which countries have above ten volcanoes in total?	Which countries have more than ten active volcanoes?	Which countries have more than ten volcanoes but fewer than ten active ones?	0	
no_usparql_966	Who were the crew members on the Apollo 11 mission?	Which individuals participated in the Apollo 11 mission?	Who from the Apollo 11 mission was still alive as of January 1st, 2025?	Who from the Apollo 11 mission died before January 1st, 2025?	0	
no_usparql_967	Give me all B-sides of the Ramones.	Could you provide a list of all the Ramones' B-sides?	Give me all B-sides of the Ramones released before 1985.	Give me all B-sides of the Ramones released on or after 1985.	0	
no_usparql_983	Which French politicians were married to a German?	Which French politicians had a spouse who was German?	Which French politicians were married to a German man?	Which French politicians were married to a German woman or non-binary person?	0	
no_usparql_989	Which movies did Kurosawa direct?	What are the movies directed by Kurosawa?	Which movies did Kurosawa direct that are dramas?	Which movies did Kurosawa direct that are not dramas?	0	
no_usparql_993	Give me all Frisian islands that belong to the Netherlands.	Which Frisian islands are part of the Netherlands?	Give me all Frisian islands that belong to the Netherlands and are inhabited.	Give me all Frisian islands that belong to the Netherlands and are uninhabited.	0	
no_usparql_1051	Which officially recognized religions are present in Indonesia?	What religions do Indonesians are official recognized?	Which Abrahamic religions are officially recognized in Indonesia?	Which non-Abrahamic religions are officially recognized in Indonesia?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q252 wdt:P140 ?x. }
no_usparql_1061	What battles did Stonewall Jackson fight in during his military career?	In which battles did Stonewall Jackson participate during his military career?	What battles did Stonewall Jackson fight in during the American Civil War?	What battles did Stonewall Jackson fight in outside of the American Civil War?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q216124 wdt:P607 ?x. }
no_usparql_1071	Which countries speak German officially?	In which countries is German an official language?	Which countries have German but not French as an official language?	Which countries have both German and French as official languages?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P37 wd:Q188; wdt:P31/wdt:P279* wd:Q6256. }
no_usparql_1089	What basketball teams has Shaq played for?	Which basketball teams did Shaquille O'Neal play on?	What NBA basketball teams has Shaquille O'Neal played for?	What international or non-NBA basketball teams has Shaquille O'Neal played for?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q169452 wdt:P54 ?x. }
no_usparql_1142	What countries are considered part of the Baltic region?	Which countries belong to the Baltic region?	What landlocked countries are considered part of the Baltic region?	What countries with a coastline are considered part of the Baltic region?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q39731 wdt:P17 ?x. }
no_usparql_1159	What states make up New England?	Which states constitute New England?	"Which states in New England have ""New"" in their name?"	"Which states in New England do not have ""New"" in their name?"	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q18389 wdt:P527 ?x. }
no_usparql_1170	Which U.S. states does the Colorado River run through?	Through which American states does the Colorado River flow?	Which U.S. states does the Colorado River run through in the Upper Basin?	Which U.S. states does the Colorado River run through in the Lower Basin?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q1265 wdt:P131+ ?x. ?x wdt:P31/wdt:P279* wd:Q107390. }
no_usparql_1172	Which continents did the Roman Empire span?	What continents did the Roman Empire spread over?	On which continent did the Roman Empire start?	To which continents did the Roman Empire expand beyond the first continent?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q2277 wdt:P30 ?x. }
no_usparql_1183	What countries have Spanish as a national language?	Which countries recognize Spanish as an official language?	What countries have Spanish as an official language and do not have a non-Indo-European official language?	What countries have Spanish and a non-Indo-European language as official languages?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P31/wdt:P279* wd:Q6256; wdt:P2936 wd:Q1321. }
no_usparql_1188	In what colleges did Albert Einstein teach professionally?	At which colleges did Albert Einstein work as a teacher?	At which colleges did Albert Einstein hold a permanent teaching position?	At which colleges did Albert Einstein teach as a temporary teaching position?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q937 wdt:P108 ?x. ?x wdt:P31/wdt:P279* wd:Q38723. }
no_usparql_1206	What TV shows did Shawnee Smith appear in?	In which TV shows did Shawnee Smith appear?	In what TV shows did Shawnee Smith appear in only one episode?	In what TV shows did Shawnee Smith appear in multiple episodes?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P31/wdt:P279* wd:Q5398426; wdt:P161 wd:Q233313. }
no_usparql_1252	What countries share a land or maritime border with Spain?	Which countries share a land or maritime border with Spain?	What countries share a land or martiime border with Spain, but not both?	What countries share both a land and maritime border with Spain?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q29 wdt:P47 ?x. }
no_usparql_1275	Which television shows are shot in New York?	Which TV shows are filmed in New York?	What TV shows are shot in New York and are comedies?	What TV shows are shot in New York and are not comedies?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P840 wd:Q60; wdt:P31/wdt:P279* wd:Q15416. }
no_usparql_1294	What movies did Tupac star in?	In which movies did Tupac act?	In what movies did Tupac give a musical performance?	In what movies did Tupac star but did not give a musical performance?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P31 wd:Q11424; wdt:P161 wd:Q6107. }
no_usparql_1309	Who has played Lex Luthor?	Which actors have portrayed Lex Luthor?	Who has played Lex Luthor in live-action adaptations?	Who has played Lex Luthor but never in live-action adaptations?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT DISTINCT ?x WHERE { ?p p:P161 ?y. ?y ps:P161 ?x; pq:P453 wd:Q694790. }
no_usparql_1429	What were the names of Henry VIII's confirmed children?	Can you list the names of the confirmed children of Henry VIII?	What were the names of Henry VIII's confirmed legitimate children?	What were the names of Henry VIII's confirmed illegitimate children?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q38370 wdt:P40 ?x. } LIMIT 3
no_usparql_1501	Which countries have territories in Oceania?	Which countries are located in Oceania in whole or in part?	Which countries are entirely contained in Oceania?	Which countries are only partially (not fully) contained in Oceania?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P30 wd:Q538; wdt:P31 wd:Q6256. }
no_usparql_1511	What states does the Sierra Nevada run through in the United States?	Which states does the Sierra Nevada run through in the United States?	Which states with a Democratic governor does the Sierra Nevada run through in the United States?	Which states without a Democratic governor does the Sierra Nevada run through in the United States?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q26777 wdt:P131+ ?x. ?x wdt:P31/wdt:P279* wd:Q107390. }
no_usparql_1540	Who has Stephen Ireland played for?	For which teams has Stephen Ireland played?	Which teams has Stephen Ireland played for in the English Premier League?	Which teams has Stephen Ireland played for outside the English Premier League?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q113916 wdt:P54 ?x. }
no_usparql_1542	Which celebrities has Brody Jenner been confirmed to have dated or rumored to have dated?	Who are the celebrities Brody Jenner has dated, either confirmed or rumored?	Which celebrities has Brody Jenner confirmed to have dated?	Which celebrities has Brody Jenner been rumored but not confirmed to have dated?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q554091 wdt:P451 ?x. }
no_usparql_1554	What countries are members of NAFTA?	Which countries are in NAFTA?	What countries are members of NAFTA and in Latin America?	What countries are members of NAFTA but not in Latin America?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q181574 wdt:P527 ?x. }
no_usparql_1562	What books did Louis Sachar write?	Which books has Louis Sachar write?	Which books did Louis Sachar write that were adapted into movies?	Which books did Louis Sachar write that were not adapted into movies?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P50 wd:Q553137. }
no_usparql_1566	What states share a border with Tennessee?	Which states does Tennessee border?	What states share a border with Tennessee but not with Illinois?	What states share a border with Tennessee and Illinois?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q1509 wdt:P47 ?x. }
no_usparql_1649	What educational institutions did Sir Isaac Newton attend?	Which educational institutions did Sir Isaac Newton attend?	What tertiary-level educational institutions did Sir Isaac Newton attend?	What primary and secondary-level educational institutions did Sir Isaac Newton attend?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q935 wdt:P69 ?x. }
no_usparql_1651	What books are written by Suzanne Collins?	Which books has Suzanne Collins authored?	"What books are written by Suzanne Collins that belong to the ""Hunger Games"" series?"	"What books are written by Suzanne Collins are not part of the ""Hunger Games"" series?"	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P50 wd:Q228624. }
no_usparql_1744	Who were King Henry VII's children?	Who were the children of King Henry VII?	Which children of King Henry VII survived to adulthood?	Which children of King Henry VII died in childhood?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q675493 wdt:P40 ?x. }
no_usparql_1923	Who were Demeter's siblings?	Who were the brothers and sisters of Demeter?	Who were the brothers of Demeter?	Who were the sisters of Demeter?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q40730 wdt:P3373 ?x. }
no_usparql_1947	Who are the U.S. senators of Pennsylvania?	Which individuals serve as U.S. senators representing Pennsylvania?	Who are the Democratic U.S. senators of Pennsylvania?	Who are the Republican U.S. senators of Pennsylvania?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT DISTINCT ?x WHERE { ?x p:P39 ?p. ?p ps:P39 wd:Q4416090. ?p pq:P768 ?y. ?y wdt:P131 wd:Q1400. FILTER NOT EXISTS { ?p pq:P582 ?z. } }
no_usparql_1979	Who has been a coach for the Carolina Panthers?	Who has coached the Carolina Panthers?	Who has been the head coach of the Carolina Panthers?	Who has been an assistant coach but never head coach of the Carolina Panthers?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P6087 wd:Q330120. }
no_usparql_2105	Which countries constitute the European Union?	Which countries make up the European Union?	Which countries are original members of the European Union and are still members?	Which countries are members of the European Union but are not original members?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q458 wdt:P527 ?x. }
no_usparql_2164	What are the Catholic holy days of obligation and other holy days?	Which days are considered holy in the Catholic Church?	What are the Catholic holy days of obligation?	What are the Catholic holy days that are not days of obligation?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { ?x wdt:P31/wdt:P279* wd:Q1197685; wdt:P140 wd:Q1841. }
no_usparql_2247	Through which countries of the Sahel does the Niger River flow?	Which Sahel countries does the Niger River pass through?	Though which country of the Sahel does the Niger River flow and have its mouth?	Though which country of the Sahel does the Niger River flow but does not have its mouth?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q3542 wdt:P17 ?x. }
no_usparql_2258	Who has been a coach of the St. Louis Cardinals?	Can you name the coaches, past and present, of the St. Louis Cardinals?	Who are the current St. Louis Cardinals coaches?	Who are the former St. Louis Cardinals coaches?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q504309 wdt:P286 ?x. }
no_usparql_2304	Which educational institutions has Anders Celsius attend?	What educational institutions did Anders Celsius attend?	Which universities did Anders Celsius attend?	Which educational institutions did Anders Celsius attend before university?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q81130 wdt:P69 ?x. }
no_usparql_2351	Who are Ariel's sisters?	Can you list Ariel's sisters?	"Which of Ariel's sisters appear in ""The Little Mermaid II: Return to the Sea""?"	"Which of Ariel's sisters no not appear in ""The Little Mermaid II: Return to the Sea""?"	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q892442 wdt:P3373 ?x. } LIMIT 6
