ql1	ql2	ql3
What continents are crossed by the Prime Meridian?	What are the continents of the world?	What continents of the world are not crossed by the Prime Meridian?
What are the gas giants in our Solar System?	What are the planets in our Solar System?	What are the planets in our Solar System excluding the gas giants?
What organ systems are primarily involved in movement and support?	What are the major organ systems in the human body?	Which major organ systems in the human body are not primarily involved in movement and support?
What member countries of the European Union use the Euro as their currency?	What are the member countries of the European Union?	Which member countries of the European Union do not use the Euro as their currency?
What oceans border the continent of North America?	What are the world's oceans?	What are the world's oceans excluding those that border the continent of North America?
Which noble gases are commonly used in lighting?	What are the noble gases on the periodic table?	Which noble gases on the periodic table are not commonly used in lighting?
Which South American countries have won the men's FIFA World Cup?	Which countries have won the men's FIFA World Cup?	Which countries have won the men's FIFA World Cup excluding those South American countries?
Which books in the 'Harry Potter' series are named after magical objects?	What are the books in the 'Harry Potter' series?	Which books in the 'Harry Potter' series are not named after magical objects?
What are the instruments in the woodwind family of an orchestra?	What are the instrument families in a symphony orchestra?	What are the instrument families in a symphony orchestra excluding the woodwind family?
What are some major programming languages developed at Bell Labs?	What are some major programming languages?	What are some major programming languages not developed at Bell Labs?
Which of the Seven Wonders of the Ancient World were located in modern-day Greece?	What were the Seven Wonders of the Ancient World?	Which of the Seven Wonders of the Ancient World were not located in modern-day Greece?
What are the primary colors in the additive (RGB) color model?	What are the primary colors in the additive and subtractive color models?	What are the primary colors in the subtractive color model, excluding those in the additive (RGB) color model?
Which Grand Slam tournaments are played on clay or grass courts?	What are the four Grand Slam tournaments in tennis?	Which Grand Slam tournaments are played on hard courts?
Which studio albums by The Beatles were released in the 1960s?	What are some of the studio albums released by The Beatles?	Which studio albums released by The Beatles were not released in the 1960s?
What are the water signs of the Zodiac?	What are the twelve signs of the Zodiac?	What are the signs of the Zodiac excluding the water signs?
Which fundamental forces have an infinite range?	What are the fundamental forces of nature?	Which fundamental forces of nature do not have an infinite range?
What are some types of pasta that are typically stuffed?	What are some common types of pasta?	What are some common types of pasta that are not typically stuffed?
Which members of the Fellowship of the Ring are not Hobbits?	Who are the members of the Fellowship of the Ring?	Which members of the Fellowship of the Ring are Hobbits?
Which official languages of the United Nations are Romance languages?	What are the official languages of the United Nations?	What are the official languages of the United Nations that are not Romance languages?
What are the primary data storage components inside a modern computer?	What are the core components inside a modern desktop computer?	What are the core components inside a modern desktop computer excluding the primary data storage components?
Which major German car manufacturers are part of the Volkswagen Group?	What are some major German car manufacturers?	Which major German car manufacturers are not part of the Volkswagen Group?
What are the red suits in a standard 52-card deck?	What are the suits in a standard 52-card deck of playing cards?	What are the suits in a standard 52-card deck excluding the red suits?
Which of the twelve Olympian gods are sons of Cronus and Rhea?	Who are the twelve Olympian gods in Greek mythology?	Which of the twelve Olympian gods are not sons of Cronus and Rhea?
What are some aquatic sports included in the Summer Olympics?	What are some sports included in the Summer Olympics?	What are some sports included in the Summer Olympics excluding the aquatic sports?
Which Christopher Nolan films are part of 'The Dark Knight Trilogy'?	What films were directed by Christopher Nolan?	Which Christopher Nolan films are not part of 'The Dark Knight Trilogy'?
Which G7 member countries are located in Europe?	What are the member countries of the G7?	Which G7 member countries are not located in Europe?
Which of the five human senses are considered chemical senses?	What are the five human senses?	Which of the five human senses are not considered chemical senses?
Which permanent member states of the UN Security Council are in the Eastern Hemisphere?	What are the permanent member states of the UN Security Council?	Which permanent member states of the UN Security Council are not in the Eastern Hemisphere?
Which major social media platforms are owned by Meta?	What are some major social media platforms?	Which major social media platforms are not owned by Meta?
What types of citrus fruits are hybrids?	What are some common types of citrus fruits?	What types of common citrus fruits are not hybrids?
What are the gas giants in our Solar System?	What are the planets in our Solar System?	What are the planets in our Solar System excluding the gas giants?
What are the member states of the G7?	What are the member states of the G20?	What are the member states of the G20 that are not members of the G7?
What are the string instruments in a standard symphony orchestra?	What are the instruments in a standard symphony orchestra?	What are the instruments in a standard symphony orchestra excluding the string instruments?
Which Allied powers from World War II are permanent members of the UN Security Council?	Which countries were the primary Allied powers in World War II?	Which countries were the primary Allied powers in World War II excluding those that are permanent members of the UN Security Council?
What are some popular object-oriented programming languages?	What are some popular high-level programming languages?	What are some popular high-level programming languages that are not object-oriented?
What continents are located at least partially in the Western Hemisphere?	What are the seven continents of the world?	Which continents are not located at least partially in the Western Hemisphere?
What tragedies were written by William Shakespeare?	What plays were written by William Shakespeare?	What plays written by William Shakespeare are not tragedies?
Which noble gases have been observed to form chemical compounds?	What are the noble gases?	Which noble gases have not been observed to form chemical compounds?
Which actors have won the Academy Award for Best Actor at least twice?	Which actors have won an Academy Award for Best Actor?	Which actors have won an Academy Award for Best Actor exactly once?
What are the primary colors of light in the additive color model?	What are the colors in a standard rainbow?	What are the colors in a standard rainbow excluding the primary colors of light in the additive color model?
Which NFL teams are based in the state of California?	Which teams play in the National Football League (NFL)?	Which NFL teams are not based in the state of California?
Which of the twelve Olympians were children of Zeus?	Who are the twelve Olympian gods and goddesses in Greek mythology?	Which of the twelve Olympian gods and goddesses in Greek mythology are not children of Zeus?
Which Japanese car manufacturers also produce luxury vehicle brands?	What are some major Japanese car manufacturers?	Which major Japanese car manufacturers do not produce luxury vehicle brands?
Which Grand Slam tournaments are not played on a hard court?	What are the four major Grand Slam tournaments in tennis?	Which Grand Slam tournaments are played on a hard court?
Which of the fundamental forces have an infinite range?	What are the four fundamental forces of nature?	Which of the fundamental forces of nature have a finite range?
What are some common types of filled pasta?	What are some common types of pasta?	What are some common types of pasta that are not filled pasta?
Who are the three artists that comprise the traditional trinity of great masters of the High Renaissance?	Who are some famous artists of the High Renaissance period?	Who are some famous artists of the High Renaissance period excluding the three artists that comprise the traditional trinity of great masters of the High Renaissance?
Which species of great apes are in the genus Pan?	What are the living species of great apes?	Which living species of great apes are not in the genus Pan?
Which FAANG companies were founded in the 1990s?	What companies are components of the FAANG acronym?	Which FAANG companies were not founded in the 1990s?
Which oceans border the continent of Asia?	What are the Earth's five oceans?	Which of the Earth's five oceans do not border the continent of Asia?
