ID	Q1	Q2	Q3	Q4
17	Who are the voice actors in season 9 of the television series American Dad?	Which actors provided the voices in season 9 of the TV show American Dad?	Who are the voice actors appearing in more than one episode of season 9 of the television series American Dad?	Who are the voice actors appearing in only one episode of season 9 of the television series American Dad?
18	What infections are prevented with chlorhexidine?	Which infections can be avoided using chlorhexidine?	What bacterial infections can be prevented with chlorhexidine?	What fungal or viral infections are prevented with chlorhexidine?
19	List all whiskeys made by the Glenfiddich Distillery.	What whiskeys are produced by the Glenfiddich Distillery?	What whiskeys are produced by the Glenfiddich Distillery using rum casks?	What whiskeys are produced by the Glenfiddich Distillery without using rum casks?
20	What medical conditions does amitriptyline treat?	Which medical conditions are treated with amitriptyline?	What medical conditions does amitriptyline treat that are related to mental health or psychiatric disorders?	What medical conditions does amitriptyline treat that are not related to mental health or psychiatric disorders?
21	What Fortune 500 businesses are headquartered in Cleveland?	Which Fortune 500 companies have their headquarters located in Cleveland?	What Fortune 500 businesses ranked in the top 250 are headquartered in Cleveland?	What Fortune 500 businesses ranked in the bottom 250 are headquartered in Cleveland?
22	Which carriers currently operate the Airbus A330-neo?	Which airlines currently use the Airbus A330-neo in their fleet?	Which carriers currently operate the Airbus A330-neo on transatlantic routes?	Which carriers currently operate the Airbus A330-neo but not on any transatlantic routes?
23	What paintings show the Tower of Babel?	Which paintings depict the Tower of Babel?	What paintings by Pieter Bruegel the Elder show the Tower of Babel?	What paintings by artists other than Pieter Bruegel the Elder show the Tower of Babel?
24	What books were illustrated by William Blake?	Which books feature illustrations by William Blake?	What books written by other authors were illustrated by William Blake?	What books written by William Blake were also illustrated by him?
25	What languages use the Arabic alphabet?	List all languages that use the Arabic alphabet.	What languages exclusively use the Arabic alphabet?	What languages use the Arabic alphabet alongside other scripts?
26	Who were the members of the Grateful Dead?	Who was in the Grateful Dead?	Who were the founding members of the Grateful Dead?	Who were the members of the Grateful Dead that joined the band after its formation?
27	What island states make up the European Union?	Which EU countries are islands?	Which EU island states have an area greater than one thousand square kilometres?	Which EU island states have an area less than or equal to one thousand square kilometres?
28	What books are the Harry Potter movies based on?	Which books were made into Harry Potter films?	What books were made into multiple Harry Potter movies?	What books were made into a single Harry Potter movie?
29	Which movies directed by Kurosawa have scenes filmed in Tokyo?	Which Kurosawa films have been shot, in whole or part, in Tokyo?	Which movies directed by Kurosawa were filmed entirely in Tokyo?	Which movies directed by Kurosawa were filmed in Tokyo and other locations?
30	Name the nation states who were belligerents in the Korean War.	Which countries fought in the Korean War?	Name the extant nation states who were belligerents in the Korean War.	Name the former nation states who were belligerents in the Korean War.
31	Who are Paul McCartney's children?	What children does Paul McCartney have?	Who are Paul McCartney's sons?	Who are Paul McCartney's children, excluding his sons?
32	What stage musicals were written by Andrew Lloyd Webber?	Which stage musicals did Andrew Lloyd Webber write?	What stage musicals were written by Andrew Lloyd Webber and Tim Rice?	What stage musicals were written by Andrew Lloyd Webber without Tim Rice?
33	What people were signatories of the Paris Peace Accords?	Which officials signed the Paris Peace Accords?	Who were the Vietnamese signatories of the Paris Peace Accords?	Who were the non-Vietnamese signatories of the Paris Peace Accords?
34	What libraries does Yale University have?	Which libraries are located at Yale University?	What libraries does Yale University have excluding those of residential colleges?	What residential college libraries does Yale University have?
35	Which international organizations have their headquarters located in Strasbourg?	What international organizations have their headquarters in Strasbourg?	Which judicial international organizations have their headquarters located in Strasbourg?	Which non-judicial international organizations have their headquarters located in Strasbourg?
36	What kinds of airplanes do American Airlines currently operate?	Which types of planes are currently used by American Airlines for their flights?	What kinds of airplanes do American Airlines currently operate on international routes?	What kinds of airplanes do American Airlines currently operate only on domestic routes?
37	What songs are on the tracklist of Led Zeppelin IV?	Which tracks are on Led Zeppelin IV?	What songs on the tracklist of Led Zeppelin IV were released as singles?	What songs on the tracklist of Led Zeppelin IV were not released as singles?
38	What peace treaties have the Soviet Union signed?	Which peace treaties were signed by the Soviet Union?	What World War II peace treaties has the Soviet Union signed?	What peace treaties has the Soviet Union signed for conflicts other than World War II?
39	Which planets were portrayed in Star Wars Episode V: The Empire Strikes Back?	In Star Wars Episode V: The Empire Strikes Back, which planets were depicted?	Which gas giants were portrayed in Star Wars Episode V: The Empire Strikes Back?	Which planets portrayed in Star Wars Episode V: The Empire Strikes Back are not gas giants?
40	What countries participated in the Battle of France?	Which countries took part in the Battle of France?	What Axis countries participated in the Battle of France?	What Allied or non-aligned countries participated in the Battle of France?
41	Who are the characters in Hamlet?	Which characters appear in Hamlet?	Who are the royal characters in Hamlet?	Which characters in Hamlet are not royalty?
42	What animated films were produced or directed by Hayao Miyazaki?	What animated movies did Hayao Miyazaki produce or direct?	What animated films were directed by Hayao Miyazaki but not produced by him?	What animated films were produced by Hayao Miyazaki?
43	What are the satellite galaxies of the Andromeda Galaxy?	What galaxies are gravitationally bound to the Andromeda Galaxy?	Which satellite galaxies of the Andromeda Galaxy are dwarf elliptical?	Which satellite galaxies of the Andromeda Galaxy are not dwarf elliptical?
44	What types of Academy Awards has Quentin Tarantino been nominated for?	For which types of Oscar has Quentin Tarantino received nominations?	What types of Academy Awards has Quentin Tarantino won?	What types of Academy Awards has Quentin Tarantino been nominated for but never won?
45	Which movies were produced by Jim Henson?	What films did Jim Henson produce?	Which Muppets movies were produced by Jim Henson?	Which movies, other than the Muppets movies, were produced by Jim Henson?
46	Which books are in the His Dark Materials trilogy?	What books make up the His Dark Materials trilogy?	What is the first book in the His Dark Materials trilogy?	What are the second and third books in the His Dark Materials trilogy?
47	What films has Francis Ford Coppola been the executive producer of?	In which movies has Francis Ford Coppola been credited as executive producer?	In which movies directed by a family member has Francis Ford Coppola been credited as executive producer?	In which movies not directed by a family member has Francis Ford Coppola been credited as executive producer?
48	Which high school(s) are located in Milwaukee?	What high schools does Milwaukee have?	Which high schools located in Milwaukee also teach grades before grade 9?	Which high schools located in Milwaukee only teach grades 9 and up?
49	List all top-tier national leagues in CONMEBOL for men or women.	What top-tier national leagues for men or women are in CONMEBOL?	What top-tier national leagues for men are in CONMEBOL?	What top-tier national leagues for women are in CONMEBOL?
50	What are the moon phases?	List all the phases of the moon.	What are the waxing moon phases?	What moon phases are not waxing?
51	What are the annual public holidays of Denmark?	What Danish public holidays are observed annually?	What are the annual public holidays exclusive to Denmark?	What annual public holidays are observed in Denmark and other countries?
52	List all the states in India.	What are the states of India?	List all the states in India with a one-word English name.	List all the states in India with a mutli-word English name.
53	What writing systems are in official use today by European countries?	What official writing systems are still used by European countries?	What writing system is in official use today by a majority of European countries?	What writing systems are in official use today by a minority of European countries?
54	What countries have a public holiday to celebrate their constitution?	What countries observe a public holiday for their constitution?	What countries have a public holiday in their Spring or Summer to celebrate their constitution?	What countries have a public holiday in their Autumn or Winter to celebrate their constitution?
55	What are the war deities from ancient mythology in Europe?	Which war deities are from ancient mythology in Europe?	What war deities from ancient mythology in Europe have astronomic bodies named after them?	What war deities from ancient mythology in Europe do not have astronomic bodies named after them?
56	What superheroes are in the Justice League?	Which superheroes form part of the Justice League?	Which superheroes in the Justice League are part of the Big Seven?	What superheroes are in the Justice League but not the Big Seven?
57	Name all annual events happening in Pershing County.	What annual events take place in Pershing County?	What annual events take place in Lovelock, Pershing County?	What annual events take place in Pershing County outside of Lovelock?
58	What kinds of structures are found at Aït Benhaddou?	What forms of structure form Aït Benhaddou?	What kinds of military structures are found at Aït Benhaddou?	What kinds of non-military structures are found at Aït Benhaddou?
59	What biographical articles or books does the Library of Congress of Chile have about Bernardo O'Higgins?	Which biographical articles or books about Bernardo O'Higgins are available in the Library of Congress of Chile?	What biographical articles does the Library of Congress of Chile have about Bernardo O'Higgins?	What biographical books does the Library of Congress of Chile have about Bernardo O'Higgins?
60	What public statues are found in Rennes today?	What public statues can be seen in Rennes today?	What extant public statues in Rennes depict historical figures?	What extant public statues in Rennes do not depict historical figures?
61	What complete and incomplete operas has Claude Debussy composed?	Which operas were composed by Claude Debussy, including incomplete operas?	Which completed operas did Claude Debussy compose?	Which incompleted operas did Claude Debussy compose?
62	Who are the publishers for Civilization video games?	Which companies have published Civilization video games?	Who was the publisher for the original Civilization video game?	Who has published Civilization video games excluding the original publisher?
63	What generic drugs are Integrase Strand Transfer Inhibitors?	What generic drugs are INSTIs?	What generic INSTI drugs have long-acting injectables available?	What generic INSTI drugs do not have long-acting injectables available?
64	What cities are referenced in the Buddenbrooks?	What cities are mentioned by the Buddenbrooks?	What German cities are referenced in the Buddenbrooks?	What cities outside Germany are referenced in the Buddenbrooks?
65	What runways are available in LAX?	What runways does Los Angeles International Airport have?	What runways are part of the North Airfield Complex of Los Angeles International Airport?	What runways are part of the South Airfield Complex of Los Angeles International Airport?
66	List all the musicals for which Jonathan Larson received Drama Desk Award nominations.	For which musicals did Jonathan Larson receive Drama Desk Awards nominations?	For which musicals did Jonathan Larson win a Drama Desk Award?	For which musicals did Jonathan Larson receive Drama Desk Awards nominations but did not win such an award?
67	What counties of North Dakota are located, in whole or part, within the Mountain Time Zone?	What North Dakota counties use (in whole or part) the Mountain Time Zone?	What counties of North Dakota exclusively use the Mountain Time Zone?	What counties of North Dakota are split between the Mountain Time Zone and another timezone?
68	What major singles titles has Serena Williams won?	What major titles has Serena Williams won for singles?	What major singles titles has Serena Williams won on a hard surface?	What major singles titles has Serena Williams won on a glass or clay surface?
69	For which categories was "Crouching Tiger, Hidden Dragon" nominated at the 73rd Academy Awards?	What was "Crouching Tiger, Hidden Dragon" nominated for at the 73rd Academy Awards?	For which musical categories was "Crouching Tiger, Hidden Dragon" nominated at the 73rd Academy Awards?	For which non-musical categories was "Crouching Tiger, Hidden Dragon" nominated at the 73rd Academy Awards?
70	For which of the 64th Academy Awards was Silence of the Lambs not nominated?	For which categories was Silence of the Lambs not nominated at the 64th Academy Awards?	For which categories was Silence of the Lambs not eligible at the 64th Academy Awards?	For which eligible categories was Silence of the Lambs not nominated at the 64th Academy Awards?
71	What transport brands does Flix SE operate?	What transport operators does Flix SE manage?	What bus brands does Flix SE operate?	What transport brands does Flix SE operate other than bus brands?
72	What studio albums did the Rolling Stones release?	What are the studio albums of the Rolling Stones?	On which studio albums of the Rolling Stones does Brian Jones perform?	On which studio albums of the Rolling Stones does Brian Jones not perform?
73	For which movies did Daniel Day-Lewis win a BAFTA for acting?	For which films was Daniel Day-Lewis' acting awarded a BAFTA?	For which movies did Daniel Day-Lewis win a BAFTA for his portrayal of a non-fictional character?	For which movies did Daniel Day-Lewis win a BAFTA for his portrayal of a fictional character?
74	What episodes formed the first season of Adventure Time?	What episodes of Adventure Time were in the first season?	What first-season episodes of Adventure Time had over two million U.S. viewers?	What first-season episodes of Adventure Time had two million U.S. viewers or fewer?
75	What countries do not celebrate Christmas as a national public holiday?	In which countries is Christmas not recognized as a national public holiday?	What Muslim-majority countries do not celebrate Christmas as a national public holiday?	What countries that are not Muslim-majority do not celebrate Christmas as a national public holiday?
76	Who has received the Major League Baseball Most Valuable Player Award after 2000?	Who are the recipients of the Major League Baseball Most Valuable Player Award after 2000?	Who has received the Major League Baseball Most Valuable Player Award for the American League after 2000?	Who has received the Major League Baseball Most Valuable Player Award but never for the American League after 2000?
77	Who are the current members of the Board of Directors of BP?	List all active members of the Board of Directors of BP.	Who is the current chair of the Board of Directors of BP?	Who are the current members of the Board of Directors of BP aside from the chair?
78	What are the weapons of Kālī?	Which weapons are associated with Kālī?	What are the single-bladed weapons of Kālī?	What are the weapons of Kālī that are not single-bladed?
79	What singles were released by Petula Clark besides "Downtown"?	Which songs, other than "Downtown," were released as a single by Petula Clark?	What English-language singles were released by Petula Clark besides "Downtown"?	What singles were released in languages other than English by Petula Clark?
80	What military ranks have the NATO grade OF-8?	What military ranks correspond to the NATO grade OF-8?	What navy ranks have the NATO grade OF-8?	What non-navy ranks have the NATO grade OF-8?
81	What cantons are in the Hautes-Pyrenees district?	What are the cantons of Hautes-Pyrenees?	What are the cantons of Tarbes, Hautes-Pyrenees?	What are the cantons of Hautes-Pyrenees not in Tarbes?
82	What aircraft do the Kazakh Air and Air Defense Forces utilize?	Which aircraft are operated by the Kazakh Air and Air Defense Forces?	What fixed-wing aircraft do the Kazakh Air and Air Defense Forces utilize?	What rotary-wing or non-winged aircraft do the Kazakh Air and Air Defense Forces utilize?
83	Who are the sons of Francis Daniel Crean?	List all sons of Francis Daniel Crean.	Who were the living sons of Francis Daniel Crean as of December 31st, 2024?	Which sons of Francis Daniel Crean had died before December 31st, 2024?
84	What instruments are included in the original score for "In questa reggia"?	What instruments are used in the original instrumentation of "In questa reggia"?	What string instruments are included in the original score for "In questa reggia"?	What non-string instruments are included in the original score for "In questa reggia"?
85	Who are the biological children of Jens Breivik's spouses?	What biological children do Jens Breivik's spouses have?	Who are the biological children of Jens Breivik and his spouses?	Who are the biological children of Jens Breivik's spouses that are not his?
86	What municipalities are in the Province of Catania?	What municipalities does the Province of Catania have?	What cities are in the Province of Catania?	What non-city municipalities are in the Province of Catania?
87	What mammal species are held by the Los Angeles Zoo?	What species of mammals are captive at the Los Angeles Zoo?	What herbivore mammal species are held by the Los Angeles Zoo?	What carnivore or omnivore mammal species are held by the Los Angeles Zoo?
88	What awards has Gene Wolfe received?	Which awards has Gene Wolfe been honored with?	What poetry awards has Gene Wolfe received?	What awards has Gene Wolfe received excluding those for poetry?
89	Who were the spouses of Devora Ben-Yehuda's siblings?	List all people who married Devora Ben-Yehuda's siblings.	Who were the spouses of Devora Ben-Yehuda's siblings and Devora herself?	Who were the spouses of Devora Ben-Yehuda's siblings but not of Devora herself?
90	What artists or bands have recorded a studio version of Please Don't Make My Cry?	What music groups or artists have made studio recordings of Please Don't Make My Cry?	What artist or band wrote and recorded a studio version of Please Don't Make My Cry?	What artists or bands made a studio cover of Please Don't Make My Cry?
91	What islands greater than 40 hectares are found in Loch Lomond?	What islands greater than 40 hectares are in Loch Lomond?	What inhabited islands greater than 40 hectares are in Loch Lomond?	What uninhabited islands greater than 40 hectares are in Loch Lomond?
92	Which women voiced part of Naked to the Limit, One More Time?	Which voice actresses were credited in Naked to the Limit, One More Time?	Which women voiced married characters in Naked to the Limit, One More Time?	Which women voiced unmarried characters in Naked to the Limit, One More Time?
93	Which commanders did Scipio Africanus fight against while he was commander?	Which commanders fought against Scipio Africanus as commander?	Which Carthaginian commanders fought against Scipio Africanus while he was commander?	Which non-Carthaginian commanders fought against Scipio Africanus while he was commander?
94	Which leaders are playable in Civilization V: Gods & Kings?	What leaders are featured in Civilization V: Gods & Kings?	Which playable leaders in Civilization V: Gods & Kings were new to the series?	Which playable leaders of Civilization V: Gods & Kings appeared previously in the series?
95	What are the tributaries of the Madeira River?	Which rivers and streams flow into the Madeira River?	What are the right-bank tributaries of the Madeira River?	What are the left-bank tributaries of the Madeira River?
96	What films has Ellen DeGeneres produced?	Which movies has Ellen DeGeneres been a producer of?	What full-length theatrical films has Ellen DeGeneres produced?	What TV or short movies has Ellen DeGeneres produced?
97	Who were Ip Man's students?	Which individuals studied under Ip Man?	Which of Ip Man's students died of COVID?	Which of Ip Man's students are alive or died of causes other than COVID?
98	Who are Burt Lancaster's children?	Who are the children of Burt Lancaster?	Which of Burt Lancaster's children are twins?	Which of Burt Lancaster's children are not twins?
99	What radio stations currently broadcast in Esperanto?	Which radio stations still have shows in Esperanto?	What radio stations currently broadcast exclusively in Esperanto?	What radio stations currently broadcast in Esperanto among other languages?
100	What novels did Truman Capote write?	Which novels were authored by Truman Capote?	What novels authored by Truman Capote were published during his lifetime?	What novels authored by Truman Capote were published posthumously?
101	What are the business divisions of Ford Motor Company?	List all business divisions of Ford Motor Company.	Which business divisions of Ford Motor Company focus on electric cars?	Which business divisions of Ford Motor Company do not focus on electric cars?
102	What commanders fought in the Battle of Austerlitz?	Which commanders participated in the Battle of Austerlitz?	What commanders fought for France in the Battle of Austerlitz?	What commanders fought against France in the Battle of Austerlitz?
103	What are the names of the characters from the movie E.T. The Extra-Terrestrial?	List the names of all characters featured in the movie E.T. The Extra-Terrestrial.	What are the names of the human characters from the movie E.T. The Extra-Terrestrial?	What are the names of the non-human characters from the movie E.T. The Extra-Terrestrial?
104	Which singles with Loretta Lynn reached No. 1 on the Billboard Hot Country Songs chart?	Which Loretta Lynn songs hit the top of the Billboard Hot Country Songs?	Which of Loretta Lynn's solo singles reached No. 1 on the Billboard Hot Country Songs chart?	Which of Loretta Lynn's singles in which she collaborates with other artists reached No. 1 on the Billboard Hot Country Songs chart?
105	With which tennis players has Billie Jean King won Grand Slams in doubles or mixed doubles?	With which male and female tennis players has Billie Jean King won Grand Slams in doubles?	With which tennis players has Billie Jean King won Grand Slams in doubles (excluding mixed doubles)?	With which tennis players has Billie Jean King won Grand Slams in mixed doubles?
106	Who were Johann Wolfgang von Goethe's grandparents?	Who were Johann Wolfgang von Goethe's grandmothers and grandfathers?	Who were Johann Wolfgang von Goethe's maternal grandparents?	Who were Johann Wolfgang von Goethe's paternal grandparents?
107	Which oblasts formed the Soviet Union at the time of its dissolution?	What were the Soviet oblasts at the time the union ended?	Which oblasts formed the Soviet Union at the time of its dissolution and now form part of Russian territory?	Which oblasts formed the Soviet Union at the time of its dissolution and are no longer part of Russian territory?
108	Who were the emperors of the Yuan dynasty?	List all Yuan dynasty emperors.	Which emperors of the Yuan dynasty ruled for 5 years or fewer?	Which emperors of the Yuan dynasty ruled for more than 5 years?
109	By which enzymes is methadone metabolized?	Which enzymes metabolize methadone?	By which enzymes whose associated genes are in subfamily 2 is methadone metabolized?	By which enzymes whose associated genes are not in subfamily 2 is methadone metabolized?
110	Which states contain or border Lüneburg?	Which states border or contain Lüneburg?	Which states contain Lüneburg?	Which states border Lüneburg?
111	What are the institutions of the European Union?	What are the E.U.'s institutions?	What are the legislative institutions of the European Union?	What institutions of the European Union are not legislative?
112	For what railway stations is Isambard Kingdom Brunel the architect?	Which railway stations were designed by Isambard Kingdom Brunel?	For which GWR railway stations is Isambard Kingdom Brunel the architect?	For which railway stations is Isambard Kingdom Brunel the architect, excluding GWR stations?
113	What solo studio albums were released by Jerry Lee Lewis?	What are the solo studio albums of Jerry Lee Lewis?	What solo studio albums were released by Jerry Lee Lewis on the Smash label?	What solo studio albums were released by Jerry Lee Lewis on a label other than Smash?
114	What are the YouTube Play Buttons that are conferred by YouTube?	What YouTube Play Buttons does YouTube award?	Which YouTube Play Buttons are conferred by YouTube for reaching subscriber milestones under 1 million?	Which YouTube Play Buttons are conferred by YouTube for reaching subscriber milestones of 1 million and above?
115	What Asian television channels have English as their primary language?	Which Asian TV channels air programs mainly in English?	What Asian television channels broadcasting 24 hour news have English as their primary language?	What Asian television channels have English as their primary language excluding 24 hour news stations?
116	Which paintings depict Dante Alighieri?	List all paintings of Dante Alighieri.	Which paintings depict Dante Alighieri alone?	Which paintings depict Dante Alighieri with someone else?
117	Which ministers of the Weimar Republic were assassinated?	Which Weimar Republic ministers were murdered?	Which Jewish ministers of the Weimar Republic were assassinated?	Which Gentile ministers of the Weimar Republic were assassinated?
118	Which films did Mike Myers write or co-write?	For which films is Mike Myers credited as a writer?	Which films did Mike Myers write alone?	Which films did Mike Myers co-write with others?
119	Which operas have been performed in Esperanto?	List all operas sung in Esperanto.	Which operas have been translated to and performed in Esperanto?	Which operas were originally written in Esperanto?
120	What are the top 10 largest cities by population in the European Union currently?	What are the ten most populous cities in the EU currently?	Which of the current top 10 largest cities by population in the European Union are capital cities?	Which of the current top 10 largest cities by population in the European Union are not capital cities?
121	What island nations are members of the African Union?	Which members of the African Union are islands?	What island nations in the Indian Ocean are members of the African Union?	What island nations are members of the African Union excluding those in the Indian Ocean?
122	What sports have an event called a "world cup"?	Which sports have a world cup?	What aquatic sports have an event called a "world cup"?	What terrestrial sports have an event called a "world cup"?
123	What fictional detectives are called "Sam"?	List all fictional detectives named 'Sam'.	What fictional, satirical detectives are called "Sam"?	What fictional, non-satirical detectives are called "Sam"?
124	What are the capital cities of countries in North America?	What are the North American national capitals?	What are the capital cities of countries in North America that are in NATO?	What are the capital cities of countries in North America that are not in NATO?
125	What sports were featured in the Summer Olympics for the first or second time in 2024?	What sports that were part of the 2024 Summer Olympics appeared at most once before?	What sports were featured in the Summer Olympics for the first time in 2024?	What sports were featured in the Summer Olympics for the second time in 2024?
126	With which U.N. member states does France have territorial disputes?	France contests territory with which United Nations member states?	With which U.N. member states does France have mainland territorial disputes?	With which U.N. member states does France have territorial disputes over islands?
127	What are the classes of heads of mission defined by the Vienna Convention on Diplomatic Relations?	According to the Vienna Convention on Diplomatic Relations, what are the classes of heads of mission?	What are the classes of heads of mission accredited to heads of state according to the Vienna Convention on Diplomatic Relations?	What are the classes of heads of mission accredited to foreign ministers according to the Vienna Convention on Diplomatic Relations?
128	What are the stars within 10 light years of the Earth?	What stars are within 10 light years from Earth?	What are the stars in multi-star systems within 10 light years of the Earth?	What are the single stars within 10 light years of the Earth?
129	Which cryptocurrencies had a market capitalization above USD$5 billion as of December 31st, 2024?	What cryptocurrencies had a market cap over five billion U.S. dollars by year's end 2024?	Which cryptocurrencies had a market capitalization above USD$5 billion but under USD$100 billion as of December 31st, 2024?	Which cryptocurrencies had a market capitalization of USD$100 billion or more as of December 31st, 2024?
130	What breeds of dog originated in Germany?	List all German dog breeds.	What breeds of dog that originated in Germany have "German" in their English name?	What breeds of dog that originated in Germany do not have "German" in their English name?
131	What are the Takama languages?	List all Takama languages.	What Takama languages are classified as Nyamwezic?	What Takama languages are not classified as Nyamwezic?
132	What are the federal states of the United States?	Which federal states are in the US?	What federal states of the United States have only one word in their name?	What federal states of the United States have multiple words in their name?
133	What are the metropolitan cities of South Korea, including special cities?	List all special and metropolitan cities of South Korea.	What are the special metropolitan cities of South Korea?	What are the metropolitan cities of South Korea excluding the special ones?
134	What reserve currencies held a share above 1% of the worldwide official foreign exchange reserves in 2024?	What currencies accounted for more than 1% of the worldwide official foreign exchange reserves in 2024?	What European currencies held a share above 1% of the worldwide official foreign exchange reserves in 2024?	What non-European currencies held a share above 1% of the worldwide official foreign exchange reserves in 2024?
135	What active U.S. newspapers have "Tribune" in their name?	Which contemporary newspapers in the United States have "Tribune" in their title?	What active U.S. newspapers have "Tribune" and their location in their name?	What active U.S. newspapers have "Tribune" but not their location in their name?
136	Which operas of Giuseppe Verdi debuted at Teatro La Fenice?	Which Verdi operas were premiered at Teatro La Fenice?	Which operas of Giuseppe Verdi based on works by Victor Hugo debuted at Teatro La Fenice?	Which operas of Giuseppe Verdi not based on works by Victor Hugo debuted at Teatro La Fenice?
137	What are the National Historic Trails of the United States?	What National Historic Trails are found in the U.S.?	What National Historic Trails of the United States are longer than 1000 km?	What National Historic Trails of the United States are 1000 km or shorter?
138	What cities with a current population over one hundred thousand are located within 100 km of the Caspian Sea?	Which cities, currently with more than 100,000 inhabitants, are situated within 100 km of the Caspian Sea?	What cities with a current population over one hundred thousand are on the coast of the Caspian Sea?	What cities with a current population over one hundred thousand are located within 100 km of the Caspian Sea but are not on its coast?
139	What are the federal holidays of the United States of America?	What federal holidays does the U.S. observe?	What are the religious federal holidays of the United States of America?	What are the secular federal holidays of the United States of America?
140	What are the crystal classes?	List all crystal classes.	What crystal classes are in the hexagonal family?	What crystal classes are not in the hexagonal family?
141	What are the suborders of Coleoptera?	What suborders make up Coleoptera?	What are the extant suborders of Coleoptera?	What are the extinct suborders of Coleoptera?
142	Who were the crew members of the Enola Gay that dropped an atomic bomb on Hiroshima?	Who were the crew of the Enola Gay for the flight that hit Hiroshima with a nuclear bomb?	Who was the captain of the Enola Gay for the flight that hit Hiroshima with a nuclear bomb?	Who was on the crew of the Enola Gay for the flight that hit Hiroshima with a nuclear bomb aside from the captain?
143	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in March or April?	Which years between 2000 and 2020, inclusive, had Western Easter Sunday in March or April?	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in March?	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in April?
144	What are the named islands of Yellowstone National Park?	What named islands are located in Yellowstone National Park?	What islands located in Yellowstone National Park are named after people?	What islands located in Yellowstone National Park are not named after people?
145	Vancouver has which sister cities?	Which sister cities does Vancouver have?	Which Asian sister cities does Vancouver have?	Which non-Asian sister cities does Vancouver have?
146	What commanders fought in the North African Campaign?	Which commanders participated in the North African Campaign?	What Axis commanders fought in the North African Campaign?	What Allied commanders fought in the North African Campaign?
