q1	q2	Q1	Q2	Q3	Q4	Type		0: fully containment
http://qawiki.org/entity/Q390		What collections outside of Africa exhibit Benin Bronzes?	Which locations not in Africa show Benin Bronzes?	What national museums outside of Africa exhibit Benin Bronzes?	What collections outside of Africa that are not national museums exhibit Benin Bronzes?	0		
http://qawiki.org/entity/Q245		What colors are in the French flag?	What are the colours of the flag of France?	What colors are in both the French flag and the Italian flag?	What colors are in the French flag but not the Italian flag?	0		
		What countries are in Europe?	List all European countries	What countries are in the Schengen area?	Which European countries are not part of the Schengen area?	0		
		What countries are in the EU?	List all European Union countries	What countries are EU Founding Members?	What countries are in the EU but are not founding members?	0		
http://qawiki.org/entity/Q349	http://qawiki.org/entity/Q566	What countries border Ghana?	What countries are neighbors of Ghana?	What countries that border Ghana have a higher population than Ghana?	What countries that border Ghana have a lower or equal population compared with Ghana?	0		
http://qawiki.org/entity/Q194		What diseases are associated with the gene FGF14?	What diseases relate to FGF14?	What diseases affecting pregnancy are associated with the gene FGF14?	What diseases, excluding those affecting pregnancy, are associated with the gene FGF14?	0		
http://qawiki.org/entity/Q318		What documentaries are about whaling?	List whaling documentaries	What documentaries released on or after 2010 are about whaling?	What documentaries released before 2010 are about whaling?	0		
http://qawiki.org/entity/Q277		What drinks are from Africa?	List African drinks	What alcoholic drinks are from Africa?	What non-alcoholic drinks are from Africa?	0		
http://qawiki.org/entity/Q480		What elementary particles interact with the strong force and the weak force?	What elementary particles interact with the weak force and the strong force?	Which elementary particles with negative charge interact with both the strong and weak forces?	Which elementary particles with neutral or positive charge interact with both the strong and weak forces?	0		
http://qawiki.org/entity/Q476	http://qawiki.org/entity/Q480	What elementary particles interact with the weak force?	Which fundamental particles are mediated by the weak interaction?	What elementary particles interact with the strong force and the weak force?	What elementary particles interact with the weak force but not the strong force?	0		
		What movies were directed by Mira Nair?	What films were directed by Mira Nair?	What primarily Hindi-language movies were directed by Mira Nair?	What movies directed by Mira Nair are not primarily in the Hindi language?	0		
http://qawiki.org/entity/Q396		What hybrid species can have offspring?	Which hybrid species are fertile?	What mammal hybrid species can have offspring?	What non-mammal hybrid species can have offspring?	0		
http://qawiki.org/entity/Q385		What languages did Kofi Annan speak?	What languages did Kofi Annan know?	What languages indigenous to Ghana did Kofi Annan speak?	What languages not indigenous to Ghana did Kofi Annan speak?	0		
http://qawiki.org/entity/Q490		What montes form the Tharsis Montes?	List the Tharsis Montes	Which montes form Tharsis Montes are taller than 10000 metres?	Which montes in the Tharsis Montes are not taller than 1000 metres?	0		
http://qawiki.org/entity/Q341		What movies are in the Matrix series?	List Matrix movies	In which movies of the Matrix series does Bane appear?	In which movies of the Matrix series does Bane not appear?	0		
http://qawiki.org/entity/Q239		What museums are in Addis Ababa?	What museums are located in Addis Ababa?	What art museums are in Addis Ababa?	What museums in Addis Ababa are not art museums?	0		
http://qawiki.org/entity/Q584	http://qawiki.org/entity/Q585	What novels were written by Harper Lee?	What novels are by Harper Lee?	What novels written by Harper Lee were adapted into movies?	What novels written by Harper Lee were not adapted into movies?	0		
		What officially recognized dwarf planets orbit the Sun?	What dwarf planets are confirmed to orbit the Sun?	What officially recognized dwarf planets orbit the Sun and have a moon?	What officially recognized dwarf planets orbit the Sun but do not have a moon?	1		
http://qawiki.org/entity/Q444		What Ogham stones can be found in County Clare?	What Ogham stones does Co. Clare have?	What 5th-century Ogham stones are located in County Clare?	What Ogham stones found in County Clare are not from the 5th century?	0		
http://qawiki.org/entity/Q391		What operas are based on works by Alexander Pushkin?	What operas are based on works by Pushkin?	What operas based on works by Alexander Pushkin debuted in the Mariinsky Theatre?	What operas based on works by Alexander Pushkin debuted in a place other than the Mariinsky Theatre?	0		
http://qawiki.org/entity/Q549	http://qawiki.org/entity/Q550	What other buildings have the same architect as the Tsentrosoyuz Building?	What other buildings were by the same architect as the Tsentrosoyuz Building?	What other buildings that are not functionalist have the same architect as the Tsentrosoyuz Building?	What other funcionalist buildings have the same architect as the Tsentrosoyuz Building?	0		
http://qawiki.org/entity/Q264	http://qawiki.org/entity/Q475	What papers did Amrapali Zaveri publish?	What papers has Amrapali Zaveri published?	What papers did Amrapali Zaveri publish as first author?	What papers did Amrapali Zaveri write but not as first author?	0		
http://qawiki.org/entity/Q313		What poets were Holocaust victims?	Which Holocaust victims were poets?	What Polish poets were Holocaust victims?	What non-Polish poets were Holocaust victims?	0		
http://qawiki.org/entity/Q307		What proteins are found in dendrites?	Dendrites contain what proteins?	What membrane proteins are found in dendrites of neurons?	What non-membrane proteins are found in dendrites of neurons?	0		
http://qawiki.org/entity/Q315		What proteins are involved in retina homeostasis?	Which proteins play a role in retina homeostasis?	What membrane proteins are involved in retina homeostasis?	What non-membrane proteins are involved in retina homeostasis?	0		
http://qawiki.org/entity/Q337		What radio stations broadcast specifically in Boston?	List radio stations broadcasting only in Boston	What university-owned radio stations broadcast specifically in Boston?	What radio stations broadcast specifically in Boston but are not owned by universities?	0		
http://qawiki.org/entity/Q346		What religions promote vegetarianism?	What religions restrict eating meat?	What religions require vegetarianism under all circumstances?	What religions promote vegetarianism but do not require it under all circumstances?	0		
http://qawiki.org/entity/Q354	http://qawiki.org/entity/Q355	What species are in the order Monotremata?	What species are monotremes?	What extant species are in the order Monotremata?	What extinct species are in the order Monotremata?	0		
		What species are in the same family as Homo sapiens?	What species share the family of Homo sapiens?	What extant species are in the same family as Homo sapiens?	What extinct species are in the same family as Homo sapiens?	0		
http://qawiki.org/entity/Q359		What species are in the same genus as the monkeypox virus?	What viruses share the same genus as monkeypox?	What species in the same genus as the monkeypox virus have had cases of human infection?	What species in the same genus as the monkeypox virus have not had cases of human infection?	0		
http://qawiki.org/entity/Q309		What team sports use sticks?	In which sports do teams use sticks?	Which winter team sports use sticks? 	Which team sports use sticks excluding winter sports?	0		
http://qawiki.org/entity/Q176		What video games are made by the developer of League of Legends?	What video games did the developers of League of Legends develop?	Which video games produced by the League of Legends developer were released in 2020 or later?	Which video games produced by the League of Legends developer were released before 2020?	0		
		What volcanoes in Iceland are currently active?	List Icelandic active volcanos	What volcanos in Iceland are currently active and taller than 1000 metres?	What volcanos in Iceland are currently active and not taller than 1000 metres?	0		
		What weapons were used in mass shootings in the United States?	List weapons used in American shootings sprees	What semi-automatic weapons were used in mass shootings in the United States?	What non-semi-automatic weapons were used in mass shootings in the United States?	0		
http://qawiki.org/entity/Q179		What whisky distilleries are based in Ireland?	Give me all whiskey distilleries in Ireland	What whisky distilleries are based in Cork, Ireland?	What whisky distilleries are based in Ireland outside of Cork?	0		
http://qawiki.org/entity/Q616	http://qawiki.org/entity/Q283	Where has Tim Berners-Lee worked?	Where has Tim Berners-Lee been employed?	Where does Tim Berners-Lee currently work?	Where has Tim Berners-Lee worked in the past?	0		
http://qawiki.org/entity/Q207		Which actors are Scientologists?	What actors are followers of Scientology?	Which actors who are Scientologists have a star on the Hollywood Walk of Fame?	Which actors who are Scientologists do not have a star on the Hollywood Walk of Fame?	0		
http://qawiki.org/entity/Q472		Which Asian universities have female rectors?	What universities in Asia have female rectors?	Which Asian universities with female rectors receive public funds?	Which Asian universities with female rectors do not receive public funds?	0		
http://qawiki.org/entity/Q415		Which association football players have at least two citizenships?	Which football players have more than one nationality?	Which association football players have at least three citizenships?	Which association football players have exactly two citizenships?	0		
http://qawiki.org/entity/Q547	http://qawiki.org/entity/Q546	Which buildings are brutalist?	Which buildings exemplify brutalism?	Which buildings combine functionalism and brutalism?	Which brutalist buildings do not incorporate functionalism?	0		
http://qawiki.org/entity/Q548	http://qawiki.org/entity/Q546	Which buildings are funcionalist?	Which buildings exemplify functionalism?	Which buildings combine functionalism and brutalism?	Which functionalist buildings are not brutalist?	0		
http://qawiki.org/entity/Q575	http://qawiki.org/entity/Q576	Which carbon isotopes can decay into boron isotopes?	What isotopes of carbon can decay into isotopes of boron?	Which carbon isotopes can decay into boron isotopes via electron capture?	Which carbon isotopes can decay into boron isotopes but not by electron capture?	0		
http://qawiki.org/entity/Q577	http://qawiki.org/entity/Q575	Which carbon isotopes can recursively decay into boron isotopes?	What isotopes of carbon can recursively decay into isotopes of boron?	Which carbon isotopes can directly decay into boron isotopes?	Which carbon isotopes can recursively but not directly decay into boron isotopes?	1		
http://qawiki.org/entity/Q362		Which chess openings are variations of the Sicilian Defence?	What openings can follow from a Sicilian?	Which chess openings that are variations of the Sicilian Defence involve the move cxd4?	Which chess openings that are variations of the Sicilian Defence do not involve the move cxd4?	0		
http://qawiki.org/entity/Q183		Which Chilean companies have U.S. parent companies?	What Chilean companies have American parent companies?	Which Chilean energy companies have U.S. parent companies?	Which Chilean companies, excluding energy companies, have U.S. parent companies?	0		
http://qawiki.org/entity/Q135		Which cities are named after an apostle?	What cities are named in honor of an apostle?	Which cities named after an apostle have a population of at least one million?	Which cities named after an apostle have a population of less than one million?	0		
http://qawiki.org/entity/Q482	http://qawiki.org/entity/Q483	Which civil wars started in the nineteenth century?	What civil wars began in the 19th century?	Which civil wars started in South America in the nineteenth century?	Which civil wars started in the nineteenth century outside of South America?	0		
http://qawiki.org/entity/Q481	http://qawiki.org/entity/Q483	Which civil wars took place in South America?	What civil wars happened in South America?	Which civil wars started in South America in the nineteenth century?	Which civil wars took place in South America but did not start in the 19th century?	0		
		Which clubs did Lionel Messi play for?	With which clubs did Lionel Messi play?	Which European clubs did Lionel Messi play for?	Which clubs outside of Europe did Lionel Messi play for?	0		
http://qawiki.org/entity/Q160		Which colors are named after fruits?	Which colors take their name from fruits?	What colors are named after exotic fruits?	What colors are named after fruits that are not exotic fruits?	0		
http://qawiki.org/entity/Q133		Which conferences focus on Machine Learning?	List machine learning conferences	Which conferences that focus on Machine Learning were formed more than 40 years ago?	Which conferences that focus on Machine Learning were formed in the last 40 years?	0		
http://qawiki.org/entity/Q175		Which conferences were organized by Turing Award winners?	What conferences had a Turing Award winner organizing them?	Which conferences have been organized by Turing Award winners since 2016?	Which conferences were organized by Turing Award winners before 2016?	0		
http://qawiki.org/entity/Q154		Which countries are governed by a monarchy?	Which countries have a monarchy?	Which countries are governed by a constitutional monarchy?	Which countries are governed by a monarchy without a constituion?	0		
		Which countries are in Latin America?	List Latin American countries	What are the Spanish-speaking Latin American countries?	What are the non-Spanish-speaking Latin American countries?	0		
http://qawiki.org/entity/Q512		Which countries are in the Balkan region?	What are Balkan countries?	Which European Union countries are in the Balkan region?	Which non-European Union countries are in the Balkan region?	0		
http://qawiki.org/entity/Q117		Which countries are named after plants?	Which countries' names are taken from plants?	Which island countries are named after plants?	Which mainland countries are named after plants?	0		
http://qawiki.org/entity/Q589	http://qawiki.org/entity/Q593	Which countries are part of the G20?	Which nations are in the G20?	Which countries are part of the G20 and the Arab League?	Which countries are part of the G20 but not the Arab League?	0		
http://qawiki.org/entity/Q222		Which countries border South Sudan?	Which countries does South Sudan border?	What country that borders South Sudan borders the most countries?	What countries border South Sudan excluding that which borders the most countries?	0		
http://qawiki.org/entity/Q287		Which countries changed their driving side from left to right?	Which countries changed from driving on the left to driving on the right?	Which countries changed their driving side from left to right due to being occupied or annexed?	Which countries changed their driving side from left to right but not due to being occupied or annexed?	0		
http://qawiki.org/entity/Q113		Which countries currently have multiple capitals?	Which countries have more than one capital city today?	Which extant countries with multiple capitals are recognized by all of their neighbours?	Which extant countries with multiple capitals are not recognized by all of their neighbours?	0		
http://qawiki.org/entity/Q173		Which countries drive on the left?	In which countries does traffic drive on the left?	Which countries drive on the left in Europe?	Which countries drive on the left outside of Europe?	0		
http://qawiki.org/entity/Q153	http://qawiki.org/entity/Q597	Which countries have a female head of state?	What countries have a woman as head of state?	Which Asian countries have a female head of state?	Which non-Asian countries have a female head of state?	0		
http://qawiki.org/entity/Q407		Which countries have diplomatic relations with Chile?	Which countries does Chile have diplomatic relations with?	Which European countries have diplomatic relations with Chile?	Which non-European countries have diplomatic relations with Chile?	1		
http://qawiki.org/entity/Q233		Which countries have Islam as an official religion?	In which countries is Islam an official religion?	Which countries in Asia have Islam as an official religion?	Which countries outside of Asia have Islam as an official religion?	0		
http://qawiki.org/entity/Q74		Which countries have won a Cricket World Cup?	Which countries have won a World Cup in Cricket?	Which countries in Asia have won a Cricket World Cup?	Which countries outside of Asia have won a Cricket World Cup?	0		
http://qawiki.org/entity/Q72		Which countries have won a FIFA World Cup?	List all countries that won a FIFA World Cup	Which countries in Europe have won a FIFA World Cup?	Which non-European countries have won a FIFA World Cup?	0		
http://qawiki.org/entity/Q81		Which countries have won a Rugby World Cup?	Give me all countries that have won a Rugby World Cup	Which primarily southern-hemisphere countries have won a Rugby World Cup?	Which primarily northern-hemisphere countries have won a Rugby World Cup?	0		
http://qawiki.org/entity/Q227		Which countries observe Victory in Europe day?	In which countries is VE day commemorated?	Which countries in the EU observe Victory in Europe day?	Which countries outside of the EU observe Victory in Europe Day?	0		
http://qawiki.org/entity/Q167		Which countries use the same plug as Canada?	What countries have the same power outlets as Canada?	Which countries use the same plug as Canada and share an official language with Canada?	Which countries use the same plug as Canada but do not share an official language with Canada?	0		
http://qawiki.org/entity/Q204		Which countries were dissolved in the 1990s?	What countries ended in the 90s?	Which European countries were dissolved in the 1990s?	Which non-European countries were dissolved in the 1990s?	0		
http://qawiki.org/entity/Q159		Which culinary nuts are not botanical nuts?	What culinary nuts are not botanical?	Which culinary nuts are not botanical nuts nor drupes?	Which culinary nuts are drupes but not botanical nuts?	0		
http://qawiki.org/entity/Q454		Which death row prisoners had pizza as their last meal?	Which executed inmates had pizza for their last meal?	Which death row prisoners executed by hanging had pizza as their last meal?	Which death row prisoners executed by a method other than hanging had pizza as their last meal?	0		
http://qawiki.org/entity/Q257		Which desserts contain cinnamon?	What desserts use cinnamon?	Which American desserts contain cinnamon?	Which non-American desserts contain cinnamon?	0		
http://qawiki.org/entity/Q208		Which dog breeds originated in China?	What canine breeds come from China?	Which toy dog breeds originated in China? 	Which non-toy dog breeds originated in China?	0		
http://qawiki.org/entity/Q537		Which drugs for treating atrial fibrillation are contraindicated in patients taking lovastatin?	Which medications for treating atrial fibrillation are contraindicated in people who take lovastatin?	Which antiarrhythmic drugs for atrial fibrillation are contraindicated in patients taking lovastatin?	Which non-antiarrhythmic drugs for atrial fibrillation are contraindicated in patients taking lovastatin?	0		
http://qawiki.org/entity/Q465		Which Ethiopian political parties were founded since 2000?	Which Ethiopian political parties started since 2000?	Which Ethiopian political parties founded since 2000 are still active?	Which Ethiopian political parties founded since 2000 are no longer active?	0		
http://qawiki.org/entity/Q564		Which football midfielders born in Senegal have played for France?	Which French midfielders were born in Senegal?	Which football midfielders born in Senegal have played for France and Inter Milan?	Which football midfielders born in Senegal have played for France excluding those who played for Inter Milan?	0		
http://qawiki.org/entity/Q563	http://qawiki.org/entity/Q565	Which football players born in Senegal have played for France?	Which French footballers were born in Senegal?	Which football midfielders born in Senegal have played for France?	Which football players born in Senegal have played for France excluding midfielders?	0		
		Which heads of state died from COVID-19 complications?	Which heads of state passed away due to COVID-19?	Which heads of state died in office from COVID-19 complications?	Which heads of state died from COVID-19 complications but not while in office?	0		
http://qawiki.org/entity/Q163		Which honorary mayors were not human?	List honorary mayors who were not people	Which honorary mayors in Alaska were not human?	Which honorary mayors outside Alaska were not human?	0		
http://qawiki.org/entity/Q611		Which horror movies were directed by siblings?	Which horror films were directed by brothers or sisters?	Which horror movies were directed by twin siblings?	Which horror movies were directed by non-twin siblings?	0		
http://qawiki.org/entity/Q328		What languages are pro-drop?	What languages drop pronouns?	Which pro-drop languages use Latin script?	Which pro-drop languages do not use Latin script?	0		
http://qawiki.org/entity/Q104		Which mountains are on Mars?	List all Martian mountains	Which Martian mountains are in the Tharsis Region?	Which Martian mountains are not in the Tharsis Region?	0		
http://qawiki.org/entity/Q336		Which mountains were first ascended in the last eighty years?	What mountains were first summited in the last 80 years?	Which mountains first ascended in the last eighty years are plutons?	Which mountains first ascended in the last eighty years are not plutons?	0		
http://qawiki.org/entity/Q259		Which movies are based on works written by Philip K. Dick?	What films adapt the writing of Philip K. Dick?	Which movies based on works written by Philip K. Dick feature androids?	Which movies based on works written by Philip K. Dick do not feature androids?	0		
http://qawiki.org/entity/Q200		Which movies directed by Chloé Zhao are not MPAA-rated R?	Which films not rated R did Chloe Zhao direct?	Which movies directed by Chloé Zhao are not MPAA-rated R and participated in Cannes?	Which movies directed by Chloé Zhao are not MPAA-rated R and did not participate in Cannes?	0		
http://qawiki.org/entity/Q421	http://qawiki.org/entity/Q202	Which movies star Uma Thurman?	In what films has Uma Thurman acted?	Which science fiction movies star Uma Thurman?	Which non-science fiction movies star Uma Thurman?	0		
http://qawiki.org/entity/Q206		Which movies were filmed in Yemen?	What films used locations in Yemen?	Which documentary movies were filmed in Yemen?	Which non-documentary movies were filmed in Yemen?	0		
http://qawiki.org/entity/Q414		Which musical groups formed the same year as Soda Stereo?	What musical groups started the same year that Soda Stereo started?	Which rock musical groups formed the same year as Soda Stereo?	Which non-rock musical groups formed the same year as Soda Stereo?	0		
		Which musicians are from Nordic Countries?	List Nordic musicians	Which Nordic musicians are from Sweden?	Which musicians are from Nordic countries excluding Sweden?	0		
http://qawiki.org/entity/Q553	http://qawiki.org/entity/Q554	Which natural languages are not Indo-European?	What human languages are not Indo-European?	Which official languages of the European Union are not Indo-European?	Which natural languages are not Indo-European and not official languages of the European Union?	0		
http://qawiki.org/entity/Q285		Which New Zealand cyclists participated in the 2000 Summer Olympics?	Which cyclists from New Zealand took part in the 2000 Olympics?	Which New Zealand cyclists taller than 180cm participated in the 2000 Summer Olympics?	Which New Zealand cyclists who are at most 180cm tall participated in the 2000 Summer Olympics?	0		
http://qawiki.org/entity/Q438		Which non-human animals have been sent into space?	What animals were launched into space?	Which non-human primates have been sent into space?	Which non-human animals have been sent into space excluding primates?	0		
http://qawiki.org/entity/Q445		Which online streamers studied at the University of Waterloo?	What online streamers were educated at the University of Waterloo?	Which online streamers who studied at the University of Waterloo live in Vancouver?	Which online streamers who studied at the University of Waterloo live outside Vancouver?	0		
http://qawiki.org/entity/Q619		Which paintings by Camille Pissarro were stolen?	What artworks by Camille Pissarro were subject to theft?	Which stolen paintings by Camille Pissarro were held at some point in Alte Nationalgalerie?	Which stolen paintings by Camille Pissarro were never held in Alte Nationalgalerie?	0		
http://qawiki.org/entity/Q275	http://qawiki.org/entity/Q607	Which parks are in Perth?	List parks in Perth	Which parks in Perth are State Registered Places?	Which parks in Perth are not State Registered Places?	0		
	http://qawiki.org/entity/Q182	Which people have an element named after them?	Which people who had a chemical element named in their honor?	Which people had an element named after them during their lifetime?	Which people had an element named after them posthumously?	1		
http://qawiki.org/entity/Q442		Which Pokémon are fire and bug types?	Which Pokémon are bug and fire types?	Which Generation VIII Pokémon are fire and bug types?	Which fire and bug type Pokémon are from generations other than Generation VIII?	0		
http://qawiki.org/entity/Q94		Which political parties was Abraham Lincoln a member of?	Abe Lincoln was a member of which political parties?	Which political parties that Abraham Lincoln was a member of still exist today?	Which political parties that Abraham Lincoln was a member of no longer exist?	0		
http://qawiki.org/entity/Q164		Which polygonal numbers less than 100 are also pronic?	What numbers less than 100 are both pronic and polygonal?	Which polygonal numbers less than or equals 40 are also pronic?	Which polygonal numbers greater than 40 but less than 100 are also pronic?	0		
http://qawiki.org/entity/Q312		Which popes were married?	Which popes had spouses?	Which popes were married before ordination?	Which popes were married after ordination but not before?	0		
http://qawiki.org/entity/Q203		Which relational database management systems are open source?	What open source relational database engines are there?	Which relational database management systems are open source and written in C or its variants?	Which relational database management systems are open source and written in a language other than C or its variants?	0		
http://qawiki.org/entity/Q423		Which rugby union teams have had Chilean players?	Which rugby union clubs have had players from Chile?	Which European rugby union teams have had Chilean players?	Which non-European rugby union teams have had Chilean players?	0		
http://qawiki.org/entity/Q543	http://qawiki.org/entity/Q544	Which saints died by crucifixion?	Which saints were crucified?	Who was the last saint to die by crucifixion?	Which saints died by crucifixion excluding the last one?	0		
http://qawiki.org/entity/Q542		Which saints have their feast day on Desmond Tutu's birthday?	What saints share their feast day with Desmond Tutu's birthday?	Which Catholic saints have their feast day on Desmond Tutu's birthday?	Which non-Catholic saints have their feast day on Desmond Tutu's birthday?	0		
http://qawiki.org/entity/Q540		Which saints have their feast day on June 15th?	What saints' feast day is on June 15?	Which saints with their feast day on June 15th are considered martyrs?	Which saints with their feast day on June 15th are not considered martyrs?	0		
http://qawiki.org/entity/Q615		Which sauces are named after Italian cities?	What sauces are named after cities in Italy?	Which Italian sauces are named after Italian cities?	Which sauces named after Italian cities are not Italian?	0		
http://qawiki.org/entity/Q265		Which sauces contain onion and garlic?	What sauces have garlic and onion?	Which Italian sauces contain both onion and garlic?	Which non-Italian sauces contain both onion and garlic?	0		
http://qawiki.org/entity/Q202		Which science fiction movies star Uma Thurman?	In what sci fi films has Uma Thurman acted?	Which 1990s science fiction movies star Uma Thurman?	Which science fiction movies starring Uma Thurman were released outside of the 1990s?	0		
		Which series or movies were directed by alumni of the University of Bergen?	Which films or TV series were directed by University of Bergen alumni?	Which documentary series or movies were directed by alumni of the University of Bergen?	Which non-documentary series or movies were directed by alumni of the University of Bergen?	0		
http://qawiki.org/entity/Q139		Which Simpsons characters were not born in Springfield?	Which Simpsons characters were born outside Springfield?	Which female Simpsons characters were not born in Springfield?	Which Simpsons characters were not born in Springfield excluding female characters?	0		
http://qawiki.org/entity/Q613		Which smartphones are made by Chinese companies headquartered in Dongguan?	What smartphones are manufactured by Chinese companies with headquarters in Dongguan?	Which smartphones made by Chinese companies headquartered in Dongguan use ColorOS?	Which smartphones are made by Chinese companies headquartered in Dongguan do not use ColorOS?	0		
http://qawiki.org/entity/Q602	http://qawiki.org/entity/Q123	Which species are endemic to Chile?	What species are only found in Chile?	Which species endemic to Chile are endangered?	Which species endemic to Chile are not endangered?	0		
http://qawiki.org/entity/Q570	http://qawiki.org/entity/Q118	Which telescopes are based in Chile or countries that border Chile?	Which telescopes are based in Chile or in countries that neighbor Chile?	Which telescopes are based in Chile?	Which telescopes are based in countries that border Chile?	0		
http://qawiki.org/entity/Q118		Which telescopes are based in Chile?	What telescopes are located in Chile?	Which optical telescopes are based in Chile?	Which non-optical telescopes are based in Chile?	0		
		Which Turing Award winners were born in Europe?	Who born in Europe has won a Turing Award?	Which European Turing Award winners were born in Ireland or the U.K.?	Which European Turing Award winners were not born in Ireland or the U.K.?	0		
http://qawiki.org/entity/Q155	http://qawiki.org/entity/Q599	Which universities are based in Peru?	What universities are in Peru?	Which universities based in Peru have been established since 1950?	Which universities based in Peru were established before 1950?	0		
http://qawiki.org/entity/Q599		Which universities based in Peru were established since 1950?	What universities in Peru were founded since 1950?	Which public universities in Peru have been established since 1950?	Which non-public universities in Peru have been established since 1950?	0		
http://qawiki.org/entity/Q114		Which video games are known to be NP-complete?	What video games are NP-complete?	Which puzzle video games are known to be NP-complete?	Which video games are known to be NP-complete aside from puzzle games?	0		
http://qawiki.org/entity/Q106		Which video games have a fox character?	What video games have a character that is a fox?	Which video games published by Nintendo have a fox character?	Which video games have a fox character excluding those published by Nintendo?	0		
http://qawiki.org/entity/Q416		Which video games have won the award of Best Esports Game of the Year at The Game Awards?	Which games have been awarded the Best Esports Game of the Year?	Which video games that have won the award of Best Esports Game of the Year at The Game Awards have a sequel?	Which video games that have won the award of Best Esports Game of the Year at The Game Awards do not have a sequel?	0		
		Which wars took place in South America?	What wars happened in South America?	Which civil wars took place in South America?	Which international wars took place in South America?	0		
http://qawiki.org/entity/Q177		Which writers speak French, Arabic and Japanese?	Which authors speak French, Arabic and Japanese?	Which writers speak English, French, Arabic and Japanese?	Which writers speak French, Arabic, and English but do not speak Japanese?	0		
http://qawiki.org/entity/Q614		Which YouTube channels with more than 500,000 subscribers talk about math?	List YouTube maths channels with more than 500,000 followers	Which English-language YouTube channels with more than 500,000 subscribers talk about math?	Which YouTube channels with more than 500,000 subscribers talk about math in languages other than English?	0		
http://qawiki.org/entity/Q452		Who are Elon Musk's ex-spouses?	Who are Elon Musk's past spouses?	Which of Elon Musk's ex-spouses were married to him multiple times?	Which of Elon Musk's ex-spouses were married to him only once?	0		
http://qawiki.org/entity/Q462	http://qawiki.org/entity/Q461	Who are the editors of EMMA?	Who are EMMA's editors?	Who are the editors-in-chief of EMMA?	Who are the editors of EMMA excluding the editors-in-chief?	0		
