dataset,llm,set_pair,n_questions_with_partial_match,n_partial_match_pairs
LC-QuAD,gpt-4.1-nano-2025-04-14,A2×A3,20,34
LC-QuAD,gpt-4.1-nano-2025-04-14,A2×A4,19,31
LC-QuAD,gpt-4.1-nano-2025-04-14,A3×A4,12,20
LC-QuAD,gpt-4o,A1×A2,20,49
LC-QuAD,gpt-4o,A1×A3,13,30
LC-QuAD,gpt-4o,A1×A4,21,55
LC-QuAD,gpt-4o,A2×A3,17,41
LC-QuAD,gpt-4o,A2×A4,17,60
LC-QuAD,gpt-4o,A3×A4,7,19
LC-QuAD,gpt-5,A1×A2,22,131
LC-QuAD,gpt-5,A1×A3,15,46
LC-QuAD,gpt-5,A1×A4,31,108
LC-QuAD,gpt-5,A2×A3,17,59
LC-QuAD,gpt-5,A2×A4,32,111
LC-QuAD,gpt-5,A3×A4,7,11
LC-QuAD,gpt-5-mini,A1×A2,14,107
LC-QuAD,gpt-5-mini,A1×A3,10,42
LC-QuAD,gpt-5-mini,A1×A4,21,69
LC-QuAD,gpt-5-mini,A2×A3,9,51
LC-QuAD,gpt-5-mini,A2×A4,20,76
LC-QuAD,gpt-5-mini,A3×A4,5,16
LC-QuAD,gpt-5-nano,A1×A2,13,32
LC-QuAD,gpt-5-nano,A1×A3,7,19
LC-QuAD,gpt-5-nano,A1×A4,16,25
LC-QuAD,gpt-5-nano,A2×A3,9,19
LC-QuAD,gpt-5-nano,A2×A4,11,19
LC-QuAD,gpt-5-nano,A3×A4,4,7
LC-QuAD,gpt-oss:20b,A1×A2,24,61
LC-QuAD,gpt-oss:20b,A1×A3,18,36
LC-QuAD,gpt-oss:20b,A1×A4,26,62
LC-QuAD,gpt-oss:20b,A2×A3,19,37
LC-QuAD,gpt-oss:20b,A2×A4,26,67
LC-QuAD,gpt-oss:20b,A3×A4,10,22
LC-QuAD,grok-3-mini,A1×A2,26,369
LC-QuAD,grok-3-mini,A1×A3,15,57
LC-QuAD,grok-3-mini,A1×A4,31,81
LC-QuAD,grok-3-mini,A2×A3,18,63
LC-QuAD,grok-3-mini,A2×A4,29,83
LC-QuAD,grok-3-mini,A3×A4,9,19
LC-QuAD,llama3.1:70b,A1×A2,21,46
LC-QuAD,llama3.1:70b,A1×A3,15,23
LC-QuAD,llama3.1:70b,A1×A4,31,57
LC-QuAD,llama3.1:70b,A2×A3,13,17
LC-QuAD,llama3.1:70b,A2×A4,31,52
LC-QuAD,llama3.1:70b,A3×A4,8,8
LC-QuAD,llama3.1:8b,A1×A2,23,54
LC-QuAD,llama3.1:8b,A1×A3,15,24
LC-QuAD,llama3.1:8b,A1×A4,15,27
LC-QuAD,llama3.1:8b,A2×A3,11,22
LC-QuAD,llama3.1:8b,A2×A4,11,25
LC-QuAD,llama3.1:8b,A3×A4,9,14
LC-QuAD,mistral-small:24b,A1×A2,16,47
LC-QuAD,mistral-small:24b,A1×A3,10,15
LC-QuAD,mistral-small:24b,A1×A4,16,35
LC-QuAD,mistral-small:24b,A2×A3,10,14
LC-QuAD,mistral-small:24b,A2×A4,14,31
LC-QuAD,mistral-small:24b,A3×A4,6,7
LC-QuAD,o3,A1×A2,36,137
LC-QuAD,o3,A1×A3,28,60
LC-QuAD,o3,A1×A4,45,129
LC-QuAD,o3,A2×A3,28,68
LC-QuAD,o3,A2×A4,48,131
LC-QuAD,o3,A3×A4,6,18
qawiki,deepseek-chat,A1×A2,39,168
qawiki,deepseek-chat,A1×A3,25,62
qawiki,deepseek-chat,A1×A4,26,77
qawiki,deepseek-chat,A2×A3,29,63
qawiki,deepseek-chat,A2×A4,28,90
qawiki,deepseek-chat,A3×A4,11,25
qawiki,deepseek-reasoner,A1×A2,29,49
qawiki,deepseek-reasoner,A1×A3,27,81
qawiki,deepseek-reasoner,A1×A4,27,62
qawiki,deepseek-reasoner,A2×A3,31,82
qawiki,deepseek-reasoner,A2×A4,32,65
qawiki,deepseek-reasoner,A3×A4,7,9
qawiki,gemini-2.0-flash,A1×A2,24,98
qawiki,gemini-2.0-flash,A1×A3,23,40
qawiki,gemini-2.0-flash,A1×A4,20,53
qawiki,gemini-2.0-flash,A2×A3,18,32
qawiki,gemini-2.0-flash,A2×A4,17,49
qawiki,gemini-2.0-flash,A3×A4,7,11
qawiki,gemini-2.5-flash,A1×A2,19,39
qawiki,gemini-2.5-flash,A1×A3,13,21
qawiki,gemini-2.5-flash,A1×A4,16,45
qawiki,gemini-2.5-flash,A2×A3,11,15
qawiki,gemini-2.5-flash,A2×A4,17,51
qawiki,gemini-2.5-flash,A3×A4,4,6
qawiki,gemini-2.5-pro,A1×A2,33,133
qawiki,gemini-2.5-pro,A1×A3,28,81
qawiki,gemini-2.5-pro,A1×A4,37,142
qawiki,gemini-2.5-pro,A2×A3,28,100
qawiki,gemini-2.5-pro,A2×A4,32,138
qawiki,gemini-2.5-pro,A3×A4,9,19
qawiki,gpt-4.1-2025-04-14,A1×A2,21,78
qawiki,gpt-4.1-2025-04-14,A1×A3,23,52
qawiki,gpt-4.1-2025-04-14,A1×A4,31,72
qawiki,gpt-4.1-2025-04-14,A2×A3,24,50
qawiki,gpt-4.1-2025-04-14,A2×A4,30,69
qawiki,gpt-4.1-2025-04-14,A3×A4,10,17
qawiki,gpt-4.1-mini-2025-04-14,A1×A2,19,59
qawiki,gpt-4.1-mini-2025-04-14,A1×A3,15,36
qawiki,gpt-4.1-mini-2025-04-14,A1×A4,22,40
qawiki,gpt-4.1-mini-2025-04-14,A2×A3,16,35
qawiki,gpt-4.1-mini-2025-04-14,A2×A4,21,40
qawiki,gpt-4.1-mini-2025-04-14,A3×A4,7,11
qawiki,gpt-4.1-nano-2025-04-14,A1×A2,17,37
qawiki,gpt-4.1-nano-2025-04-14,A1×A3,8,13
qawiki,gpt-4.1-nano-2025-04-14,A1×A4,16,30
qawiki,gpt-4.1-nano-2025-04-14,A2×A3,11,15
qawiki,gpt-4.1-nano-2025-04-14,A2×A4,15,26
qawiki,gpt-4.1-nano-2025-04-14,A3×A4,4,8
qawiki,gpt-4o,A1×A2,17,25
qawiki,gpt-4o,A1×A3,11,17
qawiki,gpt-4o,A1×A4,13,33
qawiki,gpt-4o,A2×A3,11,15
qawiki,gpt-4o,A2×A4,15,35
qawiki,gpt-4o,A3×A4,3,19
qawiki,gpt-5,A1×A2,16,32
qawiki,gpt-5,A1×A3,9,50
qawiki,gpt-5,A1×A4,17,54
qawiki,gpt-5,A2×A3,12,52
qawiki,gpt-5,A2×A4,17,54
qawiki,gpt-5,A3×A4,2,3
qawiki,gpt-5-mini,A1×A2,9,24
qawiki,gpt-5-mini,A1×A3,6,26
qawiki,gpt-5-mini,A1×A4,12,45
qawiki,gpt-5-mini,A2×A3,6,17
qawiki,gpt-5-mini,A2×A4,12,45
qawiki,gpt-5-nano,A1×A2,8,37
qawiki,gpt-5-nano,A1×A3,7,43
qawiki,gpt-5-nano,A1×A4,8,11
qawiki,gpt-5-nano,A2×A3,7,30
qawiki,gpt-5-nano,A2×A4,9,10
qawiki,gpt-5-nano,A3×A4,1,1
qawiki,gpt-oss:20b,A1×A2,10,25
qawiki,gpt-oss:20b,A1×A3,9,34
qawiki,gpt-oss:20b,A1×A4,17,45
qawiki,gpt-oss:20b,A2×A3,7,76
qawiki,gpt-oss:20b,A2×A4,12,46
qawiki,gpt-oss:20b,A3×A4,3,3
qawiki,grok-3-mini,A1×A2,23,173
qawiki,grok-3-mini,A1×A3,13,25
qawiki,grok-3-mini,A1×A4,19,51
qawiki,grok-3-mini,A2×A3,13,25
qawiki,grok-3-mini,A2×A4,20,50
qawiki,grok-3-mini,A3×A4,1,1
qawiki,llama3.1:70b,A1×A2,13,33
qawiki,llama3.1:70b,A1×A3,13,21
qawiki,llama3.1:70b,A1×A4,25,45
qawiki,llama3.1:70b,A2×A3,16,22
qawiki,llama3.1:70b,A2×A4,24,43
qawiki,llama3.1:70b,A3×A4,4,4
qawiki,llama3.1:8b,A1×A2,15,21
qawiki,llama3.1:8b,A1×A3,11,15
qawiki,llama3.1:8b,A1×A4,16,19
qawiki,llama3.1:8b,A2×A3,10,15
qawiki,llama3.1:8b,A2×A4,14,15
qawiki,llama3.1:8b,A3×A4,5,5
qawiki,mistral-small:24b,A1×A2,9,18
qawiki,mistral-small:24b,A1×A3,11,16
qawiki,mistral-small:24b,A1×A4,15,26
qawiki,mistral-small:24b,A2×A3,8,11
qawiki,mistral-small:24b,A2×A4,15,22
qawiki,mistral-small:24b,A3×A4,6,7
qawiki,o3,A1×A2,30,78
qawiki,o3,A1×A3,26,105
qawiki,o3,A1×A4,35,159
qawiki,o3,A2×A3,26,107
qawiki,o3,A2×A4,36,165
qawiki,o3,A3×A4,4,8
spinach,deepseek-chat,A1×A2,31,153
spinach,deepseek-chat,A1×A3,21,69
spinach,deepseek-chat,A1×A4,31,103
spinach,deepseek-chat,A2×A3,24,71
spinach,deepseek-chat,A2×A4,31,97
spinach,deepseek-chat,A3×A4,14,23
spinach,deepseek-reasoner,A1×A2,31,104
spinach,deepseek-reasoner,A1×A3,30,104
spinach,deepseek-reasoner,A1×A4,34,119
spinach,deepseek-reasoner,A2×A3,31,101
spinach,deepseek-reasoner,A2×A4,37,123
spinach,deepseek-reasoner,A3×A4,11,17
spinach,gemini-2.0-flash,A1×A2,26,87
spinach,gemini-2.0-flash,A1×A3,18,49
spinach,gemini-2.0-flash,A1×A4,29,100
spinach,gemini-2.0-flash,A2×A3,14,39
spinach,gemini-2.0-flash,A2×A4,23,76
spinach,gemini-2.0-flash,A3×A4,8,14
spinach,gemini-2.5-flash,A1×A2,25,89
spinach,gemini-2.5-flash,A1×A3,21,52
spinach,gemini-2.5-flash,A1×A4,23,69
spinach,gemini-2.5-flash,A2×A3,20,52
spinach,gemini-2.5-flash,A2×A4,24,80
spinach,gemini-2.5-flash,A3×A4,5,6
spinach,gemini-2.5-pro,A1×A2,37,150
spinach,gemini-2.5-pro,A1×A3,36,128
spinach,gemini-2.5-pro,A1×A4,38,149
spinach,gemini-2.5-pro,A2×A3,39,132
spinach,gemini-2.5-pro,A2×A4,39,155
spinach,gemini-2.5-pro,A3×A4,7,15
spinach,gpt-4.1-2025-04-14,A1×A2,20,72
spinach,gpt-4.1-2025-04-14,A1×A3,26,43
spinach,gpt-4.1-2025-04-14,A1×A4,27,94
spinach,gpt-4.1-2025-04-14,A2×A3,27,50
spinach,gpt-4.1-2025-04-14,A2×A4,28,98
spinach,gpt-4.1-2025-04-14,A3×A4,8,26
spinach,gpt-4.1-mini-2025-04-14,A1×A2,17,44
spinach,gpt-4.1-mini-2025-04-14,A1×A3,18,28
spinach,gpt-4.1-mini-2025-04-14,A1×A4,25,70
spinach,gpt-4.1-mini-2025-04-14,A2×A3,18,31
spinach,gpt-4.1-mini-2025-04-14,A2×A4,26,75
spinach,gpt-4.1-mini-2025-04-14,A3×A4,9,14
spinach,gpt-4.1-nano-2025-04-14,A1×A2,18,45
spinach,gpt-4.1-nano-2025-04-14,A1×A3,20,49
spinach,gpt-4.1-nano-2025-04-14,A1×A4,21,74
spinach,gpt-4.1-nano-2025-04-14,A2×A3,21,57
spinach,gpt-4.1-nano-2025-04-14,A2×A4,23,75
spinach,gpt-4.1-nano-2025-04-14,A3×A4,8,9
spinach,gpt-4o,A1×A2,12,37
spinach,gpt-4o,A1×A3,18,32
spinach,gpt-4o,A1×A4,12,48
spinach,gpt-4o,A2×A3,20,33
spinach,gpt-4o,A2×A4,15,55
spinach,gpt-4o,A3×A4,4,8
spinach,gpt-5,A1×A2,19,96
spinach,gpt-5,A1×A3,20,63
spinach,gpt-5,A1×A4,19,80
spinach,gpt-5,A2×A3,15,43
spinach,gpt-5,A2×A4,21,90
spinach,gpt-5,A3×A4,3,5
spinach,gpt-5-mini,A1×A2,18,55
spinach,gpt-5-mini,A1×A3,12,33
spinach,gpt-5-mini,A1×A4,19,42
spinach,gpt-5-mini,A2×A3,11,27
spinach,gpt-5-mini,A2×A4,16,50
spinach,gpt-5-mini,A3×A4,3,5
spinach,gpt-5-nano,A1×A2,12,39
spinach,gpt-5-nano,A1×A3,14,44
spinach,gpt-5-nano,A1×A4,12,29
spinach,gpt-5-nano,A2×A3,15,44
spinach,gpt-5-nano,A2×A4,12,27
spinach,gpt-5-nano,A3×A4,4,5
spinach,gpt-oss:20b,A1×A2,21,69
spinach,gpt-oss:20b,A1×A3,11,21
spinach,gpt-oss:20b,A1×A4,17,46
spinach,gpt-oss:20b,A2×A3,13,35
spinach,gpt-oss:20b,A2×A4,17,50
spinach,gpt-oss:20b,A3×A4,3,6
spinach,grok-3-mini,A1×A2,22,75
spinach,grok-3-mini,A1×A3,15,42
spinach,grok-3-mini,A1×A4,23,67
spinach,grok-3-mini,A2×A3,16,40
spinach,grok-3-mini,A2×A4,23,59
spinach,grok-3-mini,A3×A4,4,7
spinach,llama3.1:70b,A1×A2,17,44
spinach,llama3.1:70b,A1×A3,21,34
spinach,llama3.1:70b,A1×A4,21,44
spinach,llama3.1:70b,A2×A3,18,36
spinach,llama3.1:70b,A2×A4,22,42
spinach,llama3.1:70b,A3×A4,2,2
spinach,llama3.1:8b,A1×A2,15,31
spinach,llama3.1:8b,A1×A3,13,22
spinach,llama3.1:8b,A1×A4,15,30
spinach,llama3.1:8b,A2×A3,14,23
spinach,llama3.1:8b,A2×A4,15,33
spinach,llama3.1:8b,A3×A4,8,16
spinach,mistral-small:24b,A1×A2,18,68
spinach,mistral-small:24b,A1×A3,10,20
spinach,mistral-small:24b,A1×A4,20,47
spinach,mistral-small:24b,A2×A3,11,16
spinach,mistral-small:24b,A2×A4,19,43
spinach,mistral-small:24b,A3×A4,3,6
spinach,o3,A1×A2,22,92
spinach,o3,A1×A3,38,118
spinach,o3,A1×A4,37,190
spinach,o3,A2×A3,39,111
spinach,o3,A2×A4,38,194
spinach,o3,A3×A4,5,12
synthetic,deepseek-chat,A1×A2,39,248
synthetic,deepseek-chat,A1×A3,37,120
synthetic,deepseek-chat,A1×A4,46,165
synthetic,deepseek-chat,A2×A3,36,128
synthetic,deepseek-chat,A2×A4,43,183
synthetic,deepseek-chat,A3×A4,18,66
synthetic,deepseek-reasoner,A1×A2,44,229
synthetic,deepseek-reasoner,A1×A3,48,140
synthetic,deepseek-reasoner,A1×A4,56,238
synthetic,deepseek-reasoner,A2×A3,51,150
synthetic,deepseek-reasoner,A2×A4,55,247
synthetic,deepseek-reasoner,A3×A4,19,51
synthetic,gemini-2.0-flash,A1×A2,29,151
synthetic,gemini-2.0-flash,A1×A3,24,65
synthetic,gemini-2.0-flash,A1×A4,32,117
synthetic,gemini-2.0-flash,A2×A3,24,60
synthetic,gemini-2.0-flash,A2×A4,35,114
synthetic,gemini-2.0-flash,A3×A4,13,24
synthetic,gemini-2.5-flash,A1×A2,32,148
synthetic,gemini-2.5-flash,A1×A3,31,65
synthetic,gemini-2.5-flash,A1×A4,43,154
synthetic,gemini-2.5-flash,A2×A3,30,60
synthetic,gemini-2.5-flash,A2×A4,40,156
synthetic,gemini-2.5-flash,A3×A4,15,26
synthetic,gemini-2.5-pro,A1×A2,48,258
synthetic,gemini-2.5-pro,A1×A3,38,104
synthetic,gemini-2.5-pro,A1×A4,52,317
synthetic,gemini-2.5-pro,A2×A3,41,127
synthetic,gemini-2.5-pro,A2×A4,54,338
synthetic,gemini-2.5-pro,A3×A4,14,35
synthetic,gpt-4.1-2025-04-14,A1×A2,32,189
synthetic,gpt-4.1-2025-04-14,A1×A3,34,118
synthetic,gpt-4.1-2025-04-14,A1×A4,37,188
synthetic,gpt-4.1-2025-04-14,A2×A3,34,127
synthetic,gpt-4.1-2025-04-14,A2×A4,36,195
synthetic,gpt-4.1-2025-04-14,A3×A4,15,41
synthetic,gpt-4.1-mini-2025-04-14,A1×A2,34,164
synthetic,gpt-4.1-mini-2025-04-14,A1×A3,32,91
synthetic,gpt-4.1-mini-2025-04-14,A1×A4,41,134
synthetic,gpt-4.1-mini-2025-04-14,A2×A3,34,98
synthetic,gpt-4.1-mini-2025-04-14,A2×A4,42,141
synthetic,gpt-4.1-mini-2025-04-14,A3×A4,20,52
synthetic,gpt-4.1-nano-2025-04-14,A1×A2,30,116
synthetic,gpt-4.1-nano-2025-04-14,A1×A3,24,57
synthetic,gpt-4.1-nano-2025-04-14,A1×A4,25,79
synthetic,gpt-4.1-nano-2025-04-14,A2×A3,24,54
synthetic,gpt-4.1-nano-2025-04-14,A2×A4,24,71
synthetic,gpt-4.1-nano-2025-04-14,A3×A4,20,39
synthetic,gpt-4o,A1×A2,38,160
synthetic,gpt-4o,A1×A3,31,72
synthetic,gpt-4o,A1×A4,38,153
synthetic,gpt-4o,A2×A3,30,65
synthetic,gpt-4o,A2×A4,37,142
synthetic,gpt-4o,A3×A4,12,23
synthetic,gpt-5,A1×A2,34,182
synthetic,gpt-5,A1×A3,33,90
synthetic,gpt-5,A1×A4,45,210
synthetic,gpt-5,A2×A3,35,99
synthetic,gpt-5,A2×A4,47,198
synthetic,gpt-5,A3×A4,13,24
synthetic,gpt-5-mini,A1×A2,44,197
synthetic,gpt-5-mini,A1×A3,32,99
synthetic,gpt-5-mini,A1×A4,38,166
synthetic,gpt-5-mini,A2×A3,32,95
synthetic,gpt-5-mini,A2×A4,32,164
synthetic,gpt-5-mini,A3×A4,9,17
synthetic,gpt-5-nano,A1×A2,28,127
synthetic,gpt-5-nano,A1×A3,28,83
synthetic,gpt-5-nano,A1×A4,31,107
synthetic,gpt-5-nano,A2×A3,26,85
synthetic,gpt-5-nano,A2×A4,28,103
synthetic,gpt-5-nano,A3×A4,11,16
synthetic,gpt-oss:20b,A1×A2,46,206
synthetic,gpt-oss:20b,A1×A3,35,106
synthetic,gpt-oss:20b,A1×A4,45,178
synthetic,gpt-oss:20b,A2×A3,41,112
synthetic,gpt-oss:20b,A2×A4,45,190
synthetic,gpt-oss:20b,A3×A4,14,35
synthetic,grok-3-mini,A1×A2,38,222
synthetic,grok-3-mini,A1×A3,29,79
synthetic,grok-3-mini,A1×A4,42,209
synthetic,grok-3-mini,A2×A3,30,73
synthetic,grok-3-mini,A2×A4,46,208
synthetic,grok-3-mini,A3×A4,9,20
synthetic,llama3.1:70b,A1×A2,36,156
synthetic,llama3.1:70b,A1×A3,31,62
synthetic,llama3.1:70b,A1×A4,43,133
synthetic,llama3.1:70b,A2×A3,34,73
synthetic,llama3.1:70b,A2×A4,39,125
synthetic,llama3.1:70b,A3×A4,14,26
synthetic,llama3.1:8b,A1×A2,29,132
synthetic,llama3.1:8b,A1×A3,23,44
synthetic,llama3.1:8b,A1×A4,35,102
synthetic,llama3.1:8b,A2×A3,24,49
synthetic,llama3.1:8b,A2×A4,29,93
synthetic,llama3.1:8b,A3×A4,10,21
synthetic,mistral-small:24b,A1×A2,26,132
synthetic,mistral-small:24b,A1×A3,22,46
synthetic,mistral-small:24b,A1×A4,25,87
synthetic,mistral-small:24b,A2×A3,23,49
synthetic,mistral-small:24b,A2×A4,27,93
synthetic,mistral-small:24b,A3×A4,14,30
synthetic,o3,A1×A2,47,344
synthetic,o3,A1×A3,44,150
synthetic,o3,A1×A4,66,456
synthetic,o3,A2×A3,48,149
synthetic,o3,A2×A4,67,373
synthetic,o3,A3×A4,17,37
