action,dataset,llm,n_total,n_answered,idk_rate,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3)
classification,LC-QuAD,gpt-5-nano,150,149,0.0067,0.7919,0.7114,1.0,0.7852,0.1745,0.0067,0.7919,0.782,0.8255,0.0805
classification,LC-QuAD,gpt-oss:20b,150,134,0.1067,0.6567,0.4254,1.0,0.7239,0.9328,0.3881,0.761,0.7431,0.0366,0.6797
classification,LC-QuAD,grok-3-mini,150,134,0.1067,0.9403,0.7985,1.0,0.8955,0.9328,0.7612,0.9689,0.9323,0.0599,0.8661
classification,LC-QuAD,llama3.1:70b,150,150,0.0,0.78,0.6267,1.0,0.8867,0.9467,0.6133,0.899,0.897,0.0242,0.8313
classification,LC-QuAD,llama3.1:8b,150,150,0.0,0.1067,0.0733,1.0,0.2667,0.6667,0.02,0.5162,0.4449,0.1021,0.342
classification,LC-QuAD,mistral-small:24b,150,147,0.02,0.8299,0.517,1.0,0.7823,0.8231,0.3878,0.919,0.8071,0.1492,0.632
classification,LC-QuAD,o3,150,142,0.0533,0.7887,0.8099,1.0,0.9155,0.9718,0.7958,0.9177,0.9184,0.0214,0.8888
classification,qawiki,deepseek-chat,150,107,0.2867,0.972,0.785,0.8598,0.9065,0.785,0.6355,0.9895,0.9414,0.1752,0.7574
classification,qawiki,deepseek-reasoner,150,122,0.1867,0.8689,0.8361,0.4754,0.8934,0.5082,0.377,0.9098,0.8842,0.4918,0.4262
classification,qawiki,gemini-2.0-flash,150,101,0.3267,0.8119,0.8515,1.0,0.9406,0.5149,0.4257,0.9234,0.9346,0.384,0.5651
classification,qawiki,gemini-2.5-flash,150,135,0.1,0.8815,0.9481,1.0,0.9778,0.9111,0.8593,0.9412,0.9823,0.0827,0.819
classification,qawiki,gemini-2.5-pro,150,141,0.06,0.8936,0.7092,1.0,0.844,0.9291,0.6525,0.9453,0.8341,0.0603,0.7546
classification,qawiki,gpt-4.1-2025-04-14,150,138,0.08,0.913,0.8768,0.4203,0.9783,0.8623,0.7391,0.9863,0.9653,0.1308,0.8338
classification,qawiki,gpt-4.1-mini-2025-04-14,150,126,0.16,0.8889,0.8571,0.3254,0.9444,0.7857,0.6508,0.9565,0.9275,0.2067,0.7273
classification,qawiki,gpt-4.1-nano-2025-04-14,150,100,0.3333,0.95,0.31,0.53,0.31,0.58,0.0,0.95,0.5368,0.4112,0.0
classification,qawiki,gpt-4o,150,51,0.66,0.9412,0.8431,1.0,0.9804,0.7843,0.6275,0.8317,0.9572,0.1971,0.7492
classification,qawiki,gpt-5,150,92,0.3867,0.8587,0.913,1.0,0.9565,0.8152,0.7283,0.9407,0.967,0.1848,0.7391
classification,qawiki,gpt-5-mini,150,97,0.3533,0.7835,0.5773,1.0,0.6804,0.8866,0.4948,0.891,0.7482,0.1134,0.5893
classification,qawiki,gpt-5-nano,150,150,0.0,0.7867,0.7067,1.0,0.7733,0.16,0.0067,0.7893,0.7687,0.8356,0.0694
classification,qawiki,gpt-oss:20b,150,128,0.1467,0.6641,0.4922,1.0,0.7031,0.9062,0.4297,0.7848,0.762,0.0522,0.6406
classification,qawiki,grok-3-mini,150,128,0.1467,0.8672,0.7422,1.0,0.875,0.9219,0.6797,0.9601,0.9031,0.0704,0.819
classification,qawiki,llama3.1:70b,150,150,0.0,0.8067,0.4733,1.0,0.8267,0.9333,0.4667,0.9067,0.7929,0.0377,0.7731
classification,qawiki,llama3.1:8b,150,150,0.0,0.1133,0.1,1.0,0.3533,0.68,0.06,0.4828,0.4791,0.1024,0.385
classification,qawiki,mistral-small:24b,150,144,0.04,0.8472,0.6597,1.0,0.875,0.7222,0.4236,0.9371,0.8507,0.2539,0.5975
classification,qawiki,o3,150,136,0.0933,0.7426,0.7279,1.0,0.8676,0.9338,0.6765,0.8933,0.8846,0.0486,0.8194
classification,spinach,deepseek-chat,150,125,0.1667,0.96,0.808,0.52,0.864,0.744,0.6,0.9935,0.9302,0.2252,0.6674
classification,spinach,deepseek-reasoner,150,134,0.1067,0.8731,0.7985,0.5,0.8358,0.7612,0.5597,0.916,0.8806,0.2332,0.5476
classification,spinach,gemini-2.0-flash,150,127,0.1533,0.874,0.8425,1.0,0.9685,0.7087,0.5984,0.9415,0.9125,0.1965,0.6374
classification,spinach,gemini-2.5-flash,150,143,0.0467,0.9301,0.9161,1.0,0.972,0.9371,0.8531,0.9505,0.9527,0.056,0.8446
classification,spinach,gemini-2.5-pro,150,145,0.0333,0.7931,0.7724,1.0,0.8897,0.9517,0.731,0.8561,0.8829,0.0424,0.8236
classification,spinach,gpt-4.1-2025-04-14,150,148,0.0133,0.9257,0.8514,0.6419,0.9595,0.8514,0.7162,0.9785,0.9755,0.1259,0.8253
classification,spinach,gpt-4.1-mini-2025-04-14,150,138,0.08,0.942,0.8043,0.5362,0.8913,0.8116,0.6232,0.9775,0.9414,0.1716,0.716
classification,spinach,gpt-4.1-nano-2025-04-14,150,91,0.3933,0.956,0.3187,0.5934,0.3297,0.6154,0.0,0.956,0.5989,0.3846,0.011
classification,spinach,gpt-4o,150,78,0.48,0.9615,0.8846,0.9487,0.9744,0.7564,0.641,0.8753,0.9748,0.2327,0.724
classification,spinach,gpt-5,150,108,0.28,0.9167,0.8333,1.0,0.963,0.9259,0.7685,0.9572,0.9269,0.0665,0.8878
classification,spinach,gpt-5-mini,150,100,0.3333,0.85,0.52,1.0,0.64,0.9,0.45,0.8807,0.684,0.1,0.5647
classification,spinach,gpt-5-nano,150,150,0.0,0.7533,0.7,1.0,0.78,0.2067,0.0067,0.7567,0.7682,0.7933,0.0769
classification,spinach,gpt-oss:20b,150,140,0.0667,0.6,0.4429,1.0,0.6857,0.8929,0.4,0.7303,0.7697,0.0367,0.6143
classification,spinach,grok-3-mini,150,139,0.0733,0.8921,0.7338,1.0,0.8705,0.9424,0.6835,0.955,0.9336,0.0474,0.831
classification,spinach,llama3.1:70b,150,149,0.0067,0.8054,0.5973,1.0,0.8658,0.9396,0.5705,0.9018,0.8644,0.0236,0.7954
classification,spinach,llama3.1:8b,150,150,0.0,0.2067,0.0533,1.0,0.3133,0.7,0.0333,0.6022,0.5033,0.0949,0.3606
classification,spinach,mistral-small:24b,150,144,0.04,0.8333,0.5069,1.0,0.75,0.7986,0.3889,0.9132,0.7673,0.1699,0.6045
classification,spinach,o3,150,145,0.0333,0.7931,0.7793,0.5172,0.8759,0.9655,0.7586,0.925,0.8772,0.0279,0.8314
classification,synthetic,deepseek-chat,150,145,0.0333,0.931,0.7724,0.9034,0.9172,0.9586,0.7655,0.9565,0.9393,0.0354,0.8957
classification,synthetic,deepseek-reasoner,150,145,0.0333,0.7172,0.8759,0.931,0.9517,0.9034,0.7931,0.7691,0.9506,0.0948,0.8645
classification,synthetic,gemini-2.0-flash,150,139,0.0733,0.8489,0.8345,1.0,0.9065,0.8058,0.6906,0.9247,0.9375,0.1321,0.792
classification,synthetic,gemini-2.5-flash,150,148,0.0133,0.8649,0.9257,1.0,0.973,0.9797,0.9189,0.9207,0.9714,0.0146,0.9424
classification,synthetic,gemini-2.5-pro,150,148,0.0133,0.777,0.6824,1.0,0.8311,0.9662,0.6689,0.811,0.7747,0.0181,0.7374
classification,synthetic,gpt-4.1-2025-04-14,150,147,0.02,0.898,0.8571,0.7007,0.9796,0.966,0.8367,0.9619,0.9649,0.0178,0.953
classification,synthetic,gpt-4.1-mini-2025-04-14,150,147,0.02,0.8571,0.8707,0.551,0.9796,0.932,0.8095,0.9412,0.9542,0.0492,0.9127
classification,synthetic,gpt-4.1-nano-2025-04-14,150,112,0.2533,0.9554,0.4911,0.2589,0.4911,0.4554,0.0,0.9634,0.6784,0.534,0.0
classification,synthetic,gpt-4o,150,106,0.2933,0.9245,0.8679,1.0,0.9623,0.8396,0.7264,0.8805,0.9595,0.1425,0.8158
classification,synthetic,gpt-5,150,137,0.0867,0.8832,0.9051,1.0,0.9708,0.9416,0.8613,0.9561,0.9451,0.0584,0.9147
classification,synthetic,gpt-5-mini,150,127,0.1533,0.8504,0.5669,1.0,0.622,0.9528,0.5591,0.927,0.7245,0.0472,0.6144
classification,synthetic,gpt-5-nano,150,150,0.0,0.78,0.6467,1.0,0.74,0.2333,0.0,0.7872,0.7296,0.7667,0.0864
classification,synthetic,gpt-oss:20b,150,148,0.0133,0.6486,0.4595,1.0,0.75,0.8986,0.4392,0.8223,0.7599,0.0449,0.6883
classification,synthetic,grok-3-mini,150,147,0.02,0.898,0.8163,1.0,0.932,0.9728,0.7959,0.9583,0.9557,0.0272,0.9165
classification,synthetic,llama3.1:70b,150,150,0.0,0.82,0.6,1.0,0.88,0.92,0.6,0.9204,0.8955,0.0327,0.8533
classification,synthetic,llama3.1:8b,150,150,0.0,0.2267,0.1067,1.0,0.42,0.68,0.0867,0.6402,0.5797,0.0901,0.4721
classification,synthetic,mistral-small:24b,150,150,0.0,0.8533,0.5667,1.0,0.8333,0.9133,0.5333,0.9257,0.8309,0.07,0.7751
classification,synthetic,o3,150,149,0.0067,0.9128,0.906,1.0,0.9799,0.9799,0.8926,0.9766,0.9693,0.0183,0.9571
fixing,LC-QuAD,deepseek-chat,150,141,0.06,0.7447,0.6525,0.8511,0.9149,0.9574,0.6099,0.8745,0.8961,0.0327,0.8285
fixing,LC-QuAD,deepseek-reasoner,150,148,0.0133,0.7432,0.7297,0.8851,0.9189,0.9662,0.7095,0.861,0.897,0.0227,0.8378
fixing,LC-QuAD,gemini-2.0-flash,150,150,0.0,0.78,0.7467,0.8,0.9133,0.96,0.7267,0.8033,0.905,0.0207,0.8501
fixing,LC-QuAD,gemini-2.5-flash,150,146,0.0267,0.9315,0.8904,0.9315,0.9178,0.9795,0.8904,0.9583,0.91,0.016,0.8611
fixing,LC-QuAD,gemini-2.5-pro,150,149,0.0067,0.8456,0.8523,0.8725,0.9597,0.9866,0.8456,0.9123,0.9278,0.0134,0.8879
fixing,LC-QuAD,gpt-4.1-2025-04-14,150,141,0.06,0.7447,0.7589,0.9149,0.9291,0.9645,0.7518,0.9091,0.9336,0.0066,0.9012
fixing,LC-QuAD,gpt-4.1-mini-2025-04-14,150,140,0.0667,0.7071,0.6929,0.8714,0.9286,0.8857,0.6714,0.8728,0.8539,0.0803,0.8089
fixing,LC-QuAD,gpt-4.1-nano-2025-04-14,150,138,0.08,0.3696,0.1957,0.5072,0.5435,0.6522,0.1667,0.5216,0.4482,0.215,0.3286
fixing,LC-QuAD,gpt-4o,150,100,0.3333,0.71,0.71,0.84,0.91,0.84,0.6,0.8122,0.8461,0.1419,0.7388
fixing,LC-QuAD,gpt-5,150,107,0.2867,0.8785,0.8224,0.8598,0.9626,0.9907,0.8131,0.9629,0.9006,0.0093,0.9068
fixing,LC-QuAD,gpt-5-mini,150,79,0.4733,0.7975,0.6456,0.8354,0.8987,0.8861,0.5823,0.8579,0.7996,0.1139,0.8054
fixing,LC-QuAD,gpt-5-nano,150,92,0.3867,0.7609,0.6739,0.7283,0.9348,0.9022,0.5978,0.8407,0.8052,0.0799,0.7271
fixing,LC-QuAD,gpt-oss:20b,150,136,0.0933,0.4559,0.5809,0.7868,0.9338,0.9559,0.5662,0.6623,0.8208,0.0351,0.7593
fixing,LC-QuAD,grok-3-mini,150,137,0.0867,0.8759,0.8686,0.9343,0.9781,0.9708,0.8394,0.9419,0.9542,0.0224,0.8342
fixing,LC-QuAD,llama3.1:70b,150,148,0.0133,0.5878,0.4392,0.6892,0.8108,0.9189,0.4189,0.7564,0.7715,0.0456,0.746
fixing,LC-QuAD,llama3.1:8b,150,150,0.0,0.0867,0.0067,0.0867,0.0733,0.6267,0.0,0.3944,0.2869,0.1198,0.2028
fixing,LC-QuAD,mistral-small:24b,150,141,0.06,0.6596,0.5035,0.7092,0.8865,0.9716,0.4894,0.7959,0.7238,0.001,0.6903
fixing,LC-QuAD,o3,150,137,0.0867,0.6423,0.7664,0.9197,0.9854,0.9927,0.7591,0.8779,0.9327,0.0073,0.9378
fixing,qawiki,deepseek-chat,150,136,0.0933,0.7868,0.6985,0.8824,0.9338,0.9412,0.6765,0.9145,0.8947,0.0344,0.8227
fixing,qawiki,deepseek-reasoner,150,146,0.0267,0.5822,0.5137,0.6849,0.8151,0.911,0.4795,0.7437,0.7416,0.0756,0.7403
fixing,qawiki,gemini-2.0-flash,150,149,0.0067,0.7517,0.651,0.8054,0.8859,0.9463,0.6376,0.8017,0.8507,0.0195,0.802
fixing,qawiki,gemini-2.5-flash,150,140,0.0667,0.85,0.8786,0.8786,0.9643,0.9929,0.8714,0.8926,0.8964,0.0068,0.8348
fixing,qawiki,gemini-2.5-pro,150,149,0.0067,0.7584,0.5906,0.7383,0.8658,0.9866,0.5839,0.8509,0.7554,0.0134,0.7113
fixing,qawiki,gpt-4.1-2025-04-14,150,139,0.0733,0.741,0.7266,0.8561,0.9496,0.9424,0.6978,0.9007,0.9099,0.0367,0.8412
fixing,qawiki,gpt-4.1-mini-2025-04-14,150,138,0.08,0.7246,0.6594,0.8261,0.9783,0.9203,0.6159,0.8794,0.8659,0.031,0.8124
fixing,qawiki,gpt-4.1-nano-2025-04-14,150,149,0.0067,0.4698,0.1678,0.557,0.4228,0.6242,0.1208,0.5829,0.3849,0.2372,0.2957
fixing,qawiki,gpt-4o,150,106,0.2933,0.7736,0.7358,0.8868,0.9057,0.9057,0.6887,0.7915,0.7726,0.0621,0.7079
fixing,qawiki,gpt-5,150,82,0.4533,0.8415,0.878,0.9268,0.9878,0.9024,0.7805,0.9424,0.9347,0.0976,0.7927
fixing,qawiki,gpt-5-mini,150,75,0.5,0.7333,0.7333,0.92,0.9467,0.9067,0.6667,0.7928,0.8768,0.0933,0.7525
fixing,qawiki,gpt-5-nano,150,100,0.3333,0.63,0.61,0.71,0.94,0.93,0.55,0.757,0.8195,0.0604,0.6751
fixing,qawiki,grok-3-mini,150,136,0.0933,0.8382,0.7868,0.9118,0.9853,0.9706,0.7647,0.9225,0.9404,0.026,0.8119
fixing,qawiki,llama3.1:70b,150,148,0.0133,0.5676,0.4527,0.6757,0.7703,0.9054,0.4189,0.6963,0.7187,0.0513,0.7176
fixing,qawiki,llama3.1:8b,150,150,0.0,0.0933,0.02,0.1467,0.12,0.66,0.0067,0.427,0.2836,0.0856,0.2307
fixing,qawiki,mistral-small:24b,150,138,0.08,0.6304,0.442,0.6667,0.8696,0.9565,0.4275,0.754,0.727,0.0153,0.6595
fixing,qawiki,o3,150,126,0.16,0.6508,0.6984,0.8254,0.881,0.9762,0.6746,0.7435,0.8156,0.0238,0.7591
fixing,spinach,deepseek-chat,150,143,0.0467,0.8252,0.7483,0.8811,0.951,0.958,0.7343,0.9334,0.926,0.0251,0.8011
fixing,spinach,deepseek-reasoner,150,149,0.0067,0.6443,0.5369,0.6644,0.8456,0.8926,0.5034,0.8023,0.8239,0.0851,0.7532
fixing,spinach,gemini-2.0-flash,150,149,0.0067,0.7651,0.7785,0.8859,0.9128,0.9799,0.7718,0.8123,0.9152,0.0136,0.8033
fixing,spinach,gemini-2.5-flash,150,147,0.02,0.8776,0.8707,0.8435,0.9728,0.9864,0.8571,0.909,0.9125,0.0082,0.8272
fixing,spinach,gemini-2.5-pro,150,150,0.0,0.8067,0.8133,0.7733,0.9733,0.98,0.8067,0.9041,0.9203,0.0175,0.8446
fixing,spinach,gpt-4.1-2025-04-14,150,145,0.0333,0.9034,0.7655,0.9448,0.9241,1.0,0.7655,0.9526,0.9323,0.0,0.842
fixing,spinach,gpt-4.1-mini-2025-04-14,150,149,0.0067,0.8523,0.7517,0.8859,0.9799,0.9664,0.745,0.9199,0.8995,0.0166,0.7989
fixing,spinach,gpt-4.1-nano-2025-04-14,150,139,0.0733,0.741,0.4173,0.6259,0.705,0.5827,0.2806,0.7425,0.5362,0.2079,0.3497
fixing,spinach,gpt-4o,150,119,0.2067,0.9412,0.7899,0.9076,0.958,0.9496,0.7647,0.8699,0.8784,0.0372,0.7429
fixing,spinach,gpt-5,150,107,0.2867,0.9159,0.8318,0.9159,0.9626,0.9907,0.8318,0.9615,0.9159,0.0093,0.9031
fixing,spinach,gpt-5-mini,150,89,0.4067,0.8202,0.7303,0.8764,0.8876,0.9438,0.7079,0.8869,0.8527,0.0533,0.7657
fixing,spinach,gpt-5-nano,150,110,0.2667,0.8,0.6909,0.8,0.9818,0.9364,0.6273,0.8734,0.8134,0.0463,0.7699
fixing,spinach,grok-3-mini,150,143,0.0467,0.8881,0.8531,0.9161,0.979,0.993,0.8462,0.9463,0.9543,0.007,0.7616
fixing,spinach,llama3.1:70b,150,150,0.0,0.5933,0.5467,0.7267,0.8267,0.9667,0.54,0.7508,0.8176,0.0107,0.7583
fixing,spinach,llama3.1:8b,150,150,0.0,0.12,0.04,0.1733,0.1267,0.56,0.0267,0.4342,0.3653,0.1351,0.2416
fixing,spinach,mistral-small:24b,150,146,0.0267,0.7808,0.4932,0.7192,0.8699,0.9452,0.4726,0.8506,0.7172,0.0261,0.6473
fixing,spinach,o3,150,142,0.0533,0.7887,0.7676,0.9437,0.9155,0.9789,0.7606,0.8691,0.8951,0.0115,0.8238
fixing,synthetic,deepseek-chat,150,147,0.02,0.8912,0.8503,0.9184,0.9864,0.9728,0.8299,0.9515,0.9618,0.0196,0.8949
fixing,synthetic,deepseek-reasoner,150,150,0.0,0.7533,0.6667,0.7933,0.8733,0.9667,0.6533,0.8847,0.8887,0.0142,0.8733
fixing,synthetic,gemini-2.0-flash,150,150,0.0,0.86,0.84,0.8733,0.9667,0.9867,0.8267,0.8733,0.958,0.0007,0.9087
fixing,synthetic,gemini-2.5-flash,150,148,0.0133,0.8986,0.9122,0.9392,0.9595,0.9865,0.9122,0.938,0.945,0.0135,0.9241
fixing,synthetic,gemini-2.5-pro,150,149,0.0067,0.6779,0.7785,0.8188,0.8859,0.9732,0.7718,0.6139,0.8317,0.0252,0.8079
fixing,synthetic,gpt-4.1-2025-04-14,150,148,0.0133,0.8851,0.8649,0.9527,0.9662,0.9797,0.8514,0.9658,0.9707,0.0033,0.9039
fixing,synthetic,gpt-4.1-mini-2025-04-14,150,147,0.02,0.8095,0.8027,0.9252,0.966,0.8639,0.7687,0.927,0.9369,0.0585,0.849
fixing,synthetic,gpt-4.1-nano-2025-04-14,150,147,0.02,0.551,0.3605,0.6054,0.6939,0.5714,0.2109,0.6816,0.652,0.2551,0.4389
fixing,synthetic,gpt-4o,150,129,0.14,0.7829,0.7519,0.938,0.9535,0.969,0.7519,0.8676,0.9028,0.0182,0.8559
fixing,synthetic,gpt-5,150,135,0.1,0.8667,0.9185,0.963,0.9926,0.9926,0.9111,0.9664,0.9675,0.0074,0.9659
fixing,synthetic,gpt-5-mini,150,125,0.1667,0.792,0.784,0.864,0.944,0.952,0.768,0.8804,0.8849,0.0424,0.8877
fixing,synthetic,gpt-5-nano,150,135,0.1,0.8963,0.763,0.8296,0.9778,0.9778,0.7556,0.9463,0.881,0.0218,0.8713
fixing,synthetic,gpt-oss:20b,150,147,0.02,0.6667,0.7007,0.8163,0.9048,0.9932,0.7007,0.8465,0.8785,0.0009,0.8684
fixing,synthetic,grok-3-mini,150,147,0.02,0.8912,0.8707,0.9388,0.9932,0.9796,0.8639,0.9523,0.9672,0.0096,0.9413
fixing,synthetic,llama3.1:70b,150,150,0.0,0.68,0.6667,0.8067,0.8733,0.9667,0.66,0.8008,0.8717,0.0085,0.8449
fixing,synthetic,llama3.1:8b,150,150,0.0,0.2067,0.04,0.2133,0.1733,0.6267,0.04,0.5639,0.3906,0.1097,0.2903
fixing,synthetic,mistral-small:24b,150,149,0.0067,0.7517,0.5503,0.8389,0.953,0.953,0.5302,0.8812,0.8168,0.0189,0.7992
fixing,synthetic,o3,150,146,0.0267,0.7603,0.911,0.9589,0.9726,1.0,0.911,0.9434,0.9567,0.0,0.9576
zero-shot,LC-QuAD,deepseek-chat,150,143,0.0467,0.2657,0.1189,0.4056,0.2797,0.5105,0.028,0.5832,0.4747,0.1956,0.2831
zero-shot,LC-QuAD,deepseek-reasoner,150,149,0.0067,0.1342,0.1007,0.3758,0.2617,0.8591,0.0738,0.4689,0.3895,0.0372,0.3028
zero-shot,LC-QuAD,gemini-2.0-flash,150,150,0.0,0.24,0.08,0.3533,0.28,0.64,0.0333,0.522,0.392,0.1275,0.2705
zero-shot,LC-QuAD,gemini-2.5-flash,150,149,0.0067,0.2685,0.1611,0.4631,0.2752,0.8523,0.1544,0.5506,0.4635,0.0326,0.3627
zero-shot,LC-QuAD,gemini-2.5-pro,150,149,0.0067,0.2349,0.1678,0.4027,0.3356,0.8523,0.1409,0.5914,0.509,0.0314,0.4221
zero-shot,LC-QuAD,gpt-4.1-2025-04-14,150,149,0.0067,0.2282,0.0805,0.3826,0.2416,0.6779,0.0537,0.5414,0.4392,0.0989,0.296
zero-shot,LC-QuAD,gpt-4.1-mini-2025-04-14,150,144,0.04,0.1597,0.0347,0.3472,0.2153,0.6875,0.0139,0.4299,0.3307,0.0973,0.2098
zero-shot,LC-QuAD,gpt-4.1-nano-2025-04-14,150,133,0.1133,0.0977,0.015,0.2782,0.188,0.7293,0.015,0.2897,0.1766,0.1211,0.1147
zero-shot,LC-QuAD,gpt-4o,150,113,0.2467,0.2566,0.0265,0.3717,0.292,0.708,0.0177,0.4968,0.3453,0.1775,0.2604
zero-shot,LC-QuAD,gpt-5,150,125,0.1667,0.48,0.16,0.464,0.448,0.936,0.136,0.7103,0.5109,0.0445,0.5026
zero-shot,LC-QuAD,gpt-5-mini,150,98,0.3467,0.4592,0.1939,0.4592,0.4898,0.8367,0.1327,0.5849,0.4699,0.1516,0.493
zero-shot,LC-QuAD,gpt-5-nano,150,98,0.3467,0.4082,0.1327,0.4286,0.4082,0.8673,0.1327,0.5483,0.3828,0.0975,0.4238
zero-shot,LC-QuAD,gpt-oss:20b,150,142,0.0533,0.1197,0.0634,0.2394,0.2465,0.8873,0.0634,0.3365,0.2911,0.0436,0.2553
zero-shot,LC-QuAD,grok-3-mini,150,145,0.0333,0.2552,0.1655,0.4207,0.3241,0.869,0.1586,0.5679,0.4554,0.0562,0.3769
zero-shot,LC-QuAD,llama3.1:70b,150,146,0.0267,0.089,0.0274,0.226,0.1644,0.7466,0.0068,0.3719,0.2781,0.0702,0.1898
zero-shot,LC-QuAD,llama3.1:8b,150,150,0.0,0.0133,0.0,0.0067,0.0,0.9067,0.0,0.1069,0.0816,0.0142,0.0427
zero-shot,LC-QuAD,mistral-small:24b,148,125,0.1554,0.288,0.096,0.368,0.32,0.608,0.0,0.5204,0.4188,0.2617,0.2001
zero-shot,LC-QuAD,o3,148,144,0.027,0.2847,0.125,0.4653,0.2569,0.9306,0.0972,0.5487,0.4659,0.0276,0.3664
zero-shot,qawiki,deepseek-chat,150,142,0.0533,0.1761,0.1127,0.3803,0.331,0.6268,0.0493,0.4115,0.3599,0.1086,0.2323
zero-shot,qawiki,deepseek-reasoner,150,148,0.0133,0.1216,0.0743,0.277,0.1959,0.8176,0.0676,0.3156,0.2897,0.0328,0.2125
zero-shot,qawiki,gemini-2.0-flash,150,150,0.0,0.24,0.1267,0.3533,0.3733,0.6533,0.04,0.4918,0.4092,0.1247,0.2673
zero-shot,qawiki,gemini-2.5-flash,150,147,0.02,0.2517,0.2041,0.4354,0.3333,0.8503,0.1769,0.5289,0.4626,0.0354,0.3717
zero-shot,qawiki,gemini-2.5-pro,150,149,0.0067,0.2282,0.1409,0.3087,0.2819,0.7852,0.1342,0.5588,0.4884,0.0284,0.4077
zero-shot,qawiki,gpt-4.1-2025-04-14,150,148,0.0133,0.2703,0.0811,0.3919,0.3243,0.6284,0.0541,0.5812,0.4428,0.0875,0.3208
zero-shot,qawiki,gpt-4.1-mini-2025-04-14,150,148,0.0133,0.25,0.1081,0.4392,0.3514,0.5608,0.0405,0.5881,0.4454,0.1568,0.2674
zero-shot,qawiki,gpt-4.1-nano-2025-04-14,150,146,0.0267,0.2192,0.0753,0.4041,0.3356,0.6507,0.0205,0.448,0.3683,0.154,0.2165
zero-shot,qawiki,gpt-4o,150,118,0.2133,0.2627,0.1356,0.3475,0.3305,0.7712,0.0593,0.4716,0.3989,0.1206,0.2439
zero-shot,qawiki,gpt-5,150,95,0.3667,0.4947,0.3263,0.5789,0.5895,0.8947,0.2737,0.694,0.6126,0.0697,0.5795
zero-shot,qawiki,gpt-5-mini,150,83,0.4467,0.494,0.2651,0.506,0.5542,0.9277,0.2048,0.6382,0.5038,0.0517,0.5176
zero-shot,qawiki,gpt-5-nano,150,106,0.2933,0.3868,0.2547,0.5094,0.566,0.8302,0.1509,0.5536,0.514,0.1353,0.4819
zero-shot,qawiki,gpt-oss:20b,150,137,0.0867,0.1387,0.1022,0.3358,0.292,0.8978,0.0803,0.3689,0.3215,0.043,0.2514
zero-shot,qawiki,grok-3-mini,150,143,0.0467,0.2867,0.2028,0.4545,0.3636,0.9371,0.1888,0.579,0.492,0.0255,0.3868
zero-shot,qawiki,llama3.1:70b,150,147,0.02,0.1633,0.034,0.1633,0.1837,0.7483,0.0136,0.3746,0.2686,0.0879,0.1634
zero-shot,qawiki,llama3.1:8b,150,150,0.0,0.0067,0.0067,0.0467,0.0067,0.8733,0.0,0.1259,0.0996,0.0318,0.0491
zero-shot,qawiki,mistral-small:24b,148,118,0.2027,0.3305,0.1017,0.3475,0.3729,0.5085,0.0,0.5405,0.399,0.2936,0.2379
zero-shot,qawiki,o3,148,142,0.0405,0.2465,0.1268,0.4155,0.2606,0.8239,0.1197,0.5162,0.4162,0.066,0.3487
zero-shot,spinach,deepseek-chat,150,147,0.02,0.3197,0.1293,0.449,0.4286,0.5578,0.0612,0.5921,0.4602,0.149,0.2147
