dataset,llm,n_total_zs,n_answered_zs,idk_rate_zs,?A1=A2_zs,?A1=A3+A4_zs,?A1>A3_zs,?A1>A4_zs,?A3∅A4_zs,?A4=A1|3_zs,J(A1-A2)_zs,J(A1-A34)_zs,J(A3-A4)_zs,J(A4-A1|3)_zs,n_total_clf,n_answered_clf,idk_rate_clf,?A1=A2_clf,?A1=A3+A4_clf,?A1>A3_clf,?A1>A4_clf,?A3∅A4_clf,?A4=A1|3_clf,J(A1-A2)_clf,J(A1-A34)_clf,J(A3-A4)_clf,J(A4-A1|3)_clf,Δ_?A1=A2,Δ_?A1=A3+A4,Δ_?A1>A3,Δ_?A1>A4,Δ_?A3∅A4,Δ_?A4=A1|3,Δ_J(A1-A2),Δ_J(A1-A34),Δ_J(A3-A4),Δ_J(A4-A1|3)
LC-QuAD,gpt-5-mini,150,98,0.3467,0.4592,0.1939,0.4592,0.4898,0.8367,0.1327,0.5849,0.4699,0.1516,0.493,150,85,0.4333,0.8,0.5294,1.0,0.6235,0.9294,0.4706,0.8498,0.6882,0.0706,0.5665,0.3408,0.3355,0.5408,0.1337,0.0927,0.3379,0.2649,0.2183,-0.081,0.0735
LC-QuAD,gpt-5-nano,150,98,0.3467,0.4082,0.1327,0.4286,0.4082,0.8673,0.1327,0.5483,0.3828,0.0975,0.4238,150,149,0.0067,0.7919,0.7114,1.0,0.7852,0.1745,0.0067,0.7919,0.782,0.8255,0.0805,0.3837,0.5787,0.5714,0.377,-0.6928,-0.126,0.2436,0.3992,0.728,-0.3433
LC-QuAD,gpt-oss:20b,150,142,0.0533,0.1197,0.0634,0.2394,0.2465,0.8873,0.0634,0.3365,0.2911,0.0436,0.2553,150,134,0.1067,0.6567,0.4254,1.0,0.7239,0.9328,0.3881,0.761,0.7431,0.0366,0.6797,0.537,0.362,0.7606,0.4774,0.0455,0.3247,0.4245,0.452,-0.007,0.4244
LC-QuAD,grok-3-mini,150,145,0.0333,0.2552,0.1655,0.4207,0.3241,0.869,0.1586,0.5679,0.4554,0.0562,0.3769,150,134,0.1067,0.9403,0.7985,1.0,0.8955,0.9328,0.7612,0.9689,0.9323,0.0599,0.8661,0.6851,0.633,0.5793,0.5714,0.0638,0.6026,0.401,0.4769,0.0037,0.4892
LC-QuAD,llama3.1:70b,150,146,0.0267,0.089,0.0274,0.226,0.1644,0.7466,0.0068,0.3719,0.2781,0.0702,0.1898,150,150,0.0,0.78,0.6267,1.0,0.8867,0.9467,0.6133,0.899,0.897,0.0242,0.8313,0.691,0.5993,0.774,0.7223,0.2001,0.6065,0.5271,0.6189,-0.046,0.6415
LC-QuAD,llama3.1:8b,150,150,0.0,0.0133,0.0,0.0067,0.0,0.9067,0.0,0.1069,0.0816,0.0142,0.0427,150,150,0.0,0.1067,0.0733,1.0,0.2667,0.6667,0.02,0.5162,0.4449,0.1021,0.342,0.0934,0.0733,0.9933,0.2667,-0.24,0.02,0.4093,0.3633,0.0879,0.2993
LC-QuAD,mistral-small:24b,148,125,0.1554,0.288,0.096,0.368,0.32,0.608,0.0,0.5204,0.4188,0.2617,0.2001,150,147,0.02,0.8299,0.517,1.0,0.7823,0.8231,0.3878,0.919,0.8071,0.1492,0.632,0.5419,0.421,0.632,0.4623,0.2151,0.3878,0.3986,0.3883,-0.1125,0.4319
LC-QuAD,o3,148,144,0.027,0.2847,0.125,0.4653,0.2569,0.9306,0.0972,0.5487,0.4659,0.0276,0.3664,150,142,0.0533,0.7887,0.8099,1.0,0.9155,0.9718,0.7958,0.9177,0.9184,0.0214,0.8888,0.504,0.6849,0.5347,0.6586,0.0412,0.6986,0.369,0.4525,-0.0062,0.5224
qawiki,deepseek-chat,150,142,0.0533,0.1761,0.1127,0.3803,0.331,0.6268,0.0493,0.4115,0.3599,0.1086,0.2323,150,107,0.2867,0.972,0.785,0.8598,0.9065,0.785,0.6355,0.9895,0.9414,0.1752,0.7574,0.7959,0.6723,0.4795,0.5755,0.1582,0.5862,0.578,0.5815,0.0666,0.5251
qawiki,deepseek-reasoner,150,148,0.0133,0.1216,0.0743,0.277,0.1959,0.8176,0.0676,0.3156,0.2897,0.0328,0.2125,150,122,0.1867,0.8689,0.8361,0.4754,0.8934,0.5082,0.377,0.9098,0.8842,0.4918,0.4262,0.7473,0.7618,0.1984,0.6975,-0.3094,0.3094,0.5942,0.5945,0.459,0.2137
qawiki,gemini-2.0-flash,150,150,0.0,0.24,0.1267,0.3533,0.3733,0.6533,0.04,0.4918,0.4092,0.1247,0.2673,150,101,0.3267,0.8119,0.8515,1.0,0.9406,0.5149,0.4257,0.9234,0.9346,0.384,0.5651,0.5719,0.7248,0.6467,0.5673,-0.1384,0.3857,0.4316,0.5254,0.2593,0.2978
qawiki,gemini-2.5-flash,150,147,0.02,0.2517,0.2041,0.4354,0.3333,0.8503,0.1769,0.5289,0.4626,0.0354,0.3717,150,135,0.1,0.8815,0.9481,1.0,0.9778,0.9111,0.8593,0.9412,0.9823,0.0827,0.819,0.6298,0.744,0.5646,0.6445,0.0608,0.6824,0.4123,0.5197,0.0473,0.4473
qawiki,gemini-2.5-pro,150,149,0.0067,0.2282,0.1409,0.3087,0.2819,0.7852,0.1342,0.5588,0.4884,0.0284,0.4077,150,141,0.06,0.8936,0.7092,1.0,0.844,0.9291,0.6525,0.9453,0.8341,0.0603,0.7546,0.6654,0.5683,0.6913,0.5621,0.1439,0.5183,0.3865,0.3457,0.0319,0.3469
qawiki,gpt-4.1-2025-04-14,150,148,0.0133,0.2703,0.0811,0.3919,0.3243,0.6284,0.0541,0.5812,0.4428,0.0875,0.3208,150,138,0.08,0.913,0.8768,0.4203,0.9783,0.8623,0.7391,0.9863,0.9653,0.1308,0.8338,0.6427,0.7957,0.0284,0.654,0.2339,0.685,0.4051,0.5225,0.0433,0.513
qawiki,gpt-4.1-mini-2025-04-14,150,148,0.0133,0.25,0.1081,0.4392,0.3514,0.5608,0.0405,0.5881,0.4454,0.1568,0.2674,150,126,0.16,0.8889,0.8571,0.3254,0.9444,0.7857,0.6508,0.9565,0.9275,0.2067,0.7273,0.6389,0.749,-0.1138,0.593,0.2249,0.6103,0.3684,0.4821,0.0499,0.4599
qawiki,gpt-4.1-nano-2025-04-14,150,146,0.0267,0.2192,0.0753,0.4041,0.3356,0.6507,0.0205,0.448,0.3683,0.154,0.2165,150,100,0.3333,0.95,0.31,0.53,0.31,0.58,0.0,0.95,0.5368,0.4112,0.0,0.7308,0.2347,0.1259,-0.0256,-0.0707,-0.0205,0.502,0.1685,0.2572,-0.2165
qawiki,gpt-4o,150,118,0.2133,0.2627,0.1356,0.3475,0.3305,0.7712,0.0593,0.4716,0.3989,0.1206,0.2439,150,51,0.66,0.9412,0.8431,1.0,0.9804,0.7843,0.6275,0.8317,0.9572,0.1971,0.7492,0.6785,0.7075,0.6525,0.6499,0.0131,0.5682,0.3601,0.5583,0.0765,0.5053
qawiki,gpt-5,150,95,0.3667,0.4947,0.3263,0.5789,0.5895,0.8947,0.2737,0.694,0.6126,0.0697,0.5795,150,92,0.3867,0.8587,0.913,1.0,0.9565,0.8152,0.7283,0.9407,0.967,0.1848,0.7391,0.364,0.5867,0.4211,0.367,-0.0795,0.4546,0.2467,0.3544,0.1151,0.1596
qawiki,gpt-5-mini,150,83,0.4467,0.494,0.2651,0.506,0.5542,0.9277,0.2048,0.6382,0.5038,0.0517,0.5176,150,97,0.3533,0.7835,0.5773,1.0,0.6804,0.8866,0.4948,0.891,0.7482,0.1134,0.5893,0.2895,0.3122,0.494,0.1262,-0.0411,0.29,0.2528,0.2444,0.0617,0.0717
qawiki,gpt-5-nano,150,106,0.2933,0.3868,0.2547,0.5094,0.566,0.8302,0.1509,0.5536,0.514,0.1353,0.4819,150,150,0.0,0.7867,0.7067,1.0,0.7733,0.16,0.0067,0.7893,0.7687,0.8356,0.0694,0.3999,0.452,0.4906,0.2073,-0.6702,-0.1442,0.2357,0.2547,0.7003,-0.4125
qawiki,gpt-oss:20b,150,137,0.0867,0.1387,0.1022,0.3358,0.292,0.8978,0.0803,0.3689,0.3215,0.043,0.2514,150,128,0.1467,0.6641,0.4922,1.0,0.7031,0.9062,0.4297,0.7848,0.762,0.0522,0.6406,0.5254,0.39,0.6642,0.4111,0.0084,0.3494,0.4159,0.4405,0.0092,0.3892
qawiki,grok-3-mini,150,143,0.0467,0.2867,0.2028,0.4545,0.3636,0.9371,0.1888,0.579,0.492,0.0255,0.3868,150,128,0.1467,0.8672,0.7422,1.0,0.875,0.9219,0.6797,0.9601,0.9031,0.0704,0.819,0.5805,0.5394,0.5455,0.5114,-0.0152,0.4909,0.3811,0.4111,0.0449,0.4322
qawiki,llama3.1:70b,150,147,0.02,0.1633,0.034,0.1633,0.1837,0.7483,0.0136,0.3746,0.2686,0.0879,0.1634,150,150,0.0,0.8067,0.4733,1.0,0.8267,0.9333,0.4667,0.9067,0.7929,0.0377,0.7731,0.6434,0.4393,0.8367,0.643,0.185,0.4531,0.5321,0.5243,-0.0502,0.6097
qawiki,llama3.1:8b,150,150,0.0,0.0067,0.0067,0.0467,0.0067,0.8733,0.0,0.1259,0.0996,0.0318,0.0491,150,150,0.0,0.1133,0.1,1.0,0.3533,0.68,0.06,0.4828,0.4791,0.1024,0.385,0.1066,0.0933,0.9533,0.3466,-0.1933,0.06,0.3569,0.3795,0.0706,0.3359
qawiki,mistral-small:24b,148,118,0.2027,0.3305,0.1017,0.3475,0.3729,0.5085,0.0,0.5405,0.399,0.2936,0.2379,150,144,0.04,0.8472,0.6597,1.0,0.875,0.7222,0.4236,0.9371,0.8507,0.2539,0.5975,0.5167,0.558,0.6525,0.5021,0.2137,0.4236,0.3966,0.4517,-0.0397,0.3596
qawiki,o3,148,142,0.0405,0.2465,0.1268,0.4155,0.2606,0.8239,0.1197,0.5162,0.4162,0.066,0.3487,150,136,0.0933,0.7426,0.7279,1.0,0.8676,0.9338,0.6765,0.8933,0.8846,0.0486,0.8194,0.4961,0.6011,0.5845,0.607,0.1099,0.5568,0.3771,0.4684,-0.0174,0.4707
spinach,deepseek-chat,150,147,0.02,0.3197,0.1293,0.449,0.4286,0.5578,0.0612,0.5921,0.4602,0.149,0.2147,150,125,0.1667,0.96,0.808,0.52,0.864,0.744,0.6,0.9935,0.9302,0.2252,0.6674,0.6403,0.6787,0.071,0.4354,0.1862,0.5388,0.4014,0.47,0.0762,0.4527
spinach,deepseek-reasoner,150,148,0.0133,0.1824,0.1081,0.4054,0.2838,0.8514,0.0946,0.4962,0.4124,0.0402,0.3,150,134,0.1067,0.8731,0.7985,0.5,0.8358,0.7612,0.5597,0.916,0.8806,0.2332,0.5476,0.6907,0.6904,0.0946,0.552,-0.0902,0.4651,0.4198,0.4682,0.193,0.2476
spinach,gemini-2.0-flash,150,150,0.0,0.4,0.1,0.4267,0.32,0.66,0.0333,0.6502,0.4701,0.12,0.2635,150,127,0.1533,0.874,0.8425,1.0,0.9685,0.7087,0.5984,0.9415,0.9125,0.1965,0.6374,0.474,0.7425,0.5733,0.6485,0.0487,0.5651,0.2913,0.4424,0.0765,0.3739
spinach,gemini-2.5-flash,150,148,0.0133,0.3311,0.25,0.4527,0.473,0.8176,0.223,0.6215,0.5524,0.0331,0.4382,150,143,0.0467,0.9301,0.9161,1.0,0.972,0.9371,0.8531,0.9505,0.9527,0.056,0.8446,0.599,0.6661,0.5473,0.499,0.1195,0.6301,0.329,0.4003,0.0229,0.4064
spinach,gemini-2.5-pro,150,149,0.0067,0.3154,0.2148,0.4161,0.4295,0.8188,0.1879,0.6527,0.5655,0.0231,0.458,150,145,0.0333,0.7931,0.7724,1.0,0.8897,0.9517,0.731,0.8561,0.8829,0.0424,0.8236,0.4777,0.5576,0.5839,0.4602,0.1329,0.5431,0.2034,0.3174,0.0193,0.3656
spinach,gpt-4.1-2025-04-14,150,150,0.0,0.4733,0.2067,0.5067,0.4267,0.62,0.1267,0.7396,0.58,0.1208,0.3468,150,148,0.0133,0.9257,0.8514,0.6419,0.9595,0.8514,0.7162,0.9785,0.9755,0.1259,0.8253,0.4524,0.6447,0.1352,0.5328,0.2314,0.5895,0.2389,0.3955,0.0051,0.4785
spinach,gpt-4.1-mini-2025-04-14,150,150,0.0,0.4333,0.1933,0.5533,0.4,0.5,0.0733,0.7356,0.5728,0.1756,0.2803,150,138,0.08,0.942,0.8043,0.5362,0.8913,0.8116,0.6232,0.9775,0.9414,0.1716,0.716,0.5087,0.611,-0.0171,0.4913,0.3116,0.5499,0.2419,0.3686,-0.004,0.4357
spinach,gpt-4.1-nano-2025-04-14,150,148,0.0133,0.3243,0.1351,0.5338,0.4122,0.5878,0.0405,0.6131,0.45,0.2148,0.1761,150,91,0.3933,0.956,0.3187,0.5934,0.3297,0.6154,0.0,0.956,0.5989,0.3846,0.011,0.6317,0.1836,0.0596,-0.0825,0.0276,-0.0405,0.3429,0.1489,0.1698,-0.1651
spinach,gpt-4o,150,130,0.1333,0.4769,0.1692,0.5077,0.4615,0.7692,0.1077,0.6944,0.5049,0.1063,0.3398,150,78,0.48,0.9615,0.8846,0.9487,0.9744,0.7564,0.641,0.8753,0.9748,0.2327,0.724,0.4846,0.7154,0.441,0.5129,-0.0128,0.5333,0.1809,0.4699,0.1264,0.3842
spinach,gpt-5,150,117,0.22,0.5385,0.3077,0.5812,0.5812,0.906,0.2821,0.728,0.6219,0.0311,0.5924,150,108,0.28,0.9167,0.8333,1.0,0.963,0.9259,0.7685,0.9572,0.9269,0.0665,0.8878,0.3782,0.5256,0.4188,0.3818,0.0199,0.4864,0.2292,0.305,0.0354,0.2954
spinach,gpt-5-mini,150,98,0.3467,0.5204,0.2347,0.4592,0.551,0.9184,0.2041,0.7129,0.5286,0.0379,0.5334,150,100,0.3333,0.85,0.52,1.0,0.64,0.9,0.45,0.8807,0.684,0.1,0.5647,0.3296,0.2853,0.5408,0.089,-0.0184,0.2459,0.1678,0.1554,0.0621,0.0313
spinach,gpt-5-nano,150,115,0.2333,0.513,0.2522,0.4783,0.5217,0.8783,0.2261,0.6939,0.5035,0.0888,0.4721,150,150,0.0,0.7533,0.7,1.0,0.78,0.2067,0.0067,0.7567,0.7682,0.7933,0.0769,0.2403,0.4478,0.5217,0.2583,-0.6716,-0.2194,0.0628,0.2647,0.7045,-0.3952
spinach,gpt-oss:20b,150,146,0.0267,0.2192,0.1027,0.3493,0.2466,0.8425,0.0753,0.4254,0.3527,0.0636,0.2316,150,140,0.0667,0.6,0.4429,1.0,0.6857,0.8929,0.4,0.7303,0.7697,0.0367,0.6143,0.3808,0.3402,0.6507,0.4391,0.0504,0.3247,0.3049,0.417,-0.0269,0.3827
spinach,grok-3-mini,150,145,0.0333,0.3172,0.2621,0.5448,0.4621,0.8828,0.2552,0.6598,0.6349,0.0335,0.4769,150,139,0.0733,0.8921,0.7338,1.0,0.8705,0.9424,0.6835,0.955,0.9336,0.0474,0.831,0.5749,0.4717,0.4552,0.4084,0.0596,0.4283,0.2952,0.2987,0.0139,0.3541
spinach,llama3.1:70b,150,150,0.0,0.2267,0.0867,0.32,0.26,0.7333,0.0467,0.4951,0.3904,0.0865,0.2086,150,149,0.0067,0.8054,0.5973,1.0,0.8658,0.9396,0.5705,0.9018,0.8644,0.0236,0.7954,0.5787,0.5106,0.68,0.6058,0.2063,0.5238,0.4067,0.474,-0.0629,0.5868
spinach,llama3.1:8b,150,150,0.0,0.02,0.0,0.0333,0.0333,0.7933,0.0,0.1735,0.1221,0.0517,0.0628,150,150,0.0,0.2067,0.0533,1.0,0.3133,0.7,0.0333,0.6022,0.5033,0.0949,0.3606,0.1867,0.0533,0.9667,0.28,-0.0933,0.0333,0.4287,0.3812,0.0432,0.2978
spinach,mistral-small:24b,144,128,0.1111,0.4297,0.1797,0.4297,0.3828,0.6328,0.0156,0.6645,0.4722,0.2505,0.2274,150,144,0.04,0.8333,0.5069,1.0,0.75,0.7986,0.3889,0.9132,0.7673,0.1699,0.6045,0.4036,0.3272,0.5703,0.3672,0.1658,0.3733,0.2487,0.2951,-0.0806,0.3771
spinach,o3,144,143,0.0069,0.4126,0.3357,0.5804,0.5315,0.9091,0.3077,0.7275,0.6479,0.0315,0.5278,150,145,0.0333,0.7931,0.7793,0.5172,0.8759,0.9655,0.7586,0.925,0.8772,0.0279,0.8314,0.3805,0.4436,-0.0632,0.3444,0.0564,0.4509,0.1975,0.2293,-0.0036,0.3036
synthetic,deepseek-chat,150,148,0.0133,0.4662,0.2027,0.5068,0.4797,0.5541,0.1149,0.6846,0.548,0.1648,0.3199,150,145,0.0333,0.931,0.7724,0.9034,0.9172,0.9586,0.7655,0.9565,0.9393,0.0354,0.8957,0.4648,0.5697,0.3966,0.4375,0.4045,0.6506,0.2719,0.3913,-0.1294,0.5758
synthetic,deepseek-reasoner,150,150,0.0,0.2867,0.2333,0.5267,0.4467,0.7533,0.18,0.5706,0.5545,0.0427,0.4397,150,145,0.0333,0.7172,0.8759,0.931,0.9517,0.9034,0.7931,0.7691,0.9506,0.0948,0.8645,0.4305,0.6426,0.4043,0.505,0.1501,0.6131,0.1985,0.3961,0.0521,0.4248
synthetic,gemini-2.0-flash,150,150,0.0,0.4267,0.18,0.5267,0.44,0.5533,0.0933,0.7391,0.5706,0.1478,0.364,150,139,0.0733,0.8489,0.8345,1.0,0.9065,0.8058,0.6906,0.9247,0.9375,0.1321,0.792,0.4222,0.6545,0.4733,0.4665,0.2525,0.5973,0.1856,0.3669,-0.0157,0.428
synthetic,gemini-2.5-flash,150,150,0.0,0.4667,0.3467,0.6067,0.5533,0.8733,0.3133,0.7421,0.6804,0.0241,0.5958,150,148,0.0133,0.8649,0.9257,1.0,0.973,0.9797,0.9189,0.9207,0.9714,0.0146,0.9424,0.3982,0.579,0.3933,0.4197,0.1064,0.6056,0.1786,0.291,-0.0095,0.3466
synthetic,gemini-2.5-pro,150,150,0.0,0.4467,0.3533,0.6067,0.4933,0.8067,0.3067,0.7282,0.7069,0.0412,0.5999,150,148,0.0133,0.777,0.6824,1.0,0.8311,0.9662,0.6689,0.811,0.7747,0.0181,0.7374,0.3303,0.3291,0.3933,0.3378,0.1595,0.3622,0.0828,0.0678,-0.0231,0.1375
synthetic,gpt-4.1-2025-04-14,150,150,0.0,0.6,0.2733,0.7,0.54,0.6133,0.1667,0.8377,0.7008,0.1287,0.4685,150,147,0.02,0.898,0.8571,0.7007,0.9796,0.966,0.8367,0.9619,0.9649,0.0178,0.953,0.298,0.5838,0.0007,0.4396,0.3527,0.67,0.1242,0.2641,-0.1109,0.4845
synthetic,gpt-4.1-mini-2025-04-14,150,150,0.0,0.4667,0.18,0.5533,0.5333,0.52,0.08,0.75,0.6301,0.1726,0.3793,150,147,0.02,0.8571,0.8707,0.551,0.9796,0.932,0.8095,0.9412,0.9542,0.0492,0.9127,0.3904,0.6907,-0.0023,0.4463,0.412,0.7295,0.1912,0.3241,-0.1234,0.5334
synthetic,gpt-4.1-nano-2025-04-14,150,150,0.0,0.3667,0.1133,0.5133,0.4467,0.5867,0.06,0.6469,0.5003,0.1767,0.3219,150,112,0.2533,0.9554,0.4911,0.2589,0.4911,0.4554,0.0,0.9634,0.6784,0.534,0.0,0.5887,0.3778,-0.2544,0.0444,-0.1313,-0.06,0.3165,0.1781,0.3573,-0.3219
synthetic,gpt-4o,150,145,0.0333,0.3862,0.131,0.5379,0.3931,0.7241,0.0897,0.6688,0.5405,0.1312,0.368,150,106,0.2933,0.9245,0.8679,1.0,0.9623,0.8396,0.7264,0.8805,0.9595,0.1425,0.8158,0.5383,0.7369,0.4621,0.5692,0.1155,0.6367,0.2117,0.419,0.0113,0.4478
synthetic,gpt-5,150,146,0.0267,0.5411,0.3767,0.5959,0.637,0.8904,0.3493,0.7811,0.6781,0.0195,0.6904,150,137,0.0867,0.8832,0.9051,1.0,0.9708,0.9416,0.8613,0.9561,0.9451,0.0584,0.9147,0.3421,0.5284,0.4041,0.3338,0.0512,0.512,0.175,0.267,0.0389,0.2243
synthetic,gpt-5-mini,150,133,0.1133,0.5038,0.2632,0.4737,0.5489,0.8722,0.2406,0.7215,0.5704,0.0653,0.5787,150,127,0.1533,0.8504,0.5669,1.0,0.622,0.9528,0.5591,0.927,0.7245,0.0472,0.6144,0.3466,0.3037,0.5263,0.0731,0.0806,0.3185,0.2055,0.1541,-0.0181,0.0357
synthetic,gpt-5-nano,150,139,0.0733,0.5252,0.3669,0.6547,0.554,0.9281,0.3309,0.7301,0.6395,0.0442,0.5987,150,150,0.0,0.78,0.6467,1.0,0.74,0.2333,0.0,0.7872,0.7296,0.7667,0.0864,0.2548,0.2798,0.3453,0.186,-0.6948,-0.3309,0.0571,0.0901,0.7225,-0.5123
synthetic,gpt-oss:20b,150,150,0.0,0.2733,0.22,0.5,0.4,0.7933,0.1733,0.5755,0.5528,0.0474,0.4674,150,148,0.0133,0.6486,0.4595,1.0,0.75,0.8986,0.4392,0.8223,0.7599,0.0449,0.6883,0.3753,0.2395,0.5,0.35,0.1053,0.2659,0.2468,0.2071,-0.0025,0.2209
synthetic,grok-3-mini,150,150,0.0,0.4533,0.3467,0.6267,0.5467,0.88,0.3067,0.7199,0.6895,0.0401,0.597,150,147,0.02,0.898,0.8163,1.0,0.932,0.9728,0.7959,0.9583,0.9557,0.0272,0.9165,0.4447,0.4696,0.3733,0.3853,0.0928,0.4892,0.2384,0.2662,-0.0129,0.3195
synthetic,llama3.1:70b,150,150,0.0,0.3067,0.0867,0.4067,0.3067,0.6467,0.0467,0.6141,0.4462,0.1147,0.2735,150,150,0.0,0.82,0.6,1.0,0.88,0.92,0.6,0.9204,0.8955,0.0327,0.8533,0.5133,0.5133,0.5933,0.5733,0.2733,0.5533,0.3063,0.4493,-0.082,0.5798
synthetic,llama3.1:8b,150,150,0.0,0.0267,0.0,0.0333,0.0067,0.8,0.0,0.2604,0.1659,0.034,0.103,150,150,0.0,0.2267,0.1067,1.0,0.42,0.68,0.0867,0.6402,0.5797,0.0901,0.4721,0.2,0.1067,0.9667,0.4133,-0.12,0.0867,0.3798,0.4138,0.0561,0.3691
synthetic,mistral-small:24b,150,142,0.0533,0.3732,0.1268,0.5493,0.4014,0.5634,0.0282,0.6245,0.5033,0.2108,0.2686,150,150,0.0,0.8533,0.5667,1.0,0.8333,0.9133,0.5333,0.9257,0.8309,0.07,0.7751,0.4801,0.4399,0.4507,0.4319,0.3499,0.5051,0.3012,0.3276,-0.1408,0.5065
synthetic,o3,150,149,0.0067,0.3758,0.2617,0.5235,0.443,0.8658,0.2483,0.6787,0.6061,0.0252,0.5425,150,149,0.0067,0.9128,0.906,1.0,0.9799,0.9799,0.8926,0.9766,0.9693,0.0183,0.9571,0.537,0.6443,0.4765,0.5369,0.1141,0.6443,0.2979,0.3632,-0.0069,0.4146
