dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
LC-QuAD,classification,gpt-4o,0.3133,0.1667,0.1133,0.18,0.1867,0.1333,0.0733,0.0667,0.0867,1.0,0.9133,,,0.9,0.3133,0.1769,0.1487,0.1392,0.1291,0.1282,0.8031,0.6733,0.6867,0.7733,0.78,0.7533,0.7733,0.0756,0.1322,0.7283,0.0,0.0,0.0,0.0,0.0004,0.0
LC-QuAD,classification,gpt-5,0.6733,0.5533,0.3867,0.5733,0.6333,0.5533,0.2733,0.26,0.28,0.96,0.7733,,,0.9667,0.6991,0.5648,0.5651,0.4808,0.4203,0.4699,0.3667,0.28,0.2867,0.3,0.3467,0.2533,0.34,0.2711,0.457,0.3034,0.0,0.0,0.2442,0.0,0.9738,0.0
LC-QuAD,classification,gpt-5-mini,0.3933,0.2333,0.2533,0.26,0.4333,0.2333,0.16,0.14,0.1333,0.9533,0.8467,,,0.8533,0.4216,0.2787,0.2533,0.2604,0.2569,0.2631,0.5667,0.5533,0.5067,0.4933,0.5,0.5533,0.5533,0.1444,0.2601,0.5133,0.0,0.0201,0.5598,0.2257,0.004,0.0
LC-QuAD,classification,gpt-5-nano,0.7067,0.5867,0.0533,0.6533,0.1333,0.0067,0.02,0.6,0.04,0.9467,0.3467,,,0.2733,0.7067,0.6368,0.0667,0.0244,0.6,0.04,0.8667,0.1667,0.1333,0.0467,0.0267,0.1467,0.1333,0.22,0.2215,0.0934,0.0004,0.0,1.0,0.0018,1.0,1.0
LC-QuAD,classification,gpt-oss:20b,0.5533,0.34,0.2333,0.5533,0.6333,0.32,0.0867,0.0933,0.1,0.74,0.54,,,0.7133,0.6465,0.5238,0.494,0.2928,0.2852,0.2839,0.3394,0.1933,0.1467,0.18,0.2333,0.16,0.2,0.0933,0.2873,0.1883,0.0,0.0,0.1055,0.0,0.1808,0.0
LC-QuAD,classification,grok-3-mini,0.8067,0.6667,0.46,0.74,0.7667,0.66,0.1867,0.18,0.2067,0.9533,0.66,,,0.9133,0.8323,0.7253,0.7145,0.478,0.4681,0.4849,0.2268,0.14,0.14,0.1867,0.1867,0.1267,0.14,0.1911,0.477,0.1634,0.0,0.0,0.004,0.0,0.8923,0.0
LC-QuAD,classification,llama3.1:70b,0.7667,0.6267,0.3,0.8867,0.9133,0.6133,0.1667,0.1267,0.1267,0.8333,0.68,,,0.6,0.8856,0.8628,0.8163,0.4143,0.3793,0.3859,0.0575,0.0133,0.0467,0.0133,0.02,0.0067,0.0,0.14,0.3932,0.0233,0.0,0.0,0.1013,0.0,0.0,0.0
LC-QuAD,classification,llama3.1:8b,0.1067,0.0733,0.0667,0.2667,0.6667,0.02,0.0133,0.0133,0.0133,0.8533,0.7333,,,0.9067,0.5162,0.4449,0.342,0.2071,0.1868,0.1681,0.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.1873,0.0,0.0022,0.0005,0.6128,0.0,0.8322,0.125
LC-QuAD,classification,mistral-small:24b,0.72,0.4533,0.3267,0.6867,0.6867,0.3667,0.22,0.1867,0.2133,0.9,0.6733,,,0.6467,0.8073,0.6267,0.5249,0.4621,0.3964,0.4273,0.2862,0.12,0.1267,0.1067,0.08,0.12,0.0267,0.2067,0.4286,0.1084,0.0,0.0,0.9456,0.0,0.0,0.0
LC-QuAD,classification,o3,0.6933,0.7,0.4333,0.8,0.8667,0.7,0.16,0.2,0.1933,0.8467,0.62,,,0.8933,0.8154,0.7784,0.7742,0.4403,0.5154,0.4791,0.127,0.1333,0.1067,0.1133,0.0867,0.1333,0.1067,0.1844,0.4783,0.11,0.0,0.0,0.0135,0.0,0.8491,0.0
LC-QuAD,fixing,deepseek-chat,0.6933,0.56,0.7667,0.82,0.7533,0.52,0.4067,0.4267,0.4333,,,,,,0.8154,0.7142,0.6789,0.6558,0.6658,0.6865,0.2374,0.0733,0.08,0.16,0.1067,0.0733,0.0733,0.4222,0.6694,0.105,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,deepseek-reasoner,0.7133,0.62,0.7933,0.8067,0.82,0.6133,0.2133,0.18,0.1667,,,,,,0.8296,0.7478,0.7533,0.4754,0.471,0.4677,0.1735,0.0667,0.0467,0.0933,0.1,0.06,0.0467,0.1867,0.4714,0.0767,0.0,0.0,0.0,0.0,0.002,0.0
LC-QuAD,fixing,gemini-2.0-flash,0.7733,0.7133,0.7933,0.8533,0.8733,0.6933,0.7267,0.74,0.6933,,,,,,0.7967,0.8443,0.839,0.8348,0.852,0.8158,0.1107,0.0133,0.0067,0.0267,0.0733,0.0133,0.0133,0.72,0.8342,0.03,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gemini-2.5-flash,0.9,0.7867,0.8533,0.8333,0.86,0.7867,0.56,0.5333,0.5667,,,,,,0.9261,0.8057,0.8114,0.6791,0.6754,0.6871,0.1356,0.06,0.0333,0.0733,0.1,0.06,0.0667,0.5533,0.6805,0.0666,0.0,0.0,0.0,0.0,0.0012,0.0
LC-QuAD,fixing,gemini-2.5-pro,0.8267,0.7867,0.8467,0.88,0.9067,0.7867,0.4133,0.44,0.4267,,,,,,0.8929,0.8605,0.8753,0.6811,0.6882,0.6872,0.0933,0.06,0.02,0.02,0.08,0.0467,0.06,0.4267,0.6855,0.045,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-2025-04-14,0.7,0.68,0.8533,0.8467,0.8467,0.6733,0.22,0.2467,0.2267,,,,,,0.8545,0.8236,0.8205,0.5158,0.5307,0.5145,0.1262,0.06,0.06,0.0867,0.0933,0.06,0.06,0.2311,0.5203,0.075,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-mini-2025-04-14,0.66,0.5667,0.7733,0.82,0.6867,0.5533,0.1333,0.1467,0.1533,,,,,,0.8146,0.6904,0.6753,0.4258,0.4416,0.4297,0.2867,0.0733,0.0667,0.1733,0.14,0.08,0.0733,0.1444,0.4324,0.1133,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-nano-2025-04-14,0.3,0.0867,0.2867,0.4,0.3133,0.0667,0.04,0.0467,0.04,,,,,,0.4465,0.2688,0.1974,0.1845,0.179,0.1665,0.5645,0.1733,0.2067,0.3667,0.2,0.1667,0.1733,0.0422,0.1767,0.2367,0.0,0.0002,0.0043,0.0,0.6482,0.0
LC-QuAD,fixing,gpt-4o,0.4267,0.32,0.3933,0.44,0.3667,0.3133,0.1467,0.16,0.1333,,,,,,0.4948,0.358,0.359,0.2849,0.293,0.2758,0.6298,0.4267,0.4133,0.5267,0.4667,0.44,0.46,0.1467,0.2846,0.4584,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-5,0.56,0.52,0.5467,0.56,0.5533,0.52,0.2467,0.2933,0.2467,,,,,,0.6202,0.5356,0.5358,0.4258,0.4352,0.3941,0.4467,0.36,0.3533,0.3467,0.3933,0.4,0.3667,0.2622,0.4184,0.3633,0.0,0.0,0.0,0.0,0.0392,0.0
LC-QuAD,fixing,gpt-5-mini,0.32,0.2533,0.2933,0.3133,0.3133,0.2533,0.16,0.16,0.1667,,,,,,0.3585,0.2761,0.279,0.2367,0.2462,0.255,0.6867,0.6,0.6,0.5867,0.5867,0.5933,0.5933,0.1622,0.246,0.5934,0.0,0.0006,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-5-nano,0.3667,0.26,0.3333,0.3333,0.34,0.26,0.18,0.14,0.1533,,,,,,0.4156,0.2966,0.3026,0.2737,0.2432,0.2575,0.649,0.5533,0.5,0.4867,0.5933,0.5333,0.56,0.1578,0.2581,0.5333,0.0,0.0,0.0,0.0,0.0023,0.0
LC-QuAD,fixing,gpt-oss:20b,0.3933,0.3933,0.5533,0.6333,0.62,0.3933,0.08,0.1133,0.0667,,,,,,0.5805,0.553,0.5818,0.2831,0.3211,0.2893,0.3719,0.1733,0.1267,0.18,0.2867,0.16,0.18,0.0867,0.2978,0.1917,0.0,0.0,0.0,0.0,0.0063,0.0
LC-QuAD,fixing,grok-3-mini,0.7467,0.6333,0.7667,0.7333,0.7133,0.6267,0.24,0.24,0.26,,,,,,0.8069,0.6888,0.6952,0.4825,0.4727,0.5146,0.2804,0.1533,0.14,0.1533,0.2267,0.1067,0.12,0.2467,0.4899,0.1683,0.0,0.0,0.0,0.0,0.0466,0.0
LC-QuAD,fixing,llama3.1:70b,0.58,0.3933,0.64,0.76,0.8067,0.3867,0.1467,0.1267,0.1467,,,,,,0.7463,0.6825,0.6734,0.3851,0.3825,0.3909,0.1617,0.02,0.04,0.0933,0.0533,0.02,0.0267,0.14,0.3862,0.0516,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,llama3.1:8b,0.0867,0.0067,0.0867,0.0733,0.62,0.0,0.0,0.0067,0.0067,,,,,,0.3944,0.2864,0.2022,0.0965,0.0989,0.1014,0.1298,0.0,0.0,0.0133,0.0,0.0,0.0,0.0045,0.0989,0.0033,0.0065,0.5,0.3388,0.2272,0.952,1.0
LC-QuAD,fixing,mistral-small:24b,0.5067,0.34,0.5133,0.6933,0.64,0.3267,0.26,0.3067,0.3133,,,,,,0.6348,0.4748,0.4765,0.5223,0.5392,0.5456,0.3343,0.2533,0.18,0.2467,0.1667,0.2333,0.2067,0.2933,0.5357,0.2117,0.0,0.0,0.0002,0.0,0.0,0.0
LC-QuAD,fixing,o3,0.5533,0.6467,0.7733,0.7867,0.8133,0.6467,0.1867,0.1667,0.22,,,,,,0.7684,0.7456,0.7551,0.4565,0.477,0.4831,0.1867,0.1467,0.12,0.1333,0.1533,0.18,0.1333,0.1911,0.4722,0.1383,0.0,0.0,0.0,0.0,0.3036,0.0
LC-QuAD,zero-shot,deepseek-chat,0.2267,0.1,0.3533,0.2333,0.36,0.02,0.2027,,,,,,,,0.5293,0.3928,0.2306,0.4875,,,0.3598,0.0933,0.0933,0.1267,0.1333,0.0,0.0,0.2027,0.4875,0.1116,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,deepseek-reasoner,0.1267,0.1,0.3533,0.24,0.8067,0.0733,,,,,,,,,0.4592,0.379,0.2992,,,,0.0903,0.0267,0.04,0.0467,0.0333,0.0,0.0,,,0.0367,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.0-flash,0.24,0.08,0.3533,0.28,0.6267,0.0333,0.723,,,,,,,,0.522,0.3901,0.2683,0.8353,,,0.1409,0.0067,0.0,0.0067,0.0067,0.0,0.0,0.723,0.8353,0.005,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.5-flash,0.26,0.1533,0.4133,0.26,0.78,0.1467,0.5743,,,,,,,,0.5402,0.4453,0.3463,0.7254,,,0.1057,0.0467,0.02,0.0667,0.0267,0.0,0.0,0.5743,0.7254,0.04,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.5-pro,0.2333,0.1667,0.3533,0.32,0.78,0.14,0.4189,,,,,,,,0.5874,0.4902,0.4053,0.6984,,,0.1045,0.0333,0.0133,0.0533,0.0333,0.0,0.0,0.4189,0.6984,0.0333,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-2025-04-14,0.2133,0.0733,0.3733,0.2133,0.6,0.0467,0.2568,,,,,,,,0.5244,0.4232,0.2712,0.5458,,,0.1782,0.0467,0.0533,0.06,0.0533,0.0,0.0,0.2568,0.5458,0.0533,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-mini-2025-04-14,0.14,0.0267,0.26,0.14,0.4333,0.0067,0.1486,,,,,,,,0.3994,0.2556,0.1597,0.4146,,,0.36,0.0733,0.0667,0.1467,0.18,0.0,0.0,0.1486,0.4146,0.1167,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-nano-2025-04-14,0.08,0.0133,0.1133,0.08,0.3533,0.0133,0.1014,,,,,,,,0.2502,0.1174,0.0747,0.2782,,,0.514,0.16,0.1933,0.3467,0.3333,0.0,0.0,0.1014,0.2782,0.2583,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4o,0.0,0.0067,0.04,0.0067,0.0133,0.0067,0.1554,,,,,,,,0.0111,0.0067,0.0067,0.3603,,,0.9867,0.3667,0.9733,0.9333,0.9867,0.0,0.0,0.1554,0.3603,0.815,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5,0.16,0.1133,0.3467,0.1933,0.4933,0.1133,0.2635,,,,,,,,0.2893,0.3006,0.2593,0.4361,,,0.4914,0.3467,0.4733,0.2267,0.4667,0.0,0.0,0.2635,0.4361,0.3783,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5-mini,0.1067,0.0933,0.1733,0.1333,0.2,0.0933,0.1014,,,,,,,,0.1896,0.1466,0.1361,0.1836,,,0.7927,0.6933,0.5533,0.6,0.72,0.0,0.0,0.1014,0.1836,0.6417,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5-nano,0.14,0.0933,0.2,0.1667,0.28,0.0933,0.1149,,,,,,,,0.2315,0.1759,0.1639,0.2401,,,0.6969,0.5333,0.5733,0.5533,0.5667,0.0,0.0,0.1149,0.2401,0.5566,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-oss:20b,0.0867,0.0267,0.2067,0.12,0.6267,0.02,0.1014,,,,,,,,0.2535,0.2161,0.1549,0.3184,,,0.2899,0.12,0.18,0.1267,0.2333,0.0,0.0,0.1014,0.3184,0.165,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,grok-3-mini,0.2,0.1467,0.3933,0.26,0.7133,0.1267,,,,,,,,,0.4685,0.3742,0.3105,,,,0.2196,0.0733,0.0867,0.0867,0.1533,0.0,0.0,,,0.1,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,llama3.1:70b,0.1,0.0267,0.22,0.1533,0.66,0.0133,,,,,,,,,0.3175,0.2624,0.1637,,,,0.1551,0.04,0.02,0.02,0.0667,0.0,0.0,,,0.0367,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,llama3.1:8b,0.02,0.0,0.0667,0.04,0.7067,0.0,0.0203,,,,,,,,0.1848,0.1555,0.0943,0.1432,,,0.0642,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0203,0.1432,0.005,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,mistral-small:24b,0.0878,0.027,0.0878,0.1081,0.1824,0.0,0.0946,,,,,,,,0.1664,0.1057,0.0484,0.1736,,,0.7075,0.6622,0.2568,0.4257,0.4324,0.0,0.0,0.0946,0.1736,0.4443,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,o3,0.1419,0.1081,0.3378,0.1892,0.7162,0.0946,0.1824,,,,,,,,0.3566,0.324,0.2544,0.483,,,0.264,0.1284,0.1689,0.1081,0.1622,0.0,0.0,0.1824,0.483,0.1419,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,chain-of-thought,deepseek-chat,0.777,0.5,0.6149,0.6419,0.7432,0.4865,,,,,,,,,0.7958,0.6683,0.6465,,,,0.2477,0.1757,0.1757,0.2095,0.2027,0.0,0.0,,,0.1909,0.0,0.0,0.0,0.0,0.0198,0.0
qawiki,chain-of-thought,deepseek-reasoner,0.7933,0.6,0.6867,0.6733,0.76,0.5933,,,,,,,,,0.8147,0.703,0.6838,,,,0.2295,0.16,0.1667,0.18,0.2,0.0,0.0,,,0.1767,0.0,0.0,0.0,0.0,0.4402,0.0
qawiki,chain-of-thought,gpt-4.1-2025-04-14,0.8919,0.723,0.8514,0.8716,0.8243,0.7027,,,,,,,,,0.92,0.8233,0.7999,,,,0.1623,0.0541,0.0608,0.0946,0.1149,0.0,0.0,,,0.0811,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,chain-of-thought,gpt-5,0.7933,0.7267,0.78,0.7733,0.7733,0.7,,,,,,,,,0.8062,0.7831,0.742,,,,0.2165,0.1667,0.1733,0.1733,0.1867,0.0,0.0,,,0.175,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,chain-of-thought,gpt-5-nano,0.4933,0.3267,0.44,0.42,0.5267,0.3133,,,,,,,,,0.5284,0.4755,0.4346,,,,0.465,0.42,0.4333,0.42,0.4533,0.0,0.0,,,0.4316,0.0,0.0,0.0002,0.0015,0.43,0.0
qawiki,chain-of-thought,llama3.1:70b,0.7267,0.4133,0.5333,0.6267,0.6467,0.3733,,,,,,,,,0.7785,0.5707,0.5558,,,,0.3176,0.1333,0.14,0.2067,0.2467,0.0,0.0,,,0.1817,0.0,0.0,0.0,0.0,0.2175,0.0
qawiki,chain-of-thought,llama3.1:8b,0.6067,0.2467,0.5733,0.54,0.6333,0.2333,,,,,,,,,0.7131,0.4671,0.4345,,,,0.3323,0.0867,0.0933,0.16,0.2467,0.0,0.0,,,0.1467,0.0,0.0,0.0,0.0,0.1659,0.0
qawiki,classification,deepseek-chat,0.6133,0.4267,0.5267,0.5067,0.4667,0.4067,0.2067,0.2067,0.2067,,,,,,0.6259,0.478,0.4577,0.3571,0.331,0.3522,0.505,0.3667,0.3667,0.4,0.4333,0.3267,0.3733,0.2067,0.3468,0.3917,0.0,0.0,0.0,0.0,0.992,0.0
qawiki,classification,deepseek-reasoner,0.6733,0.28,0.2267,0.3067,0.32,0.28,0.28,0.1867,0.2067,,,,,,0.7067,0.2913,0.2867,0.4256,0.271,0.2889,0.68,0.2667,0.22,0.48,0.6267,0.3933,0.64,0.2245,0.3285,0.3984,0.0,0.0,0.0,0.0,1.0,0.0
qawiki,classification,gemini-2.0-flash,0.5667,0.3533,0.2467,0.4067,0.3133,0.2667,0.2533,0.1667,0.1867,0.88,0.8067,,,0.86,0.6471,0.3883,0.3551,0.4338,0.3281,0.3274,0.6136,0.3067,0.3,0.5333,0.5467,0.22,0.48,0.2022,0.3631,0.4217,0.0,0.0,0.0006,0.0,1.0,0.0
qawiki,classification,gemini-2.5-flash,0.78,0.6733,0.4133,0.7267,0.7133,0.6667,0.2067,0.2267,0.18,0.8667,0.6533,,,0.98,0.8404,0.6963,0.6904,0.527,0.486,0.5085,0.2811,0.12,0.12,0.2,0.2467,0.08,0.18,0.2045,0.5072,0.1717,0.0,0.0,0.0967,0.0,0.9674,0.0
qawiki,classification,gemini-2.5-pro,0.8133,0.58,0.4,0.6467,0.7067,0.5733,0.24,0.1733,0.22,0.9667,0.66,,,0.92,0.862,0.6265,0.6172,0.5339,0.439,0.4759,0.2833,0.1067,0.0933,0.2067,0.22,0.1067,0.2,0.2111,0.4829,0.1567,0.0,0.0,0.0111,0.0,0.1147,0.0
qawiki,classification,gpt-4.1-2025-04-14,0.8267,0.68,0.36,0.7867,0.7467,0.6667,0.18,0.1733,0.18,0.9267,0.5267,,,0.9067,0.8941,0.7381,0.7338,0.4965,0.4757,0.4488,0.247,0.0933,0.0933,0.1533,0.2067,0.1133,0.1933,0.1778,0.4737,0.1366,0.0,0.0,0.2664,0.0,0.0018,0.0
qawiki,classification,gpt-4.1-mini-2025-04-14,0.68,0.52,0.24,0.5933,0.62,0.52,0.1467,0.1467,0.1067,0.96,0.72,,,0.8667,0.7368,0.5717,0.5709,0.3954,0.3351,0.3297,0.3736,0.2333,0.2333,0.2133,0.3533,0.2333,0.3867,0.1334,0.3534,0.2583,0.0,0.0,0.5,0.0,0.9999,0.0
qawiki,classification,gpt-4.1-nano-2025-04-14,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8942,0.98,0.9867,0.6867,0.54,0.96,0.9733,0.0,0.0,0.7984,0.0,0.0,0.0,0.32,1.0,1.0
qawiki,classification,gpt-4o,0.2733,0.1867,0.16,0.22,0.24,0.18,0.12,0.0933,0.14,0.9933,0.9,,,0.9333,0.2828,0.2063,0.2014,0.1983,0.1749,0.2079,0.7537,0.7067,0.7133,0.74,0.7333,0.6667,0.72,0.1178,0.1937,0.7233,0.0,0.0,1.0,0.0,0.0023,0.0
qawiki,classification,gpt-5,0.5133,0.3933,0.3267,0.4267,0.44,0.3933,0.1867,0.2133,0.24,0.94,0.8733,,,0.9733,0.5636,0.4088,0.4,0.3886,0.3391,0.3794,0.56,0.4133,0.4067,0.5067,0.5333,0.38,0.5133,0.2133,0.369,0.465,0.0,0.0,0.7084,0.0,0.9867,0.0
qawiki,classification,gpt-5-mini,0.4533,0.28,0.2533,0.32,0.4667,0.28,0.16,0.1667,0.1467,0.8933,0.78,,,0.8667,0.5228,0.3354,0.2978,0.3095,0.2949,0.2914,0.5333,0.42,0.4267,0.4267,0.48,0.44,0.4667,0.1578,0.2986,0.4384,0.0001,0.8129,1.0,0.7646,0.0,0.0
qawiki,classification,gpt-5-nano,0.7267,0.6267,0.0267,0.68,0.1,0.0067,0.0667,0.5267,0.06,0.84,0.2,,,0.2333,0.7293,0.6553,0.0561,0.0667,0.5267,0.06,0.8956,0.1133,0.1,0.04,0.0333,0.0733,0.1133,0.2178,0.2178,0.0716,0.0,0.0004,1.0,0.0775,1.0,1.0
qawiki,classification,gpt-oss:20b,0.5533,0.3667,0.2533,0.5133,0.6,0.34,0.12,0.0933,0.1133,0.7533,0.5733,,,0.7333,0.6563,0.5168,0.481,0.3231,0.3092,0.3233,0.3645,0.22,0.1667,0.2533,0.28,0.2267,0.1867,0.1089,0.3185,0.23,0.0,0.0,0.2354,0.0,0.7743,0.0
