dataset,llm,n_total_zs,n_answered_zs,idk_rate_zs,?A1=A2_zs,?A1=A3+A4_zs,?A1>A3_zs,?A1>A4_zs,?A3∅A4_zs,?A4=A1|3_zs,J(A1-A2)_zs,J(A1-A34)_zs,J(A3-A4)_zs,J(A4-A1|3)_zs,n_total_clf,n_answered_clf,idk_rate_clf,?A1=A2_clf,?A1=A3+A4_clf,?A1>A3_clf,?A1>A4_clf,?A3∅A4_clf,?A4=A1|3_clf,J(A1-A2)_clf,J(A1-A34)_clf,J(A3-A4)_clf,J(A4-A1|3)_clf,Δ_?A1=A2,Δ_?A1=A3+A4,Δ_?A1>A3,Δ_?A1>A4,Δ_?A3∅A4,Δ_?A4=A1|3,Δ_J(A1-A2),Δ_J(A1-A34),Δ_J(A3-A4),Δ_J(A4-A1|3)
LC-QuAD,llama3.1:8b,150,139,0.0733,0.0144,0.0,0.0072,0.0,0.8993,0.0,0.114,0.086,0.0153,0.0453,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,mistral-small:24b,148,58,0.6081,0.3793,0.1034,0.4138,0.3448,0.4483,0.0,0.6746,0.4921,0.2709,0.2136,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,o3,148,115,0.223,0.2696,0.1565,0.513,0.2957,0.9217,0.1217,0.5744,0.53,0.0344,0.4116,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,deepseek-chat,150,103,0.3133,0.165,0.1262,0.3107,0.2913,0.5146,0.0485,0.4446,0.4197,0.1206,0.2484,150,72,0.52,0.9861,0.8889,0.9722,1.0,0.9306,0.8472,0.9969,0.9959,0.0243,0.9536,0.8211,0.7627,0.6615,0.7087,0.416,0.7987,0.5523,0.5762,-0.0963,0.7052
qawiki,deepseek-reasoner,150,126,0.16,0.119,0.0794,0.254,0.1667,0.7857,0.0714,0.3391,0.2991,0.0386,0.229,150,47,0.6867,0.9149,0.8936,0.5957,0.9149,1.0,0.8936,0.9626,0.9298,0.0,0.9149,0.7959,0.8142,0.3417,0.7482,0.2143,0.8222,0.6235,0.6307,-0.0386,0.6859
qawiki,gemini-2.0-flash,150,131,0.1267,0.2748,0.145,0.3893,0.4046,0.626,0.0458,0.547,0.4513,0.1403,0.2895,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,gemini-2.5-flash,150,121,0.1933,0.2149,0.2149,0.4132,0.2975,0.8347,0.1901,0.5601,0.5177,0.0265,0.4326,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,gemini-2.5-pro,150,133,0.1133,0.2105,0.1353,0.2932,0.2481,0.7594,0.1278,0.5725,0.4995,0.0318,0.4309,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,gpt-4.1-2025-04-14,150,130,0.1333,0.2846,0.0846,0.3769,0.3077,0.5846,0.0538,0.611,0.468,0.0919,0.3473,150,114,0.24,0.9123,0.8947,0.4561,0.9912,0.9825,0.8772,0.9862,0.9712,0.0092,0.9655,0.6277,0.8101,0.0792,0.6835,0.3979,0.8234,0.3752,0.5032,-0.0827,0.6182
qawiki,gpt-4.1-mini-2025-04-14,150,134,0.1067,0.2537,0.1119,0.4328,0.3507,0.5224,0.0373,0.6098,0.4676,0.1713,0.2849,150,93,0.38,0.871,0.8387,0.3763,0.9247,0.9892,0.8387,0.9626,0.9222,0.0004,0.9208,0.6173,0.7268,-0.0565,0.574,0.4668,0.8014,0.3528,0.4546,-0.1709,0.6359
qawiki,gpt-4.1-nano-2025-04-14,150,105,0.3,0.2571,0.0857,0.3619,0.3524,0.5619,0.0095,0.512,0.387,0.1703,0.2202,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,gpt-4o,150,66,0.56,0.3333,0.1515,0.4242,0.3636,0.7576,0.0909,0.6101,0.4801,0.0721,0.3316,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,gpt-5,150,56,0.6267,0.4643,0.4286,0.7143,0.5893,0.9107,0.4107,0.7614,0.7744,0.029,0.6779,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,gpt-5-mini,150,35,0.7667,0.5429,0.4857,0.7429,0.6286,0.9429,0.4571,0.7771,0.7581,0.0083,0.6661,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,gpt-5-nano,150,45,0.7,0.3778,0.4222,0.6889,0.6222,0.9333,0.3556,0.694,0.7377,0.018,0.6119,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,gpt-oss:20b,150,97,0.3533,0.1237,0.134,0.3402,0.2784,0.8866,0.1134,0.4209,0.3921,0.0367,0.2903,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,grok-3-mini,150,110,0.2667,0.2909,0.2091,0.4727,0.3273,0.9364,0.2,0.6221,0.5244,0.015,0.4319,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,llama3.1:70b,150,131,0.1267,0.1756,0.0382,0.1832,0.1832,0.7328,0.0153,0.4059,0.2932,0.0834,0.1707,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,llama3.1:8b,150,136,0.0933,0.0074,0.0,0.0441,0.0,0.8676,0.0,0.1367,0.1,0.0277,0.0525,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,mistral-small:24b,148,64,0.5676,0.3594,0.1406,0.4531,0.4062,0.3438,0.0,0.6086,0.5082,0.3006,0.2479,150,0,1.0,,,,,,,,,,,,,,,,,,,,
qawiki,o3,148,100,0.3243,0.24,0.17,0.45,0.31,0.83,0.17,0.6107,0.5324,0.0328,0.4313,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,deepseek-chat,150,105,0.3,0.3524,0.1238,0.4667,0.3714,0.3905,0.0286,0.6409,0.5069,0.2075,0.2557,150,81,0.46,0.9506,0.9259,0.6543,0.9877,0.9383,0.8765,0.9918,0.9915,0.0142,0.9559,0.5982,0.8021,0.1876,0.6163,0.5478,0.8479,0.3509,0.4846,-0.1933,0.7002
spinach,deepseek-reasoner,150,130,0.1333,0.2,0.1231,0.4231,0.2769,0.8462,0.1077,0.553,0.4505,0.0432,0.3381,150,72,0.52,0.9306,0.875,0.625,0.8889,1.0,0.875,0.975,0.9156,0.0,0.8941,0.7306,0.7519,0.2019,0.612,0.1538,0.7673,0.422,0.4651,-0.0432,0.556
spinach,gemini-2.0-flash,150,140,0.0667,0.4286,0.1071,0.4357,0.3429,0.6714,0.0357,0.678,0.4874,0.125,0.27,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,gemini-2.5-flash,150,130,0.1333,0.3462,0.2615,0.4462,0.4615,0.8,0.2308,0.6501,0.5875,0.0376,0.4887,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,gemini-2.5-pro,150,131,0.1267,0.313,0.2214,0.4046,0.4351,0.8015,0.1908,0.6698,0.5805,0.0262,0.4907,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,gpt-4.1-2025-04-14,150,131,0.1267,0.4809,0.2061,0.5191,0.4198,0.5878,0.1145,0.7585,0.5962,0.1228,0.3808,150,118,0.2133,0.9237,0.8983,0.661,0.9915,0.9746,0.8814,0.978,0.9845,0.0033,0.9807,0.4428,0.6922,0.1419,0.5717,0.3868,0.7669,0.2195,0.3883,-0.1195,0.5999
spinach,gpt-4.1-mini-2025-04-14,150,138,0.08,0.4565,0.1957,0.558,0.3696,0.4638,0.0652,0.7566,0.5849,0.1907,0.3004,150,91,0.3933,0.9341,0.8791,0.6484,0.9451,0.967,0.8571,0.9851,0.9539,0.0075,0.932,0.4776,0.6834,0.0904,0.5755,0.5032,0.7919,0.2285,0.369,-0.1832,0.6316
spinach,gpt-4.1-nano-2025-04-14,150,123,0.18,0.3252,0.1382,0.561,0.4146,0.5447,0.0325,0.6466,0.4718,0.2177,0.197,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,gpt-4o,150,61,0.5933,0.5902,0.2623,0.7049,0.5738,0.6885,0.1639,0.8371,0.6769,0.0917,0.485,150,48,0.68,0.9375,0.9167,0.9792,1.0,0.9792,0.8958,0.9848,0.9827,0.0031,0.9682,0.3473,0.6544,0.2743,0.4262,0.2907,0.7319,0.1477,0.3058,-0.0886,0.4832
spinach,gpt-5,150,80,0.4667,0.5375,0.4375,0.6875,0.65,0.9125,0.4125,0.7944,0.7747,0.0233,0.6764,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,gpt-5-mini,150,54,0.64,0.5741,0.4074,0.6852,0.6481,0.9074,0.3704,0.8247,0.7407,0.0132,0.6664,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,gpt-5-nano,150,66,0.56,0.5758,0.4242,0.6667,0.6212,0.8939,0.3788,0.7975,0.6973,0.0487,0.5484,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,gpt-oss:20b,150,104,0.3067,0.2404,0.1442,0.375,0.2981,0.8269,0.1058,0.5079,0.4491,0.0593,0.2957,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,grok-3-mini,150,120,0.2,0.325,0.3,0.5583,0.4917,0.875,0.2917,0.6932,0.6754,0.032,0.5406,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,llama3.1:70b,150,137,0.0867,0.2409,0.0876,0.3358,0.2701,0.7153,0.0438,0.5147,0.4077,0.0944,0.2284,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,llama3.1:8b,150,141,0.06,0.0213,0.0,0.0213,0.0284,0.7943,0.0,0.184,0.1259,0.0408,0.0668,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,mistral-small:24b,144,67,0.5347,0.4627,0.2985,0.6119,0.5075,0.4925,0.0149,0.7174,0.5862,0.2944,0.2365,150,0,1.0,,,,,,,,,,,,,,,,,,,,
spinach,o3,144,123,0.1458,0.4228,0.374,0.6016,0.561,0.9106,0.3415,0.7674,0.6896,0.0282,0.5906,150,117,0.22,0.8034,0.8547,0.5385,0.9145,0.9915,0.8547,0.9522,0.9301,0.0004,0.9129,0.3806,0.4807,-0.0631,0.3535,0.0809,0.5132,0.1848,0.2405,-0.0278,0.3223
synthetic,deepseek-chat,150,116,0.2267,0.5172,0.2155,0.4914,0.4138,0.4483,0.1034,0.7365,0.5893,0.1988,0.3445,150,122,0.1867,0.9426,0.8607,0.9344,0.9836,0.9836,0.8525,0.9729,0.9741,0.0093,0.962,0.4254,0.6452,0.443,0.5698,0.5353,0.7491,0.2364,0.3848,-0.1895,0.6175
synthetic,deepseek-reasoner,150,143,0.0467,0.2937,0.2308,0.5315,0.4406,0.7622,0.1818,0.5851,0.5627,0.0363,0.4581,150,126,0.16,0.7222,0.8968,0.9683,0.9603,0.9762,0.881,0.7819,0.969,0.0218,0.9393,0.4285,0.666,0.4368,0.5197,0.214,0.6992,0.1968,0.4063,-0.0145,0.4812
synthetic,gemini-2.0-flash,150,147,0.02,0.4286,0.1837,0.5374,0.4422,0.5578,0.0952,0.7467,0.5732,0.1504,0.3635,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,gemini-2.5-flash,150,139,0.0733,0.4676,0.3453,0.6115,0.5396,0.8777,0.3094,0.7588,0.6974,0.0247,0.6242,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,gemini-2.5-pro,150,143,0.0467,0.4406,0.3566,0.6084,0.5035,0.8042,0.3077,0.7429,0.7184,0.0421,0.6202,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,gpt-4.1-2025-04-14,150,144,0.04,0.5972,0.2569,0.7014,0.5208,0.5972,0.1458,0.8394,0.6909,0.1341,0.4748,150,142,0.0533,0.9085,0.8662,0.6972,0.993,0.9718,0.8521,0.9704,0.97,0.0113,0.9725,0.3113,0.6093,-0.0042,0.4722,0.3746,0.7063,0.131,0.2791,-0.1228,0.4977
synthetic,gpt-4.1-mini-2025-04-14,150,144,0.04,0.4653,0.1806,0.5347,0.5139,0.5,0.0764,0.7566,0.6257,0.1798,0.3952,150,132,0.12,0.8712,0.8788,0.5985,0.9773,0.9697,0.8561,0.961,0.9656,0.0093,0.9558,0.4059,0.6982,0.0638,0.4634,0.4697,0.7797,0.2044,0.3399,-0.1705,0.5606
synthetic,gpt-4.1-nano-2025-04-14,150,127,0.1533,0.3622,0.1102,0.5354,0.4409,0.5433,0.0472,0.6677,0.5265,0.1828,0.3249,150,2,0.9867,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.3125,0.0,0.0,0.1378,-0.1102,-0.5354,-0.4409,0.4567,-0.0472,-0.1677,-0.214,-0.1828,-0.3249
synthetic,gpt-4o,150,114,0.24,0.386,0.1404,0.6053,0.4123,0.7281,0.114,0.7171,0.6185,0.0879,0.4053,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,gpt-5,150,121,0.1933,0.5289,0.4463,0.686,0.6529,0.8926,0.4132,0.8136,0.7755,0.0143,0.7256,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,gpt-5-mini,150,91,0.3933,0.5714,0.3736,0.6044,0.6044,0.9011,0.3407,0.7933,0.735,0.0172,0.6701,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,gpt-5-nano,150,100,0.3333,0.55,0.47,0.7,0.62,0.94,0.44,0.7933,0.7474,0.0215,0.6788,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,gpt-oss:20b,150,140,0.0667,0.2571,0.2357,0.5357,0.3857,0.7786,0.1857,0.5795,0.5813,0.0508,0.4722,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,grok-3-mini,150,136,0.0933,0.4853,0.3676,0.6397,0.5809,0.8824,0.3235,0.7522,0.7198,0.039,0.6346,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,llama3.1:70b,150,146,0.0267,0.3151,0.089,0.4178,0.3151,0.6507,0.0479,0.6263,0.4559,0.11,0.2803,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,llama3.1:8b,150,140,0.0667,0.0286,0.0,0.0357,0.0071,0.7929,0.0,0.2734,0.1747,0.0358,0.1079,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,mistral-small:24b,150,92,0.3867,0.4565,0.1413,0.6848,0.5,0.5,0.0435,0.7162,0.5703,0.1596,0.3352,150,0,1.0,,,,,,,,,,,,,,,,,,,,
synthetic,o3,150,144,0.04,0.375,0.2708,0.5417,0.4375,0.8611,0.2569,0.6866,0.6236,0.0261,0.5403,150,0,1.0,,,,,,,,,,,,,,,,,,,,
