action,dataset,predicate,llm,deepseek-chat,deepseek-r1:1.5b,deepseek-r1:70b,deepseek-reasoner,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,gpt-4.1-nano-2025-04-14,gpt-4o,gpt-5,gpt-5-mini,gpt-5-nano,gpt-oss:20b,grok-3-mini,llama3.1:8b,o3,llama3.3:70b
classification,overall,?A1>A4,gpt-4o,0.0,0.0,0.0,0.0,0.0,0.0267,0.0,0.0244,0.0,0.0,1.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,
classification,overall,?A1>A4,gpt-5,0.0,0.0,0.0,0.0,0.0001,0.5497,0.0,0.5489,0.0001,0.0,0.985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
classification,overall,?A1>A4,gpt-5-mini,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9338,0.2326,1.0,0.0,1.0,
classification,overall,?A1>A4,gpt-5-nano,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0784,1.0,0.0123,1.0,0.0,1.0,
classification,overall,?A1>A4,gpt-oss:20b,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7928,0.9903,1.0,1.0,0.0,1.0,
classification,overall,?A1>A4,grok-3-mini,0.9902,0.0,0.0,0.9997,1.0,1.0,0.0001,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8979,
classification,overall,?A1>A4,llama3.1:8b,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,overall,?A1>A4,o3,0.8705,0.0,0.0,0.9882,0.9997,1.0,0.0,1.0,0.9998,0.0,1.0,1.0,0.0,0.0,0.0,0.128,0.0,1.0,
classification,overall,?A3∅A4,deepseek-chat,1.0,1.0,0.0323,0.0,0.0,1.0,1.0,1.0,0.9942,0.0,0.0,0.0152,0.0292,0.0,1.0,1.0,0.0017,1.0,
classification,overall,?A3∅A4,deepseek-r1:1.5b,0.0,1.0,0.0,0.0,0.0,0.0226,0.5288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.6942,
classification,overall,?A3∅A4,deepseek-r1:70b,0.9734,1.0,1.0,0.0003,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4672,0.5643,0.0,1.0,1.0,0.1677,1.0,
classification,overall,?A3∅A4,deepseek-reasoner,1.0,1.0,0.9998,1.0,0.0015,1.0,1.0,1.0,1.0,0.0,0.0,0.9999,1.0,0.0,1.0,1.0,0.9964,1.0,
classification,overall,?A3∅A4,gemini-2.0-flash,1.0,1.0,1.0,0.9989,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
classification,overall,?A3∅A4,gemini-2.5-flash,0.0,0.9839,0.0,0.0,0.0,1.0,0.989,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.0,0.9963,
classification,overall,?A3∅A4,gemini-2.5-pro,0.0,0.5288,0.0,0.0,0.0,0.0161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7088,
classification,overall,?A3∅A4,gpt-4.1-2025-04-14,0.0,1.0,0.0,0.0,0.0,0.9998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964,0.9417,0.0,1.0,
classification,overall,?A3∅A4,gpt-4.1-mini-2025-04-14,0.0076,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,
classification,overall,?A3∅A4,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
classification,overall,?A3∅A4,gpt-4o,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
classification,overall,?A3∅A4,gpt-5,0.988,1.0,0.5654,0.0001,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6274,0.0,1.0,1.0,0.2001,1.0,
classification,overall,?A3∅A4,gpt-5-mini,0.9764,1.0,0.4678,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4082,1.0,0.0,1.0,1.0,0.1404,1.0,
classification,overall,?A3∅A4,gpt-5-nano,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,overall,?A3∅A4,gpt-oss:20b,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9978,0.0,1.0,
classification,overall,?A3∅A4,grok-3-mini,0.0,1.0,0.0,0.0,0.0,0.9827,1.0,0.0744,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,1.0,0.0,1.0,
classification,overall,?A3∅A4,llama3.1:8b,0.9987,1.0,0.8525,0.0046,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8227,0.8773,0.0,1.0,1.0,1.0,1.0,
classification,overall,?A3∅A4,o3,0.0,0.3585,0.0,0.0,0.0,0.0057,0.3473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
classification,overall,?A4=A1|3,deepseek-chat,1.0,0.0,0.0,0.0001,0.0,1.0,1.0,1.0,0.9983,0.0,0.0,0.8668,0.0,0.0,0.0,1.0,0.0,1.0,
classification,overall,?A4=A1|3,deepseek-r1:1.5b,1.0,1.0,0.9102,1.0,1.0,1.0,1.0,1.0,1.0,0.6562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,overall,?A4=A1|3,deepseek-r1:70b,1.0,0.2539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,overall,?A4=A1|3,deepseek-reasoner,0.9999,0.0,0.0,1.0,0.0007,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,
classification,overall,?A4=A1|3,gemini-2.0-flash,1.0,0.0,0.0,0.9995,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0002,0.0,0.063,1.0,0.0,1.0,
classification,overall,?A4=A1|3,gemini-2.5-flash,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,
classification,overall,?A4=A1|3,gemini-2.5-pro,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999,0.0248,0.0,0.0,0.0001,0.0,0.0,0.0,0.9232,0.0,1.0,
classification,overall,?A4=A1|3,gpt-4.1-2025-04-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.9885,
classification,overall,?A4=A1|3,gpt-4.1-mini-2025-04-14,0.0022,0.0,0.0,0.0,0.0,1.0,0.9799,1.0,1.0,0.0,0.0,0.0336,0.0,0.0,0.0,0.9997,0.0,1.0,
classification,overall,?A4=A1|3,gpt-4.1-nano-2025-04-14,1.0,0.6562,0.9102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,overall,?A4=A1|3,gpt-4o,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9991,0.0,1.0,1.0,0.0,1.0,
classification,overall,?A4=A1|3,gpt-5,0.1533,0.0,0.0,0.0,0.0,1.0,0.9999,1.0,0.9726,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,
classification,overall,?A4=A1|3,gpt-5-mini,1.0,0.0,0.0,1.0,0.9998,1.0,1.0,1.0,1.0,0.0,0.0012,1.0,1.0,0.0,0.9808,1.0,0.0,1.0,
classification,overall,?A4=A1|3,gpt-5-nano,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804,1.0,
classification,overall,?A4=A1|3,gpt-oss:20b,1.0,0.0,0.0,1.0,0.9464,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0232,0.0,1.0,1.0,0.0,1.0,
classification,overall,?A4=A1|3,grok-3-mini,0.0,0.0,0.0,0.0,0.0,1.0,0.0909,0.9937,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
classification,overall,?A4=A1|3,llama3.1:8b,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0278,1.0,1.0,1.0,1.0,
classification,overall,?A4=A1|3,o3,0.0,0.0,0.0,0.0,0.0,0.9989,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
classification,qawiki,?A1=A2,deepseek-chat,1.0,0.0,0.0,0.0,0.0001,0.0005,0.0021,0.0059,0.0017,0.3633,0.6875,0.0065,0.0,0.0,0.0,0.0003,0.0,0.0,
classification,qawiki,?A1=A2,deepseek-r1:1.5b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,qawiki,?A1=A2,deepseek-r1:70b,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,
classification,qawiki,?A1=A2,deepseek-reasoner,1.0,0.0,0.0,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987,0.9238,0.4478,0.9999,0.0,0.8438,
classification,qawiki,?A1=A2,gemini-2.0-flash,1.0,0.0,0.0,0.0019,1.0,0.8365,0.8595,0.968,0.9242,0.9995,1.0,0.939,0.5,0.0326,0.0004,0.779,0.0,0.0158,
classification,qawiki,?A1=A2,gemini-2.5-flash,1.0,0.0,0.0,0.0001,0.2786,1.0,0.6855,0.8463,0.7214,0.9978,0.9999,0.8083,0.2122,0.0035,0.0,0.5,0.0,0.0013,
classification,qawiki,?A1=A2,gemini-2.5-pro,0.9997,0.0,0.0,0.0001,0.2366,0.5,1.0,0.7878,0.6762,0.9979,0.9997,0.7383,0.1537,0.0038,0.0,0.4073,0.0,0.0002,
classification,qawiki,?A1=A2,gpt-4.1-2025-04-14,0.9995,0.0,0.0,0.0,0.0758,0.2706,0.345,1.0,0.4018,0.9755,0.9983,0.5,0.0539,0.0006,0.0,0.1917,0.0,0.0001,
classification,qawiki,?A1=A2,gpt-4.1-mini-2025-04-14,0.9999,0.0,0.0,0.0,0.1537,0.4225,0.5,0.7728,1.0,0.9904,0.9999,0.6612,0.1148,0.0025,0.0,0.3238,0.0,0.0003,
classification,qawiki,?A1=A2,gpt-4.1-nano-2025-04-14,0.8555,0.0,0.0,0.0,0.002,0.0096,0.0106,0.0717,0.0318,1.0,0.8555,0.0481,0.0008,0.0,0.0,0.0038,0.0,0.0,
classification,qawiki,?A1=A2,gpt-4o,0.6875,0.0,0.0,0.0,0.0,0.0012,0.0021,0.0112,0.0017,0.3633,1.0,0.0065,0.0,0.0,0.0,0.0007,0.0,0.0,
classification,qawiki,?A1=A2,gpt-5,0.9991,0.0,0.0,0.0,0.1239,0.3318,0.4159,0.6855,0.5,0.9846,0.9991,1.0,0.0758,0.0007,0.0,0.2617,0.0,0.0002,
classification,qawiki,?A1=A2,gpt-5-mini,1.0,0.0,0.0,0.0033,0.6321,0.8852,0.9242,0.9784,0.9461,0.9999,1.0,0.968,1.0,0.0631,0.0006,0.8275,0.0,0.027,
classification,qawiki,?A1=A2,gpt-5-nano,1.0,0.0,0.0,0.1264,0.9856,0.9989,0.9987,0.9998,0.9992,1.0,1.0,0.9998,0.967,1.0,0.0924,0.9953,0.0,0.3854,
classification,qawiki,?A1=A2,gpt-oss:20b,1.0,0.0,0.0,0.653,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9444,1.0,1.0,0.0,0.9033,
classification,qawiki,?A1=A2,grok-3-mini,1.0,0.0,0.0,0.0004,0.3506,0.6682,0.7597,0.9054,0.8204,0.9993,0.9999,0.8569,0.2858,0.0119,0.0001,1.0,0.0,0.0015,
classification,qawiki,?A1=A2,llama3.1:8b,1.0,0.0,0.0007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,qawiki,?A1=A2,o3,1.0,0.0,0.0,0.2354,0.9931,0.9996,1.0,1.0,0.9999,1.0,1.0,1.0,0.9871,0.72,0.1562,0.9996,0.0,1.0,
classification,qawiki,?A1=A3+A4,deepseek-chat,1.0,0.0,0.0,0.6358,0.9075,0.9992,0.0027,0.9075,0.8042,0.0,0.9992,0.99,0.0,0.0019,0.0,0.0481,0.0,0.0164,
classification,qawiki,?A1=A3+A4,deepseek-r1:1.5b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,qawiki,?A1=A3+A4,deepseek-r1:70b,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
classification,qawiki,?A1=A3+A4,deepseek-reasoner,0.5,0.0,0.0,1.0,0.8519,0.9992,0.0023,0.8519,0.7566,0.0,0.998,0.9947,0.0,0.0019,0.0,0.0235,0.0,0.0058,
classification,qawiki,?A1=A3+A4,gemini-2.0-flash,0.1725,0.0,0.0,0.2434,1.0,0.9827,0.0004,0.5806,0.4225,0.0,0.9793,0.9075,0.0,0.0001,0.0,0.0057,0.0,0.0008,
classification,qawiki,?A1=A3+A4,gemini-2.5-flash,0.003,0.0,0.0,0.0033,0.0466,1.0,0.0,0.0466,0.0216,0.0,0.5,0.3036,0.0,0.0,0.0,0.0,0.0,0.0,
classification,qawiki,?A1=A3+A4,gemini-2.5-pro,0.999,0.0,0.0,0.9992,0.9999,1.0,1.0,0.9999,0.9998,0.0005,1.0,1.0,0.1446,0.4439,0.0015,0.8688,0.0,0.705,
classification,qawiki,?A1=A3+A4,gpt-4.1-2025-04-14,0.1725,0.0,0.0,0.2434,0.5806,0.9827,0.0003,1.0,0.4253,0.0,0.9738,0.9242,0.0,0.0001,0.0,0.0066,0.0,0.0006,
