action,dataset,predicate,llm,llama3.1:8b,gpt-oss:20b,gpt-4.1-nano-2025-04-14,mistral-small:24b,llama3.1:70b,gemini-2.0-flash,gpt-4.1-mini-2025-04-14,gpt-4o,gpt-4.1-2025-04-14,grok-3-mini,deepseek-chat,gemini-2.5-flash,gpt-5-nano,deepseek-reasoner,gemini-2.5-pro,gpt-5-mini,o3,gpt-5
classification,LC-QuAD,?A4=A1|3,gemini-2.0-flash,0.0,0.0,0.0,0.0,0.1981,1.0,0.3939,0.0,0.9982,0.6641,0.0001,1.0,0.0,0.0004,1.0,0.0,0.9663,0.0804
classification,LC-QuAD,?A4=A1|3,gpt-4.1-mini-2025-04-14,0.0,0.0,0.0,0.0,0.3045,0.705,1.0,0.0,0.9995,0.7995,0.0002,1.0,0.0,0.0006,1.0,0.0,0.9923,0.1748
classification,LC-QuAD,?A4=A1|3,gpt-4o,0.0,0.9999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.992,1.0,1.0
classification,LC-QuAD,?A4=A1|3,gpt-4.1-2025-04-14,0.0,0.0,0.0,0.0,0.0008,0.0048,0.0015,0.0,1.0,0.0069,0.0,0.9999,0.0,0.0,0.9937,0.0,0.2612,0.0
classification,LC-QuAD,?A4=A1|3,grok-3-mini,0.0,0.0,0.0,0.0,0.1144,0.4439,0.2879,0.0,0.9975,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9702,0.033
classification,LC-QuAD,?A4=A1|3,deepseek-chat,0.0,0.0102,0.0,0.0435,0.9966,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6583,1.0,0.0,1.0,0.9989
classification,LC-QuAD,?A4=A1|3,gemini-2.5-flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,1.0,0.0,0.0,0.2517,0.0,0.0004,0.0
classification,LC-QuAD,?A4=A1|3,gpt-5-nano,0.9375,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A4=A1|3,deepseek-reasoner,0.0,0.0049,0.0,0.03,0.9937,0.9999,0.9998,0.0,1.0,1.0,0.446,1.0,0.0,1.0,1.0,0.0,1.0,0.9912
classification,LC-QuAD,?A4=A1|3,gemini-2.5-pro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178,0.0,0.0,0.8684,0.0,0.0,1.0,0.0,0.0047,0.0
classification,LC-QuAD,?A4=A1|3,gpt-5-mini,0.0,0.9703,0.0,0.9967,1.0,1.0,1.0,0.0178,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A4=A1|3,o3,0.0,0.0,0.0,0.0,0.0038,0.0587,0.0164,0.0,0.8316,0.0586,0.0,0.9999,0.0,0.0,0.9983,0.0,1.0,0.0003
classification,LC-QuAD,?A4=A1|3,gpt-5,0.0,0.0,0.0,0.0001,0.6899,0.954,0.8856,0.0,1.0,0.9842,0.0032,1.0,0.0,0.0182,1.0,0.0,0.9999,1.0
classification,overall,?A1=A2,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A2,gpt-oss:20b,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A2,gpt-4.1-nano-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,mistral-small:24b,0.0,0.0,1.0,1.0,0.0001,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8126,0.9999,0.0101,1.0
classification,overall,?A1=A2,llama3.1:70b,0.0,0.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0169,0.0616,1.0,1.0,0.9376,1.0
classification,overall,?A1=A2,gemini-2.0-flash,0.0,0.0,1.0,0.0001,0.0,1.0,0.9729,1.0,1.0,0.9991,1.0,0.9724,0.0,0.0,0.0021,0.4463,0.0,1.0
classification,overall,?A1=A2,gpt-4.1-mini-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0335,1.0,1.0,0.9936,0.8938,1.0,0.5197,0.0,0.0,0.0,0.0229,0.0,0.9991
classification,overall,?A1=A2,gpt-4o,0.0,0.0,0.536,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,gpt-4.1-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0085,1.0,1.0,0.1081,0.9999,0.0076,0.0,0.0,0.0,0.0,0.0,0.7602
classification,overall,?A1=A2,grok-3-mini,0.0,0.0,1.0,0.0,0.0,0.0013,0.1256,1.0,0.9106,1.0,1.0,0.119,0.0,0.0,0.0,0.0008,0.0,0.9764
classification,overall,?A1=A2,deepseek-chat,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013
classification,overall,?A1=A2,gemini-2.5-flash,0.0,0.0,1.0,0.0,0.0,0.0341,0.5197,1.0,0.9943,0.9002,1.0,1.0,0.0,0.0,0.0,0.0217,0.0,0.9993
classification,overall,?A1=A2,gpt-5-nano,0.0,0.0,1.0,1.0,0.9859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7251,1.0,1.0,0.9999,1.0
classification,overall,?A1=A2,deepseek-reasoner,0.0,0.0,1.0,1.0,0.9467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2989,1.0,1.0,1.0,0.9993,1.0
classification,overall,?A1=A2,gemini-2.5-pro,0.0,0.0,1.0,0.211,0.0,0.9984,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9975,0.0008,1.0
classification,overall,?A1=A2,gpt-5-mini,0.0,0.0,1.0,0.0002,0.0,0.589,0.9817,1.0,1.0,0.9995,1.0,0.9827,0.0,0.0,0.0032,1.0,0.0,1.0
classification,overall,?A1=A2,o3,0.0,0.0,1.0,0.9918,0.0722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,0.001,0.9994,1.0,1.0,1.0
classification,overall,?A1=A2,gpt-5,0.0,0.0,1.0,0.0,0.0,0.0,0.0012,1.0,0.2748,0.0302,0.9991,0.0011,0.0,0.0,0.0,0.0,0.0,1.0
classification,overall,?A1=A3+A4,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,gpt-oss:20b,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
