action,dataset,llm,n_total,n_answered,idk_rate,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3)
fixing,LC-QuAD,gemini-2.0-flash,150,130,0.1333,0.8231,0.8,0.8308,0.9308,0.9769,0.7769,0.8367,0.9359,0.0167,0.9355
fixing,LC-QuAD,gemini-2.5-flash,150,127,0.1533,0.9528,0.9291,0.9528,0.9528,1.0,0.9291,0.9836,0.9516,0.0,0.9584
fixing,LC-QuAD,gemini-2.5-pro,150,133,0.1133,0.8797,0.8872,0.9023,0.9925,1.0,0.8872,0.9507,0.9705,0.0,0.9872
fixing,LC-QuAD,gpt-4.1-2025-04-14,150,132,0.12,0.75,0.7727,0.9318,0.9318,0.9621,0.7652,0.911,0.9359,0.0071,0.9324
fixing,LC-QuAD,gpt-4.1-mini-2025-04-14,150,115,0.2333,0.7043,0.7304,0.9565,0.9478,0.887,0.713,0.877,0.8919,0.0783,0.8722
fixing,LC-QuAD,gpt-4.1-nano-2025-04-14,150,76,0.4933,0.4474,0.1711,0.5132,0.6053,0.5526,0.1316,0.6287,0.502,0.2503,0.3765
fixing,LC-QuAD,gpt-4o,150,55,0.6333,0.8182,0.8545,0.9273,0.9636,0.9636,0.8364,0.9195,0.9583,0.0266,0.9608
fixing,LC-QuAD,gpt-5,150,81,0.46,0.9012,0.963,0.9259,0.9877,1.0,0.963,0.9768,0.9919,0.0,0.9922
fixing,LC-QuAD,gpt-5-mini,150,45,0.7,0.8444,0.8444,0.9111,0.9333,0.9778,0.8444,0.9542,0.9202,0.0222,0.93
fixing,LC-QuAD,gpt-5-nano,150,47,0.6867,0.8511,0.8298,0.8511,0.9787,0.9574,0.8298,0.9557,0.9467,0.0075,0.9659
fixing,LC-QuAD,gpt-oss:20b,150,85,0.4333,0.4588,0.6471,0.8,0.9294,0.9529,0.6471,0.7172,0.8948,0.0327,0.9326
fixing,LC-QuAD,grok-3-mini,150,106,0.2933,0.8962,0.8962,0.9623,0.9717,0.9906,0.8868,0.9567,0.9747,0.0006,0.9838
fixing,LC-QuAD,llama3.1:70b,150,122,0.1867,0.6311,0.4672,0.7377,0.8033,0.9262,0.459,0.8156,0.7978,0.0348,0.7872
fixing,LC-QuAD,llama3.1:8b,150,145,0.0333,0.0897,0.0069,0.0897,0.0759,0.6276,0.0,0.4015,0.2852,0.1196,0.1991
fixing,LC-QuAD,mistral-small:24b,150,91,0.3933,0.6923,0.5604,0.8242,0.956,0.956,0.5385,0.8634,0.7793,0.0016,0.7767
fixing,LC-QuAD,o3,150,115,0.2333,0.6522,0.8435,0.9652,0.9913,1.0,0.8435,0.9015,0.9725,0.0,0.9849
fixing,qawiki,deepseek-chat,150,110,0.2667,0.8182,0.7273,0.8818,0.9364,0.9364,0.7,0.945,0.9254,0.0335,0.9172
fixing,qawiki,deepseek-reasoner,150,115,0.2333,0.5826,0.5565,0.7043,0.8261,0.9391,0.513,0.7704,0.831,0.0546,0.8273
fixing,qawiki,gemini-2.0-flash,150,127,0.1533,0.7953,0.7008,0.8425,0.8898,0.9764,0.6929,0.8305,0.8806,0.0098,0.8808
fixing,qawiki,gemini-2.5-flash,150,113,0.2467,0.9292,0.9027,0.9027,0.9823,0.9912,0.8938,0.9768,0.9633,0.0084,0.9723
fixing,qawiki,gemini-2.5-pro,150,110,0.2667,0.8091,0.6,0.7818,0.8545,0.9909,0.6,0.9222,0.7939,0.0091,0.8247
fixing,qawiki,gpt-4.1-2025-04-14,150,127,0.1533,0.7323,0.7244,0.874,0.9449,0.937,0.6929,0.9034,0.9106,0.0402,0.8813
fixing,qawiki,gpt-4.1-mini-2025-04-14,150,106,0.2933,0.7453,0.7358,0.9151,0.9906,0.9057,0.6792,0.9101,0.9294,0.0373,0.885
fixing,qawiki,gpt-4.1-nano-2025-04-14,150,74,0.5067,0.4054,0.2432,0.5541,0.5135,0.5405,0.1486,0.6273,0.5326,0.2385,0.347
fixing,qawiki,gpt-4o,150,68,0.5467,0.8088,0.7647,0.8824,0.9265,0.8971,0.7206,0.9502,0.9235,0.066,0.8591
fixing,qawiki,gpt-5,150,57,0.62,0.8596,0.8947,1.0,0.9825,0.9825,0.8772,0.9635,0.9612,0.0175,0.9649
fixing,qawiki,gpt-5-mini,150,39,0.74,0.8718,0.9487,0.9487,1.0,0.9744,0.9231,0.965,0.9887,0.0256,0.9679
fixing,qawiki,gpt-5-nano,150,47,0.6867,0.766,0.766,0.9149,0.9787,0.9574,0.7447,0.9164,0.956,0.0221,0.9417
fixing,qawiki,grok-3-mini,150,96,0.36,0.8646,0.8021,0.9792,0.9792,0.9792,0.7917,0.9558,0.9566,0.0159,0.9629
fixing,qawiki,llama3.1:70b,150,120,0.2,0.5917,0.4917,0.7167,0.8083,0.9083,0.4583,0.7314,0.7474,0.046,0.7631
fixing,qawiki,llama3.1:8b,150,148,0.0133,0.0946,0.0203,0.1486,0.1216,0.6622,0.0068,0.4328,0.2823,0.0858,0.2315
fixing,qawiki,mistral-small:24b,150,88,0.4133,0.6932,0.4091,0.75,0.8977,0.9318,0.3864,0.847,0.7525,0.0241,0.7309
fixing,qawiki,o3,150,98,0.3467,0.6429,0.7143,0.8776,0.898,0.9796,0.6939,0.9113,0.9311,0.0204,0.8841
fixing,spinach,deepseek-chat,150,112,0.2533,0.8482,0.7768,0.8839,0.9554,0.9554,0.7589,0.9349,0.9387,0.0276,0.9253
fixing,spinach,deepseek-reasoner,150,127,0.1533,0.6693,0.5669,0.685,0.8661,0.8976,0.5354,0.8491,0.8562,0.0828,0.803
fixing,spinach,gemini-2.0-flash,150,124,0.1733,0.7984,0.7903,0.9194,0.9194,0.9839,0.7823,0.8528,0.9459,0.0082,0.9201
fixing,spinach,gemini-2.5-flash,150,119,0.2067,0.916,0.8908,0.8739,0.9748,0.9916,0.8824,0.9586,0.9588,0.0017,0.9714
fixing,spinach,gemini-2.5-pro,150,125,0.1667,0.84,0.816,0.792,0.984,0.992,0.816,0.9473,0.9517,0.005,0.9736
fixing,spinach,gpt-4.1-2025-04-14,150,125,0.1667,0.912,0.768,0.944,0.936,1.0,0.768,0.9596,0.9426,0.0,0.9411
fixing,spinach,gpt-4.1-mini-2025-04-14,150,123,0.18,0.8618,0.7561,0.8943,0.9837,0.9593,0.748,0.9387,0.9124,0.0202,0.9149
fixing,spinach,gpt-4.1-nano-2025-04-14,150,95,0.3667,0.8526,0.4526,0.6947,0.7684,0.4842,0.2632,0.9227,0.7012,0.245,0.4818
fixing,spinach,gpt-4o,150,90,0.4,0.9333,0.8222,0.9444,0.9556,0.9444,0.7889,0.9835,0.9501,0.0381,0.8749
fixing,spinach,gpt-5,150,83,0.4467,0.9398,0.9036,0.9518,0.988,1.0,0.9036,0.9851,0.9665,0.0,0.9867
fixing,spinach,gpt-5-mini,150,56,0.6267,0.9107,0.8393,0.8929,0.9643,1.0,0.8393,0.9689,0.9369,0.0,0.9643
fixing,spinach,gpt-5-nano,150,60,0.6,0.8333,0.8333,0.8833,0.9833,0.9667,0.8,0.93,0.9387,0.0015,0.9648
fixing,spinach,grok-3-mini,150,101,0.3267,0.8812,0.8713,0.9406,0.9703,1.0,0.8713,0.955,0.9704,0.0,0.9694
fixing,spinach,llama3.1:70b,150,124,0.1733,0.629,0.5806,0.7903,0.8306,0.9597,0.5726,0.807,0.8425,0.013,0.8037
fixing,spinach,llama3.1:8b,150,147,0.02,0.1224,0.0408,0.1769,0.1293,0.5578,0.0272,0.4417,0.3728,0.1333,0.2465
fixing,spinach,mistral-small:24b,150,101,0.3267,0.8416,0.5446,0.8317,0.9307,0.9505,0.5149,0.9207,0.8175,0.0149,0.7809
fixing,spinach,o3,150,117,0.22,0.812,0.812,0.9658,0.9402,0.9744,0.8034,0.9509,0.9579,0.014,0.9485
fixing,synthetic,deepseek-chat,150,132,0.12,0.9091,0.8636,0.9167,0.9848,0.9697,0.8409,0.9653,0.9747,0.0218,0.9587
fixing,synthetic,deepseek-reasoner,150,142,0.0533,0.7746,0.6901,0.8169,0.8944,0.9648,0.6761,0.9023,0.9101,0.015,0.8916
fixing,synthetic,gemini-2.0-flash,150,137,0.0867,0.8905,0.8613,0.8905,0.9781,0.9854,0.8467,0.8937,0.9725,0.0007,0.9731
fixing,synthetic,gemini-2.5-flash,150,139,0.0733,0.9065,0.9353,0.9496,0.9784,1.0,0.9353,0.9556,0.9704,0.0,0.9769
fixing,synthetic,gemini-2.5-pro,150,59,0.6067,0.9661,0.7627,0.7627,0.8475,0.9831,0.7627,0.9804,0.8241,0.0127,0.8243
fixing,synthetic,gpt-4.1-2025-04-14,150,137,0.0867,0.8832,0.8613,0.9489,0.9635,0.9781,0.8467,0.9638,0.9698,0.0036,0.9692
fixing,synthetic,gpt-4.1-mini-2025-04-14,150,134,0.1067,0.8284,0.791,0.9403,0.9627,0.8507,0.7537,0.9454,0.9333,0.0641,0.8642
fixing,synthetic,gpt-4.1-nano-2025-04-14,150,106,0.2933,0.7075,0.4245,0.6792,0.7925,0.5094,0.2453,0.8504,0.7479,0.2735,0.4925
fixing,synthetic,gpt-4o,150,109,0.2733,0.8257,0.7982,0.9541,0.9633,0.9817,0.7982,0.9312,0.9445,0.011,0.9212
fixing,synthetic,gpt-5,150,125,0.1667,0.888,0.952,0.984,0.992,1.0,0.952,0.9825,0.9892,0.0,0.9951
fixing,synthetic,gpt-5-mini,150,94,0.3733,0.8511,0.9255,0.9574,0.9787,0.9787,0.9149,0.9517,0.9677,0.016,0.9677
fixing,synthetic,gpt-5-nano,150,104,0.3067,0.9231,0.8654,0.8942,0.9904,0.9904,0.8654,0.9825,0.9648,0.0091,0.9699
fixing,synthetic,gpt-oss:20b,150,128,0.1467,0.6719,0.75,0.8516,0.9141,0.9922,0.75,0.8525,0.9164,0.0011,0.927
fixing,synthetic,grok-3-mini,150,132,0.12,0.9167,0.9167,0.9621,1.0,0.9848,0.9167,0.9847,0.9926,0.0031,0.9885
fixing,synthetic,llama3.1:70b,150,132,0.12,0.7197,0.7121,0.8409,0.9015,0.9773,0.7045,0.8354,0.9034,0.0017,0.9034
fixing,synthetic,llama3.1:8b,150,147,0.02,0.2041,0.0408,0.2177,0.1701,0.619,0.0408,0.5641,0.3883,0.1119,0.2854
fixing,synthetic,mistral-small:24b,150,127,0.1533,0.7953,0.5984,0.8819,0.9764,0.9449,0.5748,0.9243,0.8606,0.0222,0.8518
fixing,synthetic,o3,150,141,0.06,0.773,0.922,0.9787,0.9716,1.0,0.922,0.9593,0.9764,0.0,0.9774
zero-shot,LC-QuAD,deepseek-chat,150,115,0.2333,0.2696,0.1304,0.4174,0.287,0.4348,0.0261,0.6272,0.5027,0.2125,0.2917
zero-shot,LC-QuAD,deepseek-reasoner,150,137,0.0867,0.1314,0.1095,0.3796,0.2555,0.854,0.0803,0.4846,0.4088,0.0332,0.3223
zero-shot,LC-QuAD,gemini-2.0-flash,150,140,0.0667,0.2571,0.0857,0.3714,0.2929,0.6357,0.0357,0.5408,0.4047,0.1358,0.2754
zero-shot,LC-QuAD,gemini-2.5-flash,150,134,0.1067,0.2687,0.1716,0.4552,0.2761,0.8507,0.1642,0.5731,0.4985,0.0262,0.3877
zero-shot,LC-QuAD,gemini-2.5-pro,150,137,0.0867,0.2409,0.1825,0.3869,0.3431,0.8394,0.1533,0.6177,0.5341,0.0341,0.4409
zero-shot,LC-QuAD,gpt-4.1-2025-04-14,150,130,0.1333,0.2385,0.0846,0.4231,0.2385,0.6615,0.0538,0.5907,0.483,0.0946,0.3082
zero-shot,LC-QuAD,gpt-4.1-mini-2025-04-14,150,105,0.3,0.1714,0.0381,0.3333,0.1619,0.5905,0.0095,0.4639,0.3588,0.1203,0.2234
zero-shot,LC-QuAD,gpt-4.1-nano-2025-04-14,150,73,0.5133,0.0959,0.0274,0.2055,0.1233,0.6301,0.0274,0.3308,0.2391,0.1076,0.1515
zero-shot,LC-QuAD,gpt-4o,150,51,0.66,0.2353,0.0392,0.5098,0.3922,0.6275,0.0392,0.571,0.4589,0.1466,0.3343
zero-shot,LC-QuAD,gpt-5,150,86,0.4267,0.3953,0.2209,0.5698,0.4535,0.9419,0.1977,0.7001,0.6302,0.0297,0.5295
zero-shot,LC-QuAD,gpt-5-mini,150,41,0.7267,0.4878,0.3415,0.6341,0.561,0.9512,0.2927,0.6966,0.727,0.021,0.6522
zero-shot,LC-QuAD,gpt-5-nano,150,39,0.74,0.4615,0.3333,0.6154,0.5641,0.8718,0.3333,0.6627,0.6122,0.0399,0.5862
zero-shot,LC-QuAD,gpt-oss:20b,150,111,0.26,0.1081,0.0811,0.2703,0.2432,0.8739,0.0811,0.3701,0.3292,0.0378,0.27
zero-shot,LC-QuAD,grok-3-mini,150,118,0.2133,0.2797,0.1949,0.4576,0.3475,0.8729,0.1864,0.6156,0.4979,0.043,0.4171
zero-shot,LC-QuAD,llama3.1:70b,150,137,0.0867,0.0803,0.0292,0.2409,0.1679,0.7372,0.0073,0.3753,0.2896,0.0675,0.1949
zero-shot,LC-QuAD,llama3.1:8b,150,139,0.0733,0.0144,0.0,0.0072,0.0,0.8993,0.0,0.114,0.086,0.0153,0.0453
zero-shot,LC-QuAD,mistral-small:24b,148,58,0.6081,0.3793,0.1034,0.4138,0.3448,0.4483,0.0,0.6746,0.4921,0.2709,0.2136
zero-shot,LC-QuAD,o3,148,115,0.223,0.2696,0.1565,0.513,0.2957,0.9217,0.1217,0.5744,0.53,0.0344,0.4116
zero-shot,qawiki,deepseek-chat,150,103,0.3133,0.165,0.1262,0.3107,0.2913,0.5146,0.0485,0.4446,0.4197,0.1206,0.2484
zero-shot,qawiki,deepseek-reasoner,150,126,0.16,0.119,0.0794,0.254,0.1667,0.7857,0.0714,0.3391,0.2991,0.0386,0.229
zero-shot,qawiki,gemini-2.0-flash,150,131,0.1267,0.2748,0.145,0.3893,0.4046,0.626,0.0458,0.547,0.4513,0.1403,0.2895
zero-shot,qawiki,gemini-2.5-flash,150,121,0.1933,0.2149,0.2149,0.4132,0.2975,0.8347,0.1901,0.5601,0.5177,0.0265,0.4326
zero-shot,qawiki,gemini-2.5-pro,150,133,0.1133,0.2105,0.1353,0.2932,0.2481,0.7594,0.1278,0.5725,0.4995,0.0318,0.4309
zero-shot,qawiki,gpt-4.1-2025-04-14,150,130,0.1333,0.2846,0.0846,0.3769,0.3077,0.5846,0.0538,0.611,0.468,0.0919,0.3473
zero-shot,qawiki,gpt-4.1-mini-2025-04-14,150,134,0.1067,0.2537,0.1119,0.4328,0.3507,0.5224,0.0373,0.6098,0.4676,0.1713,0.2849
zero-shot,qawiki,gpt-4.1-nano-2025-04-14,150,105,0.3,0.2571,0.0857,0.3619,0.3524,0.5619,0.0095,0.512,0.387,0.1703,0.2202
zero-shot,qawiki,gpt-4o,150,66,0.56,0.3333,0.1515,0.4242,0.3636,0.7576,0.0909,0.6101,0.4801,0.0721,0.3316
zero-shot,qawiki,gpt-5,150,56,0.6267,0.4643,0.4286,0.7143,0.5893,0.9107,0.4107,0.7614,0.7744,0.029,0.6779
zero-shot,qawiki,gpt-5-mini,150,35,0.7667,0.5429,0.4857,0.7429,0.6286,0.9429,0.4571,0.7771,0.7581,0.0083,0.6661
zero-shot,qawiki,gpt-5-nano,150,45,0.7,0.3778,0.4222,0.6889,0.6222,0.9333,0.3556,0.694,0.7377,0.018,0.6119
zero-shot,qawiki,gpt-oss:20b,150,97,0.3533,0.1237,0.134,0.3402,0.2784,0.8866,0.1134,0.4209,0.3921,0.0367,0.2903
zero-shot,qawiki,grok-3-mini,150,110,0.2667,0.2909,0.2091,0.4727,0.3273,0.9364,0.2,0.6221,0.5244,0.015,0.4319
zero-shot,qawiki,llama3.1:70b,150,131,0.1267,0.1756,0.0382,0.1832,0.1832,0.7328,0.0153,0.4059,0.2932,0.0834,0.1707
zero-shot,qawiki,llama3.1:8b,150,136,0.0933,0.0074,0.0,0.0441,0.0,0.8676,0.0,0.1367,0.1,0.0277,0.0525
zero-shot,qawiki,mistral-small:24b,148,64,0.5676,0.3594,0.1406,0.4531,0.4062,0.3438,0.0,0.6086,0.5082,0.3006,0.2479
zero-shot,qawiki,o3,148,100,0.3243,0.24,0.17,0.45,0.31,0.83,0.17,0.6107,0.5324,0.0328,0.4313
zero-shot,spinach,deepseek-chat,150,105,0.3,0.3524,0.1238,0.4667,0.3714,0.3905,0.0286,0.6409,0.5069,0.2075,0.2557
zero-shot,spinach,deepseek-reasoner,150,130,0.1333,0.2,0.1231,0.4231,0.2769,0.8462,0.1077,0.553,0.4505,0.0432,0.3381
zero-shot,spinach,gemini-2.0-flash,150,140,0.0667,0.4286,0.1071,0.4357,0.3429,0.6714,0.0357,0.678,0.4874,0.125,0.27
zero-shot,spinach,gemini-2.5-flash,150,130,0.1333,0.3462,0.2615,0.4462,0.4615,0.8,0.2308,0.6501,0.5875,0.0376,0.4887
zero-shot,spinach,gemini-2.5-pro,150,131,0.1267,0.313,0.2214,0.4046,0.4351,0.8015,0.1908,0.6698,0.5805,0.0262,0.4907
zero-shot,spinach,gpt-4.1-2025-04-14,150,131,0.1267,0.4809,0.2061,0.5191,0.4198,0.5878,0.1145,0.7585,0.5962,0.1228,0.3808
zero-shot,spinach,gpt-4.1-mini-2025-04-14,150,138,0.08,0.4565,0.1957,0.558,0.3696,0.4638,0.0652,0.7566,0.5849,0.1907,0.3004
zero-shot,spinach,gpt-4.1-nano-2025-04-14,150,123,0.18,0.3252,0.1382,0.561,0.4146,0.5447,0.0325,0.6466,0.4718,0.2177,0.197
zero-shot,spinach,gpt-4o,150,61,0.5933,0.5902,0.2623,0.7049,0.5738,0.6885,0.1639,0.8371,0.6769,0.0917,0.485
zero-shot,spinach,gpt-5,150,80,0.4667,0.5375,0.4375,0.6875,0.65,0.9125,0.4125,0.7944,0.7747,0.0233,0.6764
zero-shot,spinach,gpt-5-mini,150,54,0.64,0.5741,0.4074,0.6852,0.6481,0.9074,0.3704,0.8247,0.7407,0.0132,0.6664
zero-shot,spinach,gpt-5-nano,150,66,0.56,0.5758,0.4242,0.6667,0.6212,0.8939,0.3788,0.7975,0.6973,0.0487,0.5484
zero-shot,spinach,gpt-oss:20b,150,104,0.3067,0.2404,0.1442,0.375,0.2981,0.8269,0.1058,0.5079,0.4491,0.0593,0.2957
zero-shot,spinach,grok-3-mini,150,120,0.2,0.325,0.3,0.5583,0.4917,0.875,0.2917,0.6932,0.6754,0.032,0.5406
zero-shot,spinach,llama3.1:70b,150,137,0.0867,0.2409,0.0876,0.3358,0.2701,0.7153,0.0438,0.5147,0.4077,0.0944,0.2284
zero-shot,spinach,llama3.1:8b,150,141,0.06,0.0213,0.0,0.0213,0.0284,0.7943,0.0,0.184,0.1259,0.0408,0.0668
zero-shot,spinach,mistral-small:24b,144,67,0.5347,0.4627,0.2985,0.6119,0.5075,0.4925,0.0149,0.7174,0.5862,0.2944,0.2365
zero-shot,spinach,o3,144,123,0.1458,0.4228,0.374,0.6016,0.561,0.9106,0.3415,0.7674,0.6896,0.0282,0.5906
zero-shot,synthetic,deepseek-chat,150,116,0.2267,0.5172,0.2155,0.4914,0.4138,0.4483,0.1034,0.7365,0.5893,0.1988,0.3445
zero-shot,synthetic,deepseek-reasoner,150,143,0.0467,0.2937,0.2308,0.5315,0.4406,0.7622,0.1818,0.5851,0.5627,0.0363,0.4581
zero-shot,synthetic,gemini-2.0-flash,150,147,0.02,0.4286,0.1837,0.5374,0.4422,0.5578,0.0952,0.7467,0.5732,0.1504,0.3635
zero-shot,synthetic,gemini-2.5-flash,150,139,0.0733,0.4676,0.3453,0.6115,0.5396,0.8777,0.3094,0.7588,0.6974,0.0247,0.6242
zero-shot,synthetic,gemini-2.5-pro,150,143,0.0467,0.4406,0.3566,0.6084,0.5035,0.8042,0.3077,0.7429,0.7184,0.0421,0.6202
zero-shot,synthetic,gpt-4.1-2025-04-14,150,144,0.04,0.5972,0.2569,0.7014,0.5208,0.5972,0.1458,0.8394,0.6909,0.1341,0.4748
zero-shot,synthetic,gpt-4.1-mini-2025-04-14,150,144,0.04,0.4653,0.1806,0.5347,0.5139,0.5,0.0764,0.7566,0.6257,0.1798,0.3952
zero-shot,synthetic,gpt-4.1-nano-2025-04-14,150,127,0.1533,0.3622,0.1102,0.5354,0.4409,0.5433,0.0472,0.6677,0.5265,0.1828,0.3249
zero-shot,synthetic,gpt-4o,150,114,0.24,0.386,0.1404,0.6053,0.4123,0.7281,0.114,0.7171,0.6185,0.0879,0.4053
zero-shot,synthetic,gpt-5,150,121,0.1933,0.5289,0.4463,0.686,0.6529,0.8926,0.4132,0.8136,0.7755,0.0143,0.7256
zero-shot,synthetic,gpt-5-mini,150,91,0.3933,0.5714,0.3736,0.6044,0.6044,0.9011,0.3407,0.7933,0.735,0.0172,0.6701
