dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
qawiki,classification,gpt-4o,0.98,0.94,1.0,0.9933,0.2867,0.26,0.74,0.1067,0.14,0.2828,0.9686,0.707,0.2698,0.1983,0.1767,0.2078,0.7067,0.7133,1.0,0.7267,0.3289,0.1943,0.9931972789115646,0.3333333333333333,0.2834469387755102,0.25,,,,,,,,,0.9565217391304348,0.967032967032967,0.9891304347826086,0.9789373626373628,0.0,0.0,0.0,0.0,0.0009,0.0
qawiki,classification,gpt-5,0.9133,0.9267,1.0,0.9733,0.52,0.4933,0.5267,0.6067,0.6067,0.9636,0.9644,0.48,0.4733,0.7286,0.7324,0.746,0.4133,0.4067,1.0,0.5333,0.58,0.7357,0.9473684210526315,0.6470588235294118,0.9752368421052632,0.8727058823529412,1.0,1.0,,,,,,,0.9300699300699301,0.8571428571428571,0.9633384615384617,0.9863999999999999,0.0,0.0,0.0,0.0,0.9915,0.0
qawiki,classification,gpt-5-mini,0.86,0.66,1.0,0.78,0.6267,0.4333,0.52,0.5267,0.5133,0.9295,0.7907,0.3733,0.4344,0.6695,0.6549,0.6581,0.42,0.4267,1.0,0.48,0.52,0.6608,0.8872180451127819,0.6470588235294118,0.9485684210526316,0.7803941176470588,1.0,1.0,,,,,,,0.6619718309859155,0.625,0.7933239436619718,0.74375,0.0,0.7787,0.0,0.72,0.0,0.0
qawiki,classification,gpt-5-nano,0.7867,0.7067,1.0,0.7733,0.16,0.06,0.08,0.5467,0.0667,0.7893,0.7687,0.8356,0.0694,0.08,0.5467,0.0667,0.1133,0.1,1.0,0.0333,0.2311,0.2311,0.8120300751879699,0.5882352941176471,0.8120300751879699,0.611764705882353,1.0,1.0,,,,,,,0.7323943661971831,0.25,0.792019014084507,0.3541625,0.0,0.0005,0.0,0.0775,1.0,1.0
qawiki,classification,gpt-oss:20b,0.7133,0.5467,1.0,0.7267,0.7867,0.4733,0.2933,0.2333,0.2667,0.8163,0.7847,0.1779,0.5467,0.4965,0.4492,0.4766,0.22,0.1667,1.0,0.28,0.2644,0.4741,0.7058823529411765,0.7857142857142857,0.8075352941176471,0.9017857142857143,1.0,1.0,,,,,,,0.5524475524475524,0.42857142857142855,0.7840706293706294,0.7976285714285714,0.0,0.0,0.0,0.0,0.9558,0.0
qawiki,classification,grok-3-mini,0.8867,0.7667,1.0,0.8867,0.8,0.6933,0.3467,0.38,0.34,0.966,0.9123,0.1934,0.7055,0.5385,0.5576,0.5358,0.1667,0.1667,1.0,0.2867,0.3556,0.544,0.9694656488549618,0.3157894736842105,0.9939519083969465,0.7730263157894737,1.0,1.0,,,,,,,0.7724137931034483,0.6,0.9116372413793103,0.93286,0.0,0.0,0.0,0.0,0.9947,0.0
qawiki,classification,llama3.1:8b,0.1133,0.1,1.0,0.3533,0.68,0.08,0.0133,0.0067,0.0133,0.4828,0.4791,0.1024,0.385,0.2243,0.1549,0.1793,0.0,0.0133,1.0,0.0,0.0111,0.1862,0.0,0.11409395973154363,0.8,0.48069395973154366,1.0,1.0,,,,,,,0.15,0.09230769230769231,0.5286299999999999,0.47152692307692307,0.0036,0.0,0.0,0.0,0.9836,0.0002
qawiki,classification,o3,0.7667,0.74,1.0,0.8733,0.86,0.7333,0.2867,0.2733,0.3067,0.9033,0.8855,0.1241,0.7496,0.5253,0.5431,0.5611,0.14,0.1067,1.0,0.1933,0.2889,0.5432,0.8248175182481752,0.15384615384615385,0.9318890510948904,0.6015384615384616,1.0,1.0,,,,,,,0.7676056338028169,0.25,0.8951415492957747,0.7148249999999999,0.0,0.0,0.0,0.0,0.5722,0.0
qawiki,fixing,deepseek-chat,0.7933,0.7133,0.8867,0.94,0.9467,0.8067,0.38,0.42,0.38,0.8925,0.8845,0.0312,0.7526,0.5727,0.5964,0.5797,0.1133,0.1,0.1867,0.1867,0.3933,0.5829,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,deepseek-r1:70b,0.0,0.0,0.2727,0.0909,0.8182,0.0,0.0,0.0,0.0,0.5038,0.3742,0.1164,0.2942,0.3011,0.2312,0.2463,0.0,0.0,0.1818,0.0,0.0,0.2595,,,,,,,,,,,,,,,,,1.0,1.0,0.125,0.5,0.1875,1.0
qawiki,fixing,deepseek-reasoner,0.5867,0.52,0.68,0.8133,0.9067,0.6333,0.1,0.1133,0.0933,0.7372,0.7351,0.0802,0.7272,0.3148,0.2896,0.2818,0.0667,0.0533,0.14,0.1267,0.1022,0.2954,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0288,0.0
qawiki,fixing,gemini-2.0-flash,0.7533,0.6467,0.8067,0.8867,0.9467,0.74,0.7333,0.7533,0.7267,0.803,0.8483,0.0193,0.8033,0.8361,0.8383,0.8408,0.02,0.0067,0.0067,0.0867,0.7378,0.8384,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gemini-2.5-flash,0.86,0.8867,0.8867,0.9667,0.9267,0.8867,0.68,0.6533,0.6133,0.8998,0.9033,0.073,0.7792,0.7605,0.7503,0.7192,0.1333,0.0867,0.1133,0.1933,0.6489,0.7433,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2024,0.0
qawiki,fixing,gemini-2.5-pro,0.76,0.5933,0.74,0.8667,0.98,0.7467,0.4467,0.4533,0.42,0.8519,0.757,0.02,0.7066,0.6166,0.623,0.5838,0.1,0.06,0.06,0.1467,0.44,0.6078,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-4.1-2025-04-14,0.76,0.7467,0.8667,0.9533,0.8933,0.7267,0.5,0.4933,0.4867,0.9013,0.9098,0.0874,0.7795,0.7944,0.789,0.7863,0.0733,0.0733,0.1067,0.12,0.4933,0.7899,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-4.1-mini-2025-04-14,0.7267,0.68,0.8333,0.98,0.8867,0.7133,0.3867,0.3733,0.4133,0.869,0.8699,0.0686,0.7808,0.729,0.7245,0.721,0.0867,0.1133,0.2133,0.1333,0.3911,0.7248,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3089,0.0
qawiki,fixing,gpt-4.1-nano-2025-04-14,0.4733,0.1733,0.56,0.4267,0.6267,0.16,0.4867,0.5,0.54,0.5857,0.3823,0.2356,0.2938,0.6356,0.6437,0.6641,0.2333,0.3267,0.38,0.04,0.5089,0.6478,,,,,,,,,,,,,,,,,0.0004,0.0539,0.0041,0.9323,0.8432,0.5585
qawiki,fixing,gpt-4o,0.8389,0.7919,0.9195,0.9329,0.9195,0.8188,0.5034,0.5369,0.5168,0.5966,0.5783,0.0576,0.5036,0.3555,0.3689,0.3506,0.3826,0.4094,0.4564,0.3893,0.519,0.3583,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-5,0.8933,0.8933,0.9533,0.9867,0.62,0.6067,0.7067,0.7067,0.6867,0.9418,0.9191,0.38,0.4667,0.822,0.8343,0.8067,0.5133,0.5267,0.5067,0.58,0.7,0.821,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2366,0.0
qawiki,fixing,gpt-5-mini,0.86,0.84,0.9533,0.9733,0.7067,0.6733,0.7333,0.7667,0.7267,0.8897,0.9187,0.2933,0.4163,0.8109,0.839,0.8203,0.6533,0.6133,0.64,0.6333,0.7422,0.8234,,,,,,,,,,,,,,,,,0.0001,0.0008,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-5-nano,0.7533,0.7067,0.8067,0.96,0.7267,0.6333,0.6333,0.6533,0.5933,0.8314,0.8437,0.2669,0.4701,0.7281,0.7279,0.7132,0.56,0.48,0.4467,0.5467,0.6266,0.7231,,,,,,,,,,,,,,,,,0.0,0.0002,0.004,0.0,0.0,0.0
qawiki,fixing,grok-3-mini,0.8533,0.8,0.92,0.9867,0.9333,0.8667,0.3867,0.32,0.38,0.9231,0.934,0.0635,0.7428,0.5878,0.5636,0.5961,0.1267,0.1333,0.2267,0.2467,0.3622,0.5825,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0946,0.0
qawiki,fixing,llama3.1:8b,0.0933,0.02,0.1467,0.12,0.66,0.0267,0.0067,0.0,0.0267,0.427,0.2836,0.0856,0.2307,0.126,0.1202,0.1375,0.0,0.0067,0.0,0.0,0.0111,0.1279,,,,,,,,,,,,,,,,,0.0154,0.125,0.1002,0.0466,0.9957,0.0625
qawiki,fixing,o3,0.7067,0.7333,0.8533,0.9,0.9667,0.8467,0.38,0.4133,0.4067,0.6446,0.7051,0.0333,0.6443,0.4113,0.4086,0.4298,0.3067,0.2733,0.1933,0.26,0.4,0.4166,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0008,0.0
qawiki,zero-shot,deepseek-chat,0.2067,0.12,0.52,0.36,0.7,0.1,,,,0.4224,0.3238,0.0907,0.2326,,,,0.0867,0.1067,0.3533,0.2067,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,deepseek-r1:1.5b,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0032,0.0043,0.0,0.0029,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.003179333333333333,,0.0,,0.0,,1.0,,0.0,,0.0,,0.004349333333333333,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,deepseek-r1:70b,0.0,0.0,0.0,0.0,0.9267,0.0,,,,0.1908,0.1275,0.0176,0.0783,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.19078,,0.0,,0.0,,0.9266666666666666,,0.017598000000000003,,0.0,,0.127456,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,deepseek-reasoner,0.12,0.0733,0.28,0.2,0.8267,0.0867,,,,0.3115,0.2839,0.0311,0.209,,,,0.0467,0.0733,0.0533,0.08,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gemini-2.0-flash,0.2467,0.1,0.3533,0.3467,0.7067,0.08,,,,0.4938,0.3465,0.0783,0.1963,,,,0.0067,0.0133,0.0067,0.18,,,0.2482758620689655,0.2,0.5034110344827586,0.21389999999999998,0.36153846153846153,0.3,0.4166666666666667,0.3333333333333333,0.723404255319149,0.4444444444444444,0.07962411347517731,0.05696666666666667,0.10317460317460317,0.08333333333333333,0.346379365079365,0.3473333333333333,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gemini-2.5-flash,0.26,0.1533,0.4533,0.48,0.8933,0.18,,,,0.5143,0.3931,0.0176,0.2557,,,,0.0867,0.1,0.1267,0.32,,,0.2773109243697479,0.1935483870967742,0.5273605042016806,0.46423548387096775,0.44755244755244755,0.5714285714285714,0.47586206896551725,0.6,0.8979591836734694,0.6666666666666666,0.017643537414965986,0.014499999999999999,0.15172413793103448,0.2,0.3972434482758621,0.27372,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gemini-2.5-pro,0.22,0.1267,0.4133,0.2333,0.8267,0.1467,,,,0.5128,0.4195,0.0274,0.316,,,,0.0267,0.04,0.0733,0.0733,,,0.24427480916030533,0.05263157894736842,0.5306480916030535,0.3895105263157895,0.41379310344827586,0.4,0.2357142857142857,0.2,0.8378378378378378,0.0,0.02594662162162162,0.1345,0.13013698630136986,0.0,0.41749315068493154,0.493075,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-4.1-2025-04-14,0.16,0.1267,0.4267,0.3867,0.6267,0.1,,,,0.4729,0.5158,0.0997,0.3611,,,,0.0267,0.02,0.0733,0.06,,,0.1678832116788321,0.0,0.49072992700729917,0.20704999999999998,0.4326241134751773,0.0,0.45652173913043476,0.23529411764705882,0.6223776223776224,,0.10042657342657343,,0.1258741258741259,,0.5174076923076925,,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-4.1-mini-2025-04-14,0.1067,0.0667,0.42,0.2,0.86,0.0267,,,,0.2531,0.2897,0.0395,0.105,,,,0.02,0.1,0.0867,0.2067,,,0.11678832116788321,0.0,0.268585401459854,0.08974615384615385,0.32075471698113206,0.4742268041237113,0.24242424242424243,0.18803418803418803,0.86,,0.03945133333333333,,0.06164383561643835,0.25,0.28460273972602745,0.4762,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-4.1-nano-2025-04-14,0.3,0.1133,0.4133,0.5067,0.6733,0.16,,,,0.4664,0.3896,0.1141,0.2716,,,,0.1133,0.0933,0.2,0.16,,,0.3626373626373626,0.2033898305084746,0.5200087912087912,0.383786440677966,0.4444444444444444,0.38461538461538464,0.5,0.5147058823529411,0.6907216494845361,0.6415094339622641,0.11936082474226803,0.10454339622641509,,0.11333333333333333,,0.3896253333333333,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-4o,0.32,0.3,0.3933,0.3267,0.16,0.0133,,,,0.3304,0.3402,0.835,0.0266,,,,0.2867,0.9267,0.8533,0.94,,,0.3120567375886525,0.4444444444444444,0.3231560283687943,0.4444444444444444,0.4318181818181818,0.37735849056603776,0.23529411764705882,0.3383458646616541,0.16,,0.835,,0.2765957446808511,0.3392857142857143,0.3242776595744681,0.3668625,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-5,0.6867,0.5733,0.7267,0.7467,0.5867,0.3067,,,,0.7947,0.7349,0.3998,0.3675,,,,0.5467,0.6467,0.44,0.5933,,,0.7251908396946565,0.42105263157894735,0.8321671755725192,0.5366526315789474,0.7210884353741497,1.0,0.7482993197278912,0.6666666666666666,0.6027397260273972,0.0,0.3890794520547945,0.7894749999999999,0.5633802816901409,0.75,0.7274528169014084,0.8677250000000001,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-5-mini,0.6933,0.6933,0.8,0.8,0.38,0.1867,,,,0.7429,0.8178,0.6102,0.2353,,,,0.7133,0.5933,0.66,0.7533,,,0.703125,0.6363636363636364,0.75618203125,0.6657772727272727,0.7972972972972973,1.0,0.8013698630136986,0.75,0.3916083916083916,0.14285714285714285,0.598134965034965,0.8571428571428571,0.6944444444444444,0.6666666666666666,0.8140458333333334,0.9083333333333333,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-5-nano,0.56,0.5267,0.68,0.6933,0.54,0.2133,,,,0.6779,0.6973,0.4556,0.2772,,,,0.5333,0.5067,0.56,0.6067,,,0.5606060606060606,0.5555555555555556,0.6825121212121212,0.6438111111111111,0.7007299270072993,0.46153846153846156,0.6834532374100719,0.8181818181818182,0.5227272727272727,0.6666666666666666,0.4722219696969697,0.3333333333333333,0.5217391304347826,0.5833333333333334,0.6883347826086956,0.8004000000000001,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-oss:20b,0.2067,0.1733,0.4,0.4133,0.8533,0.18,,,,0.3304,0.3391,0.0769,0.1966,,,,0.1867,0.3,0.1933,0.3667,,,0.20863309352517986,0.18181818181818182,0.3378956834532374,0.23636363636363636,0.38571428571428573,0.6,0.4027777777777778,0.6666666666666666,0.8561151079136691,0.8181818181818182,0.077031654676259,0.07575454545454545,0.18181818181818182,0.0,0.3518727272727273,0.0791142857142857,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,grok-3-mini,0.2533,0.2133,0.4733,0.3667,0.8867,0.1867,,,,0.4802,0.4829,0.0473,0.3373,,,,0.1,0.1067,0.1067,0.1733,,,0.25757575757575757,0.2222222222222222,0.48860606060606054,0.4187,0.4791666666666667,0.3333333333333333,0.3586206896551724,0.6,0.9041095890410958,0.25,0.043828082191780825,0.1736,0.2191780821917808,0.0,0.4852239726027398,0.397725,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,llama3.1:8b,0.0267,0.0,0.0933,0.06,0.7867,0.0,,,,0.1863,0.1421,0.0607,0.0632,,,,0.0,0.0,0.0267,0.02,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,o3,0.2467,0.1533,0.4067,0.2533,0.86,0.12,,,,0.4787,0.4158,0.0883,0.3092,,,,0.16,0.1933,0.16,0.18,,,0.26277372262773724,0.07692307692307693,0.49620437956204383,0.2938692307692307,0.4041095890410959,0.5,0.2620689655172414,0.0,0.8671328671328671,0.7142857142857143,0.0812041958041958,0.2330857142857143,0.15827338129496402,0.09090909090909091,0.41310287769784176,0.45019999999999993,1.0,1.0,1.0,1.0,1.0,1.0
spinach,classification,deepseek-chat,0.9867,0.84,0.9267,0.92,0.72,0.64,0.5133,0.4733,0.56,0.9994,0.9646,0.2515,0.6791,0.7468,0.6856,0.7301,0.2267,0.2267,0.2533,0.2933,0.5155,0.7208,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0268,0.0
spinach,classification,deepseek-r1:1.5b,0.0,0.0,1.0,0.0067,0.9133,0.0067,0.0,0.0,0.0,0.0039,0.0064,0.0301,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002450735294117647,0.017857142857142856,1.0,1.0,,,,,,,0.0,0.0,0.004273076923076923,0.011110869565217391,1.0,1.0,0.0,0.5,0.9995,0.5
spinach,classification,deepseek-r1:70b,0.0533,0.0,1.0,0.1933,0.7067,0.0,0.0,0.0,0.0,0.5451,0.3013,0.1049,0.164,0.2362,0.2543,0.2354,0.0067,0.0467,1.0,0.0733,0.0,0.242,0.05673758865248227,0.0,0.5431992907801418,0.5743444444444443,1.0,1.0,,,,,,,0.0,0.0,0.3024427586206897,0.26848,0.0039,1.0,0.0,0.0,1.0,1.0
spinach,classification,deepseek-reasoner,0.7733,0.8867,0.8933,0.9533,0.5867,0.5467,0.42,0.3933,0.5267,0.8386,0.9414,0.4047,0.5648,0.5737,0.5687,0.7179,0.2267,0.2333,0.3467,0.3867,0.4467,0.6201,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
spinach,classification,gemini-2.0-flash,0.8867,0.86,1.0,0.9667,0.66,0.5933,0.4267,0.3733,0.3267,0.9208,0.8788,0.2541,0.5401,0.6547,0.5754,0.5565,0.1467,0.14,1.0,0.4,0.3756,0.5955,0.8866666666666667,,0.9208019999999999,,1.0,1.0,,,,,,,0.7,0.8692307692307693,0.69579,0.9000446153846153,0.0,0.0,0.0,0.0,0.4036,0.0
spinach,classification,gemini-2.5-flash,0.9267,0.9133,1.0,0.9667,0.9,0.8533,0.3667,0.3733,0.3467,0.9461,0.9416,0.0934,0.8052,0.6205,0.6056,0.624,0.0933,0.0733,1.0,0.1733,0.3622,0.6167,0.9545454545454546,0.7222222222222222,0.9570704545454546,0.86605,1.0,1.0,,,,,,,0.927007299270073,0.7692307692307693,0.943807299270073,0.918123076923077,0.0,0.0,0.0,0.0,0.4253,0.0
spinach,classification,gemini-2.5-pro,0.8,0.7667,1.0,0.88,0.92,0.7867,0.3867,0.3467,0.3067,0.8609,0.8735,0.0743,0.7962,0.6403,0.6053,0.6036,0.1,0.12,1.0,0.1533,0.3467,0.6164,0.8837209302325582,0.2857142857142857,0.9027387596899225,0.6038714285714286,1.0,1.0,,,,,,,0.7898550724637681,0.5,0.8985391304347826,0.5849333333333333,0.0,0.0,0.0,0.0,0.0081,0.0
spinach,classification,gpt-4.1-2025-04-14,0.9267,0.8533,0.6467,0.96,0.84,0.76,0.2667,0.2667,0.3,0.9788,0.9758,0.1376,0.8143,0.6085,0.5578,0.6019,0.0333,0.0333,0.0867,0.16,0.2778,0.5894,0.9577464788732394,0.375,0.9904464788732396,0.7726625,0.6442953020134228,1.0,,,,,,,0.8551724137931035,0.8,0.976524827586207,0.95556,0.0,0.0,0.0481,0.0,0.0002,0.0
spinach,classification,gpt-4.1-mini-2025-04-14,0.9467,0.82,0.5733,0.9,0.7467,0.6267,0.3667,0.3867,0.4267,0.9793,0.9461,0.2379,0.6587,0.5982,0.6016,0.6552,0.1867,0.18,0.14,0.3067,0.3934,0.6183,0.9645390070921985,0.6666666666666666,0.9811787234042554,0.9497777777777778,0.5769230769230769,0.5714285714285714,,,,,,,0.835820895522388,0.6875,0.9504776119402986,0.90921875,0.0,0.0,0.0001,0.0,0.8698,0.0
spinach,classification,gpt-4.1-nano-2025-04-14,0.9733,0.5867,0.7467,0.5933,0.3733,0.0067,0.9867,0.9933,0.9867,0.9733,0.7567,0.6267,0.0067,0.9867,0.9933,0.9867,1.0,0.9733,0.74,0.5867,0.9889,0.9889,0.967479674796748,1.0,0.967479674796748,1.0,0.7111111111111111,0.7619047619047619,,,,,,,,0.5866666666666667,,0.7566666666666667,0.0,0.0,0.0,0.1272,1.0,0.9999
spinach,classification,gpt-4o,0.98,0.9533,0.9733,0.9867,0.4333,0.3933,0.6867,0.2133,0.28,0.4551,0.9902,0.5667,0.3985,0.3163,0.3233,0.3368,0.54,0.54,0.56,0.5933,0.3933,0.3255,0.9863013698630136,0.75,0.46196849315068494,0.205875,,,,,,,,,1.0,0.9772727272727273,1.0,0.9938238636363637,0.0,0.0,0.0,0.0,0.0,0.0
spinach,classification,gpt-5,0.9333,0.86,1.0,0.9733,0.7,0.6533,0.62,0.6067,0.6133,0.9625,0.9308,0.2946,0.6592,0.7761,0.787,0.7876,0.3,0.2933,1.0,0.3867,0.6133,0.7836,0.9640287769784173,0.5454545454545454,0.977064748201439,0.7784272727272726,1.0,1.0,,,,,,,0.8920863309352518,0.45454545454545453,0.942163309352518,0.7873363636363636,0.0,0.0,0.0,0.0,0.345,0.0
spinach,classification,gpt-5-mini,0.9,0.6267,1.0,0.76,0.6533,0.4133,0.6467,0.6333,0.62,0.9204,0.7496,0.3467,0.4298,0.7631,0.7637,0.7533,0.4667,0.4333,1.0,0.4467,0.6333,0.76,0.9078014184397163,0.7777777777777778,0.9295539007092197,0.7777777777777778,1.0,1.0,,,,,,,0.6357142857142857,0.5,0.7527078571428572,0.7059599999999999,0.0,0.7121,0.0,0.9231,0.0,0.0113
