action,dataset,predicate,llm,deepseek-chat,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,gpt-4.1-nano-2025-04-14,gpt-4o,gpt-5,gpt-5-mini,gpt-5-nano,gpt-oss:20b,grok-3-mini,llama3.1:70b,llama3.1:8b,mistral-small:24b,o3,deepseek-reasoner
classification,overall,?A1=A3+A4,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,mistral-small:24b,1.0,1.0,1.0,1.0,1.0,1.0,0.6061,1.0,1.0,0.997,1.0,0.0,1.0,0.1288,0.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,o3,0.8358,1.0,1.0,0.0,1.0,0.9998,0.0,1.0,1.0,0.0,0.0,0.0,0.0297,0.0,0.0,0.0,1.0,1.0
classification,overall,?A1>A3,deepseek-chat,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5286
classification,overall,?A1>A3,deepseek-reasoner,0.5286,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
classification,overall,?A1>A3,gemini-2.0-flash,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,gemini-2.5-flash,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,gemini-2.5-pro,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,gpt-4.1-2025-04-14,1.0,1.0,1.0,1.0,1.0,0.0,0.8301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A3,gpt-4.1-mini-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A3,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,0.1899,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A3,gpt-4o,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,gpt-5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,gpt-5-mini,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,gpt-5-nano,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,gpt-oss:20b,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,grok-3-mini,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,llama3.1:70b,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,llama3.1:8b,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,mistral-small:24b,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
classification,overall,?A1>A3,o3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A4,deepseek-chat,1.0,0.9939,1.0,0.0,1.0,0.9921,0.0,1.0,1.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.1617,0.8881
classification,overall,?A1>A4,deepseek-reasoner,0.1436,0.9066,1.0,0.0,1.0,0.9051,0.0,1.0,1.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0171,1.0
classification,overall,?A1>A4,gemini-2.0-flash,0.0096,1.0,1.0,0.0,1.0,0.5334,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.1241
classification,overall,?A1>A4,gemini-2.5-flash,0.0,0.0001,1.0,0.0,0.5489,0.0001,0.0,0.9865,0.5497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1>A4,gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9999,0.6517,0.0,0.005,1.0,1.0
classification,overall,?A1>A4,gpt-4.1-2025-04-14,0.0,0.0001,0.5489,0.0,1.0,0.0001,0.0,0.988,0.5489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1>A4,gpt-4.1-mini-2025-04-14,0.0121,0.5334,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.1257
classification,overall,?A1>A4,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
classification,overall,?A1>A4,gpt-4o,0.0,0.0,0.0267,0.0,0.0244,0.0,0.0,1.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1>A4,gpt-5,0.0,0.0001,0.5497,0.0,0.5489,0.0001,0.0,0.985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1>A4,gpt-5-mini,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9338,0.2326,1.0,1.0,0.0,1.0,1.0,1.0
classification,overall,?A1>A4,gpt-5-nano,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0784,1.0,0.0123,1.0,1.0,0.0,0.9991,1.0,1.0
classification,overall,?A1>A4,gpt-oss:20b,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7928,0.9903,1.0,1.0,1.0,0.0,1.0,1.0,1.0
classification,overall,?A1>A4,grok-3-mini,0.9902,1.0,1.0,0.0001,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0004,0.0,0.0,0.8979,0.9997
classification,overall,?A1>A4,llama3.1:70b,1.0,1.0,1.0,0.3903,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9998,1.0,0.0,0.0017,1.0,1.0
classification,overall,?A1>A4,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A4,mistral-small:24b,1.0,1.0,1.0,0.9963,1.0,1.0,0.0,1.0,1.0,0.0,0.0012,0.0,1.0,0.9988,0.0,1.0,1.0,1.0
classification,overall,?A1>A4,o3,0.8705,0.9997,1.0,0.0,1.0,0.9998,0.0,1.0,1.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,1.0,0.9882
classification,overall,?A3∅A4,deepseek-chat,1.0,0.0,1.0,1.0,1.0,0.9942,0.0,0.0,0.0152,0.0292,0.0,1.0,1.0,1.0,0.0017,1.0,1.0,0.0
classification,overall,?A3∅A4,deepseek-reasoner,1.0,0.0015,1.0,1.0,1.0,1.0,0.0,0.0,0.9999,1.0,0.0,1.0,1.0,1.0,0.9964,1.0,1.0,1.0
classification,overall,?A3∅A4,gemini-2.0-flash,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989
classification,overall,?A3∅A4,gemini-2.5-flash,0.0,0.0,1.0,0.989,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.9987,0.0,0.0,0.9963,0.0
classification,overall,?A3∅A4,gemini-2.5-pro,0.0,0.0,0.0161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8351,0.0,0.0,0.7088,0.0
classification,overall,?A3∅A4,gpt-4.1-2025-04-14,0.0,0.0,0.9998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964,0.9417,1.0,0.0,0.0,1.0,0.0
classification,overall,?A3∅A4,gpt-4.1-mini-2025-04-14,0.0076,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.9243,1.0,0.0
classification,overall,?A3∅A4,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A3∅A4,gpt-4o,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A3∅A4,gpt-5,0.988,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6274,0.0,1.0,1.0,1.0,0.2001,1.0,1.0,0.0001
classification,overall,?A3∅A4,gpt-5-mini,0.9764,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4082,1.0,0.0,1.0,1.0,1.0,0.1404,1.0,1.0,0.0
classification,overall,?A3∅A4,gpt-5-nano,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A3∅A4,gpt-oss:20b,0.0,0.0,1.0,1.0,0.9216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9978,1.0,0.0,0.0005,1.0,0.0
classification,overall,?A3∅A4,grok-3-mini,0.0,0.0,0.9827,1.0,0.0744,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,1.0,1.0,0.0,0.0,1.0,0.0
classification,overall,?A3∅A4,llama3.1:70b,0.0,0.0,0.002,0.2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3516,0.0
classification,overall,?A3∅A4,llama3.1:8b,0.9987,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8227,0.8773,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0046
classification,overall,?A3∅A4,mistral-small:24b,0.0001,0.0,1.0,1.0,1.0,0.0914,0.0,0.0,0.0,0.0,0.0,0.9996,1.0,1.0,0.0,1.0,1.0,0.0
classification,overall,?A3∅A4,o3,0.0,0.0,0.0057,0.3473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7032,0.0,0.0,1.0,0.0
classification,overall,?A4=A1|3,deepseek-chat,1.0,0.0,1.0,1.0,1.0,0.9953,0.0,0.0,0.6655,0.0,0.0,0.0,1.0,0.0045,0.0,0.0,1.0,0.004
classification,overall,?A4=A1|3,deepseek-reasoner,0.9969,0.0034,1.0,1.0,1.0,1.0,0.0,0.0,0.9992,0.0,0.0,0.0,1.0,0.468,0.0,0.0,1.0,1.0
classification,overall,?A4=A1|3,gemini-2.0-flash,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9947,0.0,0.0005,1.0,0.9974
classification,overall,?A4=A1|3,gemini-2.5-flash,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A4=A1|3,gemini-2.5-pro,0.0001,0.0,1.0,1.0,1.0,0.0875,0.0,0.0,0.0003,0.0,0.0,0.0,0.5679,0.0,0.0,0.0,1.0,0.0
classification,overall,?A4=A1|3,gpt-4.1-2025-04-14,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7323,0.0
classification,overall,?A4=A1|3,gpt-4.1-mini-2025-04-14,0.006,0.0,1.0,0.9252,1.0,1.0,0.0,0.0,0.0153,0.0,0.0,0.0,0.9431,0.0,0.0,0.0,1.0,0.0
classification,overall,?A4=A1|3,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A4=A1|3,gpt-4o,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2339,0.0,0.7919,1.0,1.0,0.0,0.9997,1.0,1.0
classification,overall,?A4=A1|3,gpt-5,0.3662,0.0,1.0,0.9998,1.0,0.9878,0.0,0.0,1.0,0.0,0.0,0.0,0.9999,0.0016,0.0,0.0,1.0,0.0011
classification,overall,?A4=A1|3,gpt-5-mini,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7915,1.0,1.0,0.0,0.9385,1.0,1.0,0.0,1.0,1.0,1.0
classification,overall,?A4=A1|3,gpt-5-nano,1.0,1.0,1.0,1.0,1.0,1.0,0.0156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A4=A1|3,gpt-oss:20b,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2335,1.0,0.0723,0.0,1.0,1.0,1.0,0.0,0.9961,1.0,1.0
classification,overall,?A4=A1|3,grok-3-mini,0.0,0.0,1.0,0.4659,1.0,0.0674,0.0,0.0,0.0001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
classification,overall,?A4=A1|3,llama3.1:70b,0.9964,0.0067,1.0,1.0,1.0,1.0,0.0,0.0,0.9988,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5638
classification,overall,?A4=A1|3,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A4=A1|3,mistral-small:24b,1.0,0.9996,1.0,1.0,1.0,1.0,0.0,0.0004,1.0,0.0,0.0,0.005,1.0,1.0,0.0,1.0,1.0,1.0
classification,overall,?A4=A1|3,o3,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
classification,qawiki,?A1=A2,deepseek-chat,1.0,0.0001,0.0005,0.0021,0.0059,0.0017,0.3633,0.6875,0.0065,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
classification,qawiki,?A1=A2,deepseek-reasoner,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987,0.9238,0.4478,0.9999,0.9648,0.0,0.9985,0.8438,1.0
classification,qawiki,?A1=A2,gemini-2.0-flash,1.0,1.0,0.8365,0.8595,0.968,0.9242,0.9995,1.0,0.939,0.5,0.0326,0.0004,0.779,0.0939,0.0,0.43,0.0158,0.0019
classification,qawiki,?A1=A2,gemini-2.5-flash,1.0,0.2786,1.0,0.6855,0.8463,0.7214,0.9978,0.9999,0.8083,0.2122,0.0035,0.0,0.5,0.0175,0.0,0.1725,0.0013,0.0001
classification,qawiki,?A1=A2,gemini-2.5-pro,0.9997,0.2366,0.5,1.0,0.7878,0.6762,0.9979,0.9997,0.7383,0.1537,0.0038,0.0,0.4073,0.0122,0.0,0.1148,0.0002,0.0001
classification,qawiki,?A1=A2,gpt-4.1-2025-04-14,0.9995,0.0758,0.2706,0.345,1.0,0.4018,0.9755,0.9983,0.5,0.0539,0.0006,0.0,0.1917,0.0017,0.0,0.0378,0.0001,0.0
classification,qawiki,?A1=A2,gpt-4.1-mini-2025-04-14,0.9999,0.1537,0.4225,0.5,0.7728,1.0,0.9904,0.9999,0.6612,0.1148,0.0025,0.0,0.3238,0.0068,0.0,0.0843,0.0003,0.0
classification,qawiki,?A1=A2,gpt-4.1-nano-2025-04-14,0.8555,0.002,0.0096,0.0106,0.0717,0.0318,1.0,0.8555,0.0481,0.0008,0.0,0.0,0.0038,0.0,0.0,0.0002,0.0,0.0
classification,qawiki,?A1=A2,gpt-4o,0.6875,0.0,0.0012,0.0021,0.0112,0.0017,0.3633,1.0,0.0065,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0
classification,qawiki,?A1=A2,gpt-5,0.9991,0.1239,0.3318,0.4159,0.6855,0.5,0.9846,0.9991,1.0,0.0758,0.0007,0.0,0.2617,0.0045,0.0,0.068,0.0002,0.0
classification,qawiki,?A1=A2,gpt-5-mini,1.0,0.6321,0.8852,0.9242,0.9784,0.9461,0.9999,1.0,0.968,1.0,0.0631,0.0006,0.8275,0.1279,0.0,0.5,0.027,0.0033
classification,qawiki,?A1=A2,gpt-5-nano,1.0,0.9856,0.9989,0.9987,0.9998,0.9992,1.0,1.0,0.9998,0.967,1.0,0.0924,0.9953,0.7121,0.0,0.9635,0.3854,0.1264
classification,qawiki,?A1=A2,gpt-oss:20b,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9444,1.0,1.0,0.9799,0.0,0.9993,0.9033,0.653
classification,qawiki,?A1=A2,grok-3-mini,1.0,0.3506,0.6682,0.7597,0.9054,0.8204,0.9993,0.9999,0.8569,0.2858,0.0119,0.0001,1.0,0.0326,0.0,0.2291,0.0015,0.0004
classification,qawiki,?A1=A2,llama3.1:70b,1.0,0.9506,0.9932,0.9955,0.9996,0.9977,1.0,1.0,0.9985,0.9283,0.3899,0.038,0.9856,1.0,0.0,0.8945,0.2307,0.0632
classification,qawiki,?A1=A2,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,qawiki,?A1=A2,mistral-small:24b,1.0,0.7017,0.9075,0.9461,0.9855,0.9622,1.0,1.0,0.9693,0.6399,0.0717,0.0019,0.8675,0.1744,0.0,1.0,0.0298,0.004
classification,qawiki,?A1=A2,o3,1.0,0.9931,0.9996,1.0,1.0,0.9999,1.0,1.0,1.0,0.9871,0.72,0.1562,0.9996,0.849,0.0,0.9862,1.0,0.2354
classification,qawiki,?A1=A3+A4,deepseek-chat,1.0,0.9075,0.9992,0.0027,0.9075,0.8042,0.0,0.9992,0.99,0.0,0.0019,0.0,0.0481,0.0,0.0,0.0001,0.0164,0.6358
classification,qawiki,?A1=A3+A4,deepseek-reasoner,0.5,0.8519,0.9992,0.0023,0.8519,0.7566,0.0,0.998,0.9947,0.0,0.0019,0.0,0.0235,0.0,0.0,0.0,0.0058,1.0
classification,qawiki,?A1=A3+A4,gemini-2.0-flash,0.1725,1.0,0.9827,0.0004,0.5806,0.4225,0.0,0.9793,0.9075,0.0,0.0001,0.0,0.0057,0.0,0.0,0.0,0.0008,0.2434
classification,qawiki,?A1=A3+A4,gemini-2.5-flash,0.003,0.0466,1.0,0.0,0.0466,0.0216,0.0,0.5,0.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033
classification,qawiki,?A1=A3+A4,gemini-2.5-pro,0.999,0.9999,1.0,1.0,0.9999,0.9998,0.0005,1.0,1.0,0.1446,0.4439,0.0015,0.8688,0.0,0.0,0.1712,0.705,0.9992
classification,qawiki,?A1=A3+A4,gpt-4.1-2025-04-14,0.1725,0.5806,0.9827,0.0003,1.0,0.4253,0.0,0.9738,0.9242,0.0,0.0001,0.0,0.0066,0.0,0.0,0.0,0.0006,0.2434
classification,qawiki,?A1=A3+A4,gpt-4.1-mini-2025-04-14,0.3038,0.7214,0.9927,0.0007,0.7142,1.0,0.0,0.9855,0.9622,0.0,0.0005,0.0,0.0098,0.0,0.0,0.0,0.0033,0.3642
classification,qawiki,?A1=A3+A4,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,0.9846,0.9988,0.5901,1.0,0.1477,0.0,0.9846,0.9999,1.0
classification,qawiki,?A1=A3+A4,gpt-4o,0.0033,0.0577,0.6964,0.0,0.0669,0.0378,0.0,1.0,0.4073,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0073
