llm,dataset,action,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),J(A1*-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
deepseek-reasoner,qawiki,classification,0.7267,0.8533,0.9133,0.8933,0.4533,0.7919,0.902,0.55,0.5602,0.6708,0.3067,0.3267,0.48,0.5267
deepseek-reasoner,qawiki,fixing,0.5867,0.52,0.68,0.8133,0.9067,0.7372,0.7351,0.3148,0.2896,0.2818,0.0667,0.0533,0.14,0.1267
deepseek-reasoner,qawiki,zero-shot,0.12,0.0733,0.28,0.2,0.8267,0.3115,0.2839,,,,0.0467,0.0733,0.0533,0.08
deepseek-reasoner,spinach,classification,0.7733,0.8867,0.8933,0.9533,0.5867,0.8386,0.9414,0.5737,0.5687,0.7179,0.2267,0.2333,0.3467,0.3867
deepseek-reasoner,spinach,fixing,0.6467,0.5333,0.6667,0.8467,0.8933,0.8036,0.8206,0.4319,0.4514,0.4066,0.0467,0.06,0.0867,0.0467
deepseek-reasoner,spinach,zero-shot,0.1667,0.1133,0.4133,0.2933,0.84,0.4724,0.4071,,,,0.0467,0.06,0.0333,0.0667
deepseek-reasoner,synthetic,classification,0.7267,0.8733,0.9267,0.9533,0.88,0.7768,0.9456,0.6352,0.6168,0.7358,0.06,0.0733,0.0867,0.12
deepseek-reasoner,synthetic,fixing,0.7533,0.6667,0.7933,0.8733,0.9667,0.8847,0.8887,0.5773,0.5358,0.5834,0.0067,0.0067,0.0333,0.02
deepseek-reasoner,synthetic,zero-shot,0.2867,0.2333,0.5267,0.4467,0.7533,0.5706,0.5545,,,,0.0133,0.0133,0.0067,0.0333
gemini-2.0-flash,qawiki,classification,0.8667,0.8867,1.0,0.9533,0.3533,0.9471,0.9502,0.6483,0.6061,0.5276,0.3067,0.3,1.0,0.5467
gemini-2.0-flash,qawiki,fixing,0.7533,0.6467,0.8067,0.8867,0.9467,0.803,0.8483,0.8361,0.8383,0.8408,0.02,0.0067,0.0067,0.0867
gemini-2.0-flash,qawiki,wikidata,0.1933,0.1133,0.4133,0.4,0.6133,0.4295,0.3369,,,,0.08,0.1067,0.1733,0.18
gemini-2.0-flash,qawiki,zero-shot,0.2467,0.1267,0.3533,0.3867,0.6533,0.4938,0.4025,,,,0.0067,0.0133,0.0067,0.02
gemini-2.0-flash,spinach,classification,0.8867,0.86,1.0,0.9667,0.66,0.9208,0.8788,0.6547,0.5754,0.5565,0.1467,0.14,1.0,0.4
gemini-2.0-flash,spinach,fixing,0.7667,0.7733,0.8867,0.9133,0.9733,0.8136,0.9152,0.8713,0.8616,0.8323,0.0267,0.0,0.0133,0.12
gemini-2.0-flash,spinach,wikidata,0.3467,0.1733,0.54,0.48,0.62,0.6206,0.4799,,,,0.0267,0.04,0.1267,0.22
gemini-2.0-flash,spinach,zero-shot,0.4067,0.1,0.44,0.32,0.68,0.6494,0.4699,,,,0.0067,0.0,0.0133,0.0
gemini-2.0-flash,synthetic,classification,0.8467,0.8467,1.0,0.9133,0.7467,0.9226,0.942,0.7256,0.6496,0.6439,0.08,0.0733,1.0,0.2
gemini-2.0-flash,synthetic,fixing,0.86,0.84,0.8733,0.9667,0.9867,0.8733,0.958,0.9335,0.9037,0.9159,0.0067,0.0,0.0067,0.06
gemini-2.0-flash,synthetic,wikidata,0.4867,0.1933,0.56,0.52,0.5733,0.7258,0.6022,,,,0.0067,0.0333,0.0333,0.04
gemini-2.0-flash,synthetic,zero-shot,0.4333,0.18,0.5267,0.44,0.5533,0.7391,0.566,,,,0.0067,0.0133,0.0,0.0
gemini-2.5-flash,qawiki,classification,0.8933,0.9467,1.0,0.98,0.8267,0.9404,0.9787,0.5754,0.5794,0.5702,0.12,0.12,1.0,0.2467
gemini-2.5-flash,qawiki,fixing,0.86,0.8867,0.8867,0.9667,0.9267,0.8998,0.9033,0.7605,0.7503,0.7192,0.1333,0.0867,0.1133,0.1933
gemini-2.5-flash,qawiki,wikidata,0.3,0.1667,0.5733,0.4867,0.88,0.36,0.3279,,,,0.28,0.32,0.3,0.32
gemini-2.5-flash,qawiki,zero-shot,0.26,0.22,0.4533,0.3533,0.8467,0.5143,0.4571,,,,0.0867,0.1,0.1267,0.14
gemini-2.5-flash,spinach,classification,0.9267,0.9133,1.0,0.9667,0.9,0.9461,0.9416,0.6205,0.6056,0.624,0.0933,0.0733,1.0,0.1733
gemini-2.5-flash,spinach,fixing,0.8733,0.8667,0.8467,0.9667,0.9733,0.9042,0.9076,0.7627,0.8087,0.799,0.0867,0.04,0.0467,0.1733
gemini-2.5-flash,spinach,wikidata,0.3667,0.28,0.5333,0.6133,0.9067,0.4799,0.4381,,,,0.2267,0.2,0.26,0.2867
gemini-2.5-flash,spinach,zero-shot,0.3333,0.2867,0.4867,0.5,0.8533,0.5974,0.5385,,,,0.08,0.0533,0.08,0.1067
gemini-2.5-flash,synthetic,classification,0.8667,0.92,1.0,0.9733,0.9733,0.9151,0.9651,0.7421,0.7173,0.7786,0.04,0.0333,1.0,0.04
gemini-2.5-flash,synthetic,fixing,0.9,0.9133,0.94,0.96,0.9733,0.9388,0.9457,0.8867,0.8675,0.8694,0.0267,0.02,0.0267,0.06
gemini-2.5-flash,synthetic,wikidata,0.3333,0.2467,0.6333,0.5133,0.8467,0.5816,0.5658,,,,0.1467,0.1067,0.0867,0.1733
gemini-2.5-flash,synthetic,zero-shot,0.4667,0.3467,0.6,0.5667,0.88,0.7291,0.6731,,,,0.0333,0.04,0.0267,0.0467
gemini-2.5-pro,qawiki,classification,0.9,0.72,1.0,0.8467,0.88,0.9486,0.8374,0.5939,0.499,0.5359,0.1067,0.0933,1.0,0.22
gemini-2.5-pro,qawiki,fixing,0.76,0.5933,0.74,0.8667,0.98,0.8519,0.757,0.6166,0.623,0.5838,0.1,0.06,0.06,0.1467
gemini-2.5-pro,qawiki,wikidata,0.22,0.18,0.4133,0.34,0.7667,0.5128,0.4924,,,,0.0267,0.04,0.0733,0.0667
gemini-2.5-pro,qawiki,zero-shot,0.2333,0.1467,0.3133,0.2933,0.78,0.5595,0.4862,,,,0.0333,0.0267,0.0467,0.0733
gemini-2.5-pro,spinach,classification,0.8,0.7667,1.0,0.88,0.92,0.8609,0.8735,0.6403,0.6053,0.6036,0.1,0.12,1.0,0.1533
gemini-2.5-pro,spinach,fixing,0.8067,0.8133,0.7733,0.9733,0.98,0.9041,0.9203,0.7701,0.7532,0.7434,0.06,0.02,0.02,0.14
gemini-2.5-pro,spinach,wikidata,0.3067,0.32,0.56,0.4733,0.8133,0.665,0.6308,,,,0.0067,0.0133,0.06,0.0533
gemini-2.5-pro,spinach,zero-shot,0.3,0.2067,0.4267,0.42,0.82,0.6364,0.5555,,,,0.0267,0.02,0.0667,0.06
gemini-2.5-pro,synthetic,classification,0.7733,0.6733,1.0,0.8267,0.9667,0.8069,0.7644,0.7361,0.6142,0.669,0.1067,0.0867,1.0,0.1133
gemini-2.5-pro,synthetic,fixing,0.68,0.7733,0.82,0.8867,0.9733,0.6098,0.8262,0.3721,0.5311,0.4136,0.24,0.24,0.36,0.0733
gemini-2.5-pro,synthetic,wikidata,0.42,0.3,0.5933,0.5733,0.8067,0.7499,0.6982,,,,0.0133,0.0133,0.0067,0.0133
gemini-2.5-pro,synthetic,zero-shot,0.4467,0.3533,0.6067,0.4933,0.8067,0.7226,0.7069,,,,0.0133,0.04,0.0,0.0133
gpt-4.1-2025-04-14,qawiki,classification,0.9067,0.8267,0.9333,0.9333,0.8133,0.9786,0.963,0.671,0.653,0.6491,0.1133,0.1133,0.1533,0.1933
gpt-4.1-2025-04-14,qawiki,fixing,0.76,0.7467,0.8667,0.9533,0.8933,0.9013,0.9098,0.7944,0.789,0.7863,0.0733,0.0733,0.1067,0.12
gpt-4.1-2025-04-14,qawiki,wikidata,0.2533,0.1267,0.4267,0.3867,0.6267,0.6523,0.5158,,,,0.0267,0.0267,0.0733,0.06
gpt-4.1-2025-04-14,qawiki,zero-shot,0.28,0.0933,0.3933,0.3333,0.6333,0.5849,0.4468,,,,0.02,0.02,0.0867,0.0867
gpt-4.1-2025-04-14,spinach,classification,0.9485,0.8969,0.9485,0.9691,0.9794,0.9249,0.911,0.7187,0.6813,0.7598,0.0515,0.0515,0.0515,0.1443
gpt-4.1-2025-04-14,spinach,fixing,0.9067,0.76,0.9467,0.9267,1.0,0.9275,0.9078,0.8455,0.8494,0.8417,0.0333,0.0333,0.0733,0.1133
gpt-4.1-2025-04-14,spinach,wikidata,0.5,0.2133,0.5667,0.44,0.6467,0.798,0.62,,,,0.0,0.0,0.04,0.0933
gpt-4.1-2025-04-14,spinach,zero-shot,0.4733,0.2067,0.52,0.4267,0.6333,0.7449,0.5839,,,,0.0,0.0133,0.04,0.0933
gpt-4.1-2025-04-14,synthetic,classification,0.9,0.8533,0.9667,0.9267,0.94,0.9724,0.9629,0.847,0.8308,0.8528,0.02,0.02,0.0267,0.0667
gpt-4.1-2025-04-14,synthetic,fixing,0.8867,0.8667,0.9533,0.9667,0.9733,0.9662,0.9711,0.9175,0.9131,0.9145,0.0133,0.0133,0.0267,0.08
gpt-4.1-2025-04-14,synthetic,wikidata,0.62,0.2933,0.6867,0.5733,0.6267,0.8506,0.6977,,,,0.0,0.0,0.0267,0.04
gpt-4.1-2025-04-14,synthetic,zero-shot,0.6,0.2733,0.7,0.54,0.6133,0.8377,0.7008,,,,0.0,0.0,0.0133,0.0267
gpt-4.1-mini-2025-04-14,qawiki,classification,0.8733,0.7933,0.9067,0.9533,0.6933,0.9633,0.9627,0.6471,0.6269,0.6215,0.2,0.1933,0.2133,0.3267
gpt-4.1-mini-2025-04-14,qawiki,fixing,0.7267,0.68,0.8333,0.98,0.8867,0.869,0.8699,0.729,0.7245,0.721,0.0867,0.1133,0.2133,0.1333
gpt-4.1-mini-2025-04-14,qawiki,wikidata,0.22,0.06,0.2933,0.2933,0.86,0.3749,0.2322,,,,0.0933,0.1,0.0867,0.2067
gpt-4.1-mini-2025-04-14,qawiki,zero-shot,0.26,0.1133,0.4467,0.3533,0.56,0.5869,0.4468,,,,0.02,0.02,0.0667,0.06
gpt-4.1-mini-2025-04-14,spinach,classification,0.94,0.8867,0.9667,0.98,0.7867,0.8755,0.9636,0.5971,0.5677,0.5752,0.1067,0.1067,0.14,0.2667
gpt-4.1-mini-2025-04-14,spinach,fixing,0.8533,0.7533,0.8867,0.98,0.9667,0.9138,0.8935,0.7759,0.7902,0.7916,0.0267,0.02,0.0467,0.1267
gpt-4.1-mini-2025-04-14,spinach,wikidata,0.24,0.1,0.36,0.2733,0.8,0.4002,0.293,,,,0.04,0.0867,0.0133,0.1867
gpt-4.1-mini-2025-04-14,spinach,zero-shot,0.44,0.1933,0.56,0.3933,0.4933,0.7336,0.5745,,,,0.0067,0.0133,0.0133,0.0667
gpt-4.1-mini-2025-04-14,synthetic,classification,0.8533,0.84,0.92,0.9467,0.88,0.9204,0.9586,0.7371,0.7085,0.725,0.04,0.04,0.0333,0.1
gpt-4.1-mini-2025-04-14,synthetic,fixing,0.8067,0.8,0.9133,0.9667,0.86,0.9151,0.9315,0.8616,0.8986,0.8651,0.02,0.04,0.06,0.0467
gpt-4.1-mini-2025-04-14,synthetic,wikidata,0.3267,0.08,0.4,0.3067,0.68,0.5417,0.3843,,,,0.02,0.04,0.02,0.08
gpt-4.1-mini-2025-04-14,synthetic,zero-shot,0.4667,0.18,0.5533,0.5333,0.52,0.75,0.6301,,,,0.0,0.0,0.0,0.04
gpt-4.1-nano-2025-04-14,qawiki,classification,0.8,0.8933,0.78,0.92,0.0867,0.8167,0.9222,0.8371,0.8743,0.7908,0.86,0.7133,0.6867,0.9
gpt-4.1-nano-2025-04-14,qawiki,fixing,0.4733,0.1733,0.56,0.4267,0.6267,0.5857,0.3823,0.6356,0.6437,0.6641,0.2333,0.3267,0.38,0.04
gpt-4.1-nano-2025-04-14,qawiki,wikidata,0.3,0.06,0.3333,0.5067,0.8933,0.4664,0.3423,,,,0.1133,0.0933,0.7467,0.16
gpt-4.1-nano-2025-04-14,qawiki,zero-shot,0.2333,0.0933,0.44,0.3467,0.6533,0.4523,0.3773,,,,0.0667,0.0933,0.2,0.1333
gpt-4.1-nano-2025-04-14,spinach,classification,0.8333,0.5733,0.84,0.5867,0.36,0.0155,0.7561,0.0087,0.0,0.0013,0.98,0.82,0.74,0.58
gpt-4.1-nano-2025-04-14,spinach,fixing,0.76,0.44,0.6467,0.7067,0.6133,0.6881,0.4969,0.3253,0.3042,0.5406,0.2,0.1733,0.14,0.1867
gpt-4.1-nano-2025-04-14,spinach,wikidata,0.3333,0.0667,0.3267,0.52,0.7733,0.6103,0.3453,,,,0.0267,0.0467,0.5933,0.1333
gpt-4.1-nano-2025-04-14,spinach,zero-shot,0.3467,0.1467,0.5467,0.4333,0.58,0.6225,0.4586,,,,0.0333,0.0333,0.0867,0.12
gpt-4.1-nano-2025-04-14,synthetic,classification,0.64,0.7333,0.6733,0.8467,0.2533,0.6905,0.8187,0.6603,0.6887,0.6823,0.5733,0.34,0.4267,0.76
gpt-4.1-nano-2025-04-14,synthetic,fixing,0.5533,0.3733,0.6133,0.7,0.5733,0.6813,0.6589,0.6822,0.7098,0.6864,0.06,0.12,0.16,0.1067
gpt-4.1-nano-2025-04-14,synthetic,wikidata,0.36,0.0933,0.4933,0.5067,0.7667,0.6337,0.3993,,,,0.0267,0.0667,0.4667,0.1
gpt-4.1-nano-2025-04-14,synthetic,zero-shot,0.3667,0.1133,0.5267,0.4467,0.5933,0.6469,0.5003,,,,0.0133,0.0133,0.1,0.0667
gpt-4o,qawiki,classification,0.98,0.94,1.0,0.9933,0.2867,0.2828,0.9686,0.1983,0.1767,0.2078,0.7067,0.7133,1.0,0.7267
gpt-4o,qawiki,fixing,0.8389,0.7919,0.9195,0.9329,0.9195,0.5966,0.5783,0.3555,0.3689,0.3506,0.3826,0.4094,0.4564,0.3893
gpt-4o,qawiki,wikidata,0.92,0.7933,0.8333,0.8733,0.16,0.92,0.8317,,,,0.92,0.9267,0.8533,0.94
gpt-4o,qawiki,zero-shot,0.42,0.32,0.4867,0.4733,0.6267,0.5852,0.5242,,,,0.2867,0.3067,0.3533,0.48
gpt-4o,spinach,classification,0.98,0.9533,0.9733,0.9867,0.4333,0.4551,0.9902,0.3163,0.3233,0.3368,0.54,0.54,0.56,0.5933
gpt-4o,spinach,fixing,0.9533,0.8067,0.9267,0.9667,0.9533,0.7168,0.7235,0.5886,0.579,0.5889,0.3,0.2933,0.2533,0.3267
gpt-4o,spinach,wikidata,0.84,0.68,0.7533,0.7933,0.24,0.8522,0.7537,,,,0.7667,0.7867,0.8067,0.8867
gpt-4o,spinach,zero-shot,0.56,0.2867,0.58,0.5267,0.68,0.7444,0.5784,,,,0.2533,0.2267,0.24,0.46
gpt-4o,synthetic,classification,0.9467,0.8867,1.0,0.9733,0.6067,0.6222,0.9631,0.4614,0.433,0.4795,0.3533,0.3533,1.0,0.4067
gpt-4o,synthetic,fixing,0.8133,0.7667,0.9467,0.96,0.9733,0.7462,0.7764,0.6078,0.6199,0.6514,0.1733,0.18,0.2333,0.1867
gpt-4o,synthetic,wikidata,0.8533,0.6467,0.6933,0.84,0.3,0.8668,0.7349,,,,0.84,0.8133,0.7267,0.8267
gpt-4o,synthetic,zero-shot,0.4067,0.16,0.5533,0.4133,0.7,0.6798,0.5558,,,,0.1267,0.1,0.1067,0.18
gpt-5,qawiki,classification,0.9133,0.9267,1.0,0.9733,0.52,0.9636,0.9644,0.7286,0.7324,0.746,0.4133,0.4067,1.0,0.5333
gpt-5,qawiki,fixing,0.8933,0.8933,0.9533,0.9867,0.62,0.9418,0.9191,0.822,0.8343,0.8067,0.5133,0.5267,0.5067,0.58
gpt-5,qawiki,wikidata,0.82,0.64,0.7867,0.7667,0.5,0.8907,0.7825,,,,0.66,0.6467,0.54,0.5933
gpt-5,qawiki,zero-shot,0.68,0.5667,0.7267,0.74,0.5867,0.7996,0.7421,,,,0.5467,0.5267,0.44,0.5267
gpt-5,spinach,classification,0.9333,0.86,1.0,0.9733,0.7,0.9625,0.9308,0.7761,0.787,0.7876,0.3,0.2933,1.0,0.3867
gpt-5,spinach,fixing,0.94,0.84,0.94,0.9733,0.78,0.9592,0.8977,0.8527,0.7902,0.816,0.3533,0.3533,0.3333,0.3867
gpt-5,spinach,wikidata,0.7533,0.5867,0.7533,0.7533,0.62,0.8193,0.7381,,,,0.4533,0.5,0.3733,0.46
gpt-5,spinach,zero-shot,0.6333,0.46,0.6667,0.6733,0.7133,0.7885,0.6965,,,,0.38,0.3667,0.3,0.34
gpt-5,synthetic,classification,0.8933,0.8867,1.0,0.9733,0.8867,0.9599,0.9285,0.8146,0.7942,0.8114,0.0933,0.0933,1.0,0.1667
gpt-5,synthetic,fixing,0.88,0.9,0.9667,0.9933,0.9267,0.9697,0.9482,0.7964,0.7859,0.7853,0.1267,0.1333,0.12,0.1467
gpt-5,synthetic,wikidata,0.6667,0.54,0.7333,0.78,0.8667,0.8036,0.7549,,,,0.2133,0.2333,0.12,0.2067
gpt-5,synthetic,zero-shot,0.5533,0.3933,0.6067,0.6467,0.8667,0.7869,0.6867,,,,0.1533,0.1267,0.0467,0.1333
gpt-5-mini,qawiki,classification,0.86,0.66,1.0,0.78,0.6267,0.9295,0.7907,0.6695,0.6549,0.6581,0.42,0.4267,1.0,0.48
gpt-5-mini,qawiki,fixing,0.86,0.84,0.9533,0.9733,0.7067,0.8897,0.9187,0.8109,0.839,0.8203,0.6533,0.6133,0.64,0.6333
gpt-5-mini,qawiki,wikidata,0.84,0.6933,0.8,0.8,0.38,0.8862,0.8178,,,,0.7133,0.76,0.66,0.7533
gpt-5-mini,qawiki,zero-shot,0.7133,0.5933,0.7267,0.7533,0.52,0.7931,0.7254,,,,0.6333,0.5933,0.54,0.6533
gpt-5-mini,spinach,classification,0.9,0.6267,1.0,0.76,0.6533,0.9204,0.7496,0.7631,0.7637,0.7533,0.4667,0.4333,1.0,0.4467
gpt-5-mini,spinach,fixing,0.8933,0.7867,0.92,0.9333,0.7467,0.9262,0.8639,0.7875,0.8356,0.8049,0.5267,0.4733,0.56,0.48
gpt-5-mini,spinach,wikidata,0.8,0.6467,0.76,0.8133,0.5067,0.8498,0.764,,,,0.5867,0.5933,0.52,0.6267
gpt-5-mini,spinach,zero-shot,0.6867,0.5,0.64,0.7,0.6133,0.8047,0.6858,,,,0.5067,0.48,0.3933,0.5333
gpt-5-mini,synthetic,classification,0.8733,0.6,1.0,0.68,0.84,0.9382,0.7438,0.7441,0.7764,0.7569,0.1933,0.1867,1.0,0.2
gpt-5-mini,synthetic,fixing,0.8267,0.78,0.8867,0.9533,0.8533,0.9004,0.8703,0.7607,0.7453,0.7902,0.2667,0.2467,0.2667,0.2533
gpt-5-mini,synthetic,wikidata,0.6067,0.46,0.62,0.66,0.7067,0.7246,0.6434,,,,0.3933,0.36,0.2867,0.4067
gpt-5-mini,synthetic,zero-shot,0.56,0.3467,0.5333,0.6,0.7733,0.753,0.6191,,,,0.2467,0.2333,0.1867,0.3133
gpt-5-nano,qawiki,classification,0.7867,0.7067,1.0,0.7733,0.16,0.7893,0.7687,0.08,0.5467,0.0667,0.1133,0.1,1.0,0.0333
gpt-5-nano,qawiki,fixing,0.7533,0.7067,0.8067,0.96,0.7267,0.8314,0.8437,0.7281,0.7279,0.7132,0.56,0.48,0.4467,0.5467
gpt-5-nano,qawiki,wikidata,0.7667,0.5933,0.7333,0.7933,0.4867,0.8253,0.7422,,,,0.7133,0.6733,0.56,0.6933
gpt-5-nano,qawiki,zero-shot,0.56,0.48,0.66,0.6933,0.5867,0.6779,0.6599,,,,0.5333,0.5067,0.4467,0.6067
gpt-5-nano,spinach,classification,0.7533,0.7,1.0,0.78,0.2067,0.7567,0.7682,0.1208,0.5185,0.11,0.12,0.1333,1.0,0.02
gpt-5-nano,spinach,fixing,0.8533,0.7467,0.8533,0.9867,0.8067,0.9005,0.8363,0.7468,0.8044,0.7705,0.4133,0.3533,0.3733,0.5133
gpt-5-nano,spinach,wikidata,0.76,0.52,0.6867,0.7667,0.5933,0.8474,0.7151,,,,0.5467,0.5267,0.42,0.5667
gpt-5-nano,spinach,zero-shot,0.6333,0.4267,0.6,0.64,0.6867,0.7653,0.6138,,,,0.42,0.42,0.32,0.4533
gpt-5-nano,synthetic,classification,0.78,0.6467,1.0,0.74,0.2333,0.7872,0.7296,0.1053,0.5587,0.0766,0.0467,0.06,1.0,0.0067
gpt-5-nano,synthetic,fixing,0.9067,0.7733,0.8467,0.98,0.9067,0.9517,0.8801,0.75,0.7743,0.7542,0.1867,0.1733,0.1667,0.2533
gpt-5-nano,synthetic,wikidata,0.6667,0.4133,0.66,0.6333,0.8,0.8043,0.6404,,,,0.3067,0.3133,0.1933,0.3
gpt-5-nano,synthetic,zero-shot,0.56,0.4133,0.68,0.5867,0.86,0.7499,0.6659,,,,0.1867,0.2067,0.1467,0.26
grok-3-mini,qawiki,classification,0.8867,0.7667,1.0,0.8867,0.8,0.966,0.9123,0.5385,0.5576,0.5358,0.1667,0.1667,1.0,0.2867
grok-3-mini,qawiki,fixing,0.8533,0.8,0.92,0.9867,0.9333,0.9231,0.934,0.5878,0.5636,0.5961,0.1267,0.1333,0.2267,0.2467
grok-3-mini,qawiki,wikidata,0.2733,0.2,0.4933,0.4133,0.8933,0.4787,0.4617,,,,0.0867,0.1067,0.1333,0.1733
grok-3-mini,qawiki,zero-shot,0.3133,0.2333,0.4733,0.4,0.9,0.5919,0.5098,,,,0.1,0.1,0.1067,0.2
grok-3-mini,spinach,classification,0.9,0.7467,1.0,0.8733,0.88,0.9583,0.9379,0.6843,0.6474,0.6459,0.1067,0.1067,1.0,0.18
grok-3-mini,spinach,fixing,0.8933,0.8533,0.9133,0.98,0.9867,0.9354,0.9374,0.6547,0.7053,0.6644,0.08,0.0867,0.1067,0.26
grok-3-mini,spinach,wikidata,0.3533,0.2333,0.5867,0.52,0.8867,0.6066,0.5324,,,,0.0733,0.1067,0.0933,0.1867
grok-3-mini,spinach,zero-shot,0.3333,0.28,0.56,0.4733,0.88,0.6448,0.626,,,,0.04,0.06,0.08,0.1333
grok-3-mini,synthetic,classification,0.9,0.82,1.0,0.9333,0.9533,0.9591,0.9565,0.7163,0.7014,0.6994,0.04,0.0467,1.0,0.0467
grok-3-mini,synthetic,fixing,0.8933,0.8733,0.9333,0.9933,0.9667,0.9532,0.9679,0.7509,0.6881,0.7234,0.0333,0.0533,0.06,0.0667
grok-3-mini,synthetic,wikidata,0.4467,0.3067,0.6133,0.5933,0.8867,0.7327,0.6889,,,,0.02,0.0133,0.02,0.0267
grok-3-mini,synthetic,zero-shot,0.4533,0.3467,0.6267,0.5467,0.88,0.7199,0.6895,,,,0.02,0.0267,0.02,0.0467
llama3.1:8b,qawiki,classification,0.1133,0.1,1.0,0.3533,0.68,0.4828,0.4791,0.2243,0.1549,0.1793,0.0,0.0133,1.0,0.0
llama3.1:8b,qawiki,fixing,0.0933,0.02,0.1467,0.12,0.66,0.427,0.2836,0.126,0.1202,0.1375,0.0,0.0067,0.0,0.0
llama3.1:8b,qawiki,wikidata,0.0267,0.0,0.0933,0.06,0.7867,0.1863,0.1421,,,,0.0,0.0,0.0267,0.02
llama3.1:8b,qawiki,zero-shot,0.0067,0.0067,0.06,0.0467,0.8733,0.1259,0.0992,,,,0.02,0.0,0.04,0.0867
llama3.1:8b,spinach,classification,0.2067,0.0533,1.0,0.3133,0.7,0.6022,0.5033,0.324,0.2737,0.2779,0.0,0.0,1.0,0.0
llama3.1:8b,spinach,fixing,0.12,0.04,0.1733,0.1267,0.56,0.4342,0.3653,0.1657,0.1654,0.1914,0.0,0.0,0.0067,0.0
llama3.1:8b,spinach,wikidata,0.06,0.0267,0.1133,0.08,0.6467,0.2847,0.2264,,,,0.0067,0.0133,0.0133,0.0067
llama3.1:8b,spinach,zero-shot,0.0267,0.0,0.0667,0.0733,0.8,0.1772,0.1199,,,,0.0067,0.0267,0.04,0.0667
llama3.1:8b,synthetic,classification,0.2267,0.1067,1.0,0.42,0.68,0.6402,0.5797,0.4224,0.3968,0.3736,0.0,0.0,1.0,0.0
llama3.1:8b,synthetic,fixing,0.2067,0.04,0.2133,0.1733,0.6267,0.5639,0.3906,0.2753,0.2564,0.2895,0.0,0.0,0.0067,0.0
llama3.1:8b,synthetic,wikidata,0.0667,0.0,0.2067,0.1333,0.62,0.3819,0.2943,,,,0.0,0.0,0.0133,0.0133
llama3.1:8b,synthetic,zero-shot,0.0267,0.0,0.06,0.0133,0.8067,0.2604,0.1632,,,,0.0067,0.0067,0.04,0.0267
llama3.3:70b,spinach,wikidata,0.3267,0.0867,0.3867,0.2733,0.5133,0.6238,0.4561,,,,0.0,0.0,0.0067,0.0
llama3.3:70b,spinach,zero-shot,0.3533,0.0933,0.4067,0.2867,0.62,0.6405,0.4687,,,,0.0,0.0067,0.0067,0.0333
o3,qawiki,classification,0.7667,0.72,1.0,0.8533,0.9,0.9033,0.8837,0.4783,0.541,0.432,0.14,0.1067,1.0,0.1533
o3,qawiki,fixing,0.7067,0.7333,0.8533,0.9,0.9667,0.6446,0.7051,0.4113,0.4086,0.4298,0.3067,0.2733,0.1933,0.26
o3,qawiki,wikidata,0.36,0.22,0.5267,0.3467,0.86,0.605,0.5267,,,,0.1867,0.1933,0.16,0.18
o3,qawiki,zero-shot,0.2733,0.16,0.44,0.2867,0.7933,0.5362,0.4401,,,,0.16,0.1667,0.1733,0.14
