llm,action,?A1=A1*,J(A1-A1*),?A1=A2,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,ave_?A,J(A1-A2),J(A3-A4),J(A4-A1|3),idk,?A1=A3+A4,?A1=A1**,?A1*=A1**,J(A1-A34),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave
mistral-small:24b,classification,0.3475,0.62494575,0.8308,1.0,0.8196,0.8338,0.4498,0.7868,0.9187,0.1398,0.6607,0.337225,0.5776,0.2825,0.2933333333333333,0.8165,0.5802565,0.547366,0.8888888888888888,0.0022222222222222,,,0.5511111111111111,0.1111,0.12,1.0,0.1178,0.3078,0.5842
mistral-small:24b,fixing,0.4806201550387597,0.7511808785529716,0.7157,0.7435,0.8941,0.9508,0.4779,0.7564,0.8278,0.0205,0.71,0.1361,0.4965,0.4987080103359173,0.5422222222222223,0.7593,0.7531881136950904,0.7612533333333332,,,,,,0.14,0.08,0.1711,0.1533,0.5072,0.7552
llama3.1:70b,zero-shot,0.2184684684684684,0.519797972972973,0.2309,0.2975,0.2489,0.714,0.0358,0.30541999999999997,0.4943,0.0903,0.2155,0.0283249999999999,0.0694,,,0.369,,,0.2622222222222222,0.6622222222222223,0.5977777777777777,0.7066666666666667,0.0511111111111111,0.0133,0.02,0.0222,0.0578,,
llama3.1:70b,classification,0.2184684684684684,0.519797972972973,0.809,1.0,0.8594,0.94,0.5469,0.8310600000000001,0.9088,0.021,0.8091,0.268875,0.558,0.1959459459459459,0.1977777777777777,0.8528,0.4865713963963964,0.4925235555555555,0.8311111111111111,0.1044444444444444,,,0.5311111111111111,0.0133,0.0244,1.0,0.0378,0.2041,0.4996
llama3.1:70b,fixing,0.2259507829977628,0.495169351230425,0.6138,0.7366,0.8237,0.9485,0.5402,0.7325600000000001,0.7495,0.0212,0.7738,0.047775,0.5558,0.2550335570469799,0.2244444444444444,0.803,0.503547874720358,0.4868062222222222,,,,,,0.0067,0.0511,0.0911,0.0422,0.2351,0.4952
gemini-2.0-flash,zero-shot,0.4481472422648893,0.6965055790632262,0.3556,0.4356,0.3778,0.6222,0.0556,0.36936,0.627,0.1308,0.2983,0.0039,0.1356,,,0.4833,,,0.4111111111111111,0.4355555555555555,0.6066666666666667,0.6288888888888889,0.2422222222222222,0.0,0.0067,0.0022,0.0067,0.4774,0.7093
gemini-2.0-flash,classification,0.4189189189189189,0.6836740540540541,0.84,1.0,0.9351,0.8321,0.5662,0.83468,0.9295,0.051,0.6565,0.431675,0.8416,0.3378378378378378,0.3911111111111111,0.924,0.5885140540540541,0.5821433333333333,0.8777777777777778,0.4777777777777778,,,0.4733333333333333,0.1778,0.1711,1.0,0.3778,0.3826,0.6181
gemini-2.0-flash,fixing,0.7828054298642534,0.8939771493212669,0.7929,0.8552,0.9212,0.9688,0.7439,0.8564,0.8296,0.0114,0.8383,0.02945,0.755,0.7692307692307693,0.76,0.9081,0.8813079185520362,0.8629986666666666,,,,,,0.0178,0.0022,0.0089,0.0889,0.7707,0.8794
gpt-4.1-mini-2025-04-14,zero-shot,0.2585163441327824,0.5430029082409219,0.3826,0.5156,0.4273,0.5236,0.0647,0.38276,0.6932,0.1695,0.3092,0.025575,0.1607,,,0.5499,,,0.4355555555555555,0.4311111111111111,0.5866666666666667,0.5333333333333333,0.0888888888888888,0.0089,0.0111,0.0267,0.0556,0.226,0.4959
gpt-4.1-mini-2025-04-14,classification,0.291005291005291,0.5900841269841269,0.8871,0.478,0.9354,0.8593,0.6983,0.77162,0.9548,0.1258,0.7898,0.17445,0.8443,0.2645502645502645,0.3866666666666666,0.9417,0.5574865079365079,0.6354302222222222,0.8933333333333333,0.4822222222222222,,,0.6155555555555555,0.16,0.16,0.1289,0.2489,0.3141,0.5943
gpt-4.1-mini-2025-04-14,fixing,0.5116279069767442,0.7976127906976743,0.7963,0.8802,0.9745,0.9169,0.712,0.85598,0.9136,0.0355,0.8202,0.077775,0.7396,0.5209302325581395,0.5466666666666666,0.9015,0.8162676744186046,0.7925602222222222,,,,,,0.0444,0.0578,0.1067,0.1022,0.5264,0.8021
gpt-4o,zero-shot,0.3770764119601328,0.6666852325581395,0.3476,0.4483,0.3489,0.8033,0.0864,0.4069,0.5987,0.0603,0.3307,0.26055,0.1204,,,0.4714,,,0.4622222222222222,0.4977777777777777,0.5311111111111111,0.66,0.3755555555555555,0.2222,0.2133,0.2356,0.3711,0.3256,0.633
gpt-4o,classification,0.4285714285714285,0.70041,0.9336,0.9817,0.9696,0.92,0.6795,0.89688,0.9669,0.0615,0.7742,0.6272249999999999,0.8675,0.4142857142857143,0.3,0.9639,0.640244761904762,0.3993813333333333,0.9666666666666668,0.7622222222222222,,,0.7288888888888889,0.5333,0.5356,0.8533,0.5867,0.381,0.58
gpt-4o,fixing,0.4285714285714285,0.690758695652174,0.8201,0.912,0.9381,0.9412,0.745,0.8712799999999999,0.9096,0.0393,0.7847,0.29775,0.7679,0.4316770186335403,0.5666666666666667,0.8679,0.6944695652173913,0.5313115555555555,,,,,,0.2844,0.2933,0.3133,0.3,0.4756,0.6388
gpt-4.1-2025-04-14,zero-shot,0.2850972899325144,0.6063573952057565,0.4487,0.5347,0.4318,0.6222,0.1163,0.43073999999999996,0.7201,0.1072,0.3798,0.0327999999999999,0.1879,,,0.5764,,,0.4822222222222222,0.5333333333333333,0.5311111111111111,0.6244444444444445,0.1266666666666666,0.0067,0.0111,0.0467,0.0667,0.2688,0.5669
gpt-4.1-2025-04-14,classification,0.3014018691588785,0.6458266355140188,0.9112,0.5912,0.9721,0.9171,0.7644,0.8311999999999999,0.9751,0.0671,0.8714,0.081125,0.8614,0.2850467289719626,0.3466666666666667,0.9687,0.6092002336448599,0.6391493333333333,0.9244444444444444,0.6,,,0.7333333333333333,0.0489,0.0511,0.0889,0.1356,0.311,0.6314
gpt-4.1-2025-04-14,fixing,0.5902777777777778,0.8601949074074073,0.8449,0.919,0.9469,0.9745,0.7737,0.8917999999999999,0.9427,0.013,0.8633,0.063325,0.7875,0.5949074074074074,0.6044444444444445,0.9384,0.8581655092592592,0.8474946666666667,,,,,,0.04,0.04,0.0689,0.1044,0.5965,0.8553
grok-3-mini,zero-shot,0.3771712158808933,0.6472789081885855,0.3449,0.5392,0.4527,0.9055,0.25,0.49846,0.6492,0.0266,0.4886,0.0772,0.2683,,,0.6051,,,0.4244444444444444,0.5488888888888889,0.4644444444444444,0.8888888888888888,0.2844444444444444,0.0511,0.0622,0.0711,0.1244,,
grok-3-mini,classification,0.3771712158808933,0.6472789081885855,0.8837,1.0,0.8935,0.9786,0.724,0.89596,0.9567,0.015,0.8597,0.34555,0.7651,0.3498759305210918,0.3911111111111111,0.9318,0.6227039702233251,0.6270257777777778,0.9177777777777778,0.9555555555555556,,,0.6911111111111111,0.1044,0.1067,1.0,0.1711,0.3727,0.6323
grok-3-mini,fixing,0.4057971014492754,0.6667041062801932,0.8705,0.9218,0.9857,0.9857,0.8259,0.91792,0.9395,0.0094,0.8416,0.123325,0.8376,0.3768115942028985,0.4111111111111111,0.9542,0.6535065217391304,0.6613304444444444,,,,,,0.08,0.0911,0.1311,0.1911,0.3979,0.6605
deepseek-chat,zero-shot,0.3473613666048922,0.6002096268916988,0.3162,0.4437,0.4024,0.5707,0.0728,0.36116000000000004,0.5607,0.1404,0.2569,0.115375,0.1455,,,0.4595,,,0.3438914027149321,0.497737556561086,0.5226244343891403,0.5882352941176471,0.1470588235294117,0.052,0.0679,0.1448,0.1968,0.2506,0.5066
deepseek-chat,classification,0.4441260744985673,0.693836676217765,0.957,0.8959,0.9155,0.9093,0.7139,0.8783199999999999,0.9784,0.0649,0.8363,0.245,0.7888,0.4154727793696275,0.52,0.9482,0.6608363896848137,0.7096766666666667,,,,,,0.2244,0.2311,0.2489,0.2756,0.4599,0.6881
deepseek-chat,fixing,0.4560570071258907,0.7054776722090261,0.8329,0.8913,0.9574,0.9597,0.75,0.87826,0.9323,0.0241,0.8443,0.098325,0.7689,0.4845605700712589,0.5044444444444445,0.9327,0.7213125890736342,0.7207002222222223,,,,,,0.0644,0.0578,0.1222,0.1489,0.4817,0.7158
gemini-2.5-flash,zero-shot,0.3549095845028298,0.6672380958680347,0.3402,0.492,0.4477,0.8493,0.237,0.47324,0.6369,0.0268,0.4715,0.057775,0.2641,,,0.5662,,,0.4444444444444444,0.5177777777777778,0.4577777777777778,0.8466666666666667,0.2822222222222222,0.0444,0.0467,0.0578,0.0822,0.3555,0.6586
gemini-2.5-flash,classification,0.3543689320388349,0.6758652912621359,0.8905,1.0,0.9741,0.9895,0.8776,0.94634,0.9411,0.0035,0.8725,0.328325,0.9294,0.3495145631067961,0.3533333333333333,0.9685,0.6440167475728156,0.6592391111111111,0.8666666666666667,0.9488888888888888,,,0.84,0.0844,0.0756,1.0,0.1533,0.3524,0.6597
gemini-2.5-flash,fixing,0.6997578692493946,0.8365435835351089,0.8744,0.8879,0.9644,0.9884,0.8796,0.9189400000000001,0.9196,0.0096,0.8686,0.083875,0.8866,0.6997578692493946,0.6822222222222222,0.9248,0.8401225181598063,0.7958788888888888,,,,,,0.0822,0.0489,0.0622,0.1422,0.6939,0.8242
gpt-5-nano,zero-shot,0.2450582218446945,0.3939573166631274,0.3929,0.5266,0.462,0.9435,0.2514,0.51528,0.6103,0.0229,0.5388,0.3739,0.2771,,,0.5465,,,0.5666666666666667,0.6222222222222222,0.6266666666666667,0.6777777777777778,0.2688888888888889,0.3733,0.3778,0.3067,0.4378,0.4043,0.695
gpt-5-nano,classification,0.0857843137254902,0.0929240196078431,0.7606,1.0,0.7644,0.1882,0.0044,0.5435200000000001,0.7652,0.8103,0.0776,0.302775,0.6844,0.5784313725490197,0.0755555555555555,0.7555,0.5822982843137254,0.0844073333333333,0.7555555555555555,0.9066666666666666,,,0.0888888888888888,0.0933,0.0978,1.0,0.02,0.2466,0.2532
gpt-5-nano,fixing,0.463768115942029,0.6946840579710145,0.7591,0.7872,0.9635,0.9632,0.6588,0.82636,0.8499,0.0278,0.7977,0.3722499999999999,0.6914,0.4818840579710144,0.5888888888888889,0.8406,0.7173692028985507,0.7459684444444444,,,,,,0.3867,0.3356,0.3289,0.4378,0.5115,0.7193
deepseek-reasoner,zero-shot,0.2384579870729455,0.4813691680910001,0.1862,0.3954,0.3025,0.8101,0.1121,0.36126,0.4582,0.0359,0.317,0.0447,0.135,,,0.4159,,,0.2972350230414746,0.4216589861751152,0.3179723502304147,0.7857142857142857,0.1612903225806451,0.0362,0.0498,0.0317,0.0611,0.1667,0.4203
deepseek-reasoner,classification,0.3102493074792243,0.5424542936288089,0.6839,0.9029,0.928,0.8593,0.639,0.8026200000000001,0.7578,0.1346,0.7068,0.264425,0.8571,0.2659279778393352,0.5022222222222222,0.9256,0.5231484764542936,0.7081555555555554,,,,,,0.1978,0.2111,0.3044,0.3444,0.3595,0.5913
deepseek-reasoner,fixing,0.1782407407407407,0.4504467592592593,0.6575,0.7149,0.8439,0.9312,0.5461,0.73872,0.8147,0.0501,0.7895,0.057775,0.573,0.1689814814814814,0.1822222222222222,0.8187,0.4363988425925925,0.4239466666666667,,,,,,0.04,0.04,0.0867,0.0644,0.1765,0.4369
gemini-2.5-pro,zero-shot,0.3631637429257368,0.6845870101270632,0.3213,0.4417,0.3978,0.8036,0.2098,0.43484,0.6487,0.0309,0.4888,0.03335,0.2366,,,0.5872,,,0.42,0.4444444444444444,0.4222222222222222,0.8088888888888889,0.2533333333333333,0.0244,0.0267,0.0356,0.0467,0.3318,0.678
gemini-2.5-pro,classification,0.3945409429280397,0.6911965260545906,0.816,1.0,0.8581,0.9814,0.6907,0.8692399999999999,0.8737,0.0062,0.779,0.34165,0.7233,0.3176178660049628,0.3377777777777778,0.8332,0.6098488833746898,0.604140888888889,0.8822222222222222,0.9488888888888888,,,0.7044444444444444,0.1044,0.1,1.0,0.1622,0.35,0.6351
gemini-2.5-pro,fixing,0.4769230769230769,0.6580507692307692,0.7365,0.7714,0.9097,0.9797,0.7236,0.8241800000000001,0.8162,0.0189,0.7934,0.125,0.7303,0.5076923076923077,0.4244444444444444,0.841,0.7079679487179487,0.5865208888888889,,,,,,0.1333,0.1067,0.14,0.12,0.4697,0.6508
gpt-5-mini,zero-shot,0.4376896591970121,0.6801959821428571,0.428,0.457,0.4699,0.9431,0.2233,0.50426,0.6486,0.009,0.5573,0.4438999999999999,0.2427,,,0.5323,,,0.6355555555555555,0.6288888888888889,0.6911111111111111,0.6533333333333333,0.2044444444444444,0.4644,0.4356,0.3756,0.5,0.4622,0.7058
gpt-5-mini,classification,0.4131944444444444,0.6545562500000001,0.8167,1.0,0.6406,0.9964,0.5125,0.79324,0.8941,0.0036,0.5927,0.521125,0.5562,0.4131944444444444,0.5644444444444444,0.7199,0.6536822916666666,0.7227606666666667,0.8466666666666667,0.9622222222222222,,,0.4155555555555555,0.36,0.3489,1.0,0.3756,0.4636,0.677
gpt-5-mini,fixing,0.4763948497854077,0.6947030042918455,0.7588,0.8697,0.9213,0.9519,0.7224,0.8448200000000001,0.8422,0.0446,0.8276,0.467775,0.7544,0.5064377682403434,0.6777777777777778,0.8739,0.7338600858369099,0.805138,,,,,,0.4822,0.4444,0.4889,0.4556,0.5535,0.7446
o3,zero-shot,0.3019129603060736,0.5998663205404113,0.3238,0.4941,0.3986,0.8806,0.2263,0.4646800000000001,0.6345,0.0249,0.4754,0.0837,0.2402,,,0.5567,,,0.418552036199095,0.5067873303167421,0.4366515837104072,0.8371040723981901,0.2873303167420814,0.0769,0.0905,0.0814,0.086,0.2843,0.5753
o3,classification,0.3195121951219512,0.6243912195121951,0.8143,0.8333,0.908,0.9828,0.7864,0.86496,0.9312,0.0083,0.877,0.2439,0.8075,0.2902439024390243,0.3511111111111111,0.9125,0.6038470731707316,0.6311946666666667,0.8488888888888889,0.8222222222222222,,,0.7822222222222223,0.0889,0.0711,0.6978,0.1178,0.3203,0.6198
o3,fixing,0.3465608465608465,0.6499941798941798,0.7224,0.9093,0.9273,0.9855,0.788,0.8665,0.9096,0.0112,0.8492,0.1389,0.7976,0.328042328042328,0.3933333333333333,0.8905,0.6386600529100529,0.5533946666666667,,,,,,0.16,0.1378,0.1022,0.1556,0.356,0.614
gpt-5,zero-shot,0.4755979679293716,0.746084226212852,0.4548,0.5647,0.5538,0.9145,0.3116,0.5598799999999999,0.7005,0.0174,0.6379,0.323325,0.3314,,,0.6373,,,0.6177777777777778,0.6644444444444444,0.6844444444444444,0.7422222222222222,0.3044444444444444,0.36,0.34,0.2622,0.3311,0.477,0.7539
gpt-5,classification,0.4741641337386018,0.7383006079027356,0.8855,1.0,0.9642,0.993,0.8,0.9285399999999999,0.9515,0.0041,0.8633,0.473875,0.8836,0.4772036474164133,0.6111111111111112,0.9449,0.7114085106382979,0.7816753333333333,0.9066666666666666,0.98,,,0.6422222222222222,0.2689,0.2644,1.0,0.3622,0.5208,0.7438
gpt-5,fixing,0.5348837209302325,0.7763358803986711,0.8675,0.9373,0.9807,0.9781,0.8519,0.9231,0.9557,0.0219,0.9013,0.34,0.8796,0.4883720930232558,0.6288888888888889,0.9422,0.7559913621262458,0.8026844444444444,,,,,,0.3311,0.3378,0.32,0.3711,0.5507,0.7783
