action,llm,n_total,n_answered,idk_rate,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3)
zero-shot,gpt-4o,600,292,0.5133,0.3904,0.1507,0.5685,0.4315,0.7089,0.1062,0.6925,0.5716,0.0954,0.3929
zero-shot,gpt-5,600,343,0.4283,0.4869,0.3848,0.6618,0.5918,0.9125,0.3586,0.7721,0.7387,0.0227,0.6572
zero-shot,gpt-5-mini,600,221,0.6317,0.552,0.3937,0.6516,0.6109,0.9186,0.3575,0.7805,0.7386,0.0155,0.6652
zero-shot,gpt-5-nano,600,250,0.5833,0.512,0.428,0.676,0.612,0.916,0.392,0.7561,0.7113,0.0309,0.6179
zero-shot,gpt-oss:20b,600,452,0.2467,0.1881,0.1549,0.3916,0.3075,0.8363,0.1261,0.4776,0.4484,0.0465,0.3429
zero-shot,grok-3-mini,600,484,0.1933,0.3512,0.2727,0.5372,0.4442,0.8905,0.2541,0.6747,0.6103,0.0328,0.5122
zero-shot,llama3.1:70b,600,551,0.0817,0.2051,0.0617,0.2976,0.2359,0.7078,0.029,0.4837,0.3639,0.0892,0.2201
zero-shot,llama3.1:8b,600,556,0.0733,0.018,0.0,0.027,0.009,0.8381,0.0,0.1775,0.1219,0.03,0.0683
zero-shot,mistral-small:24b,590,281,0.5237,0.4199,0.1708,0.5587,0.4484,0.452,0.0178,0.6834,0.5438,0.2469,0.2667
zero-shot,o3,590,482,0.1831,0.334,0.249,0.5311,0.4087,0.8817,0.2282,0.6647,0.5992,0.03,0.4998
