dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2)_x,p(A1=A3+A4)_x,p(A1>A3)_x,p(A1>A4)_x,p(A3∅A4)_x,p(A4=A1|3)_x,p(A1=A2)_y,p(A1=A3+A4)_y,p(A1>A3)_y,p(A1>A4)_y,p(A3∅A4)_y,p(A4=A1|3)_y
LC-QuAD,classification,gemini-2.5-flash,0.9067,0.94,0.5133,0.9533,0.9267,0.8933,0.2267,0.2333,0.2467,0.9517,0.9573,0.0706,0.8778,0.5995,0.5652,0.5749,0.9,0.5533,,,0.8933,0.0333,0.04,0.1133,0.1,0.2356,0.5799,0.07164999999999999,0.9548872180451128,0.5294117647058824,0.972472932330827,0.7889176470588235,0.5352112676056338,0.125,,,,,,,0.9583333333333334,0.5,0.9631645833333332,0.81655,0.0,0.0,0.1856,0.0,0.0145,0.0,0.0,0.0,0.1856,0.0,0.0145,0.0
LC-QuAD,classification,gemini-2.5-pro,0.94,0.9,0.58,0.9667,0.9533,0.8667,0.3067,0.3,0.3333,0.9747,0.971,0.0467,0.9275,0.6358,0.653,0.6654,0.98,0.5667,,,0.8733,0.0533,0.0533,0.06,0.0733,0.3133,0.6514,0.059975,0.9859154929577465,0.125,0.9907246478873241,0.6906749999999999,0.5743243243243243,1.0,,,,,,,0.9047619047619048,0.6666666666666666,0.9707931972789117,0.9833333333333334,0.0,0.0,0.0002,0.0,0.0012,0.0,0.0,0.0,0.0002,0.0,0.0012,0.0
LC-QuAD,classification,gpt-4.1-2025-04-14,0.9267,0.88,0.5333,0.98,0.9,0.7867,0.22,0.22,0.26,0.9728,0.9751,0.0941,0.8781,0.5262,0.5489,0.5743,0.92,0.5333,,,0.7867,0.06,0.06,0.1267,0.1067,0.2333,0.5498,0.08835,0.9379310344827586,0.6,0.9755744827586208,0.89286,0.5337837837837838,0.5,,,,,,,0.8835616438356164,0.75,0.9750664383561644,0.975,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0
LC-QuAD,classification,gpt-4.1-mini-2025-04-14,0.88,0.8867,0.4667,0.96,0.76,0.6467,0.3,0.2667,0.3,0.9439,0.9571,0.24,0.7256,0.5445,0.4839,0.4966,0.8933,0.56,,,0.6533,0.1867,0.18,0.2667,0.26,0.2889,0.5083,0.22335,0.9264705882352942,0.42857142857142855,0.9584014705882353,0.8028500000000002,0.5384615384615384,0.42857142857142855,,,,,,,0.9037037037037037,0.7333333333333333,0.960337037037037,0.9278800000000001,0.0,0.0,0.0407,0.0,0.077,0.0,0.0,0.0,0.0407,0.0,0.077,0.0
LC-QuAD,classification,gpt-4.1-nano-2025-04-14,0.9867,0.5133,0.9,0.5133,0.4267,0.0,0.9733,0.9467,0.9533,0.99,0.7011,0.5733,0.0,0.9767,0.9533,0.9567,0.72,0.2267,,,1.0,0.9867,0.9867,0.9067,0.52,0.9578,0.9622,0.850025,0.9907407407407407,0.9761904761904762,0.9907407407407407,0.9880952380952381,0.8275862068965517,0.9173553719008265,,,,,,,,0.5133333333333333,,0.7011113333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
LC-QuAD,classification,gpt-4o,0.9867,0.9733,0.8267,0.9933,0.1933,0.1667,0.6867,0.7,0.7933,0.9867,0.9945,0.7964,0.1887,0.7525,0.7624,0.8349,0.96,0.42,,,0.7533,0.6733,0.6867,0.7733,0.78,0.7267,0.7833,0.7283249999999999,0.9863013698630136,1.0,0.9863013698630136,1.0,0.8363636363636363,0.8210526315789474,,,,,,,1.0,0.96875,1.0,0.9935546875000001,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0004,0.0
LC-QuAD,classification,gpt-5,0.9533,0.8533,0.5933,0.94,0.72,0.5933,0.4867,0.4867,0.5133,0.9791,0.9101,0.28,0.6785,0.6941,0.647,0.7032,0.9333,0.58,,,0.5933,0.28,0.2867,0.3,0.3467,0.4956,0.6814,0.30335,0.965034965034965,0.7142857142857143,0.9856643356643355,0.8452428571428571,0.5878378378378378,1.0,,,,,,,0.8541666666666666,0.8333333333333334,0.9076854166666668,0.96855,0.0,0.0,0.2442,0.0,0.9738,0.0,0.0,0.0,0.2442,0.0,0.9738,0.0
LC-QuAD,classification,gpt-5-mini,0.8867,0.68,0.7133,0.78,0.5733,0.2667,0.6467,0.64,0.6333,0.9149,0.783,0.4267,0.3677,0.7471,0.7569,0.7631,0.8467,0.6733,,,0.2733,0.5533,0.5067,0.4933,0.5,0.64,0.7557,0.513325,0.8873239436619719,0.875,0.9171619718309859,0.875,0.7013888888888888,1.0,,,,,,,0.6689655172413793,1.0,0.775475172413793,1.0,0.0,0.0201,0.5598,0.2257,0.004,0.0,0.0,0.0201,0.5598,0.2257,0.004,0.0
LC-QuAD,classification,gpt-5-nano,0.7933,0.7067,0.0733,0.78,0.18,0.0067,0.0733,0.64,0.0733,0.7933,0.7768,0.82,0.08,0.0778,0.64,0.0733,0.84,0.18,,,0.0867,0.1667,0.1333,0.0467,0.0267,0.2622,0.2637,0.09335,0.8368794326241135,0.1111111111111111,0.8368794326241135,0.1111111111111111,0.0625,0.13636363636363635,,,,,,,0.7391304347826086,0.3333333333333333,0.7971985507246376,0.5416666666666666,0.0004,0.0,1.0,0.0018,1.0,1.0,0.0004,0.0,1.0,0.0018,1.0,1.0
LC-QuAD,classification,gpt-oss:20b,0.6933,0.46,0.34,0.7467,0.86,0.3467,0.2067,0.2267,0.22,0.7865,0.7544,0.1127,0.6272,0.4128,0.4186,0.4039,0.6867,0.38,,,0.3867,0.1933,0.1467,0.18,0.2333,0.2178,0.4118,0.18832500000000002,0.6938775510204082,0.6666666666666666,0.7825789115646258,0.9798,0.34328358208955223,0.3125,,,,,,,0.4513888888888889,0.6666666666666666,0.7493729166666667,0.875,0.0,0.0,0.1055,0.0,0.1808,0.0,0.0,0.0,0.1055,0.0,0.1808,0.0
LC-QuAD,classification,grok-3-mini,0.9467,0.82,0.5667,0.9067,0.8333,0.68,0.2933,0.2867,0.3133,0.9723,0.9395,0.1601,0.7737,0.5847,0.5748,0.5916,0.92,0.5333,,,0.7,0.14,0.14,0.1867,0.1867,0.2978,0.5837,0.16335,0.9642857142857143,0.7,0.9826571428571429,0.82667,0.5531914893617021,0.7777777777777778,,,,,,,0.8163265306122449,1.0,0.9383047619047621,1.0,0.0,0.0,0.004,0.0,0.8923,0.0,0.0,0.0,0.004,0.0,0.8923,0.0
LC-QuAD,classification,llama3.1:70b,0.78,0.6267,0.3,0.8867,0.9467,0.6133,0.1667,0.1267,0.1267,0.899,0.897,0.0242,0.8313,0.4143,0.3793,0.3859,0.8,0.68,,,0.5533,0.0133,0.0467,0.0133,0.02,0.14,0.3932,0.023325000000000002,0.8,0.2,0.917433103448276,0.36334,0.2857142857142857,0.3006993006993007,,,,,,,0.6355140186915887,0.6046511627906976,0.8988551401869159,0.8925069767441862,0.0,0.0,0.1013,0.0,0.0,0.0,0.0,0.0,0.1013,0.0,0.0,0.0
LC-QuAD,classification,llama3.1:8b,0.1067,0.0733,0.0667,0.2667,0.6667,0.02,0.0133,0.0133,0.0133,0.5162,0.4449,0.1021,0.342,0.2071,0.1868,0.1681,0.8533,0.7333,,,0.9067,0.0,0.0,0.0,0.0,0.0133,0.1873,0.0,0.2,0.1,0.7313599999999999,0.5008699999999999,0.0,0.08333333333333333,,,,,,,0.23076923076923078,0.058394160583941604,0.5037,0.43929781021897807,0.0022,0.0005,0.6128,0.0,0.8322,0.125,0.0022,0.0005,0.6128,0.0,0.8322,0.125
LC-QuAD,classification,mistral-small:24b,0.8333,0.5267,0.36,0.7867,0.8067,0.38,0.2933,0.2067,0.24,0.9206,0.811,0.1662,0.6194,0.5354,0.4164,0.454,0.8733,0.64,,,0.6067,0.12,0.1267,0.1067,0.08,0.2467,0.4686,0.10835,0.8785714285714286,0.2,0.9444364285714284,0.58762,,0.36,,,,,,,0.4166666666666667,0.5362318840579711,0.7351166666666668,0.8175681159420289,0.0,0.0,0.9456,0.0,0.0,0.0,0.0,0.0,0.9456,0.0,0.0,0.0
LC-QuAD,classification,o3,0.8,0.82,0.4933,0.92,0.92,0.7533,0.24,0.2933,0.26,0.9221,0.9227,0.0736,0.8414,0.5203,0.6088,0.5457,0.8267,0.4933,,,0.7533,0.1333,0.1067,0.1133,0.0867,0.2644,0.5583,0.11,0.8263888888888888,0.16666666666666666,0.9360666666666666,0.5858666666666666,0.4930555555555556,0.5,,,,,,,0.8287671232876712,0.5,0.9293465753424657,0.681,0.0,0.0,0.0135,0.0,0.8491,0.0,0.0,0.0,0.0135,0.0,0.8491,0.0
LC-QuAD,fixing,deepseek-chat,0.7533,0.6733,0.84,0.92,0.9133,0.5867,0.48,0.5,0.5067,0.8787,0.9023,0.0774,0.7921,0.7292,0.7391,0.7598,,,,,,0.0733,0.08,0.16,0.1067,0.4956,0.7427,0.10500000000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,deepseek-reasoner,0.7467,0.7333,0.8733,0.92,0.9533,0.7,0.2533,0.2133,0.2067,0.8629,0.8984,0.0357,0.8266,0.5087,0.4976,0.5011,,,,,,0.0667,0.0467,0.0933,0.1,0.2244,0.5025,0.076675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0
LC-QuAD,fixing,gemini-2.0-flash,0.78,0.7467,0.8,0.9133,0.96,0.7267,0.74,0.7533,0.7067,0.8033,0.905,0.0207,0.8501,0.8415,0.8587,0.8225,,,,,,0.0133,0.0067,0.0267,0.0733,0.7333,0.8409,0.030000000000000002,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gemini-2.5-flash,0.9333,0.8933,0.92,0.92,0.9533,0.8667,0.6133,0.5867,0.6133,0.9594,0.9124,0.0422,0.8381,0.7125,0.7154,0.7205,,,,,,0.06,0.0333,0.0733,0.1,0.6044,0.7161,0.06665,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0012,0.0
LC-QuAD,fixing,gemini-2.5-pro,0.8467,0.8533,0.8733,0.96,0.98,0.84,0.46,0.5,0.4733,0.9129,0.9283,0.02,0.8819,0.7211,0.7348,0.7272,,,,,,0.06,0.02,0.02,0.08,0.4778,0.7277,0.045,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-2025-04-14,0.7467,0.7467,0.9067,0.9333,0.9467,0.72,0.2667,0.3,0.28,0.8879,0.912,0.0262,0.8538,0.5491,0.564,0.5545,,,,,,0.06,0.06,0.0867,0.0933,0.2822,0.5559,0.075,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-mini-2025-04-14,0.7133,0.6867,0.8533,0.9267,0.8733,0.6467,0.2,0.2067,0.2267,0.8546,0.8392,0.095,0.7683,0.4791,0.4949,0.4897,,,,,,0.0733,0.0667,0.1733,0.14,0.2111,0.4879,0.11332500000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-nano-2025-04-14,0.4,0.2467,0.4933,0.5733,0.66,0.2,0.1533,0.14,0.1733,0.5398,0.479,0.2178,0.3423,0.2979,0.2723,0.2998,,,,,,0.1733,0.2067,0.3667,0.2,0.1555,0.29,0.23667500000000002,,,,,,,,,,,,,,,,,0.0,0.0002,0.0043,0.0,0.6482,0.0,0.0,0.0002,0.0043,0.0,0.6482,0.0
LC-QuAD,fixing,gpt-4o,0.8067,0.78,0.8467,0.9333,0.6133,0.4267,0.5,0.5333,0.4933,0.8748,0.8765,0.3746,0.5192,0.6382,0.6597,0.6358,,,,,,0.4267,0.4133,0.5267,0.4667,0.5089,0.6446,0.45835000000000004,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-5,0.9133,0.8133,0.9,0.9733,0.8333,0.6467,0.58,0.6333,0.58,0.9735,0.883,0.1667,0.7202,0.7525,0.7685,0.7207,,,,,,0.36,0.3533,0.3467,0.3933,0.5978,0.7472,0.363325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0392,0.0,0.0,0.0,0.0,0.0,0.0392,0.0
LC-QuAD,fixing,gpt-5-mini,0.8933,0.74,0.88,0.94,0.64,0.4067,0.7,0.7,0.7133,0.9251,0.839,0.36,0.4909,0.7767,0.7796,0.8016,,,,,,0.6,0.6,0.5867,0.5867,0.7044,0.786,0.59335,,,,,,,,,,,,,,,,,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-5-nano,0.8533,0.76,0.82,0.96,0.6733,0.4467,0.68,0.6333,0.6467,0.9023,0.8544,0.3157,0.4926,0.767,0.7298,0.7442,,,,,,0.5533,0.5,0.4867,0.5933,0.6533,0.747,0.533325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0023,0.0
LC-QuAD,fixing,gpt-oss:20b,0.5,0.6133,0.7333,0.94,0.9133,0.5533,0.1733,0.22,0.18,0.6872,0.8242,0.0785,0.7085,0.3697,0.4278,0.3827,,,,,,0.1733,0.1267,0.18,0.2867,0.1911,0.3934,0.191675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0063,0.0
LC-QuAD,fixing,grok-3-mini,0.8867,0.8733,0.92,0.98,0.9333,0.8067,0.3333,0.3467,0.3533,0.9336,0.9399,0.0604,0.7685,0.5558,0.5593,0.588,,,,,,0.1533,0.14,0.1533,0.2267,0.3444,0.5677,0.168325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0466,0.0,0.0,0.0,0.0,0.0,0.0466,0.0
LC-QuAD,fixing,llama3.1:70b,0.5933,0.44,0.6533,0.8133,0.9133,0.4133,0.1533,0.14,0.1533,0.7596,0.7712,0.0517,0.7427,0.3918,0.3958,0.3976,,,,,,0.02,0.04,0.0933,0.0533,0.1489,0.3951,0.05165,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,llama3.1:8b,0.0867,0.0067,0.0867,0.0733,0.6267,0.0,0.0,0.0067,0.0067,0.3944,0.2869,0.1198,0.2028,0.0965,0.0989,0.1014,,,,,,0.0,0.0,0.0133,0.0,0.0045,0.0989,0.003325,,,,,,,,,,,,,,,,,0.0065,0.5,0.3388,0.2272,0.952,1.0,0.0065,0.5,0.3388,0.2272,0.952,1.0
LC-QuAD,fixing,mistral-small:24b,0.68,0.5333,0.6667,0.8933,0.9733,0.52,0.48,0.5,0.52,0.8081,0.7404,0.001,0.6622,0.7423,0.7325,0.7523,,,,,,0.2533,0.18,0.2467,0.1667,0.5,0.7424,0.211675,,,,,,,,,,,,,,,,,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0
LC-QuAD,fixing,o3,0.6733,0.7733,0.9267,0.9867,0.96,0.7333,0.2933,0.26,0.3333,0.8884,0.929,0.04,0.8766,0.5632,0.5703,0.5964,,,,,,0.1467,0.12,0.1333,0.1533,0.2955,0.5766,0.138325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3036,0.0,0.0,0.0,0.0,0.0,0.3036,0.0
LC-QuAD,zero-shot,deepseek-chat,0.3,0.1533,0.4333,0.3133,0.4933,0.0267,0.2905,,,0.6026,0.4925,0.2264,0.2699,0.5753,,,,,,,,0.0933,0.0933,0.1267,0.1333,0.2905,0.5753,0.11165,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,deepseek-reasoner,0.14,0.1067,0.38,0.2667,0.8533,0.0733,,,,0.4725,0.3936,0.0436,0.3008,,,,,,,,,0.0267,0.04,0.0467,0.0333,,,0.036675,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.0-flash,0.24,0.08,0.3533,0.28,0.64,0.0333,0.7297,,,0.522,0.392,0.1275,0.2705,0.8421,,,,,,,,0.0067,0.0,0.0067,0.0067,0.7297,0.8421,0.005025,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.5-flash,0.2733,0.1667,0.4667,0.28,0.8467,0.1533,0.6014,,,0.5536,0.4671,0.039,0.3603,0.7389,,,,,,,,0.0467,0.02,0.0667,0.0267,0.6014,0.7389,0.040025,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.5-pro,0.24,0.1733,0.4067,0.34,0.8467,0.14,0.4459,,,0.5941,0.5123,0.0378,0.4193,0.7187,,,,,,,,0.0333,0.0133,0.0533,0.0333,0.4459,0.7187,0.0333,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-2025-04-14,0.2333,0.0867,0.3867,0.2467,0.6733,0.0533,0.2905,,,0.5444,0.4429,0.1049,0.294,0.5729,,,,,,,,0.0467,0.0533,0.06,0.0533,0.2905,0.5729,0.053325,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-mini-2025-04-14,0.1867,0.0733,0.3733,0.2467,0.6733,0.0267,0.1824,,,0.4461,0.3574,0.12,0.2014,0.4483,,,,,,,,0.0733,0.0667,0.1467,0.18,0.1824,0.4483,0.116675,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-nano-2025-04-14,0.18,0.12,0.3533,0.2733,0.6733,0.04,0.2027,,,0.3369,0.2433,0.194,0.1084,0.3525,,,,,,,,0.16,0.1933,0.3467,0.3333,0.2027,0.3525,0.25832499999999997,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4o,0.36,0.36,0.3933,0.36,0.0667,0.0067,0.3581,,,0.3711,0.3702,0.9333,0.0067,0.5562,,,,,,,,0.3667,0.9733,0.9333,0.9867,0.3581,0.5562,0.815,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5,0.48,0.3067,0.5533,0.5067,0.7733,0.1133,0.5811,,,0.6093,0.585,0.2114,0.3893,0.7469,,,,,,,,0.3467,0.4733,0.2267,0.4667,0.5811,0.7469,0.37834999999999996,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5-mini,0.6333,0.5733,0.7133,0.74,0.4533,0.0933,0.6622,,,0.7162,0.6965,0.5393,0.2628,0.7444,,,,,,,,0.6933,0.5533,0.6,0.72,0.6622,0.7444,0.64165,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5-nano,0.6133,0.4467,0.6267,0.6133,0.56,0.1,0.5608,,,0.7049,0.6072,0.4169,0.2733,0.686,,,,,,,,0.5333,0.5733,0.5533,0.5667,0.5608,0.686,0.55665,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-oss:20b,0.1667,0.1,0.28,0.26,0.82,0.0467,0.1824,,,0.3335,0.3127,0.0965,0.2029,0.3995,,,,,,,,0.12,0.18,0.1267,0.2333,0.1824,0.3995,0.16499999999999998,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,grok-3-mini,0.2333,0.1867,0.44,0.32,0.8733,0.1333,,,,0.5018,0.4592,0.0596,0.3373,,,,,,,,,0.0733,0.0867,0.0867,0.1533,,,0.1,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,llama3.1:70b,0.12,0.04,0.2333,0.1867,0.72,0.0133,,,,0.3375,0.2925,0.0951,0.1837,,,,,,,,,0.04,0.02,0.02,0.0667,,,0.036675,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
