dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2)_x,p(A1=A3+A4)_x,p(A1>A3)_x,p(A1>A4)_x,p(A3∅A4)_x,p(A4=A1|3)_x,p(A1=A2)_y,p(A1=A3+A4)_y,p(A1>A3)_y,p(A1>A4)_y,p(A3∅A4)_y,p(A4=A1|3)_y
LC-QuAD,classification,gpt-5-mini,0.8867,0.68,1.0,0.78,0.5733,0.2667,0.6467,0.64,0.6333,0.9149,0.783,0.4267,0.3677,0.7471,0.7569,0.7631,0.8467,0.96,,,0.2733,0.5533,0.5067,1.0,0.5,0.64,0.7557,0.64,0.8873239436619719,0.875,0.9171619718309859,0.875,1.0,1.0,,,,,,,0.6689655172413793,1.0,0.775475172413793,1.0,0.0,0.0,0.0,0.0093,0.3555,0.0,0.0,0.0,0.0,0.0093,0.3555,0.0
LC-QuAD,classification,gpt-5-nano,0.7933,0.7067,1.0,0.78,0.18,0.0067,0.0733,0.64,0.0733,0.7933,0.7768,0.82,0.08,0.0778,0.64,0.0733,0.84,0.8533,,,0.0867,0.1667,0.1333,1.0,0.0267,0.2622,0.2637,0.331675,0.8368794326241135,0.1111111111111111,0.8368794326241135,0.1111111111111111,1.0,1.0,,,,,,,0.7391304347826086,0.3333333333333333,0.7971985507246376,0.5416666666666666,0.0004,0.0,0.0,0.0018,1.0,1.0,0.0004,0.0,0.0,0.0018,1.0,1.0
LC-QuAD,classification,gpt-oss:20b,0.6933,0.46,1.0,0.7467,0.86,0.3467,0.2067,0.2267,0.22,0.7865,0.7544,0.1127,0.6272,0.4128,0.4186,0.4039,0.6867,0.8933,,,0.3867,0.1933,0.1467,1.0,0.2333,0.2178,0.4118,0.393325,0.6938775510204082,0.6666666666666666,0.7825789115646258,0.9798,1.0,1.0,,,,,,,0.4513888888888889,0.6666666666666666,0.7493729166666667,0.875,0.0,0.0,0.0,0.0,0.4225,0.0,0.0,0.0,0.0,0.0,0.4225,0.0
LC-QuAD,classification,grok-3-mini,0.9467,0.82,1.0,0.9067,0.8333,0.68,0.2933,0.2867,0.3133,0.9723,0.9395,0.1601,0.7737,0.5847,0.5748,0.5916,0.92,0.94,,,0.7,0.14,0.14,1.0,0.1867,0.2978,0.5837,0.36667500000000003,0.9642857142857143,0.7,0.9826571428571429,0.82667,1.0,1.0,,,,,,,0.8163265306122449,1.0,0.9383047619047621,1.0,0.0,0.0,0.0,0.0,0.6962,0.0,0.0,0.0,0.0,0.0,0.6962,0.0
LC-QuAD,classification,llama3.1:70b,0.78,0.6267,1.0,0.8867,0.9467,0.6133,0.1667,0.1267,0.1267,0.899,0.897,0.0242,0.8313,0.4143,0.3793,0.3859,0.8,0.0467,,,0.5533,0.0133,0.0467,1.0,0.02,0.14,0.3932,0.27,0.8,0.2,0.917433103448276,0.36334,1.0,1.0,,,,,,,0.6355140186915887,0.6046511627906976,0.8988551401869159,0.8925069767441862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,classification,llama3.1:8b,0.1067,0.0733,1.0,0.2667,0.6667,0.02,0.0133,0.0133,0.0133,0.5162,0.4449,0.1021,0.342,0.2071,0.1868,0.1681,0.8533,0.2,,,0.9067,0.0,0.0,1.0,0.0,0.0133,0.1873,0.25,0.2,0.1,0.7313599999999999,0.5008699999999999,1.0,1.0,,,,,,,0.23076923076923078,0.058394160583941604,0.5037,0.43929781021897807,0.0003,0.0005,0.0,0.0,1.0,0.125,0.0003,0.0005,0.0,0.0,1.0,0.125
LC-QuAD,classification,mistral-small:24b,0.8333,0.5267,1.0,0.7867,0.8067,0.38,0.2933,0.2067,0.24,0.9206,0.811,0.1662,0.6194,0.5354,0.4164,0.454,0.8733,0.0,,,0.6067,0.12,0.1267,1.0,0.08,0.2467,0.4686,0.331675,0.8785714285714286,0.2,0.9444364285714284,0.58762,,1.0,,,,,,,0.4166666666666667,0.5362318840579711,0.7351166666666668,0.8175681159420289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,classification,o3,0.8,0.82,1.0,0.92,0.92,0.7533,0.24,0.2933,0.26,0.9221,0.9227,0.0736,0.8414,0.5203,0.6088,0.5457,0.8267,0.96,,,0.7533,0.1333,0.1067,1.0,0.0867,0.2644,0.5583,0.331675,0.8263888888888888,0.16666666666666666,0.9360666666666666,0.5858666666666666,1.0,1.0,,,,,,,0.8287671232876712,0.5,0.9293465753424657,0.681,0.0,0.0,0.0,0.0,0.4018,0.0,0.0,0.0,0.0,0.0,0.4018,0.0
LC-QuAD,fixing,deepseek-chat,0.7533,0.6733,0.86,0.92,0.9133,0.5867,0.48,0.5,0.5067,0.8787,0.9023,0.0774,0.7921,0.7292,0.7391,0.7598,,,,,,0.0733,0.08,0.16,0.1067,0.4956,0.7427,0.10500000000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,deepseek-reasoner,0.7467,0.7333,0.8867,0.92,0.9533,0.7,0.2533,0.2133,0.2067,0.8629,0.8984,0.0357,0.8266,0.5087,0.4976,0.5011,,,,,,0.0667,0.0467,0.0933,0.1,0.2244,0.5025,0.076675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0
LC-QuAD,fixing,gemini-2.0-flash,0.78,0.7467,0.8,0.9133,0.96,0.7267,0.74,0.7533,0.7067,0.8033,0.905,0.0207,0.8501,0.8415,0.8587,0.8225,,,,,,0.0133,0.0067,0.0267,0.0733,0.7333,0.8409,0.030000000000000002,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gemini-2.5-flash,0.9333,0.8933,0.9333,0.92,0.9533,0.8667,0.6133,0.5867,0.6133,0.9594,0.9124,0.0422,0.8381,0.7125,0.7154,0.7205,,,,,,0.06,0.0333,0.08,0.1,0.6044,0.7161,0.068325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0012,0.0
LC-QuAD,fixing,gemini-2.5-pro,0.8467,0.8533,0.8733,0.96,0.98,0.84,0.46,0.5,0.4733,0.9129,0.9283,0.02,0.8819,0.7211,0.7348,0.7272,,,,,,0.06,0.02,0.02,0.08,0.4778,0.7277,0.045,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-2025-04-14,0.7467,0.7467,0.9067,0.9333,0.9467,0.72,0.2667,0.3,0.28,0.8879,0.912,0.0262,0.8538,0.5491,0.564,0.5545,,,,,,0.06,0.06,0.0867,0.0933,0.2822,0.5559,0.075,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-mini-2025-04-14,0.7133,0.6867,0.8733,0.9267,0.8733,0.6467,0.2,0.2067,0.2267,0.8546,0.8392,0.095,0.7683,0.4791,0.4949,0.4897,,,,,,0.0733,0.0667,0.1867,0.14,0.2111,0.4879,0.116675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-nano-2025-04-14,0.4,0.2467,0.5467,0.5733,0.66,0.2,0.1533,0.14,0.1733,0.5398,0.479,0.2178,0.3423,0.2979,0.2723,0.2998,,,,,,0.1733,0.2067,0.3933,0.2,0.1555,0.29,0.243325,,,,,,,,,,,,,,,,,0.0,0.0002,0.0001,0.0,0.6482,0.0,0.0,0.0002,0.0001,0.0,0.6482,0.0
LC-QuAD,fixing,gpt-4o,0.8067,0.78,0.88,0.9333,0.6133,0.4267,0.5,0.5333,0.4933,0.8748,0.8765,0.3746,0.5192,0.6382,0.6597,0.6358,,,,,,0.4267,0.4133,0.54,0.4667,0.5089,0.6446,0.46167500000000006,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0519,0.0,0.0,0.0,0.0,0.0,0.0519,0.0
LC-QuAD,fixing,gpt-5,0.9133,0.8133,0.9,0.9733,0.8333,0.6467,0.58,0.6333,0.58,0.9735,0.883,0.1667,0.7202,0.7525,0.7685,0.7207,,,,,,0.36,0.3533,0.3467,0.3933,0.5978,0.7472,0.363325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0758,0.0,0.0,0.0,0.0,0.0,0.0758,0.0
LC-QuAD,fixing,gpt-5-mini,0.8933,0.74,0.9067,0.94,0.64,0.4067,0.7,0.7,0.7133,0.9251,0.839,0.36,0.4909,0.7767,0.7796,0.8016,,,,,,0.6,0.6,0.6067,0.5867,0.7044,0.786,0.5983499999999999,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0266,0.0,0.0,0.0,0.0,0.0,0.0266,0.0
LC-QuAD,fixing,gpt-5-nano,0.8533,0.76,0.82,0.96,0.6733,0.4467,0.68,0.6333,0.6467,0.9023,0.8544,0.3157,0.4926,0.767,0.7298,0.7442,,,,,,0.5533,0.5,0.4867,0.5933,0.6533,0.747,0.533325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.0,0.0,0.0158,0.0
LC-QuAD,fixing,gpt-oss:20b,0.5,0.6133,0.7933,0.94,0.9133,0.5533,0.1733,0.22,0.18,0.6872,0.8242,0.0785,0.7085,0.3697,0.4278,0.3827,,,,,,0.1733,0.1267,0.2467,0.2867,0.1911,0.3934,0.20835000000000004,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.032,0.0
LC-QuAD,fixing,grok-3-mini,0.8867,0.8733,0.94,0.98,0.9333,0.8067,0.3333,0.3467,0.3533,0.9336,0.9399,0.0604,0.7685,0.5558,0.5593,0.588,,,,,,0.1533,0.14,0.1533,0.2267,0.3444,0.5677,0.168325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.0096,0.0
LC-QuAD,fixing,llama3.1:70b,0.5933,0.44,0.6933,0.8133,0.9133,0.4133,0.1533,0.14,0.1533,0.7596,0.7712,0.0517,0.7427,0.3918,0.3958,0.3976,,,,,,0.02,0.04,0.12,0.0533,0.1489,0.3951,0.058325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,llama3.1:8b,0.0867,0.0067,0.0867,0.0733,0.6267,0.0,0.0,0.0067,0.0067,0.3944,0.2869,0.1198,0.2028,0.0965,0.0989,0.1014,,,,,,0.0,0.0,0.0133,0.0,0.0045,0.0989,0.003325,,,,,,,,,,,,,,,,,0.0005,0.5,0.0009,0.0005,1.0,1.0,0.0005,0.5,0.0009,0.0005,1.0,1.0
LC-QuAD,fixing,mistral-small:24b,0.68,0.5333,0.7267,0.8933,0.9733,0.52,0.48,0.5,0.52,0.8081,0.7404,0.001,0.6622,0.7423,0.7325,0.7523,,,,,,0.2533,0.18,0.2533,0.1667,0.5,0.7424,0.21332500000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,o3,0.6733,0.7733,0.9267,0.9867,0.96,0.7333,0.2933,0.26,0.3333,0.8884,0.929,0.04,0.8766,0.5632,0.5703,0.5964,,,,,,0.1467,0.12,0.1333,0.1533,0.2955,0.5766,0.138325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0384,0.0,0.0,0.0,0.0,0.0,0.0384,0.0
LC-QuAD,wikidata,gpt-4o,0.9527,0.9189,0.9189,0.9662,0.0541,0.0,,,,0.9527,0.9386,0.9459,0.0473,,,,,,,,,0.973,0.9797,0.9459,0.9932,,,0.97295,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
LC-QuAD,wikidata,gpt-5,0.6689,0.4662,0.6419,0.7162,0.7027,0.1892,,,,0.7864,0.6843,0.2913,0.4566,,,,,,,,,0.4865,0.4797,0.3446,0.473,,,0.44594999999999996,,,,,,,,,,,,,,,,,0.0113,0.0,0.0218,0.0,0.9978,0.0113,0.0113,0.0,0.0218,0.0,0.9978,0.0113
LC-QuAD,wikidata,gpt-5-mini,0.7635,0.5811,0.7162,0.7432,0.4459,0.0946,,,,0.8284,0.6998,0.5466,0.2619,,,,,,,,,0.6959,0.7095,0.6014,0.7297,,,0.6841250000000001,,,,,,,,,,,,,,,,,0.008,0.0158,0.092,0.0631,0.9988,0.5982,0.008,0.0158,0.092,0.0631,0.9988,0.5982
LC-QuAD,wikidata,gpt-5-nano,0.7838,0.5338,0.6959,0.7095,0.5135,0.1014,,,,0.8244,0.6769,0.4664,0.2815,,,,,,,,,0.6959,0.6689,0.5541,0.6689,,,0.64695,,,,,,,,,,,,,,,,,0.0,0.0122,0.1055,0.0244,0.9622,0.5,0.0,0.0122,0.1055,0.0244,0.9622,0.5
LC-QuAD,wikidata,gpt-oss:20b,0.2533,0.0933,0.3267,0.3,0.84,0.0333,,,,0.4325,0.3526,0.0957,0.237,,,,,,,,,0.1733,0.18,0.1333,0.2333,,,0.179975,,,,,,,,,,,,,,,,,0.0147,0.8204,0.1744,0.4373,0.6612,0.9539,0.0147,0.8204,0.1744,0.4373,0.6612,0.9539
LC-QuAD,wikidata,grok-3-mini,0.2703,0.2027,0.5135,0.3514,0.8446,0.1486,,,,0.5197,0.4693,0.0742,0.3305,,,,,,,,,0.0676,0.0878,0.1149,0.1554,,,0.10642499999999999,,,,,,,,,,,,,,,,,0.6445,0.5,0.0607,0.5627,0.5775,0.7728,0.6445,0.5,0.0607,0.5627,0.5775,0.7728
LC-QuAD,wikidata,llama3.1:70b,0.14,0.0533,0.26,0.1933,0.68,0.0067,,,,0.4122,0.3464,0.1159,0.1895,,,,,,,,,0.0133,0.02,0.02,0.0533,,,0.02665,,,,,,,,,,,,,,,,,0.2517,0.6047,0.4402,0.5,0.8642,0.75,0.2517,0.6047,0.4402,0.5,0.8642,0.75
LC-QuAD,wikidata,llama3.1:8b,0.02,0.0,0.0667,0.0467,0.7133,0.0,,,,0.1848,0.1558,0.0576,0.101,,,,,,,,,0.0067,0.0067,0.0,0.0067,,,0.005025,,,,,,,,,,,,,,,,,0.5,1.0,0.0059,0.0078,1.0,1.0,0.5,1.0,0.0059,0.0078,1.0,1.0
LC-QuAD,wikidata,mistral-small:24b,0.7027,0.5473,0.6622,0.6486,0.3041,0.0068,,,,0.7489,0.6474,0.6606,0.0947,,,,,,,,,0.6622,0.6892,0.7027,0.7635,,,0.7044,,,,,,,,,,,,,,,,,0.0,0.0,0.0001,0.0001,1.0,0.5,0.0,0.0,0.0001,0.0001,1.0,0.5
LC-QuAD,wikidata,o3,0.3699,0.2329,0.4863,0.3973,0.9384,0.1986,,,,0.6854,0.5514,0.0416,0.4875,,,,,,,,,0.1507,0.1644,0.1027,0.1575,,,0.143825,,,,,,,,,,,,,,,,,0.0494,0.0175,0.4357,0.0048,0.1509,0.0019,0.0494,0.0175,0.4357,0.0048,0.1509,0.0019
LC-QuAD,zero-shot,deepseek-chat,0.3,0.1533,0.4333,0.3133,0.4933,0.0267,0.2905,,,0.6026,0.4925,0.2264,0.2699,0.5753,,,0.3467,0.5333,0.6,0.48,0.1467,0.0933,0.0933,0.1267,0.1333,0.2905,0.5753,0.11165,0.30935251798561153,0.18181818181818182,0.620326618705036,0.3789,0.4489795918367347,0.42574257425742573,0.2903225806451613,0.31932773109243695,0.4864864864864865,1.0,0.22948648648648648,0.0,0.1590909090909091,0.1111111111111111,0.5118772727272728,0.3504833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,deepseek-reasoner,0.14,0.1067,0.38,0.2667,0.8533,0.0733,,,,0.4725,0.3936,0.0436,0.3008,,,,0.2133,0.4,0.2867,0.82,0.1533,0.0267,0.04,0.0467,0.0333,,,0.036675,0.1510791366906475,0.0,0.4915870503597123,0.2311,0.3877551020408163,0.0,0.272108843537415,0.0,0.8482758620689655,1.0,0.0451503448275862,0.0,0.11594202898550725,0.0,0.41740289855072454,0.11935833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.0-flash,0.24,0.08,0.3533,0.28,0.64,0.0333,0.7297,,,0.522,0.392,0.1275,0.2705,0.8421,,,0.26,0.4733,0.6733,0.6133,0.2067,0.0067,0.0,0.0067,0.0067,0.7297,0.8421,0.005025,0.23404255319148937,0.3333333333333333,0.5195716312056738,0.5596222222222222,0.37735849056603776,0.29545454545454547,0.40540540540540543,0.23893805309734514,0.6357142857142857,0.7,0.12822285714285714,0.11789000000000001,0.08333333333333333,0.06666666666666667,0.40512750000000003,0.3393666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.5-flash,0.2733,0.1667,0.4667,0.28,0.8467,0.1533,0.6014,,,0.5536,0.4671,0.039,0.3603,0.7389,,,0.34,0.48,0.3,0.82,0.18,0.0467,0.02,0.0667,0.0267,0.6014,0.7389,0.040025,0.2835820895522388,0.1875,0.5590022388059701,0.5081875,0.4722222222222222,0.3333333333333333,0.2827586206896552,0.2,0.8472222222222222,0.8333333333333334,0.03368541666666666,0.16666666666666666,0.17123287671232876,0.0,0.4730486301369863,0.2501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.5-pro,0.24,0.1733,0.4067,0.34,0.8467,0.14,0.4459,,,0.5941,0.5123,0.0378,0.4193,0.7187,,,0.2867,0.4133,0.32,0.84,0.1733,0.0333,0.0133,0.0533,0.0333,0.4459,0.7187,0.0333,0.2517482517482518,0.0,0.6035272727272727,0.40135714285714286,0.40939597315436244,0.0,0.32413793103448274,0.8,0.8456375838926175,1.0,0.03809328859060403,0.0,0.1793103448275862,0.0,0.5270910344827586,0.08316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
