Q_ID,dataset,llm,R(1-2),R(1-3),R(1-4),R(3-4),R(1-34)
127,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
128,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
129,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
130,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
131,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
132,spinach,llama3.1:70b,Equivalence,Contains,Overlap,Disjoint,Equivalence
133,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
134,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
135,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
136,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Overlap,Equivalence
137,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
138,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
139,spinach,llama3.1:70b,Equivalence,ContainedBy,ContainedBy,Disjoint,Equivalence
140,spinach,llama3.1:70b,Equivalence,Contains,ContainedBy,Disjoint,Equivalence
141,spinach,llama3.1:70b,Equivalence,Contains,Overlap,Disjoint,Equivalence
142,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
143,spinach,llama3.1:70b,Equivalence,Equivalence,Disjoint,Disjoint,Equivalence
144,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
145,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
146,spinach,llama3.1:70b,Equivalence,Contains,Overlap,Disjoint,Equivalence
147,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
148,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
149,spinach,llama3.1:70b,Overlap,ContainedBy,Overlap,Disjoint,Equivalence
0,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
1,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
2,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
3,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
4,spinach,grok-3-mini,Contains,Contains,Contains,Disjoint,Equivalence
5,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
6,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
7,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
8,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
9,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
10,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
11,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
12,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
13,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
14,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
15,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
16,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
17,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
18,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
19,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
20,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
21,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
22,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
23,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
24,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
25,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
26,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
27,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
28,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
29,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
30,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
31,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
32,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
33,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
34,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
35,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
36,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
37,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
38,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
39,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
40,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
41,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
42,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
43,spinach,grok-3-mini,ContainedBy,Contains,Contains,Disjoint,Equivalence
44,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
45,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
46,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
47,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Contains
48,spinach,grok-3-mini,ContainedBy,Overlap,Contains,Disjoint,Equivalence
49,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
50,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
51,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
52,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
53,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
54,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
55,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
56,spinach,grok-3-mini,Equivalence,Equivalence,Disjoint,Disjoint,Equivalence
57,spinach,grok-3-mini,Equivalence,Contains,Equivalence,Disjoint,Equivalence
58,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
59,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
60,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
61,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
62,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
63,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
64,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
65,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
66,spinach,grok-3-mini,ContainedBy,Unknown,Unknown,Disjoint,Equivalence
67,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
68,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
69,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
70,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
71,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
72,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
73,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
74,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
75,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
76,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
77,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
78,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Contains
79,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
80,spinach,grok-3-mini,Equivalence,Equivalence,Contains,Disjoint,Equivalence
81,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
82,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
83,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
84,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
85,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
86,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
87,spinach,grok-3-mini,Equivalence,Equivalence,Contains,Disjoint,Equivalence
88,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
89,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
90,spinach,grok-3-mini,Contains,Contains,Contains,Disjoint,Equivalence
91,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
92,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
93,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
94,spinach,grok-3-mini,Equivalence,Contains,Contains,Unknown,Equivalence
95,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
96,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
97,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
98,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
99,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
100,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
101,spinach,grok-3-mini,Equivalence,Equivalence,Unknown,ContainedBy,Equivalence
102,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
103,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
104,spinach,grok-3-mini,Equivalence,Contains,Contains,Overlap,ContainedBy
105,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
106,spinach,grok-3-mini,ContainedBy,Contains,Contains,Disjoint,Equivalence
107,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
108,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
109,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
110,spinach,grok-3-mini,ContainedBy,Contains,Contains,Disjoint,Equivalence
111,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
112,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
113,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
114,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
115,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
116,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
117,spinach,grok-3-mini,Equivalence,Equivalence,Disjoint,Disjoint,Disjoint
118,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
119,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
120,spinach,grok-3-mini,ContainedBy,Contains,Contains,Disjoint,Equivalence
121,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
122,spinach,grok-3-mini,Equivalence,Equivalence,Disjoint,Disjoint,Equivalence
123,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
124,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
125,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
126,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
127,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
128,spinach,grok-3-mini,Equivalence,Unknown,Unknown,Disjoint,Equivalence
129,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
130,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
131,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
132,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
133,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
134,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
135,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
136,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
137,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
138,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
139,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
140,spinach,grok-3-mini,Contains,Contains,Contains,Disjoint,Equivalence
141,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
142,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
143,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
144,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
145,spinach,grok-3-mini,ContainedBy,Contains,Contains,Disjoint,Equivalence
146,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
147,spinach,grok-3-mini,ContainedBy,Contains,Contains,Disjoint,Equivalence
148,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
149,spinach,grok-3-mini,Contains,Contains,Contains,Disjoint,Equivalence
0,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
1,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
2,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
3,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
4,spinach,gpt-oss:20b,Contains,Contains,Contains,Disjoint,Equivalence
5,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
6,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
7,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
8,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
9,spinach,gpt-oss:20b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
10,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
11,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
12,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
13,spinach,gpt-oss:20b,Equivalence,Equivalence,Equivalence,Disjoint,Equivalence
14,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
15,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
16,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Contains,Equivalence
17,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
18,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
19,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
20,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
21,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
22,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
23,spinach,gpt-oss:20b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
24,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
25,spinach,gpt-oss:20b,Equivalence,Contains,Contains,Disjoint,Equivalence
26,spinach,gpt-oss:20b,Equivalence,Contains,Contains,ContainedBy,Equivalence
