new_Q_ID,dataset,Q_ID,Q1,Q2,Q3,Q4,A1,A2,A3,A4,golden_llm,golden_action,llm_rank,?A1=A2,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,idk_A1,idk_A2,idk_A3,idk_A4,n_consistent_zeroshot,n_consistent_all_actions,n_consistent_llms,overall_consistency_ratio,?A1=A2_ratio,?A1>A3_ratio,?A1>A4_ratio,?A3∅A4_ratio,?A4=A1|3_ratio,idk_A1_ratio,idk_A2_ratio,idk_A3_ratio,idk_A4_ratio,at_least_one_restriction_ratio
LC-QuAD-108,LC-QuAD,108,Who were the emperors of the Yuan dynasty?,List all Yuan dynasty emperors.,Which emperors of the Yuan dynasty ruled for 5 years or fewer?,Which emperors of the Yuan dynasty ruled for more than 5 years?,"['Emperor Renzong (Ayurbarwada Buyantu Khan)', 'Emperor Taizong (Ögedei Khan)', 'Emperor Wuzong (Külüg Khan)', 'Emperor Xianzong (Möngke Khan)', 'Emperor Wenzong (Jayaatu Khan Tugh Temür)', 'Emperor Huizong (Toghon Temür)', 'Emperor Dingzong (Güyük Khan)', 'Emperor Shizu (Kublai Khan)', 'Emperor Chengzong (Temür Khan)', 'Emperor Mingzong (Khutughtu Khan Kusala)', 'Emperor Taiding (Yesün Temür)', 'Emperor Yingzong (Gegeen Khan)', 'Emperor Ningzong (Rinchinbal)', 'Emperor Taizu (Genghis Khan)', 'Emperor Tianshun (Ragibagh Khan)']","['Emperor Renzong (Ayurbarwada Buyantu Khan)', 'Emperor Taizong (Ögedei Khan)', 'Emperor Wuzong (Külüg Khan)', 'Emperor Xianzong (Möngke Khan)', 'Emperor Wenzong (Jayaatu Khan Tugh Temür)', 'Emperor Huizong (Toghon Temür)', 'Emperor Dingzong (Güyük Khan)', 'Emperor Shizu (Kublai Khan)', 'Emperor Chengzong (Temür Khan)', 'Emperor Mingzong (Khutughtu Khan Kusala)', 'Emperor Taiding (Yesün Temür)', 'Emperor Yingzong (Gegeen Khan)', 'Emperor Ningzong (Rinchinbal)', 'Emperor Taizu (Genghis Khan)', 'Emperor Tianshun (Ragibagh Khan)']","['Rinchinbal Khan', 'Jayaatu Khan Tugh Temür', 'Külüg Khan', 'Ragibagh Khan', 'Gegeen Khan', 'Güyük Khan', 'Yesün Temür Khan', 'Khutughtu Khan Kusala']","['Ayurbarwada Buyantu Khan', 'Kublai Khan', 'Temur', 'Toghon Temur']",gpt-5,fixing,0,1,1,1,1,1,0,0,0,0,0,8,8,0.125,0.453125,0.5625,0.609375,0.84375,0.390625,0.078125,0.078125,0.359375,0.0625,0.9375
LC-QuAD-109,LC-QuAD,109,By which enzymes is methadone metabolized?,Which enzymes metabolize methadone?,By which enzymes whose associated genes are in subfamily 2 is methadone metabolized?,By which enzymes whose associated genes are not in subfamily 2 is methadone metabolized?,"['cytochrome P450 3A4', 'cytochrome P450 2D6', 'cytochrome P450 2B6', 'cytochrome P450 1A2', 'cytochrome P450 2C8', 'cytochrome P450 2C19', 'cytochrome P450 2C9']","['cytochrome P450 3A4', 'cytochrome P450 2D6', 'cytochrome P450 2B6', 'cytochrome P450 1A2', 'cytochrome P450 2C8', 'cytochrome P450 2C19', 'cytochrome P450 2C9']","['cytochrome P450 2D6', 'cytochrome P450 2B6', 'cytochrome P450 2C8', 'cytochrome P450 2C19', 'cytochrome P450 2C9']",['Cytochrome P450 3A4'],gpt-5,fixing,0,1,1,1,1,1,0,0,0,0,0,13,13,0.203125,0.578125,0.625,0.578125,0.8125,0.421875,0.046875,0.0625,0.328125,0.078125,0.953125
LC-QuAD-11,LC-QuAD,11,What districts of Lower Saxony are on the North Sea coast?,Which districts of Lower Saxony border the North Sea?,What districts of Lower Saxony in East Frisia are on the North Sea coast?,What districts of Lower Saxony outside of East Frisia are on the North Sea coast?,"['Wesermarsch district', 'Friesland district', 'Wittmund district', 'Aurich district', 'Leer district', 'Cuxhaven district']","['Wesermarsch district', 'Friesland district', 'Wittmund district', 'Aurich district', 'Leer district', 'Cuxhaven district']","['Aurich', 'Leer', 'Wittmund']","['Cuxhaven', 'Friesland', 'Wesermarsch']",gpt-5,fixing,0,1,1,1,1,1,0,0,0,0,0,10,9,0.15625,0.578125,0.734375,0.65625,0.875,0.390625,0.046875,0.0625,0.296875,0.078125,0.96875
LC-QuAD-110,LC-QuAD,110,Which states contain or border Lüneburg?,Which states border or contain Lüneburg?,Which states contain Lüneburg?,Which states border Lüneburg?,"['Schleswig-Holstein', 'Mecklenburg-Vorpommern', 'Lower Saxony']","['Schleswig-Holstein', 'Mecklenburg-Vorpommern', 'Lower Saxony']",['Lower Saxony'],"['Schleswig-Holstein', 'Mecklenburg-Vorpommern']",gemini-2.5-pro,fixing,3,1,1,1,1,1,0,0,0,0,0,6,6,0.09375,0.5625,0.828125,0.640625,0.703125,0.40625,0.15625,0.109375,0.328125,0.25,0.96875
LC-QuAD-111,LC-QuAD,111,What are the institutions of the European Union?,What are the E.U.'s institutions?,What are the legislative institutions of the European Union?,What institutions of the European Union are not legislative?,"['European Parliament', 'European Central Bank', 'Court of Justice of the European Union', 'European Commission', 'European Court of Auditors', 'Council of the European Union', 'European Council']","['European Parliament', 'European Central Bank', 'Court of Justice of the European Union', 'European Commission', 'European Court of Auditors', 'Council of the European Union', 'European Council']","['European Parliament', 'Council of the European Union']","['European Central Bank', 'Court of Justice of the European Union', 'European Commission', 'European Court of Auditors', 'European Council']",gpt-5-mini,zero-shot,2,1,1,1,1,1,0,0,0,0,2,20,16,0.3125,0.75,0.90625,0.671875,0.796875,0.53125,0.03125,0.03125,0.296875,0.046875,0.953125
LC-QuAD-113,LC-QuAD,113,What solo studio albums were released by Jerry Lee Lewis?,What are the solo studio albums of Jerry Lee Lewis?,What solo studio albums were released by Jerry Lee Lewis on the Smash label?,What solo studio albums were released by Jerry Lee Lewis on a label other than Smash?,"['Young Blood', ""Sometimes a Memory Ain't Enough"", 'Would You Take Another Chance on Me?', 'Sings the Country Music Hall of Fame Hits Volume 2', 'I 40 Country', ""Jerry Lee's Greatest!"", 'Odd Man In', 'Soul My Way', 'There Must Be More to Love Than This', 'Jerry Lee Lewis (1979)', ""Who's Gonna Play This Old Piano? Think About It, Darlin'"", 'Boogie Woogie Country Man', 'Last Man Standing', 'Country Class', 'Country Memories', 'Southern Roots: Back Home to Memphis', 'Golden Hits of Jerry Lee Lewis', 'She Even Woke Me Up to Say Goodbye', 'Killer Country', 'Jerry Lee Lewis', 'The Return of Rock', 'Country Songs for City Folks', ""Jerry Lee Keeps Rockin'"", 'Touching Home', 'Sings the Country Music Hall of Fame Hits Volume 1', 'The Killer Rocks On', ""She Still Comes Around (To Love What's Left of Me)"", 'Mean Old Man', 'Another Place Another Time', 'Rock & Roll Time', 'When Two Worlds Collide', 'Memphis Beat']","['Young Blood', ""Sometimes a Memory Ain't Enough"", 'Would You Take Another Chance on Me?', 'Sings the Country Music Hall of Fame Hits Volume 2', 'I 40 Country', ""Jerry Lee's Greatest!"", 'Odd Man In', 'Soul My Way', 'There Must Be More to Love Than This', 'Jerry Lee Lewis (1979)', ""Who's Gonna Play This Old Piano? Think About It, Darlin'"", 'Boogie Woogie Country Man', 'Last Man Standing', 'Country Class', 'Country Memories', 'Southern Roots: Back Home to Memphis', 'Golden Hits of Jerry Lee Lewis', 'She Even Woke Me Up to Say Goodbye', 'Killer Country', 'Jerry Lee Lewis', 'The Return of Rock', 'Country Songs for City Folks', ""Jerry Lee Keeps Rockin'"", 'Touching Home', 'Sings the Country Music Hall of Fame Hits Volume 1', 'The Killer Rocks On', ""She Still Comes Around (To Love What's Left of Me)"", 'Mean Old Man', 'Another Place Another Time', 'Rock & Roll Time', 'When Two Worlds Collide', 'Memphis Beat']","['Sings the Country Music Hall of Fame Hits, Volume 1', 'Soul My Way', 'Sings the Country Music Hall of Fame Hits, Volume 2', 'The Return of Rock', 'Country Songs for City Folks', 'She Still Comes Around', 'Another Place, Another Time', 'The Golden Hits of Jerry Lee Lewis', 'Memphis Beat']","[""The Session...Recorded in London with Great Britain's Top Musicians"", 'Young Blood', ""Who's Gonna Play This Old Piano...Think About It, Darlin'"", 'Would You Take Another Chance on Me?', 'Odd Man In', ""Jerry Lee's Greatest!"", 'There Must Be More to Love Than This', 'I-40 Country', 'Last Man Standing', 'Boogie Woogie Country Man', 'Country Class', 'Country Memories', 'Southern Roots: Back Home to Memphis', 'She Even Woke Me Up to Say Goodbye', 'Killer Country', ""Jerry Lee Keeps Rockin'"", 'Touching Home', ""My Fingers Do the Talkin'"", 'The Killer Rocks On', 'Mean Old Man', 'Rock & Roll Time', 'When Two Worlds Collide']",o3,fixing,1,1,1,1,1,1,0,0,0,0,0,4,4,0.0625,0.484375,0.65625,0.53125,0.625,0.171875,0.234375,0.28125,0.453125,0.296875,0.890625
LC-QuAD-114,LC-QuAD,114,What are the YouTube Play Buttons that are conferred by YouTube?,What YouTube Play Buttons does YouTube award?,Which YouTube Play Buttons are conferred by YouTube for reaching subscriber milestones under 1 million?,Which YouTube Play Buttons are conferred by YouTube for reaching subscriber milestones of 1 million and above?,"['Silver Play Button', 'Gold Play Button', 'Custom Play Button', 'Red Diamond Play Button', 'Diamond Play Button']","['Silver Play Button', 'Gold Play Button', 'Custom Play Button', 'Red Diamond Play Button', 'Diamond Play Button']",['Silver Play Button'],"['Gold Play Button', 'Custom Play Button', 'Red Diamond Play Button', 'Diamond Play Button']",grok-3-mini,zero-shot,8,1,1,1,1,1,0,0,0,0,1,14,13,0.21875,0.65625,0.78125,0.6875,0.921875,0.5,0.046875,0.046875,0.328125,0.046875,1.0
LC-QuAD-115,LC-QuAD,115,What Asian television channels have English as their primary language?,Which Asian TV channels air programs mainly in English?,What Asian television channels broadcasting 24 hour news have English as their primary language?,What Asian television channels have English as their primary language excluding 24 hour news stations?,"['Disney Channel Asia', 'Channel News Asia', 'BBC News Asia', 'Animal Planet Asia', 'HBO Asia', 'Nickelodeon Asia', 'Star World Asia', 'Discovery Channel Asia', 'History Channel Asia', 'Bloomberg Television Asia', 'AXN Asia', 'CNBC Asia', 'National Geographic Asia', 'CNN International Asia', 'Cartoon Network Asia', 'Fox Asia']","['Disney Channel Asia', 'Channel News Asia', 'BBC News Asia', 'Animal Planet Asia', 'Discovery Channel Asia', 'Nickelodeon Asia', 'Star World Asia', 'HBO Asia', 'History Channel Asia', 'Bloomberg Television Asia', 'AXN Asia', 'CNBC Asia', 'National Geographic Asia', 'CNN International Asia', 'Cartoon Network Asia', 'Fox Asia']","['Al Jazeera English Asia', 'CNN International Asia', 'Bloomberg Television Asia', 'CNBC Asia', 'Channel NewsAsia']","['Disney Channel Asia', 'Fox Life Asia', 'National Geographic Channel Asia', 'HBO Asia', 'Nickelodeon Asia', 'History Channel Asia', 'AXN Asia', 'Discovery Channel Asia', 'Animal Planet Asia', 'Cartoon Network Asia']",gpt-4.1-2025-04-14,fixing,9,1,1,1,1,1,0,0,0,0,0,1,1,0.015625,0.515625,0.65625,0.625,0.640625,0.125,0.359375,0.3125,0.484375,0.375,0.96875
LC-QuAD-116,LC-QuAD,116,Which paintings depict Dante Alighieri?,List all paintings of Dante Alighieri.,Which paintings depict Dante Alighieri alone?,Which paintings depict Dante Alighieri with someone else?,"['Dante by Luca Signorelli', 'The Barque of Dante by Eugène Delacroix', 'Dante and Virgil in Hell by William-Adolphe Bouguereau', 'Portrait of Dante by Giotto di Bondone', 'Dante Alighieri by Andrea del Castagno', 'Dante Alighieri by Domenico di Michelino', 'Dante by Agnolo Bronzino', 'Portrait of Dante Alighieri by Sandro Botticelli', 'Dante by Raffaello Sanzio', 'Dante by Venetian School']","['Dante by Luca Signorelli', 'The Barque of Dante by Eugène Delacroix', 'Dante and Virgil in Hell by William-Adolphe Bouguereau', 'Portrait of Dante by Giotto di Bondone', 'Dante Alighieri by Andrea del Castagno', 'Dante Alighieri by Domenico di Michelino', 'Dante by Agnolo Bronzino', 'Portrait of Dante Alighieri by Sandro Botticelli', 'Dante by Raffaello Sanzio', 'Dante by Venetian School']","['Dante in the Forest by Gioacchino Toma', 'Dante in Verona by Antonio Cotti', 'Dante Alighieri by Andrea del Castagno', ""Dante Alighieri by Silvestro dell'Aquila"", 'Portrait of Dante by Giotto (attributed)', ""Portrait of Dante Alighieri by Cristofano dell'Altissimo"", 'Dante in Exile by Domenico Petarlini', 'Dante Alighieri by Taddeo di Bartolo', 'Dante Alighieri by Girolamo Boccaccino', 'Dante Alighieri by Agnolo Bronzino', 'Dante Alighieri by Bronzino (after Giotto)']","['Frescoes in the Chapel of San Brizio by Luca Signorelli', 'The Barque of Dante by Eugene Delacroix', 'Dante and the Divine Comedy by Domenico di Michelino']",deepseek-reasoner,fixing,4,1,1,1,1,1,0,0,0,0,0,6,6,0.09375,0.578125,0.71875,0.65625,0.59375,0.28125,0.359375,0.5,0.5625,0.390625,0.96875
LC-QuAD-117,LC-QuAD,117,Which ministers of the Weimar Republic were assassinated?,Which Weimar Republic ministers were murdered?,Which Jewish ministers of the Weimar Republic were assassinated?,Which Gentile ministers of the Weimar Republic were assassinated?,"['Walther Rathenau', 'Matthias Erzberger']","['Walther Rathenau', 'Matthias Erzberger']",['Walther Rathenau'],['Matthias Erzberger'],gemini-2.5-flash,zero-shot,6,1,1,1,1,1,0,0,0,0,1,14,12,0.21875,0.609375,0.734375,0.765625,0.828125,0.53125,0.078125,0.078125,0.375,0.109375,0.984375
LC-QuAD-118,LC-QuAD,118,Which films did Mike Myers write or co-write?,For which films is Mike Myers credited as a writer?,Which films did Mike Myers write alone?,Which films did Mike Myers co-write with others?,"['The Love Guru', ""Wayne's World 2"", 'Austin Powers: The Spy Who Shagged Me', 'Austin Powers: International Man of Mystery', 'Austin Powers in Goldmember', ""Wayne's World""]","['The Love Guru', ""Wayne's World 2"", 'Austin Powers: The Spy Who Shagged Me', 'Austin Powers: International Man of Mystery', 'Austin Powers in Goldmember', ""Wayne's World""]",['Austin Powers: International Man of Mystery'],"['The Love Guru', ""Wayne's World 2"", 'Austin Powers: The Spy Who Shagged Me', 'Austin Powers in Goldmember', ""Wayne's World""]",gemini-2.5-flash,zero-shot,6,1,1,1,1,1,0,0,0,0,1,9,7,0.140625,0.5625,0.8125,0.765625,0.78125,0.390625,0.125,0.171875,0.515625,0.171875,1.0
