q1	ql1	ql2
http://qawiki.org/entity/Q230	Who is the prime minister of South Korea?	Who is the PM of Korea?
http://qawiki.org/entity/Q230	Who is the prime minister of South Korea?	Who is the South Korean head of government?
http://qawiki.org/entity/Q231	Does South Korea have a prime minister?	Does Korea have a first minister?
http://qawiki.org/entity/Q231	Does South Korea have a prime minister?	Is there a Korean PM?
http://qawiki.org/entity/Q232	What causes cataracts?	What leads to cataracts?
http://qawiki.org/entity/Q233	Which countries have Islam as an official religion?	In which countries is Islam an official religion?
http://qawiki.org/entity/Q233	Which countries have Islam as an official religion?	What countries recognise the Muslim religion as a state religion?
http://qawiki.org/entity/Q234	Who are the current Super Bowl champions?	Who are the Super Bowl champions?
http://qawiki.org/entity/Q234	Who are the current Super Bowl champions?	Who won the last Super Bowl?
http://qawiki.org/entity/Q235	What are the official languages of Haiti?	What languages do Haitians speak?
http://qawiki.org/entity/Q235	What are the official languages of Haiti?	Which languages are spoken in Haiti?
http://qawiki.org/entity/Q212	What is the carbon footprint of CERN?	What is the CO2 footprint of the European Organization for Nuclear Research?
http://qawiki.org/entity/Q215	How many kilometers are in a lightyear?	A lightyear is how many kilometers?
http://qawiki.org/entity/Q215	How many kilometers are in a lightyear?	How many kilometers in a light-year?
http://qawiki.org/entity/Q216	How far is Bangkok from Hanoi?	How far is Hanoi from Bangkok?
http://qawiki.org/entity/Q216	How far is Bangkok from Hanoi?	What is the distance between Hanoi and Bangkok?
http://qawiki.org/entity/Q218	How did Stan Lee die?	What did Stan Lee die from?
http://qawiki.org/entity/Q218	How did Stan Lee die?	What was Stan Lee's cause of death?
http://qawiki.org/entity/Q219	Which countries border the Black Sea?	What countries are on the Black Sea?
http://qawiki.org/entity/Q219	Which countries border the Black Sea?	Which countries touch the Black Sea?
http://qawiki.org/entity/Q220	How old was Daniel Day-Lewis when he won his first Academy Award?	What age was Daniel Day-Lewis when he received his first Academy Award?
http://qawiki.org/entity/Q220	How old was Daniel Day-Lewis when he won his first Academy Award?	What age was Daniel Day-Lewis when he was first awarded an Oscar?
http://qawiki.org/entity/Q221	Has Daniel Day-Lewis won an Academy Award?	Did Daniel Day-Lewis win an Oscar?
http://qawiki.org/entity/Q84	Which musicians are from Sweden?	Which musicians are Swedish?
http://qawiki.org/entity/Q85	How many movies has Tarantino directed?	How many films has Quentin Tarantino directed?
http://qawiki.org/entity/Q85	How many movies has Tarantino directed?	How many films has Tarantino directed?
http://qawiki.org/entity/Q85	How many movies has Tarantino directed?	How many movies has Quentin Tarantino been the director of?
http://qawiki.org/entity/Q85	How many movies has Tarantino directed?	How many movies has Quentin Tarantino directed?
http://qawiki.org/entity/Q87	Is New York bigger than Beijing in terms of population?	Does New York City have more people than Beijing?
http://qawiki.org/entity/Q87	Is New York bigger than Beijing in terms of population?	Is Beijing smaller than New York in terms of population?
http://qawiki.org/entity/Q87	Is New York bigger than Beijing in terms of population?	Is New York's population bigger than Beijing's?
http://qawiki.org/entity/Q87	Is New York bigger than Beijing in terms of population?	Is New York's population higher than Beijing's?
http://qawiki.org/entity/Q88	Is New York bigger than Beijing in terms of area?	Does New York City have a larger area than Beijing?
http://qawiki.org/entity/Q88	Is New York bigger than Beijing in terms of area?	Is Beijing smaller than New York in terms of area?
http://qawiki.org/entity/Q88	Is New York bigger than Beijing in terms of area?	Is New York City more expansive than Beijing?
http://qawiki.org/entity/Q88	Is New York bigger than Beijing in terms of area?	Is New York's area bigger than Beijing's?
http://qawiki.org/entity/Q89	What countries are part of the European Union?	What countries are in the EU?
http://qawiki.org/entity/Q89	What countries are part of the European Union?	What countries are part of the EU?
http://qawiki.org/entity/Q89	What countries are part of the European Union?	Which countries form the European Union?
http://qawiki.org/entity/Q90	What computer scientists were born after 1970?	Which computer scientists were born after 1970?
http://qawiki.org/entity/Q91	Is Leonardo DiCaprio older than Joaquin Phoenix?	Is Joaquin Phoenix younger than Leonardo DiCaprio?
http://qawiki.org/entity/Q92	In which country is the Museo del Prado located?	In which country is Museo del Prado?
http://qawiki.org/entity/Q93	When did Caesars Palace open?	When did Caesars Palace open to the public?
http://qawiki.org/entity/Q94	Which political parties was Abraham Lincoln a member of?	Abe Lincoln was a member of which political parties?
http://qawiki.org/entity/Q94	Which political parties was Abraham Lincoln a member of?	In which political parties was Abraham Lincoln a member?
http://qawiki.org/entity/Q95	Which paintings feature a banana?	Which artworks depict a banana?
http://qawiki.org/entity/Q96	Do any national flags use pink?	Do any country's flags use the color pink?
http://qawiki.org/entity/Q96	Do any national flags use pink?	Do any national flags contain pink?
http://qawiki.org/entity/Q97	When did Ian Curtis commit suicide?	When did Ian Curtis die?
http://qawiki.org/entity/Q97	When did Ian Curtis commit suicide?	When did Ian Curtis kill himself?
http://qawiki.org/entity/Q111	What buildings are named after JFK?	What buildings are named after John F. Kennedy?
http://qawiki.org/entity/Q111	What buildings are named after JFK?	What buildings were named in honor of John F. Kennedy?
http://qawiki.org/entity/Q112	When was Hey Jude released?	On what date was Hey Jude published?
http://qawiki.org/entity/Q112	When was Hey Jude released?	When did Hey Jude come out?
http://qawiki.org/entity/Q113	Which countries currently have multiple capitals?	Which contemporary countries have multiple capitals?
http://qawiki.org/entity/Q113	Which countries currently have multiple capitals?	Which countries have more than one capital?
http://qawiki.org/entity/Q114	Which video games are known to be NP-complete?	What video games are NP-complete?
http://qawiki.org/entity/Q114	Which video games are known to be NP-complete?	Which video games were proven to be NP-complete?
http://qawiki.org/entity/Q182	Which living people have an element named after them?	Who still living has a chemical element named after them?
http://qawiki.org/entity/Q183	Which Chilean companies have U.S. parent companies?	What Chilean companies have American parent companies?
http://qawiki.org/entity/Q183	Which Chilean companies have U.S. parent companies?	Which Chilean businesses have parent companies in the US?
http://qawiki.org/entity/Q184	Did Tarantino direct a movie last year?	Did Quentin Tarantino direct a film last year?
http://qawiki.org/entity/Q185	Which smartphones are made in China?	What smartphones are manufactured in China?
http://qawiki.org/entity/Q186	Which animals have a Unicode character?	What animals have a Unicode character?
http://qawiki.org/entity/Q187	Which movie of the last ten years has won the most Academy Awards?	What film from the last 10 years has won the most Academy Awards?
http://qawiki.org/entity/Q187	Which movie of the last ten years has won the most Academy Awards?	Which movie of the past decade has won the most Oscars?
http://qawiki.org/entity/Q188	Which diesel cars are made by Honda?	List Honda diesel cars
http://qawiki.org/entity/Q188	Which diesel cars are made by Honda?	What diesel cars do Honda make?
http://qawiki.org/entity/Q189	Who was the winner of the latest Fields Medal?	Who was awarded the most recent Fields Medal?
http://qawiki.org/entity/Q189	Who was the winner of the latest Fields Medal?	Who won the latest Fields Medal?
http://qawiki.org/entity/Q191	Who wrote The Old Man and the Sea?	Who is the author of The Old Man and the Sea?
http://qawiki.org/entity/Q191	Who wrote The Old Man and the Sea?	Who authored The Old Man and the Sea?
http://qawiki.org/entity/Q192	Which YouTube channels talk about math?	List YouTube maths channels
http://qawiki.org/entity/Q192	Which YouTube channels talk about math?	Which YouTube channels focus on mathematics?
http://qawiki.org/entity/Q192	Which YouTube channels talk about math?	Which YouTube channels cover math?
http://qawiki.org/entity/Q193	What Italian sauces are there?	List Italian sauces
http://qawiki.org/entity/Q193	What Italian sauces are there?	What sauces are from Italy?
http://qawiki.org/entity/Q194	What diseases are associated with the gene FGF14?	What diseases relate to FGF14?
http://qawiki.org/entity/Q194	What diseases are associated with the gene FGF14?	What illnesses are linked to the gene FGF14?
http://qawiki.org/entity/Q195	What ultra-cool dwarfs have been found in the constellation Aquarius?	What ultra-cool dwarf stars are in the constellation Aquarius?
http://qawiki.org/entity/Q197	Kim Deal played with which bands?	Kim Deal was a member of which bands?
http://qawiki.org/entity/Q197	Kim Deal played with which bands?	What music groups was Kim Deal in?
http://qawiki.org/entity/Q198	Where was tellurium discovered?	Where was tellurium first found?
http://qawiki.org/entity/Q67	What age would Stan Lee be if he were still alive?	How old would Stan Lee be if he were still alive?
http://qawiki.org/entity/Q68	Who is the president of Poland?	Who is currently the president of the Republic of Poland?
http://qawiki.org/entity/Q68	Who is the president of Poland?	Who is the current president of Poland?
http://qawiki.org/entity/Q69	Does Poland have a president?	Does Poland have a presidency?
http://qawiki.org/entity/Q69	Does Poland have a president?	Does the Republic of Poland have a president?
http://qawiki.org/entity/Q69	Does Poland have a president?	Is the head of state of Poland a president?
http://qawiki.org/entity/Q70	Who is the head of state of Poland?	Who is the head of state of the Republic of Poland?
http://qawiki.org/entity/Q70	Who is the head of state of Poland?	Who is the leader of Poland?
http://qawiki.org/entity/Q71	How many Turing Awards have people from Austria won?	How many Turing Awards have been given to Austrians?
http://qawiki.org/entity/Q71	How many Turing Awards have people from Austria won?	How many Turing Awards have been won by Austria?
http://qawiki.org/entity/Q71	How many Turing Awards have people from Austria won?	How many Turing Awards have been won by Austrians?
http://qawiki.org/entity/Q72	Which countries have won a FIFA World Cup?	All countries that won a FIFA World Cup
http://qawiki.org/entity/Q72	Which countries have won a FIFA World Cup?	Give me all countries that have won a FIFA World Cup
http://qawiki.org/entity/Q72	Which countries have won a FIFA World Cup?	Which countries have won a World Cup in football?
http://qawiki.org/entity/Q74	Which countries have won a Cricket World Cup?	Which countries have won a World Cup in Cricket?
http://qawiki.org/entity/Q74	Which countries have won a Cricket World Cup?	Which countries have won an ICC Men's Cricket World Cup?
http://qawiki.org/entity/Q81	Which countries have won a Rugby World Cup?	Give me all countries that have won a Rugby World Cup
http://qawiki.org/entity/Q81	Which countries have won a Rugby World Cup?	List all countries that have won at least one Rugby World Cup
http://qawiki.org/entity/Q81	Which countries have won a Rugby World Cup?	Which countries have been world champions in Rugby?
http://qawiki.org/entity/Q81	Which countries have won a Rugby World Cup?	Which countries have won a World Cup in rugby?
http://qawiki.org/entity/Q82	What is the population of Qatar?	How many inhabitants does Qatar have?
http://qawiki.org/entity/Q82	What is the population of Qatar?	How many people live in Qatar?
http://qawiki.org/entity/Q82	What is the population of Qatar?	What is the current population of Qatar?
http://qawiki.org/entity/Q83	Who is the author of the manga One Piece?	Who authored the One Piece manga?
http://qawiki.org/entity/Q83	Who is the author of the manga One Piece?	Who is the creator of the One Piece manga?
http://qawiki.org/entity/Q84	Which musicians are from Sweden?	List Swedish musicians
http://qawiki.org/entity/Q84	Which musicians are from Sweden?	Which musicians are of Swedish nationality?
http://qawiki.org/entity/Q98	Did Ian Curtis commit suicide?	Did Ian Curtis kill himself?
http://qawiki.org/entity/Q99	When did Ian Curtis die?	When did Ian Curtis pass away?
http://qawiki.org/entity/Q100	Is Ian Curtis dead?	Did Ian Curtis die?
http://qawiki.org/entity/Q100	Is Ian Curtis dead?	Did Ian Curtis pass away?
http://qawiki.org/entity/Q100	Is Ian Curtis dead?	Has Ian Curtis passed away?
http://qawiki.org/entity/Q101	In which museums can I see paintings by El Greco?	Which museums display artworks by El Greco?
http://qawiki.org/entity/Q101	In which museums can I see paintings by El Greco?	Which museums have paintings by El Greco?
http://qawiki.org/entity/Q102	In which movie did Al Pacino and Robert de Niro appear together?	In which films do Pacino and de Niro costar?
http://qawiki.org/entity/Q102	In which movie did Al Pacino and Robert de Niro appear together?	In which movies did Al Pacino and Robert de Niro act together?
http://qawiki.org/entity/Q102	In which movie did Al Pacino and Robert de Niro appear together?	Which films have both Al Pacino and Robert de Niro as actors?
http://qawiki.org/entity/Q103	Who is the youngest head of state in the world?	Who is the youngest leader of a country in the world?
http://qawiki.org/entity/Q104	Which mountains are on Mars?	List all Martian mountains
http://qawiki.org/entity/Q104	Which mountains are on Mars?	What mons are found on Mars?
http://qawiki.org/entity/Q104	Which mountains are on Mars?	What peaks are on Mars?
http://qawiki.org/entity/Q105	What alcoholic drinks are made with orange?	What alcoholic cocktails use orange?
http://qawiki.org/entity/Q105	What alcoholic drinks are made with orange?	Which alcoholic beverages contain orange?
http://qawiki.org/entity/Q106	Which video games have a fox character?	What video games have a character that is a fox?
http://qawiki.org/entity/Q106	Which video games have a fox character?	What video games have a vulpine character?
http://qawiki.org/entity/Q107	How many astronauts studied at MIT?	How many astronauts are MIT alumni?
http://qawiki.org/entity/Q107	How many astronauts studied at MIT?	How many astronauts studied at Massachusetts Institute of Technology?
http://qawiki.org/entity/Q107	How many astronauts studied at MIT?	How many MIT alumni are astronauts?
http://qawiki.org/entity/Q108	When was the first exoplanet discovered?	On what date was the first exoplanet discovered?
http://qawiki.org/entity/Q108	When was the first exoplanet discovered?	When was the first extrasolar planet found?
http://qawiki.org/entity/Q110	Which movies were directed by siblings?	List films whose directors are brothers or sisters
http://qawiki.org/entity/Q110	Which movies were directed by siblings?	Which films were directed by siblings?
http://qawiki.org/entity/Q391	What operas are based on works by Alexander Pushkin?	What operas are based on works by Pushkin?
http://qawiki.org/entity/Q391	What operas are based on works by Alexander Pushkin?	Which operas adapt works by Alexander Pushkin?
http://qawiki.org/entity/Q392	In which countries are tepuis found?	In which countries are tepuis located?
http://qawiki.org/entity/Q392	In which countries are tepuis found?	What countries have tepuis?
http://qawiki.org/entity/Q394	What is the largest moon of the Solar System by mass?	What is the biggest moon of the Solar System by mass?
http://qawiki.org/entity/Q394	What is the largest moon of the Solar System by mass?	What is the largest natural satellite of the Solar System by mass?
http://qawiki.org/entity/Q394	What is the largest moon of the Solar System by mass?	What is the most massive moon of the Solar System?
http://qawiki.org/entity/Q395	What is the largest moon of the Solar System by radius?	What is the biggest moon of the Solar System by radius?
http://qawiki.org/entity/Q395	What is the largest moon of the Solar System by radius?	What is the largest natural satellite of the Solar System by radius?
http://qawiki.org/entity/Q396	What hybrid species can have offspring?	Which hybrid species are fertile?
http://qawiki.org/entity/Q396	What hybrid species can have offspring?	Which hybrid species can breed?
http://qawiki.org/entity/Q397	What is the wheelbase of the Enzo Ferrari?	What is the Ferrari Enzo's wheelbase?
http://qawiki.org/entity/Q397	What is the wheelbase of the Enzo Ferrari?	What wheelbase does the Enzo Ferrari have?
http://qawiki.org/entity/Q399	When did Kyra Phillips join ABC?	When did Kyra Phillips move to ABC?
http://qawiki.org/entity/Q399	When did Kyra Phillips join ABC?	When did Kyra Phillips start working for the American Broadcast Company?
http://qawiki.org/entity/Q400	Has Kyra Phillips worked with ABC?	Did Kyra Phillips work with the American Broadcast Company?
http://qawiki.org/entity/Q400	Has Kyra Phillips worked with ABC?	Has ABC employed Kyra Phillips?
http://qawiki.org/entity/Q401	When was the Statue of Zeus at Olympia destroyed?	When was the Statue of Zeus at Olympia obliterated?
http://qawiki.org/entity/Q401	When was the Statue of Zeus at Olympia destroyed?	When was the Statue of Zeus at Olympia ruined?
http://qawiki.org/entity/Q402	Was the Statue of Zeus at Olympia destroyed?	Was the Statue of Zeus at Olympia obliterated?
http://qawiki.org/entity/Q402	Was the Statue of Zeus at Olympia destroyed?	Was the Statue of Zeus at Olympia ruined?
http://qawiki.org/entity/Q403	Who was the Democratic party candidate in the 1972 United States Presidential Election?	Who ran for the Democrats in the U.S. Presidential Election of 1972?
http://qawiki.org/entity/Q403	Who was the Democratic party candidate in the 1972 United States Presidential Election?	Who was the Democratic candidate in the 1972 U.S. Presidential Election?
http://qawiki.org/entity/Q404	When is the feast day of Saint Kizito?	When is St. Kizito's day?
http://qawiki.org/entity/Q404	When is the feast day of Saint Kizito?	When is the feast of St. Kizito?
http://qawiki.org/entity/Q236	When was Stan Lee born?	What is Stan Lee's dob?
http://qawiki.org/entity/Q236	When was Stan Lee born?	When is Stan Lee's date of birth?
http://qawiki.org/entity/Q237	Where was Stan Lee born?	What is Stan Lee's place of birth?
http://qawiki.org/entity/Q238	Where did Stan Lee die?	Where did Stan Lee pass away?
http://qawiki.org/entity/Q238	Where did Stan Lee die?	Where was Stan Lee's place of death?
http://qawiki.org/entity/Q239	What museums are in Addis Ababa?	What museums are located in Addis Ababa?
http://qawiki.org/entity/Q239	What museums are in Addis Ababa?	Which museums are in Addis Ababa?
http://qawiki.org/entity/Q240	Who is the richest woman in the world?	Which woman has the highest net worth?
http://qawiki.org/entity/Q240	Who is the richest woman in the world?	Who is the wealthiest female?
http://qawiki.org/entity/Q241	What dishes are from Peru?	What are some Peruvian dishes?
http://qawiki.org/entity/Q241	What dishes are from Peru?	What recipes are Peruvian?
http://qawiki.org/entity/Q242	Who directed Sharknado?	Sharnado was directed by whom?
http://qawiki.org/entity/Q242	Who directed Sharknado?	Who was the director of Sharknado?
http://qawiki.org/entity/Q243	Which movies star Peter Sellers?	Peter Sellers acted in which films?
http://qawiki.org/entity/Q243	Which movies star Peter Sellers?	Peter Sellers appears in which movies?
http://qawiki.org/entity/Q243	Which movies star Peter Sellers?	Peter Sellers stars in which films?
http://qawiki.org/entity/Q243	Which movies star Peter Sellers?	What films star Peter Sellers?
http://qawiki.org/entity/Q243	Which movies star Peter Sellers?	What movies star Peter Sellers?
http://qawiki.org/entity/Q243	Which movies star Peter Sellers?	Which films star Peter Sellers?
http://qawiki.org/entity/Q244	What is the longest-living species?	What species has the longest lifespan?
http://qawiki.org/entity/Q244	What is the longest-living species?	Which species can live the longest?
http://qawiki.org/entity/Q245	What are the colors of the French flag?	The French flag uses which colors?
http://qawiki.org/entity/Q245	What are the colors of the French flag?	What are the colors of the national flag of France?
http://qawiki.org/entity/Q310	Which Latin American country has the highest Human Development Index?	Which Latin American country has the best HDI?
http://qawiki.org/entity/Q311	What is the motto of the Jesuits?	What is the Jesuit motto?
http://qawiki.org/entity/Q311	What is the motto of the Jesuits?	What is the motto of the Society of Jesus?
http://qawiki.org/entity/Q312	Which popes were married?	Which popes had spouses?
http://qawiki.org/entity/Q312	Which popes were married?	Which popes had wives?
http://qawiki.org/entity/Q313	What poets were Holocaust victims?	Which Holocaust victims were poets?
http://qawiki.org/entity/Q313	What poets were Holocaust victims?	Which victims of the Holocaust were poets?
http://qawiki.org/entity/Q314	How many dwarf planets orbit the Sun?	How many dwarf planets are in the Solar System?
http://qawiki.org/entity/Q315	What proteins are involved in retina homeostasis?	Which proteins play a role in retina homeostasis?
http://qawiki.org/entity/Q316	How heavy is a baseball?	How much does a baseball weigh?
http://qawiki.org/entity/Q316	How heavy is a baseball?	What is the mass of a baseball?
http://qawiki.org/entity/Q317	Which movies were directed by alumni of the University of Bergen?	What films were directed by ex-students of the University of Bergen
http://qawiki.org/entity/Q317	Which movies were directed by alumni of the University of Bergen?	What movies have directors who studied at the University of Bergen?
http://qawiki.org/entity/Q318	What documentaries are about whaling?	List whaling documentaries
http://qawiki.org/entity/Q318	What documentaries are about whaling?	What documentary movies deal with whaling?
http://qawiki.org/entity/Q319	Who stars in Sharknado?	Which actors appear in Sharknado?
http://qawiki.org/entity/Q319	Who stars in Sharknado?	Who acts in Sharknado?
http://qawiki.org/entity/Q320	What movies were directed by Mira Nair?	What films has Mira Nair directed?
http://qawiki.org/entity/Q485	When did the Kangi famine start?	When did the Kanki famine begin?
http://qawiki.org/entity/Q486	When did the Kangi famine start and end?	When did the Kangi famine take place?
http://qawiki.org/entity/Q486	When did the Kangi famine start and end?	When did the Kanki famine begin and end?
http://qawiki.org/entity/Q487	Has there been a female president of Chile?	Has a woman been president of Chile?
http://qawiki.org/entity/Q487	Has there been a female president of Chile?	Has Chile had a female president?
http://qawiki.org/entity/Q488	Who was the first female president of Chile?	Who was the first woman to be president of Chile?
http://qawiki.org/entity/Q489	What is the tallest mons on Venus?	What is the highest mons on Venus?
http://qawiki.org/entity/Q603	Which species endemic to Chile are not endangered?	Which species only found in Chile are not endangered?
