dataset	source_id	question_id	question	gold_answer	confidence	agreeing_models	available_models	selected_from
LC-QuAD	28	Q4	What books were made into a single Harry Potter movie?	"[""Harry Potter and the Philosopher's Stone"", ""Harry Potter and the Chamber of Secrets"", ""Harry Potter and the Prisoner of Azkaban"", ""Harry Potter and the Goblet of Fire"", ""Harry Potter and the Order of the Phoenix"", ""Harry Potter and the Half-Blood Prince""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	37	Q1	What songs are on the tracklist of Led Zeppelin IV?	"[""Black Dog"", ""Rock and Roll"", ""The Battle of Evermore"", ""Stairway to Heaven"", ""Misty Mountain Hop"", ""Four Sticks"", ""Going to California"", ""When the Levee Breaks""]"	3	GPT-5,GPT-o3,DeepSeek-R	5	GPT-5
LC-QuAD	37	Q2	Which tracks are on Led Zeppelin IV?	"[""Black Dog"", ""Rock and Roll"", ""The Battle of Evermore"", ""Stairway to Heaven"", ""Misty Mountain Hop"", ""Four Sticks"", ""Going to California"", ""When the Levee Breaks""]"	2	GPT-5,GPT-o3	5	GPT-5
LC-QuAD	37	Q3	What songs on the tracklist of Led Zeppelin IV were released as singles?	"[""Black Dog"", ""Rock and Roll""]"	2	GPT-5,GPT-o3	4	GPT-5
LC-QuAD	37	Q4	What songs on the tracklist of Led Zeppelin IV were not released as singles?	"[""The Battle of Evermore"", ""Stairway to Heaven"", ""Misty Mountain Hop"", ""Four Sticks"", ""Going to California"", ""When the Levee Breaks""]"	2	GPT-5,DeepSeek-R	4	GPT-5
LC-QuAD	39	Q1	Which planets were portrayed in Star Wars Episode V: The Empire Strikes Back?	"[""Hoth"", ""Dagobah"", ""Bespin""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	39	Q2	In Star Wars Episode V: The Empire Strikes Back, which planets were depicted?	"[""Hoth"", ""Dagobah"", ""Bespin""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	39	Q3	Which gas giants were portrayed in Star Wars Episode V: The Empire Strikes Back?	"[""Bespin""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	39	Q4	Which planets portrayed in Star Wars Episode V: The Empire Strikes Back are not gas giants?	"[""Hoth"", ""Dagobah""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	52	Q1	List all the states in India.	"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	52	Q2	What are the states of India?	"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	52	Q3	List all the states in India with a one-word English name.	"[""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Telangana"", ""Tripura"", ""Uttarakhand""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
LC-QuAD	52	Q4	List all the states in India with a mutli-word English name.	"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Himachal Pradesh"", ""Madhya Pradesh"", ""Tamil Nadu"", ""Uttar Pradesh"", ""West Bengal""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
LC-QuAD	61	Q1	What complete and incomplete operas has Claude Debussy composed?	"[""Pelléas et Mélisande"", ""Rodrigue et Chimène"", ""Le diable dans le beffroi"", ""La chute de la maison Usher""]"	1	GPT-5	4	GPT-5
LC-QuAD	61	Q2	Which operas were composed by Claude Debussy, including incomplete operas?	"[""Pelléas et Mélisande"", ""Rodrigue et Chimène"", ""Le diable dans le beffroi"", ""La chute de la maison Usher""]"	1	GPT-5	4	GPT-5
LC-QuAD	61	Q3	Which completed operas did Claude Debussy compose?	"[""Pelléas et Mélisande""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	61	Q4	Which incompleted operas did Claude Debussy compose?	"[""Rodrigue et Chimène"", ""Le Diable dans le beffroi"", ""La Chute de la maison Usher""]"	3	GPT-5,GPT-o3,DeepSeek-R	4	GPT-5
LC-QuAD	63	Q1	What generic drugs are Integrase Strand Transfer Inhibitors?	"[""Raltegravir"", ""Elvitegravir"", ""Dolutegravir"", ""Bictegravir"", ""Cabotegravir""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
LC-QuAD	63	Q2	What generic drugs are INSTIs?	"[""bictegravir"", ""cabotegravir"", ""dolutegravir"", ""elvitegravir"", ""raltegravir""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
LC-QuAD	63	Q3	What generic INSTI drugs have long-acting injectables available?	"[""cabotegravir""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
LC-QuAD	63	Q4	What generic INSTI drugs do not have long-acting injectables available?	"[""raltegravir"", ""elvitegravir"", ""dolutegravir"", ""bictegravir""]"	2	GPT-5,DeepSeek-R	5	GPT-5
LC-QuAD	69	Q1	"For which categories was ""Crouching Tiger, Hidden Dragon"" nominated at the 73rd Academy Awards?"	"[""Best Picture"", ""Best Director"", ""Best Adapted Screenplay"", ""Best Foreign Language Film"", ""Best Cinematography"", ""Best Art Direction"", ""Best Costume Design"", ""Best Original Score"", ""Best Original Song"", ""Best Film Editing""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
LC-QuAD	69	Q2	"What was ""Crouching Tiger, Hidden Dragon"" nominated for at the 73rd Academy Awards?"	"[""Best Picture"", ""Best Director"", ""Best Adapted Screenplay"", ""Best Cinematography"", ""Best Art Direction"", ""Best Costume Design"", ""Best Film Editing"", ""Best Original Score"", ""Best Original Song"", ""Best Foreign Language Film""]"	3	GPT-5,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
LC-QuAD	69	Q3	"For which musical categories was ""Crouching Tiger, Hidden Dragon"" nominated at the 73rd Academy Awards?"	"[""Best Original Score"", ""Best Original Song""]"	4	GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-o3
LC-QuAD	69	Q4	"For which non-musical categories was ""Crouching Tiger, Hidden Dragon"" nominated at the 73rd Academy Awards?"	"[""Best Picture"", ""Best Director"", ""Best Adapted Screenplay"", ""Best Cinematography"", ""Best Art Direction"", ""Best Costume Design"", ""Best Film Editing"", ""Best Foreign Language Film""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
LC-QuAD	80	Q1	What military ranks have the NATO grade OF-8?	"[""Lieutenant General"", ""Vice Admiral"", ""Air Marshal""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
LC-QuAD	80	Q2	What military ranks correspond to the NATO grade OF-8?	"[""Lieutenant General"", ""Vice Admiral"", ""Air Marshal""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
LC-QuAD	80	Q3	What navy ranks have the NATO grade OF-8?	"[""Vice Admiral""]"	1	GPT-5	4	GPT-5
LC-QuAD	80	Q4	What non-navy ranks have the NATO grade OF-8?	"[""Lieutenant General"", ""Air Marshal""]"	1	GPT-5	4	GPT-5
LC-QuAD	111	Q1	What are the institutions of the European Union?	"[""European Parliament"", ""European Council"", ""Council of the European Union"", ""European Commission"", ""Court of Justice of the European Union"", ""European Central Bank"", ""European Court of Auditors""]"	4	GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-o3
LC-QuAD	111	Q2	What are the E.U.'s institutions?	"[""European Parliament"", ""European Council"", ""Council of the European Union"", ""European Commission"", ""Court of Justice of the European Union"", ""European Central Bank"", ""European Court of Auditors""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
LC-QuAD	111	Q3	What are the legislative institutions of the European Union?	"[""European Parliament"", ""Council of the European Union""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	5	GPT-5
LC-QuAD	111	Q4	What institutions of the European Union are not legislative?	"[""European Commission"", ""European Council"", ""Court of Justice of the European Union"", ""European Central Bank"", ""European Court of Auditors""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
LC-QuAD	120	Q1	What are the top 10 largest cities by population in the European Union currently?	"[""Berlin"", ""Madrid"", ""Rome"", ""Paris"", ""Vienna"", ""Hamburg"", ""Warsaw"", ""Bucharest"", ""Budapest"", ""Barcelona""]"	1	GPT-5	4	GPT-5
LC-QuAD	120	Q2	What are the ten most populous cities in the EU currently?	"[""Berlin"", ""Madrid"", ""Rome"", ""Paris"", ""Vienna"", ""Hamburg"", ""Warsaw"", ""Bucharest"", ""Budapest"", ""Barcelona""]"	2	GPT-5,GPT-5-mini	4	GPT-5
LC-QuAD	120	Q3	Which of the current top 10 largest cities by population in the European Union are capital cities?	"[""Berlin"", ""Madrid"", ""Rome"", ""Paris"", ""Vienna"", ""Warsaw"", ""Budapest"", ""Bucharest""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
LC-QuAD	120	Q4	Which of the current top 10 largest cities by population in the European Union are not capital cities?	"[""Hamburg"", ""Barcelona""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	4	GPT-5
LC-QuAD	121	Q1	What island nations are members of the African Union?	"[""Madagascar"", ""Mauritius"", ""Seychelles"", ""Comoros"", ""Cabo Verde"", ""Sao Tome and Principe""]"	2	GPT-5,GPT-5-mini	5	GPT-5
LC-QuAD	121	Q2	Which members of the African Union are islands?	"[""Cabo Verde"", ""Comoros"", ""Madagascar"", ""Mauritius"", ""Sao Tome and Principe"", ""Seychelles""]"	2	GPT-5,GPT-o3	5	GPT-5
LC-QuAD	121	Q3	What island nations in the Indian Ocean are members of the African Union?	"[""Madagascar"", ""Mauritius"", ""Comoros"", ""Seychelles""]"	3	GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5-mini
LC-QuAD	121	Q4	What island nations are members of the African Union excluding those in the Indian Ocean?	"[""Cabo Verde"", ""Sao Tome and Principe""]"	2	GPT-o3,GPT-5-mini	5	GPT-o3
LC-QuAD	124	Q1	What are the capital cities of countries in North America?	"[""Saint John's"", ""Nassau"", ""Bridgetown"", ""Belmopan"", ""Ottawa"", ""San José"", ""Havana"", ""Roseau"", ""Santo Domingo"", ""San Salvador"", ""Saint George's"", ""Guatemala City"", ""Port-au-Prince"", ""Tegucigalpa"", ""Kingston"", ""Mexico City"", ""Managua"", ""Panama City"", ""Basseterre"", ""Castries"", ""Kingstown"", ""Port of Spain"", ""Washington, District of Columbia""]"	2	GPT-5,Gemini-2.5-pro	5	GPT-5
LC-QuAD	124	Q2	What are the North American national capitals?	"[""Ottawa"", ""Washington, District of Columbia"", ""Mexico City"", ""Guatemala City"", ""Belmopan"", ""San Salvador"", ""Tegucigalpa"", ""Managua"", ""San José"", ""Panama City"", ""Nassau"", ""Havana"", ""Kingston"", ""Port-au-Prince"", ""Santo Domingo"", ""Basseterre"", ""Saint John's"", ""Roseau"", ""Castries"", ""Kingstown"", ""Bridgetown"", ""Saint George's"", ""Port of Spain""]"	2	GPT-5,Gemini-2.5-pro	5	GPT-5
LC-QuAD	124	Q3	What are the capital cities of countries in North America that are in NATO?	"[""Ottawa"", ""Washington, District of Columbia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	124	Q4	What are the capital cities of countries in North America that are not in NATO?	"[""Saint John's"", ""Nassau"", ""Bridgetown"", ""Belmopan"", ""San José"", ""Havana"", ""Roseau"", ""Santo Domingo"", ""San Salvador"", ""Saint George's"", ""Guatemala City"", ""Port-au-Prince"", ""Tegucigalpa"", ""Kingston"", ""Mexico City"", ""Managua"", ""Panama City"", ""Basseterre"", ""Castries"", ""Kingstown"", ""Port of Spain""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	125	Q1	What sports were featured in the Summer Olympics for the first or second time in 2024?	"[""Breaking"", ""Skateboarding"", ""Sport climbing"", ""Surfing""]"	3	GPT-5,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	125	Q2	What sports that were part of the 2024 Summer Olympics appeared at most once before?	"[""Breaking"", ""Skateboarding"", ""Sport climbing"", ""Surfing""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	125	Q3	What sports were featured in the Summer Olympics for the first time in 2024?	"[""Breaking""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	125	Q4	What sports were featured in the Summer Olympics for the second time in 2024?	"[""Skateboarding"", ""Sport climbing"", ""Surfing""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
LC-QuAD	132	Q1	What are the federal states of the United States?	"[""Alabama"", ""Alaska"", ""Arizona"", ""Arkansas"", ""California"", ""Colorado"", ""Connecticut"", ""Delaware"", ""Florida"", ""Georgia"", ""Hawaii"", ""Idaho"", ""Illinois"", ""Indiana"", ""Iowa"", ""Kansas"", ""Kentucky"", ""Louisiana"", ""Maine"", ""Maryland"", ""Massachusetts"", ""Michigan"", ""Minnesota"", ""Mississippi"", ""Missouri"", ""Montana"", ""Nebraska"", ""Nevada"", ""New Hampshire"", ""New Jersey"", ""New Mexico"", ""New York"", ""North Carolina"", ""North Dakota"", ""Ohio"", ""Oklahoma"", ""Oregon"", ""Pennsylvania"", ""Rhode Island"", ""South Carolina"", ""South Dakota"", ""Tennessee"", ""Texas"", ""Utah"", ""Vermont"", ""Virginia"", ""Washington"", ""West Virginia"", ""Wisconsin"", ""Wyoming""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	132	Q2	Which federal states are in the US?	"[""Alabama"", ""Alaska"", ""Arizona"", ""Arkansas"", ""California"", ""Colorado"", ""Connecticut"", ""Delaware"", ""Florida"", ""Georgia"", ""Hawaii"", ""Idaho"", ""Illinois"", ""Indiana"", ""Iowa"", ""Kansas"", ""Kentucky"", ""Louisiana"", ""Maine"", ""Maryland"", ""Massachusetts"", ""Michigan"", ""Minnesota"", ""Mississippi"", ""Missouri"", ""Montana"", ""Nebraska"", ""Nevada"", ""New Hampshire"", ""New Jersey"", ""New Mexico"", ""New York"", ""North Carolina"", ""North Dakota"", ""Ohio"", ""Oklahoma"", ""Oregon"", ""Pennsylvania"", ""Rhode Island"", ""South Carolina"", ""South Dakota"", ""Tennessee"", ""Texas"", ""Utah"", ""Vermont"", ""Virginia"", ""Washington"", ""West Virginia"", ""Wisconsin"", ""Wyoming""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	132	Q3	What federal states of the United States have only one word in their name?	"[""Alabama"", ""Alaska"", ""Arizona"", ""Arkansas"", ""California"", ""Colorado"", ""Connecticut"", ""Delaware"", ""Florida"", ""Georgia"", ""Hawaii"", ""Idaho"", ""Illinois"", ""Indiana"", ""Iowa"", ""Kansas"", ""Kentucky"", ""Louisiana"", ""Maine"", ""Maryland"", ""Massachusetts"", ""Michigan"", ""Minnesota"", ""Mississippi"", ""Missouri"", ""Montana"", ""Nebraska"", ""Nevada"", ""Ohio"", ""Oklahoma"", ""Oregon"", ""Pennsylvania"", ""Tennessee"", ""Texas"", ""Utah"", ""Vermont"", ""Virginia"", ""Washington"", ""Wisconsin"", ""Wyoming""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	132	Q4	What federal states of the United States have multiple words in their name?	"[""New Hampshire"", ""New Jersey"", ""New Mexico"", ""New York"", ""North Carolina"", ""North Dakota"", ""Rhode Island"", ""South Carolina"", ""South Dakota"", ""West Virginia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	136	Q1	Which operas of Giuseppe Verdi debuted at Teatro La Fenice?	"[""Ernani"", ""Attila"", ""Rigoletto"", ""La Traviata"", ""Simon Boccanegra""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	136	Q2	Which Verdi operas were premiered at Teatro La Fenice?	"[""Ernani"", ""Attila"", ""Rigoletto"", ""La Traviata"", ""Simon Boccanegra""]"	3	GPT-5,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	136	Q3	Which operas of Giuseppe Verdi based on works by Victor Hugo debuted at Teatro La Fenice?	"[""Ernani"", ""Rigoletto""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	136	Q4	Which operas of Giuseppe Verdi not based on works by Victor Hugo debuted at Teatro La Fenice?	"[""Attila"", ""La traviata"", ""Simon Boccanegra""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
LC-QuAD	143	Q1	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in March or April?	"[""2000"", ""2001"", ""2002"", ""2003"", ""2004"", ""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	143	Q2	Which years between 2000 and 2020, inclusive, had Western Easter Sunday in March or April?	"[""2000"", ""2001"", ""2002"", ""2003"", ""2004"", ""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	143	Q3	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in March?	"[""2002"", ""2005"", ""2008"", ""2013"", ""2016""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	143	Q4	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in April?	"[""2000"", ""2001"", ""2003"", ""2004"", ""2006"", ""2007"", ""2009"", ""2010"", ""2011"", ""2012"", ""2014"", ""2015"", ""2017"", ""2018"", ""2019"", ""2020""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	149	Q1	Which Pokémon can evolve directly or indirectly from Pichu?	"[""Pikachu"", ""Raichu"", ""Alolan Raichu""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	149	Q2	Which Pokémon evolve directly or transitively from Pichu?	"[""Pikachu"", ""Raichu"", ""Alolan Raichu""]"	2	GPT-5-mini,Gemini-2.5-pro	5	GPT-5-mini
LC-QuAD	149	Q3	Which Pokémon can evolve directly from Pichu?	"[""Pikachu""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
LC-QuAD	149	Q4	Which Pokémon can evolve indirectly from Pichu but not directly?	"[""Raichu"", ""Alolan Raichu""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	1	Q1	In which countries is Elon Musk a citizen?	"[""South Africa"", ""Canada"", ""United States of America""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	1	Q2	What citizenships does Elon Musk hold?	"[""South Africa"", ""Canada"", ""United States of America""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	1	Q3	In which countries is Elon Musk a naturalized citizen?	"[""United States of America""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	1	Q4	In which countries is Elon Musk a citizen but not through naturalization?	"[""South Africa"", ""Canada""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	3	Q1	In which movies did Al Pacino and Robert de Niro appear together?	"[""The Godfather Part 2"", ""Heat"", ""Righteous Kill"", ""The Irishman""]"	2	GPT-5,Gemini-2.5-pro	5	GPT-5
qawiki	3	Q2	In which films do Pacino and de Niro costar?	"[""The Godfather Part 2"", ""Heat"", ""Righteous Kill"", ""The Irishman""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	3	Q3	In which movies directed by Scorsese did Al Pacino and Robert de Niro appear together?	"[""The Irishman""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	3	Q4	In which movies not directed by Scorsese did Al Pacino and Robert de Niro appear together?	"[""The Godfather Part 2"", ""Heat"", ""Righteous Kill""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	5	Q1	Kim Deal played with which bands?	"[""Pixies"", ""The Breeders"", ""The Amps""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	5	Q2	With which music groups did Kim Deal play?	"[""Pixies"", ""The Breeders"", ""The Amps""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	5	Q3	Kim Deal played in which bands without Black Francis?	"[""The Breeders"", ""The Amps""]"	2	GPT-5,GPT-o3	4	GPT-5
