usparql	Q1	Q2	Q3	Q4	type	Q1Ans	Q2Ans	Q2SAns	Q4Ans	Q3Ans
no_usparql_231	What movies are in the Star Wars series?	What are the movies in the Star Wars series?	What are the Star Wars series movies released before 2000?	What are the Star Wars series movies released on or after 2000?		['Star Wars Episode I: The Phantom Menace', 'Star Wars Episode II: Attack of the Clones', 'Star Wars Episode III: Revenge of the Sith', 'Star Wars Episode IV: A New Hope', 'Star Wars Episode V: The Empire Strikes Back', 'Star Wars Episode VI: Return of the Jedi', 'Star Wars Episode VII: The Force Awakens', 'Star Wars Episode VIII: The Last Jedi', 'Star Wars Episode IX: The Rise of Skywalker', 'Rogue One: A Star Wars Story', 'Solo: A Star Wars Story']	['Star Wars Episode I: The Phantom Menace', 'Star Wars Episode II: Attack of the Clones', 'Star Wars Episode III: Revenge of the Sith', 'Star Wars Episode IV: A New Hope', 'Star Wars Episode V: The Empire Strikes Back', 'Star Wars Episode VI: Return of the Jedi', 'Star Wars Episode VII: The Force Awakens', 'Star Wars Episode VIII: The Last Jedi', 'Star Wars Episode IX: The Rise of Skywalker', 'Rogue One: A Star Wars Story', 'Solo: A Star Wars Story']		['Star Wars Episode II Attack of the Clones', 'Star Wars Episode III Revenge of the Sith', 'Star Wars Episode VII The Force Awakens', 'Star Wars Episode VIII The Last Jedi', 'Star Wars Episode IX The Rise of Skywalker']	['Star Wars Episode IV: A New Hope', 'Star Wars Episode V: The Empire Strikes Back', 'Star Wars Episode VI: Return of the Jedi', 'Star Wars Episode I: The Phantom Menace']
no_usparql_237	What instruments did Louis Armstrong play?	Which instruments were played by Louis Armstrong?	What brass instruments did Louis Armstrong play?	What non-brass instruments did Louis Armstrong play?		['Trumpet', 'Cornet', 'Voice']	['Trumpet', 'Cornet', 'Voice']		['Vocals', 'Piano']	['Trumpet', 'Cornet']
no_usparql_263	What notes make up a C major chord?	Which notes comprise a C major chord?	What root notes are in a C major chord?	What non-root notes make up a C major chord?		['C', 'E', 'G']	['C', 'E', 'G']		['E', 'G']	['C']
no_usparql_269	Who created the OA?	The OA is created by whom?	Which creator of The OA also played a cast role in it?	Which creator of The OA did not play a cast role in it?		['Brit Marling', 'Zal Batmanglij']	['Brit Marling', 'Zal Batmanglij']		['Zal Batmanglij']	['Brit Marling']
no_usparql_270	What albums has Atif Aslam appeared in?	Which albums feature Atif Aslam?	What solo albums has Atif Aslam released?	What non-solo albums has Atif Aslam contributed to?		['Jal Pari', 'Doorie', 'Meri Kahani', 'Race', 'Race 2', 'Prince', 'Kismat Konnection', 'Ajab Prem Ki Ghazab Kahani', 'Tera Hone Laga Hoon', 'Badlapur', 'Tiger Zinda Hai', 'Baaghi 2', 'Kabir Singh', 'Tera Ban Jaunga', 'Marjaavaan', 'Love Aaj Kal']	['Jal Pari', 'Doorie', 'Meri Kahani', 'Race', 'Race 2', 'Prince', 'Kismat Konnection', 'Ajab Prem Ki Ghazab Kahani', 'Tera Hone Laga Hoon', 'Badlapur', 'Tiger Zinda Hai', 'Baaghi 2', 'Kabir Singh', 'Tera Ban Jaunga', 'Marjaavaan', 'Love Aaj Kal']		['Coke Studio Sessions', 'Various Bollywood film soundtracks']	['Jal Pari', 'Doorie', 'Meri Kahani']
no_usparql_328	Which American presidents had fathers who were also American presidents?	Which U.S. presidents had fathers who were also U.S. presidents?	Which American presidents had fathers who were also American presidents for the same party?	Which American presidents had fathers who were also American presidents but for a different party?		['John Quincy Adams', 'George Walker Bush']	['John Quincy Adams', 'George Walker Bush']		['John Quincy Adams']	['John Quincy Adams', 'George Walker Bush']
no_usparql_345	To which art movements is the painting “Les Demoiselles d'Avignon” assigned?	To which art movements does the painting “Les Demoiselles d'Avignon” belong?	To which Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?	To which non-Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?		['Cubism', 'Modernism', 'Proto-Cubism', 'Primitivism']	['Cubism', 'Modernism', 'Proto-Cubism', 'Primitivism']		['Primitivism', 'Modernism']	['Proto-Cubism', 'Cubism']
no_usparql_346	Which movies belong to the Cornetto trilogy?	What are the movies that make up the Cornetto trilogy?	Which movies in the Cornetto trilogy star Lucy Davis?	Which movies in the Cornetto trilogy do not star Lucy Davis?		"['Shaun of the Dead', 'Hot Fuzz', ""The World's End""]"	"['Shaun of the Dead', 'Hot Fuzz', ""The World's End""]"		"['Hot Fuzz', ""The World's End""]"	['Shaun of the Dead']
no_usparql_350	Which movies were directed by Thomas Vinterberg?	Which films were directed by Thomas Vinterberg?	Which movies directed by Thomas Vinterberg also starred Mads Mikkelsen?	Which movies directed by Thomas Vinterberg did not star Mads Mikkelsen?		"['The Celebration', 'The Hunt', 'Another Round', 'Submarino', 'Dear Wendy', 'Far from the Madding Crowd', 'The Commune', ""It's All About Love"", 'The Biggest Heroes', 'When a Man Comes Home']"	"['The Celebration', 'The Hunt', 'Another Round', 'Submarino', 'Dear Wendy', 'Far from the Madding Crowd', 'The Commune', ""It's All About Love"", 'The Biggest Heroes', 'When a Man Comes Home']"		['The Celebration', 'The Commune', 'Dear Wendy', 'Submarino', 'It’s All About Love', 'The Biggest Heroes']	['The Hunt', 'Another Round']
no_usparql_358	Which teams participated in the 2020 UEFA Champions League Final ?	What teams took part in the 2020 UEFA Champions League Final?	Which team won the 2020 UEFA Champions League Final?	Which team lost the 2020 UEFA Champions League Final?		['Paris Saint Germain Football Club', 'Football Club Bayern Munich']	['Paris Saint Germain Football Club', 'Football Club Bayern Munich']		['Paris Saint Germain Football Club']	['Football Club Bayern Munich']
no_usparql_362	Who are the actresses in Portrait of a Lady on Fire?	Which actresses appear in Portrait of a Lady on Fire?	Which actresses play a named character in Portrait of a Lady on Fire?	Which actresses in Portrait of a Lady on Fire do not play a named character?		['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']	['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']			['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']
no_usparql_462	What countries does Germany share borders with?	Which countries border Germany?	What countries does Germany border that have German as an official language?	What countries does Germany border that do not have German as an official language?		['Denmark', 'Poland', 'Czech Republic', 'Austria', 'Switzerland', 'France', 'Luxembourg', 'Belgium', 'Netherlands']	['Denmark', 'Poland', 'Czech Republic', 'Austria', 'Switzerland', 'France', 'Luxembourg', 'Belgium', 'Netherlands']		['Denmark', 'Poland', 'Czech Republic', 'France', 'Belgium', 'Netherlands']	['Austria', 'Switzerland', 'Luxembourg']
no_usparql_493	What movies did Taylor Lautner star in?	In which films did Taylor Lautner star?	What movies did Taylor Lautner star in that were released before 2010?	What movies did Taylor Lautner star in that were released on or after 2010?		"['The Adventures of Sharkboy and Lavagirl in 3-D', 'Cheaper by the Dozen 2', 'Twilight', 'The Twilight Saga: New Moon', ""Valentine's Day"", 'The Twilight Saga: Eclipse', 'Abduction', 'The Twilight Saga: Breaking Dawn – Part 1', 'The Twilight Saga: Breaking Dawn – Part 2', 'Grown Ups 2', 'Tracers', 'Run the Tide', 'The Ridiculous 6', 'Home Team']"	"['The Adventures of Sharkboy and Lavagirl in 3-D', 'Cheaper by the Dozen 2', 'Twilight', 'The Twilight Saga: New Moon', ""Valentine's Day"", 'The Twilight Saga: Eclipse', 'Abduction', 'The Twilight Saga: Breaking Dawn – Part 1', 'The Twilight Saga: Breaking Dawn – Part 2', 'Grown Ups 2', 'Tracers', 'Run the Tide', 'The Ridiculous 6', 'Home Team']"		"[""Valentine's Day"", 'The Twilight Saga: Eclipse', 'Abduction', 'The Twilight Saga: Breaking Dawn – Part 1', 'The Twilight Saga: Breaking Dawn – Part 2', 'Grown Ups 2', 'Tracers', 'Run the Tide', 'The Ridiculous 6', 'Home Team']"	['The Twilight Saga: Twilight', 'The Twilight Saga: New Moon', 'The Adventures of Sharkboy and Lavagirl in 3-D', 'Cheaper by the Dozen 2']
no_usparql_512	What countries does the Niger river flow through?	Through which countries does the Niger River flow?	Through what landlocked countries does the Niger River flow?	Through what coastal countries does the Niger River flow?		['Guinea', 'Mali', 'Niger', 'Benin', 'Nigeria']	['Guinea', 'Mali', 'Niger', 'Benin', 'Nigeria']		['Benin', 'Nigeria']	['Mali', 'Niger']
no_usparql_514	What games did Bungie make?	Which games were developed by Bungie?	What first-person shooter games did Bungie develop?	What games other than first-person shooters did Bungie develop?		['Pathways into Darkness', 'Marathon', 'Marathon Two: Durandal', 'Marathon Infinity', 'Myth: The Fallen Lords', 'Myth Two: Soulblighter', 'Oni', 'Halo: Combat Evolved', 'Halo Two', 'Halo Three', 'Halo Three: ODST', 'Halo: Reach', 'Destiny', 'Destiny Two']	['Pathways into Darkness', 'Marathon', 'Marathon Two: Durandal', 'Marathon Infinity', 'Myth: The Fallen Lords', 'Myth Two: Soulblighter', 'Oni', 'Halo: Combat Evolved', 'Halo Two', 'Halo Three', 'Halo Three: ODST', 'Halo: Reach', 'Destiny', 'Destiny Two']		['Myth The Fallen Lords', 'Myth Two Soulblighter']	['Pathways into Darkness', 'Marathon', 'Marathon Two Durandal', 'Marathon Infinity', 'Halo Combat Evolved', 'Halo Two', 'Halo Three', 'Destiny', 'Destiny Two']
no_usparql_544	Who has been a senator from Utah?	Which senators have represented Utah?	Who have been Republican senators for Utah?	Who have been non-Republican senators for Utah?		['Orrin Hatch', 'Mitt Romney', 'Mike Lee', 'Frank Moss', 'Jake Garn', 'Arthur Vivian Watkins', 'Wallace Foster Bennett', 'Elbert Duncan Thomas', 'William Henry King', 'George Sutherland', 'Reed Smoot', 'Thomas Kearns', 'Joseph Lafayette Rawlins', 'Arthur Brown', 'Frank J. Cannon']	['Orrin Hatch', 'Mitt Romney', 'Mike Lee', 'Frank Moss', 'Jake Garn', 'Arthur Vivian Watkins', 'Wallace Foster Bennett', 'Elbert Duncan Thomas', 'William Henry King', 'George Sutherland', 'Reed Smoot', 'Thomas Kearns', 'Joseph Lafayette Rawlins', 'Arthur Brown', 'Frank J. Cannon']		['Frank J. Cannon', 'Thomas Kearns', 'William H. King', 'Elbert D. Thomas', 'Frank Moss']	['Arthur Brown', 'George Sutherland', 'Reed Smoot', 'Wallace F. Bennett', 'Jake Garn', 'Orrin Hatch', 'Bob Bennett', 'Mike Lee', 'Mitt Romney']
no_usparql_547	Who are the current senators from Illinois?	Which individuals currently serve as senators representing Illinois?	Who are the current non-Democratic senators from Illinois?	Who are the current Democratic senators from Illinois?		['Richard Joseph Durbin', 'Tammy Duckworth']	['Richard Joseph Durbin', 'Tammy Duckworth']		['Richard Joseph Durbin', 'Tammy Duckworth']	
no_usparql_553	What car models does GM make?	Which car models are produced by General Motors?	What electric car models does GM make?	What non-electric car models does GM make?		['Chevrolet', 'Buick', 'Cadillac', 'GMC', 'Holden', 'Baojun', 'Wuling', 'Alpheon', 'Jiefang', 'Opel', 'Vauxhall']	['Chevrolet', 'Buick', 'Cadillac', 'General Motors Truck Company', 'Holden', 'Baojun', 'Wuling', 'Alpheon', 'Jiefang', 'Opel', 'Vauxhall']		['Chevrolet Malibu', 'Chevrolet Camaro', 'Chevrolet Corvette', 'Chevrolet Traverse', 'Chevrolet Tahoe', 'Chevrolet Suburban', 'Chevrolet Colorado', 'Chevrolet Silverado', 'Buick Encore', 'Buick Enclave', 'Buick Envision', 'Cadillac CT4', 'Cadillac CT5', 'Cadillac Escalade', 'Cadillac XT4', 'Cadillac XT5', 'Cadillac XT6', 'GMC Acadia', 'GMC Terrain', 'GMC Yukon', 'GMC Sierra']	['Chevrolet Bolt Electric Utility Vehicle', 'Chevrolet Bolt Electric Vehicle', 'Chevrolet Blazer Electric Utility Vehicle', 'Chevrolet Equinox Electric Utility Vehicle', 'Cadillac LYRIQ', 'Cadillac CELESTIQ', 'GMC Hummer Electric Utility Vehicle', 'GMC Hummer Electric Pickup Truck', 'GMC Sierra Electric Pickup Truck']
no_usparql_563	What countries are on the Mediterranean Sea?	Which countries border the Mediterranean Sea?	What European countries have a coastline on the Mediterranean Sea?	What non-European countries have a coastline on the Mediterranean Sea?		['Spain', 'France', 'Monaco', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Montenegro', 'Albania', 'Greece', 'Turkey', 'Cyprus', 'Syria', 'Lebanon', 'Israel', 'Palestine', 'Egypt', 'Libya', 'Tunisia', 'Algeria', 'Morocco']	['Spain', 'France', 'Monaco', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Montenegro', 'Albania', 'Greece', 'Turkey', 'Cyprus', 'Syria', 'Lebanon', 'Israel', 'Palestine', 'Egypt', 'Libya', 'Tunisia', 'Algeria', 'Morocco']		['Turkey', 'Cyprus', 'Syria', 'Lebanon', 'Israel', 'Palestine', 'Egypt', 'Libya', 'Tunisia', 'Algeria', 'Morocco']	['Spain', 'France', 'Monaco', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Montenegro', 'Albania', 'Greece']
no_usparql_576	What cities are included in Maricopa County?	Which cities are located within Maricopa County?	What cities in Maricopa County have a population greater than 100,000?	What cities in Maricopa County have a population of 100,000 or less?		['Phoenix', 'Mesa', 'Chandler', 'Glendale', 'Scottsdale', 'Gilbert', 'Tempe', 'Peoria', 'Surprise', 'Avondale', 'Goodyear', 'Buckeye', 'El Mirage', 'Litchfield Park', 'Tolleson', 'Wickenburg', 'Youngtown', 'Queen Creek', 'Guadalupe', 'Gila Bend', 'Carefree', 'Cave Creek']	['Phoenix', 'Mesa', 'Chandler', 'Glendale', 'Scottsdale', 'Gilbert', 'Tempe', 'Peoria', 'Surprise', 'Avondale', 'Goodyear', 'Buckeye', 'El Mirage', 'Litchfield Park', 'Tolleson', 'Wickenburg', 'Youngtown', 'Queen Creek', 'Guadalupe', 'Gila Bend', 'Carefree', 'Cave Creek']		['Avondale', 'Goodyear', 'Buckeye', 'Apache Junction', 'El Mirage', 'Fountain Hills', 'Paradise Valley', 'Tolleson', 'Litchfield Park', 'Youngtown', 'Queen Creek', 'Gila Bend', 'Wickenburg', 'Cave Creek', 'Carefree', 'Guadalupe']	['Phoenix', 'Mesa', 'Chandler', 'Glendale', 'Scottsdale', 'Gilbert', 'Tempe', 'Peoria', 'Surprise']
no_usparql_580	What characters does Todd Haberkorn voice in movies?	Which characters are voiced by Todd Haberkorn in movies?	What characters does Todd Haberkorn voice in non-Japanese films?	What characters does Todd Haberkorn voice in Japanese films?						
no_usparql_587	What albums did John Frusciante play on in any capacity?	On which albums did John Frusciante perform?	What solo albums did John Frusciante play on?	What non-solo albums did John Frusciante play on?		['Niandra LaDes and Usually Just a T-Shirt', 'Smile from the Streets You Hold', 'To Record Only Water for Ten Days', 'Shadows Collide with People', 'The Will to Death', 'Inside of Emptiness', 'Curtains', 'The Empyrean', 'PBX Funicular Intaglio Zone', 'Enclosure', 'Maya', 'Blood Sugar Sex Magik', 'Californication', 'By the Way', 'Stadium Arcadium', 'Mother’s Milk', 'The Getaway', 'Unlimited Love', 'Return of the Dream Canteen', 'A Sphere in the Heart of Silence', 'Automatic Writing', 'AW II', 'The Brown Bunny Soundtrack', 'The Empyrean', 'DC EP', 'The Will to Death', 'Ataxia II', 'Shadows Collide with People', 'Curtains', 'PBX Funicular Intaglio Zone', 'Enclosure', 'Maya']	['Niandra LaDes and Usually Just a T-Shirt', 'Smile from the Streets You Hold', 'To Record Only Water for Ten Days', 'Shadows Collide with People', 'The Will to Death', 'Inside of Emptiness', 'Curtains', 'The Empyrean', 'PBX Funicular Intaglio Zone', 'Enclosure', 'Maya', 'Blood Sugar Sex Magik', 'Californication', 'By the Way', 'Stadium Arcadium', 'Mother’s Milk', 'The Getaway', 'Unlimited Love', 'Return of the Dream Canteen', 'A Sphere in the Heart of Silence', 'Automatic Writing', 'AW II', 'The Brown Bunny Soundtrack', 'The Empyrean', 'DC EP', 'The Will to Death', 'Ataxia II', 'Shadows Collide with People', 'Curtains', 'PBX Funicular Intaglio Zone', 'Enclosure', 'Maya']			['Niandra LaDes and Usually Just a T-Shirt', 'Smile from the Streets You Hold', 'To Record Only Water for Ten Days', 'Shadows Collide with People', 'The Will to Death', 'Inside of Emptiness', 'Curtains', 'The Empyrean', 'PBX Funicular Intaglio Zone', 'Enclosure', 'Maya']
no_usparql_645	What dialects are spoken in the U.K.?	Which dialects are used in the United Kingdom?	What dialects are spoken in England?	What dialects are spoken in Scotland, Wales, and Northern Ireland?	1	['Received Pronunciation', 'Cockney', 'Estuary English', 'Scouse', 'Geordie', 'Yorkshire English', 'West Country English', 'Scottish English', 'Welsh English', 'Ulster English', 'Multicultural London English', 'Brummie', 'Mancunian', 'Cornish English', 'Northern Irish English']	['Received Pronunciation', 'Cockney', 'Estuary English', 'Scouse', 'Geordie', 'Yorkshire English', 'West Country English', 'Scottish English', 'Welsh English', 'Ulster English', 'Multicultural London English', 'Brummie', 'Mancunian', 'Cornish English', 'Northern Irish English']		['Scottish Gaelic', 'Scots', 'Ulster Scots', 'Welsh', 'Irish', 'Romani', 'Polari', 'Shelta']	['Received Pronunciation', 'Cockney', 'Estuary English', 'Scouse', 'Geordie', 'Yorkshire English', 'Brummie', 'West Country English', 'Cornish English', 'Manx English']
no_usparql_682	Which present-day countries use English as an official language?	Which contemporary countries have English as an official language?	Which present-day countries use English as their only official language?	Which present-day countries use English as one of their multiple official languages?		['United States of America', 'United Kingdom of Great Britain and Northern Ireland', 'Canada', 'Australia', 'New Zealand', 'Ireland', 'South Africa', 'India', 'Pakistan', 'Nigeria', 'Philippines', 'Singapore', 'Kenya', 'Uganda', 'Tanzania', 'Ghana', 'Zimbabwe', 'Zambia', 'Malawi', 'Botswana', 'Namibia', 'Sierra Leone', 'Liberia', 'Cameroon', 'Rwanda', 'Lesotho', 'Swaziland', 'Papua New Guinea', 'Solomon Islands', 'Fiji', 'Samoa', 'Vanuatu', 'Jamaica', 'Trinidad and Tobago', 'Barbados', 'Bahamas', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Grenada', 'Antigua and Barbuda', 'Saint Kitts and Nevis', 'Belize', 'Guyana', 'Mauritius', 'Seychelles', 'Malta', 'Dominica', 'Gambia', 'Sudan', 'South Sudan', 'Eswatini']	['United States of America', 'United Kingdom of Great Britain and Northern Ireland', 'Canada', 'Australia', 'New Zealand', 'Ireland', 'South Africa', 'India', 'Pakistan', 'Nigeria', 'Philippines', 'Singapore', 'Kenya', 'Uganda', 'Tanzania', 'Ghana', 'Zimbabwe', 'Zambia', 'Malawi', 'Botswana', 'Namibia', 'Sierra Leone', 'Liberia', 'Cameroon', 'Rwanda', 'Lesotho', 'Swaziland', 'Papua New Guinea', 'Solomon Islands', 'Fiji', 'Samoa', 'Vanuatu', 'Jamaica', 'Trinidad and Tobago', 'Barbados', 'Bahamas', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Grenada', 'Antigua and Barbuda', 'Saint Kitts and Nevis', 'Belize', 'Guyana', 'Mauritius', 'Seychelles', 'Malta', 'Dominica', 'Gambia', 'Sudan', 'South Sudan', 'Eswatini']		['Antigua and Barbuda', 'Australia', 'Botswana', 'Cameroon', 'Canada', 'Eswatini', 'Fiji', 'Gambia', 'Ghana', 'Guyana', 'India', 'Ireland', 'Kenya', 'Kiribati', 'Lesotho', 'Liberia', 'Malawi', 'Malta', 'Marshall Islands', 'Mauritius', 'Micronesia', 'Namibia', 'Nauru', 'New Zealand', 'Nigeria', 'Pakistan', 'Papua New Guinea', 'Philippines', 'Rwanda', 'Samoa', 'Seychelles', 'Sierra Leone', 'Singapore', 'Solomon Islands', 'South Africa', 'South Sudan', 'Sudan', 'Tanzania', 'Tonga', 'Tuvalu', 'Uganda', 'United Kingdom', 'Vanuatu', 'Zambia', 'Zimbabwe']	['Barbados', 'Bahamas', 'Jamaica', 'Trinidad and Tobago', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Grenada', 'Antigua and Barbuda', 'Saint Kitts and Nevis', 'Belize', 'Dominica', 'Guyana', 'Malta', 'Gambia', 'Sierra Leone', 'Liberia', 'Zimbabwe', 'Botswana', 'Zambia', 'Malawi', 'Uganda', 'South Sudan', 'Eswatini', 'Micronesia', 'Palau', 'Nauru', 'Tuvalu']
no_usparql_692	What are the official languages of Canada?	What languages are officially recognized in Canada?	What is the official language of Canada used by the majority of the population?	What are the official languages of Canada used by a minority of the population?  		['English', 'French']	['English', 'French']		['French']	['English']
no_usparql_701	Who were the Vice Presidents under Lincoln?	Who were the Vice Presidents of Lincoln?	Who was the Vice President under Abraham Lincoln during his first term?	Who was the Vice President under Abraham Lincoln during his second term?		['Hannibal Hamlin', 'Andrew Johnson']	['Hannibal Hamlin', 'Andrew Johnson']		['Andrew Johnson']	['Hannibal Hamlin']
no_usparql_753	Which countries does Egypt border?	Which countries share a border with Egypt?	What majority Arab countries does Egypt border?	What non-Arab majority countries does Egypt border?		['Libya', 'Sudan', 'Israel', 'Palestinian territories (Gaza Strip)']	['Libya', 'Sudan', 'Israel', 'Palestinian territories (Gaza Strip)']		['Israel']	['Libya', 'Sudan', 'Palestine']
no_usparql_788	Which countries border the Baltic sea?	What countries have coastlines along the Baltic Sea?	Which countries border the Baltic Sea and are members of the European Union?	Which countries border the Baltic Sea and are not members of the European Union?		['Denmark', 'Estonia', 'Finland', 'Germany', 'Latvia', 'Lithuania', 'Poland', 'Russia', 'Sweden']	['Denmark', 'Estonia', 'Finland', 'Germany', 'Latvia', 'Lithuania', 'Poland', 'Russia', 'Sweden']		['Russia']	['Denmark', 'Estonia', 'Finland', 'Germany', 'Latvia', 'Lithuania', 'Poland', 'Sweden']
