dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
LC-QuAD,classification,llama3.1:8b,0.1067,0.0733,0.0667,0.2667,0.6667,0.02,0.0133,0.0133,0.0133,0.5162,0.4449,0.1021,0.342,0.2071,0.1868,0.1681,,,,,,0.0,0.0,0.0,0.0,0.0133,0.1873,0.0,,,,,,,,,,,,,,,,,0.0022,0.0005,0.6128,0.0,0.8322,0.125
LC-QuAD,classification,mistral-small:24b,0.8333,0.5267,0.36,0.7867,0.8067,0.38,0.2933,0.2067,0.24,0.9206,0.811,0.1662,0.6194,0.5354,0.4164,0.454,,,,,,0.12,0.1267,0.1067,0.08,0.2467,0.4686,0.10835,,,,,,,,,,,,,,,,,0.0,0.0,0.9456,0.0,0.0,0.0
LC-QuAD,classification,o3,0.8,0.82,0.4933,0.92,0.92,0.7533,0.24,0.2933,0.26,0.9221,0.9227,0.0736,0.8414,0.5203,0.6088,0.5457,,,,,,0.1333,0.1067,0.1133,0.0867,0.2644,0.5583,0.11,,,,,,,,,,,,,,,,,0.0,0.0,0.0135,0.0,0.8491,0.0
LC-QuAD,fixing,deepseek-chat,0.7533,0.6733,0.84,0.92,0.9133,0.5867,0.48,0.5,0.5067,0.8787,0.9023,0.0774,0.7921,0.7292,0.7391,0.7598,,,,,,0.0733,0.08,0.16,0.1067,0.4956,0.7427,0.10500000000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,deepseek-reasoner,0.7467,0.7333,0.8733,0.92,0.9533,0.7,0.2533,0.2133,0.2067,0.8629,0.8984,0.0357,0.8266,0.5087,0.4976,0.5011,,,,,,0.0667,0.0467,0.0933,0.1,0.2244,0.5025,0.076675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.002,0.0
LC-QuAD,fixing,gemini-2.0-flash,0.78,0.7467,0.8,0.9133,0.96,0.7267,0.74,0.7533,0.7067,0.8033,0.905,0.0207,0.8501,0.8415,0.8587,0.8225,,,,,,0.0133,0.0067,0.0267,0.0733,0.7333,0.8409,0.030000000000000002,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gemini-2.5-flash,0.9333,0.8933,0.92,0.92,0.9533,0.8667,0.6133,0.5867,0.6133,0.9594,0.9124,0.0422,0.8381,0.7125,0.7154,0.7205,,,,,,0.06,0.0333,0.0733,0.1,0.6044,0.7161,0.06665,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0012,0.0
LC-QuAD,fixing,gemini-2.5-pro,0.8467,0.8533,0.8733,0.96,0.98,0.84,0.46,0.5,0.4733,0.9129,0.9283,0.02,0.8819,0.7211,0.7348,0.7272,,,,,,0.06,0.02,0.02,0.08,0.4778,0.7277,0.045,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-2025-04-14,0.7467,0.7467,0.9067,0.9333,0.9467,0.72,0.2667,0.3,0.28,0.8879,0.912,0.0262,0.8538,0.5491,0.564,0.5545,,,,,,0.06,0.06,0.0867,0.0933,0.2822,0.5559,0.075,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-mini-2025-04-14,0.7133,0.6867,0.8533,0.9267,0.8733,0.6467,0.2,0.2067,0.2267,0.8546,0.8392,0.095,0.7683,0.4791,0.4949,0.4897,,,,,,0.0733,0.0667,0.1733,0.14,0.2111,0.4879,0.11332500000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-4.1-nano-2025-04-14,0.4,0.2467,0.4933,0.5733,0.66,0.2,0.1533,0.14,0.1733,0.5398,0.479,0.2178,0.3423,0.2979,0.2723,0.2998,,,,,,0.1733,0.2067,0.3667,0.2,0.1555,0.29,0.23667500000000002,,,,,,,,,,,,,,,,,0.0,0.0002,0.0043,0.0,0.6482,0.0
LC-QuAD,fixing,gpt-4o,0.8067,0.78,0.8467,0.9333,0.6133,0.4267,0.5,0.5333,0.4933,0.8748,0.8765,0.3746,0.5192,0.6382,0.6597,0.6358,,,,,,0.4267,0.4133,0.5267,0.4667,0.5089,0.6446,0.45835000000000004,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-5,0.9133,0.8133,0.9,0.9733,0.8333,0.6467,0.58,0.6333,0.58,0.9735,0.883,0.1667,0.7202,0.7525,0.7685,0.7207,,,,,,0.36,0.3533,0.3467,0.3933,0.5978,0.7472,0.363325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0392,0.0
LC-QuAD,fixing,gpt-5-mini,0.8933,0.74,0.88,0.94,0.64,0.4067,0.7,0.7,0.7133,0.9251,0.839,0.36,0.4909,0.7767,0.7796,0.8016,,,,,,0.6,0.6,0.5867,0.5867,0.7044,0.786,0.59335,,,,,,,,,,,,,,,,,0.0,0.0006,0.0,0.0,0.0,0.0
LC-QuAD,fixing,gpt-5-nano,0.8533,0.76,0.82,0.96,0.6733,0.4467,0.68,0.6333,0.6467,0.9023,0.8544,0.3157,0.4926,0.767,0.7298,0.7442,,,,,,0.5533,0.5,0.4867,0.5933,0.6533,0.747,0.533325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0023,0.0
LC-QuAD,fixing,gpt-oss:20b,0.5,0.6133,0.7333,0.94,0.9133,0.5533,0.1733,0.22,0.18,0.6872,0.8242,0.0785,0.7085,0.3697,0.4278,0.3827,,,,,,0.1733,0.1267,0.18,0.2867,0.1911,0.3934,0.191675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0063,0.0
LC-QuAD,fixing,grok-3-mini,0.8867,0.8733,0.92,0.98,0.9333,0.8067,0.3333,0.3467,0.3533,0.9336,0.9399,0.0604,0.7685,0.5558,0.5593,0.588,,,,,,0.1533,0.14,0.1533,0.2267,0.3444,0.5677,0.168325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0466,0.0
LC-QuAD,fixing,llama3.1:70b,0.5933,0.44,0.6533,0.8133,0.9133,0.4133,0.1533,0.14,0.1533,0.7596,0.7712,0.0517,0.7427,0.3918,0.3958,0.3976,,,,,,0.02,0.04,0.0933,0.0533,0.1489,0.3951,0.05165,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,fixing,llama3.1:8b,0.0867,0.0067,0.0867,0.0733,0.6267,0.0,0.0,0.0067,0.0067,0.3944,0.2869,0.1198,0.2028,0.0965,0.0989,0.1014,,,,,,0.0,0.0,0.0133,0.0,0.0045,0.0989,0.003325,,,,,,,,,,,,,,,,,0.0065,0.5,0.3388,0.2272,0.952,1.0
LC-QuAD,fixing,mistral-small:24b,0.68,0.5333,0.6667,0.8933,0.9733,0.52,0.48,0.5,0.52,0.8081,0.7404,0.001,0.6622,0.7423,0.7325,0.7523,,,,,,0.2533,0.18,0.2467,0.1667,0.5,0.7424,0.211675,,,,,,,,,,,,,,,,,0.0,0.0,0.0002,0.0,0.0,0.0
LC-QuAD,fixing,o3,0.6733,0.7733,0.9267,0.9867,0.96,0.7333,0.2933,0.26,0.3333,0.8884,0.929,0.04,0.8766,0.5632,0.5703,0.5964,,,,,,0.1467,0.12,0.1333,0.1533,0.2955,0.5766,0.138325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3036,0.0
LC-QuAD,zero-shot,deepseek-chat,0.3,0.1533,0.4333,0.3133,0.4933,0.0267,0.2905,,,0.6026,0.4925,0.2264,0.2699,0.5753,,,0.3467,0.5333,0.6,0.48,0.1467,0.0933,0.0933,0.1267,0.1333,0.2905,0.5753,0.11165,0.30935251798561153,0.18181818181818182,0.6203266187050359,0.3789,0.4489795918367347,0.42574257425742573,0.2903225806451613,0.31932773109243695,0.4864864864864865,1.0,0.22948648648648648,0.0,0.1590909090909091,0.1111111111111111,0.5118772727272728,0.3504833333333333,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,deepseek-reasoner,0.14,0.1067,0.38,0.2667,0.8533,0.0733,,,,0.4725,0.3936,0.0436,0.3008,,,,0.2133,0.4,0.2867,0.82,0.1533,0.0267,0.04,0.0467,0.0333,,,0.036675,0.1510791366906475,0.0,0.4915870503597122,0.2311,0.3877551020408163,0.0,0.272108843537415,0.0,0.8482758620689655,1.0,0.04515034482758621,0.0,0.11594202898550725,0.0,0.4174028985507246,0.11935833333333334,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.0-flash,0.24,0.08,0.3533,0.28,0.64,0.0333,0.7297,,,0.522,0.392,0.1275,0.2705,0.8421,,,0.26,0.4733,0.6733,0.6133,0.2067,0.0067,0.0,0.0067,0.0067,0.7297,0.8421,0.005025,0.23404255319148937,0.3333333333333333,0.5195716312056738,0.5596222222222222,0.37735849056603776,0.29545454545454547,0.40540540540540543,0.23893805309734514,0.6357142857142857,0.7,0.1282228571428571,0.11789000000000001,0.08333333333333333,0.06666666666666667,0.4051275,0.33936666666666676,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.5-flash,0.2733,0.1667,0.4667,0.28,0.8467,0.1533,0.6014,,,0.5536,0.4671,0.039,0.3603,0.7389,,,0.34,0.48,0.3,0.82,0.18,0.0467,0.02,0.0667,0.0267,0.6014,0.7389,0.040025,0.2835820895522388,0.1875,0.5590022388059701,0.5081875,0.4722222222222222,0.3333333333333333,0.2827586206896552,0.2,0.8472222222222222,0.8333333333333334,0.03368541666666666,0.16666666666666666,0.17123287671232876,0.0,0.4730486301369863,0.2501,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gemini-2.5-pro,0.24,0.1733,0.4067,0.34,0.8467,0.14,0.4459,,,0.5941,0.5123,0.0378,0.4193,0.7187,,,0.2867,0.4133,0.32,0.84,0.1733,0.0333,0.0133,0.0533,0.0333,0.4459,0.7187,0.0333,0.2517482517482518,0.0,0.6035272727272727,0.40135714285714286,0.40939597315436244,0.0,0.32413793103448274,0.8,0.8456375838926175,1.0,0.03809328859060403,0.0,0.1793103448275862,0.0,0.5270910344827585,0.08316,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-2025-04-14,0.2333,0.0867,0.3867,0.2467,0.6733,0.0533,0.2905,,,0.5444,0.4429,0.1049,0.294,0.5729,,,0.2667,0.3933,0.42,0.68,0.0533,0.0467,0.0533,0.06,0.0533,0.2905,0.5729,0.053325,0.2413793103448276,0.0,0.5543896551724139,0.25576,0.3877551020408163,0.3333333333333333,0.2807017543859649,0.1388888888888889,0.6778523489932886,0.0,0.09888120805369127,1.0,0.08666666666666667,,0.44291533333333327,,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-mini-2025-04-14,0.1867,0.0733,0.3733,0.2467,0.6733,0.0267,0.1824,,,0.4461,0.3574,0.12,0.2014,0.4483,,,0.24,0.5467,0.6067,0.6533,0.08,0.0733,0.0667,0.1467,0.18,0.1824,0.4483,0.116675,0.18382352941176472,0.21428571428571427,0.45387647058823527,0.3701785714285714,0.38461538461538464,0.3673469387755102,0.21052631578947367,0.25892857142857145,0.6666666666666666,1.0,0.12248027210884353,0.0,0.07746478873239436,0.0,0.3691978873239437,0.1488,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-nano-2025-04-14,0.18,0.12,0.3533,0.2733,0.6733,0.04,0.2027,,,0.3369,0.2433,0.194,0.1084,0.3525,,,0.3533,0.54,0.6,0.44,0.96,0.16,0.1933,0.3467,0.3333,0.2027,0.3525,0.25832499999999997,0.16981132075471697,0.20454545454545456,0.3505415094339623,0.30393636363636367,0.34,0.36,0.3333333333333333,0.23655913978494625,0.6075949367088608,0.7464788732394366,0.2321189873417722,0.15164225352112676,,0.12,,0.24327933333333335,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4o,0.36,0.36,0.3933,0.36,0.0667,0.0067,0.3581,,,0.3711,0.3702,0.9333,0.0067,0.5562,,,0.3533,0.5267,0.58,0.08,0.3733,0.3667,0.9733,0.9333,0.9867,0.3581,0.5562,0.815,0.35172413793103446,0.6,0.3632179310344828,0.6,0.3235294117647059,0.41379310344827586,0.30434782608695654,0.3700787401574803,0.06756756756756757,0.0,0.9324324324324325,1.0,0.3473684210526316,0.38181818181818183,0.3635178947368421,0.38181818181818183,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5,0.48,0.3067,0.5533,0.5067,0.7733,0.1133,0.5811,,,0.6093,0.585,0.2114,0.3893,0.7469,,,0.4933,0.5467,0.5,0.78,0.1467,0.3467,0.4733,0.2267,0.4667,0.5811,0.7469,0.37834999999999996,0.4859154929577465,0.375,0.6070436619718309,0.6488,0.5510204081632653,0.6666666666666666,0.5033557046979866,1.0,0.782312925170068,0.3333333333333333,0.20215374149659865,0.6666666666666666,0.2937062937062937,0.5714285714285714,0.5840951048951049,0.603742857142857,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5-mini,0.6333,0.5733,0.7133,0.74,0.4533,0.0933,0.6622,,,0.7162,0.6965,0.5393,0.2628,0.7444,,,0.6267,0.6867,0.7333,0.4933,0.1533,0.6933,0.5533,0.6,0.72,0.6622,0.7444,0.64165,0.6382978723404256,0.5555555555555556,0.7217702127659574,0.6296333333333334,0.7083333333333334,0.8333333333333334,0.7414965986394558,0.6666666666666666,0.4722222222222222,0.0,0.5211229166666667,0.9761833333333333,0.5602836879432624,0.7777777777777778,0.6906468085106382,0.7888888888888889,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5-nano,0.6133,0.4467,0.6267,0.6133,0.56,0.1,0.5608,,,0.7049,0.6072,0.4169,0.2733,0.686,,,0.6133,0.5867,0.6267,0.56,0.18,0.5333,0.5733,0.5533,0.5667,0.5608,0.686,0.55665,0.6197183098591549,0.5,0.7146478873239437,0.53125,0.626984126984127,0.625,0.6304347826086957,0.4166666666666667,0.5661764705882353,0.5,0.4144955882352941,0.4404785714285714,0.43478260869565216,0.5833333333333334,0.6048746376811595,0.6342583333333334,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-oss:20b,0.1667,0.1,0.28,0.26,0.82,0.0467,0.1824,,,0.3335,0.3127,0.0965,0.2029,0.3995,,,0.1933,0.3067,0.2933,0.7867,0.1,0.12,0.18,0.1267,0.2333,0.1824,0.3995,0.16499999999999998,0.17123287671232876,0.0,0.3381623287671233,0.1625,0.2753623188405797,0.3333333333333333,0.2624113475177305,0.2222222222222222,0.8321167883211679,0.6923076923076923,0.08903065693430656,0.17563846153846155,0.09285714285714286,0.2,0.30519857142857143,0.41719999999999996,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,grok-3-mini,0.2333,0.1867,0.44,0.32,0.8733,0.1333,,,,0.5018,0.4592,0.0596,0.3373,,,,0.26,0.44,0.34,0.88,0.1667,0.0733,0.0867,0.0867,0.1533,,,0.1,0.2361111111111111,0.16666666666666666,0.5055861111111111,0.41133333333333333,0.43661971830985913,0.5,0.32413793103448274,0.2,0.8843537414965986,0.3333333333333333,0.05229319727891156,0.4166666666666667,0.19310344827586207,0.0,0.47205724137931027,0.08656,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,llama3.1:70b,0.12,0.04,0.2333,0.1867,0.72,0.0133,,,,0.3375,0.2925,0.0951,0.1837,,,,0.14,0.7267,0.6933,0.72,0.0267,0.04,0.02,0.02,0.0667,,,0.036675,0.11724137931034483,0.2,0.3369634482758621,0.35331999999999997,0.2,0.2357142857142857,0.2631578947368421,0.16071428571428573,0.722972972972973,0.5,0.09368918918918918,0.2,0.033783783783783786,0.5,0.2897283783783784,0.5,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,llama3.1:8b,0.02,0.0,0.0667,0.0467,0.7133,0.0,0.027,,,0.1848,0.1558,0.0576,0.101,0.15,,,0.9333,0.8067,0.8933,0.38,0.9733,0.0067,0.0067,0.0,0.0067,0.027,0.15,0.005025,0.0,0.02097902097902098,0.1922,0.18443216783216781,0.0,0.07633587786259542,0.15384615384615385,0.0364963503649635,0.7692307692307693,0.7016129032258065,0.045911538461538455,0.06,0.0,0.0,0.17275,0.155363698630137,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,mistral-small:24b,0.3311,0.2703,0.4392,0.5,0.5135,0.0,0.3784,,,0.4096,0.4449,0.3764,0.2201,0.4574,,,0.3446,0.5608,0.5,0.5068,0.9324,0.6622,0.2568,0.4257,0.4324,0.3784,0.4574,0.444275,0.32608695652173914,0.4,0.4064608695652174,0.45332999999999996,,0.4391891891891892,0.5,0.5,0.5102040816326531,1.0,0.37898775510204086,0.0,0.6,0.2463768115942029,0.74333,0.42322536231884056,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,o3,0.2162,0.1284,0.3784,0.2703,0.9392,0.1014,0.25,,,0.4309,0.4023,0.0411,0.326,0.5506,,,0.2432,0.3581,0.2703,0.9189,0.1622,0.1284,0.1689,0.1081,0.1622,0.25,0.5506,0.1419,0.2222222222222222,0.0,0.44148194444444444,0.05,0.36363636363636365,0.8,0.2671232876712329,0.5,0.9440559440559441,0.8,0.036515384615384616,0.17142,0.12949640287769784,0.1111111111111111,0.39482446043165464,0.5181777777777778,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,classification,deepseek-chat,0.98,0.8467,0.9,0.9333,0.56,0.4533,0.5133,0.5133,0.5133,0.9925,0.9582,0.4117,0.5403,0.6638,0.6377,0.6588,,,,,,0.3667,0.3667,0.4,0.4333,0.5133,0.6534,0.391675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.992,0.0
qawiki,classification,deepseek-reasoner,0.8933,0.8667,0.56,0.9133,0.4133,0.3067,0.52,0.4467,0.6,0.9267,0.9058,0.5867,0.3467,0.6656,0.531,0.6823,,,,,,0.2667,0.22,0.48,0.6267,0.5222,0.6263,0.39835,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
qawiki,classification,gemini-2.0-flash,0.8667,0.8867,0.5133,0.9533,0.3533,0.2933,0.4667,0.4333,0.3733,0.9471,0.9502,0.5642,0.3982,0.6483,0.6061,0.5276,,,,,,0.3067,0.3,0.5333,0.5467,0.4244,0.594,0.421675,,,,,,,,,,,,,,,,,0.0,0.0,0.0006,0.0,1.0,0.0
qawiki,classification,gemini-2.5-flash,0.8933,0.9467,0.5133,0.98,0.8267,0.7733,0.26,0.3267,0.2467,0.9404,0.9787,0.1678,0.7438,0.5804,0.5794,0.5752,,,,,,0.12,0.12,0.2,0.2467,0.2778,0.5783,0.171675,,,,,,,,,,,,,,,,,0.0,0.0,0.0967,0.0,0.9674,0.0
qawiki,classification,gemini-2.5-pro,0.9,0.72,0.5267,0.8467,0.88,0.62,0.3,0.2333,0.28,0.9486,0.8374,0.11,0.7094,0.5939,0.499,0.5359,,,,,,0.1067,0.0933,0.2067,0.22,0.2711,0.5429,0.156675,,,,,,,,,,,,,,,,,0.0,0.0,0.0111,0.0,0.1147,0.0
qawiki,classification,gpt-4.1-2025-04-14,0.92,0.8867,0.4667,0.98,0.7933,0.68,0.2667,0.2667,0.2867,0.9874,0.9681,0.2003,0.7671,0.5831,0.569,0.5555,,,,,,0.0933,0.0933,0.1533,0.2067,0.2734,0.5692,0.13665,,,,,,,,,,,,,,,,,0.0,0.0,0.2664,0.0,0.0018,0.0
qawiki,classification,gpt-4.1-mini-2025-04-14,0.9067,0.8733,0.4267,0.9533,0.6667,0.5467,0.3267,0.3733,0.3333,0.9635,0.9346,0.3269,0.6176,0.5754,0.5618,0.5564,,,,,,0.2333,0.2333,0.2133,0.3533,0.3444,0.5645,0.2583,,,,,,,,,,,,,,,,,0.0,0.0,0.5,0.0,0.9999,0.0
qawiki,classification,gpt-4.1-nano-2025-04-14,0.9667,0.54,0.68,0.54,0.3867,0.0,0.94,0.9533,0.9333,0.9667,0.6912,0.6075,0.0,0.94,0.9533,0.9333,,,,,,0.98,0.9867,0.6867,0.54,0.9422,0.9422,0.79835,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.32,1.0,1.0
