index	source_id	Q1	Q2	Q3	Q4	source
25	25	What languages use the Arabic alphabet?	List all languages that use the Arabic alphabet.	What languages exclusively use the Arabic alphabet?	What languages use the Arabic alphabet alongside other scripts?	LC-QuAD
26	26	Who were the members of the Grateful Dead?	Who was in the Grateful Dead?	Who were the founding members of the Grateful Dead?	Who were the members of the Grateful Dead that joined the band after its formation?	LC-QuAD
27	27	What island states make up the European Union?	Which EU countries are islands?	Which EU island states have an area greater than one thousand square kilometres?	Which EU island states have an area less than or equal to one thousand square kilometres?	LC-QuAD
28	28	What books are the Harry Potter movies based on?	Which books were made into Harry Potter films?	What books were made into multiple Harry Potter movies?	What books were made into a single Harry Potter movie?	LC-QuAD
29	29	Which movies directed by Kurosawa have scenes filmed in Tokyo?	Which Kurosawa films have been shot, in whole or part, in Tokyo?	Which movies directed by Kurosawa were filmed entirely in Tokyo?	Which movies directed by Kurosawa were filmed in Tokyo and other locations?	LC-QuAD
30	30	Name the nation states who were belligerents in the Korean War.	Which countries fought in the Korean War?	Name the extant nation states who were belligerents in the Korean War.	Name the former nation states who were belligerents in the Korean War.	LC-QuAD
31	31	Who are Paul McCartney's children?	What children does Paul McCartney have?	Who are Paul McCartney's sons?	Who are Paul McCartney's children, excluding his sons?	LC-QuAD
32	32	What stage musicals were written by Andrew Lloyd Webber?	Which stage musicals did Andrew Lloyd Webber write?	What stage musicals were written by Andrew Lloyd Webber and Tim Rice?	What stage musicals were written by Andrew Lloyd Webber without Tim Rice?	LC-QuAD
33	33	What people were signatories of the Paris Peace Accords?	Which officials signed the Paris Peace Accords?	Who were the Vietnamese signatories of the Paris Peace Accords?	Who were the non-Vietnamese signatories of the Paris Peace Accords?	LC-QuAD
34	34	What libraries does Yale University have?	Which libraries are located at Yale University?	What libraries does Yale University have excluding those of residential colleges?	What residential college libraries does Yale University have?	LC-QuAD
35	35	Which international organizations have their headquarters located in Strasbourg?	What international organizations have their headquarters in Strasbourg?	Which judicial international organizations have their headquarters located in Strasbourg?	Which non-judicial international organizations have their headquarters located in Strasbourg?	LC-QuAD
36	36	What kinds of airplanes do American Airlines currently operate?	Which types of planes are currently used by American Airlines for their flights?	What kinds of airplanes do American Airlines currently operate on international routes?	What kinds of airplanes do American Airlines currently operate only on domestic routes?	LC-QuAD
37	37	What songs are on the tracklist of Led Zeppelin IV?	Which tracks are on Led Zeppelin IV?	What songs on the tracklist of Led Zeppelin IV were released as singles?	What songs on the tracklist of Led Zeppelin IV were not released as singles?	LC-QuAD
38	38	What peace treaties have the Soviet Union signed?	Which peace treaties were signed by the Soviet Union?	What World War II peace treaties has the Soviet Union signed?	What peace treaties has the Soviet Union signed for conflicts other than World War II?	LC-QuAD
39	39	Which planets were portrayed in Star Wars Episode V: The Empire Strikes Back?	In Star Wars Episode V: The Empire Strikes Back, which planets were depicted?	Which gas giants were portrayed in Star Wars Episode V: The Empire Strikes Back?	Which planets portrayed in Star Wars Episode V: The Empire Strikes Back are not gas giants?	LC-QuAD
40	40	What countries participated in the Battle of France?	Which countries took part in the Battle of France?	What Axis countries participated in the Battle of France?	What Allied or non-aligned countries participated in the Battle of France?	LC-QuAD
41	41	Who are the characters in Hamlet?	Which characters appear in Hamlet?	Who are the royal characters in Hamlet?	Which characters in Hamlet are not royalty?	LC-QuAD
42	42	What animated films were produced or directed by Hayao Miyazaki?	What animated movies did Hayao Miyazaki produce or direct?	What animated films were directed by Hayao Miyazaki but not produced by him?	What animated films were produced by Hayao Miyazaki?	LC-QuAD
43	43	What are the satellite galaxies of the Andromeda Galaxy?	What galaxies are gravitationally bound to the Andromeda Galaxy?	Which satellite galaxies of the Andromeda Galaxy are dwarf elliptical?	Which satellite galaxies of the Andromeda Galaxy are not dwarf elliptical?	LC-QuAD
44	44	What types of Academy Awards has Quentin Tarantino been nominated for?	For which types of Oscar has Quentin Tarantino received nominations?	What types of Academy Awards has Quentin Tarantino won?	What types of Academy Awards has Quentin Tarantino been nominated for but never won?	LC-QuAD
45	45	Which movies were produced by Jim Henson?	What films did Jim Henson produce?	Which Muppets movies were produced by Jim Henson?	Which movies, other than the Muppets movies, were produced by Jim Henson?	LC-QuAD
46	46	Which books are in the His Dark Materials trilogy?	What books make up the His Dark Materials trilogy?	What is the first book in the His Dark Materials trilogy?	What are the second and third books in the His Dark Materials trilogy?	LC-QuAD
47	47	What films has Francis Ford Coppola been the executive producer of?	In which movies has Francis Ford Coppola been credited as executive producer?	In which movies directed by a family member has Francis Ford Coppola been credited as executive producer?	In which movies not directed by a family member has Francis Ford Coppola been credited as executive producer?	LC-QuAD
48	48	Which high school(s) are located in Milwaukee?	What high schools does Milwaukee have?	Which high schools located in Milwaukee also teach grades before grade 9?	Which high schools located in Milwaukee only teach grades 9 and up?	LC-QuAD
49	49	List all top-tier national leagues in CONMEBOL for men or women.	What top-tier national leagues for men or women are in CONMEBOL?	What top-tier national leagues for men are in CONMEBOL?	What top-tier national leagues for women are in CONMEBOL?	LC-QuAD
50	50	What are the moon phases?	List all the phases of the moon.	What are the waxing moon phases?	What moon phases are not waxing?	LC-QuAD
51	51	What are the annual public holidays of Denmark?	What Danish public holidays are observed annually?	What are the annual public holidays exclusive to Denmark?	What annual public holidays are observed in Denmark and other countries?	LC-QuAD
52	52	List all the states in India.	What are the states of India?	List all the states in India with a one-word English name.	List all the states in India with a mutli-word English name.	LC-QuAD
53	53	What writing systems are in official use today by European countries?	What official writing systems are still used by European countries?	What writing system is in official use today by a majority of European countries?	What writing systems are in official use today by a minority of European countries?	LC-QuAD
54	54	What countries have a public holiday to celebrate their constitution?	What countries observe a public holiday for their constitution?	What countries have a public holiday in their Spring or Summer to celebrate their constitution?	What countries have a public holiday in their Autumn or Winter to celebrate their constitution?	LC-QuAD
55	55	What are the war deities from ancient mythology in Europe?	Which war deities are from ancient mythology in Europe?	What war deities from ancient mythology in Europe have astronomic bodies named after them?	What war deities from ancient mythology in Europe do not have astronomic bodies named after them?	LC-QuAD
56	56	What superheroes are in the Justice League?	Which superheroes form part of the Justice League?	Which superheroes in the Justice League are part of the Big Seven?	What superheroes are in the Justice League but not the Big Seven?	LC-QuAD
57	57	Name all annual events happening in Pershing County.	What annual events take place in Pershing County?	What annual events take place in Lovelock, Pershing County?	What annual events take place in Pershing County outside of Lovelock?	LC-QuAD
58	58	What kinds of structures are found at Aït Benhaddou?	What forms of structure form Aït Benhaddou?	What kinds of military structures are found at Aït Benhaddou?	What kinds of non-military structures are found at Aït Benhaddou?	LC-QuAD
59	59	What biographical articles or books does the Library of Congress of Chile have about Bernardo O'Higgins?	Which biographical articles or books about Bernardo O'Higgins are available in the Library of Congress of Chile?	What biographical articles does the Library of Congress of Chile have about Bernardo O'Higgins?	What biographical books does the Library of Congress of Chile have about Bernardo O'Higgins?	LC-QuAD
60	60	What public statues are found in Rennes today?	What public statues can be seen in Rennes today?	What extant public statues in Rennes depict historical figures?	What extant public statues in Rennes do not depict historical figures?	LC-QuAD
61	61	What complete and incomplete operas has Claude Debussy composed?	Which operas were composed by Claude Debussy, including incomplete operas?	Which completed operas did Claude Debussy compose?	Which incompleted operas did Claude Debussy compose?	LC-QuAD
62	62	Who are the publishers for Civilization video games?	Which companies have published Civilization video games?	Who was the publisher for the original Civilization video game?	Who has published Civilization video games excluding the original publisher?	LC-QuAD
63	63	What generic drugs are Integrase Strand Transfer Inhibitors?	What generic drugs are INSTIs?	What generic INSTI drugs have long-acting injectables available?	What generic INSTI drugs do not have long-acting injectables available?	LC-QuAD
64	64	What cities are referenced in the Buddenbrooks?	What cities are mentioned by the Buddenbrooks?	What German cities are referenced in the Buddenbrooks?	What cities outside Germany are referenced in the Buddenbrooks?	LC-QuAD
65	65	What runways are available in LAX?	What runways does Los Angeles International Airport have?	What runways are part of the North Airfield Complex of Los Angeles International Airport?	What runways are part of the South Airfield Complex of Los Angeles International Airport?	LC-QuAD
66	66	List all the musicals for which Jonathan Larson received Drama Desk Award nominations.	For which musicals did Jonathan Larson receive Drama Desk Awards nominations?	For which musicals did Jonathan Larson win a Drama Desk Award?	For which musicals did Jonathan Larson receive Drama Desk Awards nominations but did not win such an award?	LC-QuAD
67	67	What counties of North Dakota are located, in whole or part, within the Mountain Time Zone?	What North Dakota counties use (in whole or part) the Mountain Time Zone?	What counties of North Dakota exclusively use the Mountain Time Zone?	What counties of North Dakota are split between the Mountain Time Zone and another timezone?	LC-QuAD
68	68	What major singles titles has Serena Williams won?	What major titles has Serena Williams won for singles?	What major singles titles has Serena Williams won on a hard surface?	What major singles titles has Serena Williams won on a glass or clay surface?	LC-QuAD
69	69	"For which categories was ""Crouching Tiger, Hidden Dragon"" nominated at the 73rd Academy Awards?"	"What was ""Crouching Tiger, Hidden Dragon"" nominated for at the 73rd Academy Awards?"	"For which musical categories was ""Crouching Tiger, Hidden Dragon"" nominated at the 73rd Academy Awards?"	"For which non-musical categories was ""Crouching Tiger, Hidden Dragon"" nominated at the 73rd Academy Awards?"	LC-QuAD
70	70	For which of the 64th Academy Awards was Silence of the Lambs not nominated?	For which categories was Silence of the Lambs not nominated at the 64th Academy Awards?	For which categories was Silence of the Lambs not eligible at the 64th Academy Awards?	For which eligible categories was Silence of the Lambs not nominated at the 64th Academy Awards?	LC-QuAD
71	71	What transport brands does Flix SE operate?	What transport operators does Flix SE manage?	What bus brands does Flix SE operate?	What transport brands does Flix SE operate other than bus brands?	LC-QuAD
72	72	What studio albums did the Rolling Stones release?	What are the studio albums of the Rolling Stones?	On which studio albums of the Rolling Stones does Brian Jones perform?	On which studio albums of the Rolling Stones does Brian Jones not perform?	LC-QuAD
73	73	For which movies did Daniel Day-Lewis win a BAFTA for acting?	For which films was Daniel Day-Lewis' acting awarded a BAFTA?	For which movies did Daniel Day-Lewis win a BAFTA for his portrayal of a non-fictional character?	For which movies did Daniel Day-Lewis win a BAFTA for his portrayal of a fictional character?	LC-QuAD
74	74	What episodes formed the first season of Adventure Time?	What episodes of Adventure Time were in the first season?	What first-season episodes of Adventure Time had over two million U.S. viewers?	What first-season episodes of Adventure Time had two million U.S. viewers or fewer?	LC-QuAD
75	75	What countries do not celebrate Christmas as a national public holiday?	In which countries is Christmas not recognized as a national public holiday?	What Muslim-majority countries do not celebrate Christmas as a national public holiday?	What countries that are not Muslim-majority do not celebrate Christmas as a national public holiday?	LC-QuAD
76	76	Who has received the Major League Baseball Most Valuable Player Award after 2000?	Who are the recipients of the Major League Baseball Most Valuable Player Award after 2000?	Who has received the Major League Baseball Most Valuable Player Award for the American League after 2000?	Who has received the Major League Baseball Most Valuable Player Award but never for the American League after 2000?	LC-QuAD
77	77	Who are the current members of the Board of Directors of BP?	List all active members of the Board of Directors of BP.	Who is the current chair of the Board of Directors of BP?	Who are the current members of the Board of Directors of BP aside from the chair?	LC-QuAD
78	78	What are the weapons of Kālī?	Which weapons are associated with Kālī?	What are the single-bladed weapons of Kālī?	What are the weapons of Kālī that are not single-bladed?	LC-QuAD
79	79	"What singles were released by Petula Clark besides ""Downtown""?"	"Which songs, other than ""Downtown,"" were released as a single by Petula Clark?"	"What English-language singles were released by Petula Clark besides ""Downtown""?"	What singles were released in languages other than English by Petula Clark?	LC-QuAD
80	80	What military ranks have the NATO grade OF-8?	What military ranks correspond to the NATO grade OF-8?	What navy ranks have the NATO grade OF-8?	What non-navy ranks have the NATO grade OF-8?	LC-QuAD
81	81	What cantons are in the Hautes-Pyrenees district?	What are the cantons of Hautes-Pyrenees?	What are the cantons of Tarbes, Hautes-Pyrenees?	What are the cantons of Hautes-Pyrenees not in Tarbes?	LC-QuAD
82	82	What aircraft do the Kazakh Air and Air Defense Forces utilize?	Which aircraft are operated by the Kazakh Air and Air Defense Forces?	What fixed-wing aircraft do the Kazakh Air and Air Defense Forces utilize?	What rotary-wing or non-winged aircraft do the Kazakh Air and Air Defense Forces utilize?	LC-QuAD
83	83	Who are the sons of Francis Daniel Crean?	List all sons of Francis Daniel Crean.	Who were the living sons of Francis Daniel Crean as of December 31st, 2024?	Which sons of Francis Daniel Crean had died before December 31st, 2024?	LC-QuAD
84	84	"What instruments are included in the original score for ""In questa reggia""?"	"What instruments are used in the original instrumentation of ""In questa reggia""?"	"What string instruments are included in the original score for ""In questa reggia""?"	"What non-string instruments are included in the original score for ""In questa reggia""?"	LC-QuAD
85	85	Who are the biological children of Jens Breivik's spouses?	What biological children do Jens Breivik's spouses have?	Who are the biological children of Jens Breivik and his spouses?	Who are the biological children of Jens Breivik's spouses that are not his?	LC-QuAD
86	86	What municipalities are in the Province of Catania?	What municipalities does the Province of Catania have?	What cities are in the Province of Catania?	What non-city municipalities are in the Province of Catania?	LC-QuAD
87	87	What mammal species are held by the Los Angeles Zoo?	What species of mammals are captive at the Los Angeles Zoo?	What herbivore mammal species are held by the Los Angeles Zoo?	What carnivore or omnivore mammal species are held by the Los Angeles Zoo?	LC-QuAD
88	88	What awards has Gene Wolfe received?	Which awards has Gene Wolfe been honored with?	What poetry awards has Gene Wolfe received?	What awards has Gene Wolfe received excluding those for poetry?	LC-QuAD
89	89	Who were the spouses of Devora Ben-Yehuda's siblings?	List all people who married Devora Ben-Yehuda's siblings.	Who were the spouses of Devora Ben-Yehuda's siblings and Devora herself?	Who were the spouses of Devora Ben-Yehuda's siblings but not of Devora herself?	LC-QuAD
90	90	What artists or bands have recorded a studio version of Please Don't Make My Cry?	What music groups or artists have made studio recordings of Please Don't Make My Cry?	What artist or band wrote and recorded a studio version of Please Don't Make My Cry?	What artists or bands made a studio cover of Please Don't Make My Cry?	LC-QuAD
91	91	What islands greater than 40 hectares are found in Loch Lomond?	What islands greater than 40 hectares are in Loch Lomond?	What inhabited islands greater than 40 hectares are in Loch Lomond?	What uninhabited islands greater than 40 hectares are in Loch Lomond?	LC-QuAD
92	92	Which women voiced part of Naked to the Limit, One More Time?	Which voice actresses were credited in Naked to the Limit, One More Time?	Which women voiced married characters in Naked to the Limit, One More Time?	Which women voiced unmarried characters in Naked to the Limit, One More Time?	LC-QuAD
93	93	Which commanders did Scipio Africanus fight against while he was commander?	Which commanders fought against Scipio Africanus as commander?	Which Carthaginian commanders fought against Scipio Africanus while he was commander?	Which non-Carthaginian commanders fought against Scipio Africanus while he was commander?	LC-QuAD
94	94	Which leaders are playable in Civilization V: Gods & Kings?	What leaders are featured in Civilization V: Gods & Kings?	Which playable leaders in Civilization V: Gods & Kings were new to the series?	Which playable leaders of Civilization V: Gods & Kings appeared previously in the series?	LC-QuAD
95	95	What are the tributaries of the Madeira River?	Which rivers and streams flow into the Madeira River?	What are the right-bank tributaries of the Madeira River?	What are the left-bank tributaries of the Madeira River?	LC-QuAD
96	96	What films has Ellen DeGeneres produced?	Which movies has Ellen DeGeneres been a producer of?	What full-length theatrical films has Ellen DeGeneres produced?	What TV or short movies has Ellen DeGeneres produced?	LC-QuAD
97	97	Who were Ip Man's students?	Which individuals studied under Ip Man?	Which of Ip Man's students died of COVID?	Which of Ip Man's students are alive or died of causes other than COVID?	LC-QuAD
98	98	Who are Burt Lancaster's children?	Who are the children of Burt Lancaster?	Which of Burt Lancaster's children are twins?	Which of Burt Lancaster's children are not twins?	LC-QuAD
99	99	What radio stations currently broadcast in Esperanto?	Which radio stations still have shows in Esperanto?	What radio stations currently broadcast exclusively in Esperanto?	What radio stations currently broadcast in Esperanto among other languages?	LC-QuAD
100	100	What novels did Truman Capote write?	Which novels were authored by Truman Capote?	What novels authored by Truman Capote were published during his lifetime?	What novels authored by Truman Capote were published posthumously?	LC-QuAD
101	101	What are the business divisions of Ford Motor Company?	List all business divisions of Ford Motor Company.	Which business divisions of Ford Motor Company focus on electric cars?	Which business divisions of Ford Motor Company do not focus on electric cars?	LC-QuAD
102	102	What commanders fought in the Battle of Austerlitz?	Which commanders participated in the Battle of Austerlitz?	What commanders fought for France in the Battle of Austerlitz?	What commanders fought against France in the Battle of Austerlitz?	LC-QuAD
103	103	What are the names of the characters from the movie E.T. The Extra-Terrestrial?	List the names of all characters featured in the movie E.T. The Extra-Terrestrial.	What are the names of the human characters from the movie E.T. The Extra-Terrestrial?	What are the names of the non-human characters from the movie E.T. The Extra-Terrestrial?	LC-QuAD
104	104	Which singles with Loretta Lynn reached No. 1 on the Billboard Hot Country Songs chart?	Which Loretta Lynn songs hit the top of the Billboard Hot Country Songs?	Which of Loretta Lynn's solo singles reached No. 1 on the Billboard Hot Country Songs chart?	Which of Loretta Lynn's singles in which she collaborates with other artists reached No. 1 on the Billboard Hot Country Songs chart?	LC-QuAD
105	105	With which tennis players has Billie Jean King won Grand Slams in doubles or mixed doubles?	With which male and female tennis players has Billie Jean King won Grand Slams in doubles?	With which tennis players has Billie Jean King won Grand Slams in doubles (excluding mixed doubles)?	With which tennis players has Billie Jean King won Grand Slams in mixed doubles?	LC-QuAD
106	106	Who were Johann Wolfgang von Goethe's grandparents?	Who were Johann Wolfgang von Goethe's grandmothers and grandfathers?	Who were Johann Wolfgang von Goethe's maternal grandparents?	Who were Johann Wolfgang von Goethe's paternal grandparents?	LC-QuAD
107	107	Which oblasts formed the Soviet Union at the time of its dissolution?	What were the Soviet oblasts at the time the union ended?	Which oblasts formed the Soviet Union at the time of its dissolution and now form part of Russian territory?	Which oblasts formed the Soviet Union at the time of its dissolution and are no longer part of Russian territory?	LC-QuAD
108	108	Who were the emperors of the Yuan dynasty?	List all Yuan dynasty emperors.	Which emperors of the Yuan dynasty ruled for 5 years or fewer?	Which emperors of the Yuan dynasty ruled for more than 5 years?	LC-QuAD
109	109	By which enzymes is methadone metabolized?	Which enzymes metabolize methadone?	By which enzymes whose associated genes are in subfamily 2 is methadone metabolized?	By which enzymes whose associated genes are not in subfamily 2 is methadone metabolized?	LC-QuAD
110	110	Which states contain or border Lüneburg?	Which states border or contain Lüneburg?	Which states contain Lüneburg?	Which states border Lüneburg?	LC-QuAD
111	111	What are the institutions of the European Union?	What are the E.U.'s institutions?	What are the legislative institutions of the European Union?	What institutions of the European Union are not legislative?	LC-QuAD
112	112	For what railway stations is Isambard Kingdom Brunel the architect?	Which railway stations were designed by Isambard Kingdom Brunel?	For which GWR railway stations is Isambard Kingdom Brunel the architect?	For which railway stations is Isambard Kingdom Brunel the architect, excluding GWR stations?	LC-QuAD
113	113	What solo studio albums were released by Jerry Lee Lewis?	What are the solo studio albums of Jerry Lee Lewis?	What solo studio albums were released by Jerry Lee Lewis on the Smash label?	What solo studio albums were released by Jerry Lee Lewis on a label other than Smash?	LC-QuAD
114	114	What are the YouTube Play Buttons that are conferred by YouTube?	What YouTube Play Buttons does YouTube award?	Which YouTube Play Buttons are conferred by YouTube for reaching subscriber milestones under 1 million?	Which YouTube Play Buttons are conferred by YouTube for reaching subscriber milestones of 1 million and above?	LC-QuAD
115	115	What Asian television channels have English as their primary language?	Which Asian TV channels air programs mainly in English?	What Asian television channels broadcasting 24 hour news have English as their primary language?	What Asian television channels have English as their primary language excluding 24 hour news stations?	LC-QuAD
116	116	Which paintings depict Dante Alighieri?	List all paintings of Dante Alighieri.	Which paintings depict Dante Alighieri alone?	Which paintings depict Dante Alighieri with someone else?	LC-QuAD
117	117	Which ministers of the Weimar Republic were assassinated?	Which Weimar Republic ministers were murdered?	Which Jewish ministers of the Weimar Republic were assassinated?	Which Gentile ministers of the Weimar Republic were assassinated?	LC-QuAD
118	118	Which films did Mike Myers write or co-write?	For which films is Mike Myers credited as a writer?	Which films did Mike Myers write alone?	Which films did Mike Myers co-write with others?	LC-QuAD
119	119	Which operas have been performed in Esperanto?	List all operas sung in Esperanto.	Which operas have been translated to and performed in Esperanto?	Which operas were originally written in Esperanto?	LC-QuAD
120	120	What are the top 10 largest cities by population in the European Union currently?	What are the ten most populous cities in the EU currently?	Which of the current top 10 largest cities by population in the European Union are capital cities?	Which of the current top 10 largest cities by population in the European Union are not capital cities?	LC-QuAD
121	121	What island nations are members of the African Union?	Which members of the African Union are islands?	What island nations in the Indian Ocean are members of the African Union?	What island nations are members of the African Union excluding those in the Indian Ocean?	LC-QuAD
122	122	"What sports have an event called a ""world cup""?"	Which sports have a world cup?	"What aquatic sports have an event called a ""world cup""?"	"What terrestrial sports have an event called a ""world cup""?"	LC-QuAD
123	123	"What fictional detectives are called ""Sam""?"	List all fictional detectives named 'Sam'.	"What fictional, satirical detectives are called ""Sam""?"	"What fictional, non-satirical detectives are called ""Sam""?"	LC-QuAD
124	124	What are the capital cities of countries in North America?	What are the North American national capitals?	What are the capital cities of countries in North America that are in NATO?	What are the capital cities of countries in North America that are not in NATO?	LC-QuAD
125	125	What sports were featured in the Summer Olympics for the first or second time in 2024?	What sports that were part of the 2024 Summer Olympics appeared at most once before?	What sports were featured in the Summer Olympics for the first time in 2024?	What sports were featured in the Summer Olympics for the second time in 2024?	LC-QuAD
126	126	With which U.N. member states does France have territorial disputes?	France contests territory with which United Nations member states?	With which U.N. member states does France have mainland territorial disputes?	With which U.N. member states does France have territorial disputes over islands?	LC-QuAD
127	127	What are the classes of heads of mission defined by the Vienna Convention on Diplomatic Relations?	According to the Vienna Convention on Diplomatic Relations, what are the classes of heads of mission?	What are the classes of heads of mission accredited to heads of state according to the Vienna Convention on Diplomatic Relations?	What are the classes of heads of mission accredited to foreign ministers according to the Vienna Convention on Diplomatic Relations?	LC-QuAD
128	128	What are the stars within 10 light years of the Earth?	What stars are within 10 light years from Earth?	What are the stars in multi-star systems within 10 light years of the Earth?	What are the single stars within 10 light years of the Earth?	LC-QuAD
129	129	Which cryptocurrencies had a market capitalization above USD$5 billion as of December 31st, 2024?	What cryptocurrencies had a market cap over five billion U.S. dollars by year's end 2024?	Which cryptocurrencies had a market capitalization above USD$5 billion but under USD$100 billion as of December 31st, 2024?	Which cryptocurrencies had a market capitalization of USD$100 billion or more as of December 31st, 2024?	LC-QuAD
130	130	What breeds of dog originated in Germany?	List all German dog breeds.	"What breeds of dog that originated in Germany have ""German"" in their English name?"	"What breeds of dog that originated in Germany do not have ""German"" in their English name?"	LC-QuAD
131	131	What are the Takama languages?	List all Takama languages.	What Takama languages are classified as Nyamwezic?	What Takama languages are not classified as Nyamwezic?	LC-QuAD
132	132	What are the federal states of the United States?	Which federal states are in the US?	What federal states of the United States have only one word in their name?	What federal states of the United States have multiple words in their name?	LC-QuAD
